all_done,candidate,errors,games,losses,mean_margin,mean_money,min_money,opponent,p99_ms_max,score_rate,ties,win_rate,wins
1,v022c,0,12,0,186058.66666666666,186058.66666666666,170772.0,random,0.258625,1.0,0,1.0,12
1,v022c,0,12,4,16434.25,116780.08333333333,61994.0,root,0.208667,0.6666666666666666,0,0.6666666666666666,8
1,v022c,0,12,0,183047.66666666666,186548.25,177181.0,starter,0.229417,1.0,0,1.0,12
1,v022c,0,12,0,2081.6666666666665,124620.0,103682.0,v012,0.206916,1.0,0,1.0,12
1,v022c,0,12,3,0.0,62420.833333333336,6532.0,v022c,0.229084,0.5,6,0.25,3
1,v022c,0,12,0,21260.75,120332.33333333333,95450.0,v024a,0.206292,1.0,0,1.0,12
1,v022c,0,12,0,4098.0,106786.16666666667,80772.0,v025b,0.222167,1.0,0,1.0,12
1,v022c,0,12,12,-11653.5,94756.5,65811.0,v13_r3,0.209708,0.0,0,0.0,0
1,v022c,0,12,12,-11713.916666666666,93902.58333333333,65345.0,v21_1,0.211125,0.0,0,0.0,0
1,v025b,0,12,0,188213.75,188213.75,179298.0,random,0.293875,1.0,0,1.0,12
1,v025b,0,12,0,42736.166666666664,146588.75,127330.0,root,0.271875,1.0,0,1.0,12
1,v025b,0,12,0,176492.91666666666,179996.25,168485.0,starter,0.307083,1.0,0,1.0,12
1,v025b,0,12,12,-7499.833333333333,115819.16666666667,84273.0,v012,0.249958,0.0,0,0.0,0
1,v025b,0,12,12,-4098.0,102688.16666666667,74707.0,v022c,0.193167,0.0,0,0.0,0
1,v025b,0,12,11,-2678.0,128184.58333333333,116516.0,v024a,0.333291,0.08333333333333333,0,0.08333333333333333,1
1,v025b,0,12,4,0.0,129662.25,118197.0,v025b,0.270333,0.5,4,0.3333333333333333,4
1,v025b,0,12,12,-16145.333333333334,116848.75,102461.0,v13_r3,0.256417,0.0,0,0.0,0
1,v025b,0,12,12,-13857.083333333334,113984.16666666667,87173.0,v21_1,0.258,0.0,0,0.0,0
1,v13_r3,0,12,0,196768.58333333334,196768.58333333334,186679.0,random,0.331708,1.0,0,1.0,12
1,v13_r3,0,12,0,51896.916666666664,150531.33333333334,119472.0,root,0.28825,1.0,0,1.0,12
1,v13_r3,0,12,0,185889.41666666666,189392.75,175691.0,starter,0.343834,1.0,0,1.0,12
1,v13_r3,0,12,0,8645.333333333334,119072.83333333333,90034.0,v012,0.25225,1.0,0,1.0,12
1,v13_r3,0,12,0,11653.5,106410.0,76934.0,v022c,0.271333,1.0,0,1.0,12
1,v13_r3,0,12,0,11460.5,130598.25,116798.0,v024a,0.276375,1.0,0,1.0,12
1,v13_r3,0,12,0,16145.333333333334,132994.08333333334,119375.0,v025b,0.299083,1.0,0,1.0,12
1,v13_r3,0,12,3,0.0,119765.16666666667,102435.0,v13_r3,0.289292,0.5,6,0.25,3
1,v13_r3,0,12,0,2215.5833333333335,117667.08333333333,92747.0,v21_1,0.274292,1.0,0,1.0,12
1,v21_1,0,12,0,194114.58333333334,194144.58333333334,171203.0,random,0.546083,1.0,0,1.0,12
1,v21_1,0,12,0,49805.5,143178.66666666666,117353.0,root,0.482167,1.0,0,1.0,12
1,v21_1,0,12,0,186207.33333333334,189710.66666666666,176388.0,starter,0.5565,1.0,0,1.0,12
1,v21_1,0,12,0,8492.75,118891.75,89325.0,v012,0.483667,1.0,0,1.0,12
1,v21_1,0,12,0,11713.916666666666,105616.5,75755.0,v022c,0.476875,1.0,0,1.0,12
1,v21_1,0,12,0,8034.333333333333,124962.16666666667,96748.0,v024a,0.498917,1.0,0,1.0,12
1,v21_1,0,12,0,13857.083333333334,127841.25,100164.0,v025b,0.471417,1.0,0,1.0,12
1,v21_1,0,12,12,-2215.5833333333335,115451.5,89715.0,v13_r3,0.499125,0.0,0,0.0,0
1,v21_1,0,12,2,0.0,119889.25,102721.0,v21_1,0.471791,0.5,8,0.16666666666666666,2
