left,right,seed,left_seat,left_money,right_money,margin,result,done,left_status,right_status,left_calls,right_calls,errors,invalid,p50_ms,p95_ms,p99_ms,max_ms
V22,Adaptive_V14,17,0,160225.0,59023.0,101202.0,W,1,DONE,DONE,719,719,0,0,0.010374991688877344,0.015214302402455354,0.02889178664190655,0.27049999334849417
V22,Adaptive_V14,17,1,160225.0,59023.0,101202.0,W,1,DONE,DONE,719,719,0,0,0.010312505764886737,0.014464296691585327,0.030557387508451453,0.3282079997006804
V22,Adaptive_V14,42,0,174687.0,64689.0,109998.0,W,1,DONE,DONE,719,719,0,0,0.010166986612603068,0.014958000974729657,0.04253429244272404,0.295000005280599
V22,Adaptive_V14,42,1,175206.0,66502.0,108704.0,W,1,DONE,DONE,719,719,0,0,0.010499992640689015,0.01504199462942779,0.036495604144874454,0.23291699471883476
V22,Adaptive_V14,2026,0,173045.0,64148.0,108897.0,W,1,DONE,DONE,719,719,0,0,0.010082992957904935,0.015006322064436967,0.039859455428086214,31.200541998259723
V22,Adaptive_V14,2026,1,173357.0,64148.0,109209.0,W,1,DONE,DONE,719,719,0,0,0.010540999937802553,0.014923169510439033,0.0392673353780992,0.24466699687764049
V22,V27,17,0,169723.0,38538.0,131185.0,W,1,DONE,DONE,719,719,0,0,0.010292016668245196,0.015441032883245474,0.048865497228689464,0.19445799989625812
V22,V27,17,1,169723.0,38538.0,131185.0,W,1,DONE,DONE,719,719,0,0,0.010499992640689015,0.017178615962620814,0.04888627910986541,66.42754099448211
V22,V27,42,0,186162.0,39970.0,146192.0,W,1,DONE,DONE,719,719,0,0,0.010332994861528277,0.016596275963820507,0.04921220068354152,0.23966701701283455
V22,V27,42,1,189994.0,41427.0,148567.0,W,1,DONE,DONE,719,719,0,0,0.01041700306814164,0.015970607637427737,0.0489965511951595,0.4074170137755573
V22,V27,2026,0,179837.0,39067.0,140770.0,W,1,DONE,DONE,719,719,0,0,0.010417017620056868,0.015792000340297818,0.05040761025156809,33.30645800451748
V22,V27,2026,1,180622.0,39064.0,141558.0,W,1,DONE,DONE,719,719,0,0,0.01041698851622641,0.015249999705702066,0.04739375086501234,0.515791994985193
V22,Stable12,17,0,120779.0,103994.0,16785.0,W,1,DONE,DONE,719,719,0,0,0.010792020475491881,0.01538130454719066,0.04632875352399422,0.20541698904708028
V22,Stable12,17,1,120779.0,103994.0,16785.0,W,1,DONE,DONE,719,719,0,0,0.010832998668774962,0.01608930906513705,0.050177295925095663,0.30858401441946626
V22,Stable12,42,0,91984.0,84108.0,7876.0,W,1,DONE,DONE,719,719,0,0,0.010707997716963291,0.015923152386676513,0.048635911080054925,0.264208996668458
V22,Stable12,42,1,91954.0,84138.0,7816.0,W,1,DONE,DONE,719,719,0,0,0.010832998668774962,0.015429448103532183,0.04771644278662272,0.1968329888768494
V22,Stable12,2026,0,110823.0,98322.0,12501.0,W,1,DONE,DONE,719,719,0,0,0.010729505447670817,0.015423148579429828,0.04638528131181373,0.3444159810896963
V22,Stable12,2026,1,110682.0,98750.0,11932.0,W,1,DONE,DONE,719,719,0,0,0.0109999964479357,0.016101883375085873,0.05066676094429555,0.39158298750407994
V22,V022c,17,0,144877.0,117045.0,27832.0,W,1,DONE,DONE,719,719,0,0,0.010207993909716606,0.014840165385976429,0.045313573209568844,0.24004100123420358
V22,V022c,17,1,144877.0,117045.0,27832.0,W,1,DONE,DONE,719,719,0,0,0.010624993592500687,0.01562500256113708,0.04649727867217716,0.07191600161604583
V22,V022c,42,0,78076.0,63806.0,14270.0,W,1,DONE,DONE,719,719,0,0,0.01016599708236754,0.01479831698816269,0.04554804705549029,0.295375008136034
V22,V022c,42,1,78059.0,63185.0,14874.0,W,1,DONE,DONE,719,719,0,0,0.010624993592500687,0.015095600974746036,0.04427656880579875,0.2619579900056124
V22,V022c,2026,0,105939.0,90294.0,15645.0,W,1,DONE,DONE,719,719,0,0,0.010249990737065673,0.015464304306078697,0.04552657075691954,33.71395799331367
V22,V022c,2026,1,104917.0,91385.0,13532.0,W,1,DONE,DONE,719,719,0,0,0.010499992640689015,0.015375000657513738,0.04541175003396346,0.3547910018824041
