left,right,games,wins,ties,losses,win_rate,mean_margin,min_margin,mean_left_money,mean_right_money,done,errors,invalid,max_p99_ms
V22,Adaptive_V14,6,6,0,0,1.0,106535.33333333333,101202.0,169457.5,62922.166666666664,6,0,0,0.04253429244272404
V22,V27,6,6,0,0,1.0,139909.5,131185.0,179343.5,39434.0,6,0,0,0.05040761025156809
V22,Stable12,6,6,0,0,1.0,12282.5,7816.0,107833.5,95551.0,6,0,0,0.05066676094429555
V22,V022c,6,6,0,0,1.0,18997.5,13532.0,109457.5,90460.0,6,0,0,0.04649727867217716
V22,V13_R3,6,6,0,0,1.0,10213.166666666666,9438.0,123803.33333333333,113590.16666666667,6,0,0,0.04785173950949676
Adaptive_V14,V27,6,6,0,0,1.0,39286.333333333336,36239.0,81983.5,42697.166666666664,6,0,0,0.04242725233780156
Adaptive_V14,Stable12,6,0,0,6,0.0,-92093.5,-99719.0,61028.666666666664,153122.16666666666,6,0,0,0.04703249054728073
Adaptive_V14,V022c,6,0,0,6,0.0,-85769.33333333333,-88663.0,59667.666666666664,145437.0,6,0,0,0.04816815024241801
Adaptive_V14,V13_R3,6,0,0,6,0.0,-102505.33333333333,-105821.0,63278.833333333336,165784.16666666666,6,0,0,0.045940000563859884
V27,Stable12,6,0,0,6,0.0,-139960.5,-146186.0,38226.166666666664,178186.66666666666,6,0,0,0.047125114360824095
V27,V022c,6,0,0,6,0.0,-140121.5,-157391.0,35864.333333333336,175985.83333333334,6,0,0,0.053635920048691325
V27,V13_R3,6,0,0,6,0.0,-133951.0,-144573.0,40074.0,174025.0,6,0,0,0.05288529093377291
Stable12,V022c,6,6,0,0,1.0,156262.16666666666,14428.0,175690.5,19428.333333333332,6,0,0,0.05807024863315742
Stable12,V13_R3,6,0,0,6,0.0,-8321.833333333334,-12325.0,97202.0,105523.83333333333,6,0,0,0.04990156419808031
V022c,V13_R3,6,0,0,6,0.0,-14703.666666666666,-22532.0,92141.33333333333,106845.0,6,0,0,0.048654661222826606
