seed,seat,candidate_money,candidate_status,done,margin,opponent_money,opponent_status
17,0,126289.0,DONE,1,0.0,126289.0,DONE
17,1,126289.0,DONE,1,0.0,126289.0,DONE
42,0,129589.0,DONE,1,0.0,129589.0,DONE
42,1,129589.0,DONE,1,0.0,129589.0,DONE
217,0,106984.0,DONE,1,0.0,106984.0,DONE
217,1,106984.0,DONE,1,0.0,106984.0,DONE
317,0,116176.0,DONE,1,0.0,116176.0,DONE
317,1,116176.0,DONE,1,0.0,116176.0,DONE
733,0,143169.0,DONE,1,1005.0,142164.0,DONE
733,1,142164.0,DONE,1,-1005.0,143169.0,DONE
2026,0,103843.0,DONE,1,-36.0,103879.0,DONE
2026,1,103879.0,DONE,1,36.0,103843.0,DONE
