candidate_money,candidate_status,done,margin,opponent,opponent_money,opponent_status,seat,seed
162126.0,DONE,1,102828.0,02_adaptive_replay,59298.0,DONE,0,17
162126.0,DONE,1,102828.0,02_adaptive_replay,59298.0,DONE,1,17
189328.0,DONE,1,120570.0,02_adaptive_replay,68758.0,DONE,0,217
177514.0,DONE,1,113689.0,02_adaptive_replay,63825.0,DONE,1,217
175807.0,DONE,1,109699.0,02_adaptive_replay,66108.0,DONE,0,733
177326.0,DONE,1,110490.0,02_adaptive_replay,66836.0,DONE,1,733
162126.0,DONE,1,102828.0,84_public_holdout,59298.0,DONE,0,17
162126.0,DONE,1,102828.0,84_public_holdout,59298.0,DONE,1,17
189328.0,DONE,1,120570.0,84_public_holdout,68758.0,DONE,0,217
177514.0,DONE,1,113689.0,84_public_holdout,63825.0,DONE,1,217
175807.0,DONE,1,109699.0,84_public_holdout,66108.0,DONE,0,733
177326.0,DONE,1,110490.0,84_public_holdout,66836.0,DONE,1,733
162126.0,DONE,1,102828.0,adaptive_farming,59298.0,DONE,0,17
162126.0,DONE,1,102828.0,adaptive_farming,59298.0,DONE,1,17
189328.0,DONE,1,120570.0,adaptive_farming,68758.0,DONE,0,217
177514.0,DONE,1,113689.0,adaptive_farming,63825.0,DONE,1,217
175807.0,DONE,1,109699.0,adaptive_farming,66108.0,DONE,0,733
177326.0,DONE,1,110490.0,adaptive_farming,66836.0,DONE,1,733
162126.0,DONE,1,102828.0,adaptive_replay,59298.0,DONE,0,17
162126.0,DONE,1,102828.0,adaptive_replay,59298.0,DONE,1,17
189328.0,DONE,1,120570.0,adaptive_replay,68758.0,DONE,0,217
177514.0,DONE,1,113689.0,adaptive_replay,63825.0,DONE,1,217
175807.0,DONE,1,109699.0,adaptive_replay,66108.0,DONE,0,733
177326.0,DONE,1,110490.0,adaptive_replay,66836.0,DONE,1,733
116721.0,DONE,1,10778.0,frontier_soil,105943.0,DONE,0,17
116721.0,DONE,1,10778.0,frontier_soil,105943.0,DONE,1,17
172556.0,DONE,1,17253.0,frontier_soil,155303.0,DONE,0,217
175163.0,DONE,1,17598.0,frontier_soil,157565.0,DONE,1,217
131798.0,DONE,1,12936.0,frontier_soil,118862.0,DONE,0,733
131801.0,DONE,1,12755.0,frontier_soil,119046.0,DONE,1,733
115972.0,DONE,1,10968.0,high_score_pipeline,105004.0,DONE,0,17
115972.0,DONE,1,10968.0,high_score_pipeline,105004.0,DONE,1,17
172166.0,DONE,1,17719.0,high_score_pipeline,154447.0,DONE,0,217
174773.0,DONE,1,17717.0,high_score_pipeline,157056.0,DONE,1,217
130441.0,DONE,1,10505.0,high_score_pipeline,119936.0,DONE,0,733
130443.0,DONE,1,10298.0,high_score_pipeline,120145.0,DONE,1,733
162126.0,DONE,1,102828.0,rank_c45,59298.0,DONE,0,17
162126.0,DONE,1,102828.0,rank_c45,59298.0,DONE,1,17
189328.0,DONE,1,120570.0,rank_c45,68758.0,DONE,0,217
177514.0,DONE,1,113689.0,rank_c45,63825.0,DONE,1,217
175807.0,DONE,1,109699.0,rank_c45,66108.0,DONE,0,733
177326.0,DONE,1,110490.0,rank_c45,66836.0,DONE,1,733
162126.0,DONE,1,102828.0,strong_barnyard,59298.0,DONE,0,17
162126.0,DONE,1,102828.0,strong_barnyard,59298.0,DONE,1,17
189328.0,DONE,1,120570.0,strong_barnyard,68758.0,DONE,0,217
177514.0,DONE,1,113689.0,strong_barnyard,63825.0,DONE,1,217
175807.0,DONE,1,109699.0,strong_barnyard,66108.0,DONE,0,733
177326.0,DONE,1,110490.0,strong_barnyard,66836.0,DONE,1,733
130777.0,DONE,1,9443.0,top_meta,121334.0,DONE,0,17
130777.0,DONE,1,9443.0,top_meta,121334.0,DONE,1,17
109809.0,DONE,1,6777.0,top_meta,103032.0,DONE,0,217
109809.0,DONE,1,6777.0,top_meta,103032.0,DONE,1,217
147683.0,DONE,1,10299.0,top_meta,137384.0,DONE,0,733
146712.0,DONE,1,8347.0,top_meta,138365.0,DONE,1,733
