candidate,opponent,seed,seat,candidate_money,opponent_money,margin,result,candidate_status,opponent_status,game_done,action_calls,agent_errors,invalid_action_shapes,runtime_p50_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,wall_seconds,field_counts,market_counts,market_quantities
v006a_fertilizer_terminal,starter,17,0,92653.0,3477.0,89176.0,win,DONE,DONE,1,719,0,0,0.44875,1.2090077,1.6651714400000008,5.928459,2.2751075420019333,"{""BUILD_PASTURE"": 12, ""CARE"": 179, ""COLLECT_FERTILIZER"": 244, ""DIG"": 24, ""DROP"": 57, ""EAST"": 716, ""FEED"": 202, ""FERTILIZE"": 6, ""HARVEST"": 131, ""NORTH"": 956, ""PASS"": 3240, ""PICKUP"": 70, ""PLACE"": 12, ""PLANT"": 69, ""SOUTH"": 547, ""WATER"": 467, ""WEST"": 951}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 166, ""BUY_SEED"": 38, ""HIRE"": 316, ""SELL"": 132}","{""BUY_ANIMAL:COW"": 9, ""BUY_ANIMAL:SHEEP"": 3, ""BUY_PRODUCT:WHEAT"": 442, ""BUY_SEED:CARROT"": 10, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 38, ""BUY_SEED:WHEAT"": 26, ""SELL:CARROT"": 18, ""SELL:FERTILIZER"": 238, ""SELL:MELON"": 113, ""SELL:MILK"": 136, ""SELL:STRAWBERRY"": 85, ""SELL:WHEAT"": 290, ""SELL:WOOL"": 51}"
v006a_fertilizer_terminal,starter,17,1,94196.0,3491.0,90705.0,win,DONE,DONE,1,719,0,0,0.49025,1.1669506,1.4110093200000002,2.300625,2.216573582998535,"{""BUILD_PASTURE"": 12, ""CARE"": 188, ""COLLECT_FERTILIZER"": 246, ""DIG"": 24, ""DROP"": 52, ""EAST"": 668, ""FEED"": 204, ""FERTILIZE"": 8, ""HARVEST"": 139, ""NORTH"": 1027, ""PASS"": 3167, ""PICKUP"": 67, ""PLACE"": 12, ""PLANT"": 72, ""SOUTH"": 598, ""WATER"": 488, ""WEST"": 886}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 171, ""BUY_SEED"": 40, ""HIRE"": 315, ""SELL"": 131}","{""BUY_ANIMAL:COW"": 7, ""BUY_ANIMAL:SHEEP"": 5, ""BUY_PRODUCT:WHEAT"": 465, ""BUY_SEED:CARROT"": 9, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 39, ""BUY_SEED:WHEAT"": 28, ""SELL:CARROT"": 15, ""SELL:FERTILIZER"": 238, ""SELL:MELON"": 117, ""SELL:MILK"": 106, ""SELL:STRAWBERRY"": 94, ""SELL:WHEAT"": 315, ""SELL:WOOL"": 74}"
v006a_fertilizer_terminal,starter,42,0,91624.0,3505.0,88119.0,win,DONE,DONE,1,719,0,0,0.480083,1.1840336,1.4280068800000005,2.804083,2.2398075419987435,"{""BUILD_PASTURE"": 12, ""CARE"": 169, ""COLLECT_FERTILIZER"": 237, ""DIG"": 28, ""DROP"": 57, ""EAST"": 660, ""FEED"": 198, ""FERTILIZE"": 9, ""HARVEST"": 133, ""NORTH"": 1018, ""PASS"": 3245, ""PICKUP"": 67, ""PLACE"": 12, ""PLANT"": 74, ""SOUTH"": 568, ""WATER"": 495, ""WEST"": 899}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 165, ""BUY_SEED"": 43, ""HIRE"": 316, ""SELL"": 133}","{""BUY_ANIMAL:COW"": 9, ""BUY_ANIMAL:SHEEP"": 3, ""BUY_PRODUCT:WHEAT"": 436, ""BUY_SEED:CARROT"": 10, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 38, ""BUY_SEED:WHEAT"": 30, ""SELL:CARROT"": 18, ""SELL:FERTILIZER"": 228, ""SELL:MELON"": 119, ""SELL:MILK"": 126, ""SELL:STRAWBERRY"": 97, ""SELL:WHEAT"": 286, ""SELL:WOOL"": 52}"
v006a_fertilizer_terminal,starter,42,1,90617.0,3494.0,87123.0,win,DONE,DONE,1,719,0,0,0.4725,1.2096964000000001,1.4552537399999999,2.705625,2.265716750000138,"{""BUILD_PASTURE"": 12, ""CARE"": 129, ""COLLECT_FERTILIZER"": 204, ""DIG"": 24, ""DROP"": 57, ""EAST"": 647, ""FEED"": 185, ""FERTILIZE"": 6, ""HARVEST"": 131, ""NORTH"": 1025, ""PASS"": 3147, ""PICKUP"": 66, ""PLACE"": 12, ""PLANT"": 77, ""SOUTH"": 709, ""WATER"": 522, ""WEST"": 933}","{""BUY_ANIMAL"": 6, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 154, ""BUY_SEED"": 41, ""HIRE"": 316, ""SELL"": 128}","{""BUY_ANIMAL:COW"": 10, ""BUY_ANIMAL:SHEEP"": 2, ""BUY_PRODUCT:WHEAT"": 388, ""BUY_SEED:CARROT"": 10, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 39, ""BUY_SEED:WHEAT"": 26, ""SELL:CARROT"": 18, ""SELL:FERTILIZER"": 198, ""SELL:MELON"": 110, ""SELL:MILK"": 104, ""SELL:STRAWBERRY"": 111, ""SELL:WHEAT"": 247, ""SELL:WOOL"": 40}"
v006a_fertilizer_terminal,starter,2026,0,92618.0,3478.0,89140.0,win,DONE,DONE,1,719,0,0,0.482041,1.1771660000000002,1.4051770000000003,23.46725,2.2344930409999506,"{""BUILD_PASTURE"": 12, ""CARE"": 161, ""COLLECT_FERTILIZER"": 234, ""DIG"": 23, ""DROP"": 55, ""EAST"": 654, ""FEED"": 201, ""FERTILIZE"": 9, ""HARVEST"": 139, ""NORTH"": 1041, ""PASS"": 3140, ""PICKUP"": 70, ""PLACE"": 12, ""PLANT"": 78, ""SOUTH"": 625, ""WATER"": 514, ""WEST"": 867}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 155, ""BUY_SEED"": 42, ""HIRE"": 314, ""SELL"": 138}","{""BUY_ANIMAL:COW"": 6, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 456, ""BUY_SEED:CARROT"": 9, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 30, ""SELL:CARROT"": 15, ""SELL:FERTILIZER"": 225, ""SELL:MELON"": 113, ""SELL:MILK"": 85, ""SELL:STRAWBERRY"": 99, ""SELL:WHEAT"": 326, ""SELL:WOOL"": 90}"
v006a_fertilizer_terminal,starter,2026,1,92529.0,3478.0,89051.0,win,DONE,DONE,1,719,0,0,0.491334,1.1463964,1.3510530000000003,2.26775,2.247392833000049,"{""BUILD_PASTURE"": 12, ""CARE"": 162, ""COLLECT_FERTILIZER"": 234, ""DIG"": 23, ""DROP"": 55, ""EAST"": 655, ""FEED"": 201, ""FERTILIZE"": 9, ""HARVEST"": 139, ""NORTH"": 1042, ""PASS"": 3153, ""PICKUP"": 70, ""PLACE"": 12, ""PLANT"": 78, ""SOUTH"": 625, ""WATER"": 514, ""WEST"": 873}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 155, ""BUY_SEED"": 42, ""HIRE"": 315, ""SELL"": 138}","{""BUY_ANIMAL:COW"": 6, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 456, ""BUY_SEED:CARROT"": 9, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 30, ""SELL:CARROT"": 15, ""SELL:FERTILIZER"": 225, ""SELL:MELON"": 113, ""SELL:MILK"": 85, ""SELL:STRAWBERRY"": 99, ""SELL:WHEAT"": 326, ""SELL:WOOL"": 90}"
v006a_fertilizer_terminal,starter,217,0,94651.0,3487.0,91164.0,win,DONE,DONE,1,719,0,0,0.463583,1.1611837000000003,1.4237394400000005,20.339167,2.2430455419998907,"{""BUILD_PASTURE"": 12, ""CARE"": 180, ""COLLECT_FERTILIZER"": 238, ""DIG"": 24, ""DROP"": 58, ""EAST"": 662, ""FEED"": 200, ""FERTILIZE"": 7, ""HARVEST"": 135, ""NORTH"": 1049, ""PASS"": 3168, ""PICKUP"": 68, ""PLACE"": 13, ""PLANT"": 71, ""SOUTH"": 617, ""WATER"": 494, ""WEST"": 889}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 169, ""BUY_SEED"": 41, ""HIRE"": 316, ""SELL"": 128}","{""BUY_ANIMAL:COW"": 11, ""BUY_ANIMAL:SHEEP"": 2, ""BUY_PRODUCT:WHEAT"": 443, ""BUY_SEED:CARROT"": 10, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 38, ""BUY_SEED:WHEAT"": 26, ""SELL:CARROT"": 18, ""SELL:FERTILIZER"": 231, ""SELL:MELON"": 116, ""SELL:MILK"": 131, ""SELL:STRAWBERRY"": 100, ""SELL:WHEAT"": 290, ""SELL:WOOL"": 50}"
v006a_fertilizer_terminal,starter,217,1,104378.0,3487.0,100891.0,win,DONE,DONE,1,719,0,0,0.526459,1.2210044000000002,1.6660430000000093,7.659542,2.386854416999995,"{""BUILD_PASTURE"": 12, ""CARE"": 143, ""COLLECT_FERTILIZER"": 218, ""DIG"": 1, ""DROP"": 65, ""EAST"": 692, ""FEED"": 204, ""FERTILIZE"": 6, ""HARVEST"": 154, ""NORTH"": 1101, ""PASS"": 3061, ""PICKUP"": 65, ""PLACE"": 12, ""PLANT"": 80, ""SOUTH"": 729, ""WATER"": 558, ""WEST"": 896}","{""BUY_ANIMAL"": 6, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 169, ""BUY_SEED"": 40, ""HIRE"": 321, ""SELL"": 136}","{""BUY_ANIMAL:COW"": 10, ""BUY_ANIMAL:SHEEP"": 2, ""BUY_PRODUCT:WHEAT"": 464, ""BUY_SEED:CARROT"": 10, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 29, ""SELL:CARROT"": 18, ""SELL:FERTILIZER"": 212, ""SELL:MELON"": 109, ""SELL:MILK"": 129, ""SELL:STRAWBERRY"": 127, ""SELL:WHEAT"": 320, ""SELL:WOOL"": 44}"
v006a_fertilizer_terminal,starter,317,0,94396.0,3480.0,90916.0,win,DONE,DONE,1,719,0,0,0.473708,1.1622922000000002,1.3410487400000004,1.700625,2.2309060000006866,"{""BUILD_PASTURE"": 12, ""CARE"": 173, ""COLLECT_FERTILIZER"": 228, ""DIG"": 27, ""DROP"": 63, ""EAST"": 646, ""FEED"": 191, ""FERTILIZE"": 7, ""HARVEST"": 132, ""NORTH"": 1037, ""PASS"": 3187, ""PICKUP"": 66, ""PLACE"": 12, ""PLANT"": 73, ""SOUTH"": 642, ""WATER"": 501, ""WEST"": 866}","{""BUY_ANIMAL"": 6, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 159, ""BUY_SEED"": 42, ""HIRE"": 315, ""SELL"": 132}","{""BUY_ANIMAL:COW"": 10, ""BUY_ANIMAL:SHEEP"": 2, ""BUY_PRODUCT:WHEAT"": 394, ""BUY_SEED:CARROT"": 10, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 39, ""BUY_SEED:WHEAT"": 26, ""SELL:CARROT"": 18, ""SELL:FERTILIZER"": 221, ""SELL:MELON"": 117, ""SELL:MILK"": 126, ""SELL:STRAWBERRY"": 99, ""SELL:WHEAT"": 250, ""SELL:WOOL"": 47}"
v006a_fertilizer_terminal,starter,317,1,94401.0,3480.0,90921.0,win,DONE,DONE,1,719,0,0,0.467125,1.1823955,1.4757010000000008,2.271833,2.235966083000676,"{""BUILD_PASTURE"": 12, ""CARE"": 173, ""COLLECT_FERTILIZER"": 228, ""DIG"": 27, ""DROP"": 62, ""EAST"": 645, ""FEED"": 191, ""FERTILIZE"": 7, ""HARVEST"": 132, ""NORTH"": 1033, ""PASS"": 3175, ""PICKUP"": 66, ""PLACE"": 12, ""PLANT"": 73, ""SOUTH"": 638, ""WATER"": 501, ""WEST"": 866}","{""BUY_ANIMAL"": 6, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 159, ""BUY_SEED"": 42, ""HIRE"": 314, ""SELL"": 132}","{""BUY_ANIMAL:COW"": 10, ""BUY_ANIMAL:SHEEP"": 2, ""BUY_PRODUCT:WHEAT"": 394, ""BUY_SEED:CARROT"": 10, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 39, ""BUY_SEED:WHEAT"": 26, ""SELL:CARROT"": 18, ""SELL:FERTILIZER"": 221, ""SELL:MELON"": 117, ""SELL:MILK"": 126, ""SELL:STRAWBERRY"": 99, ""SELL:WHEAT"": 250, ""SELL:WOOL"": 47}"
