candidate,opponent,seed,seat,candidate_money,opponent_money,margin,result,candidate_status,opponent_status,game_done,action_calls,agent_errors,invalid_action_shapes,runtime_p50_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,wall_seconds,field_counts,market_counts,market_quantities
v006b_livestock_only,starter,17,0,140216.0,3481.0,136735.0,win,DONE,DONE,1,719,0,0,0.629542,1.1514414,1.321027380000002,1.459375,2.245733209001628,"{""BUILD_PASTURE"": 13, ""CARE"": 252, ""COLLECT_FERTILIZER"": 287, ""DIG"": 18, ""DROP"": 100, ""EAST"": 913, ""FEED"": 269, ""HARVEST"": 195, ""NORTH"": 1338, ""PASS"": 1581, ""PICKUP"": 83, ""PLACE"": 13, ""PLANT"": 96, ""SOUTH"": 982, ""WATER"": 707, ""WEST"": 1145}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 210, ""BUY_SEED"": 44, ""HIRE"": 321, ""SELL"": 190}","{""BUY_ANIMAL:COW"": 10, ""BUY_ANIMAL:SHEEP"": 3, ""BUY_PRODUCT:WHEAT"": 583, ""BUY_SEED:CARROT"": 10, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 36, ""BUY_SEED:WHEAT"": 31, ""SELL:CARROT"": 27, ""SELL:FERTILIZER"": 287, ""SELL:MELON"": 120, ""SELL:MILK"": 229, ""SELL:STRAWBERRY"": 120, ""SELL:WHEAT"": 422, ""SELL:WOOL"": 82}"
v006b_livestock_only,starter,17,1,139416.0,3495.0,135921.0,win,DONE,DONE,1,719,0,0,0.619625,1.1321581000000003,1.3038931800000009,1.40275,2.2446113750011136,"{""BUILD_PASTURE"": 13, ""CARE"": 262, ""COLLECT_FERTILIZER"": 291, ""DIG"": 17, ""DROP"": 101, ""EAST"": 941, ""FEED"": 273, ""HARVEST"": 208, ""NORTH"": 1311, ""PASS"": 1594, ""PICKUP"": 82, ""PLACE"": 13, ""PLANT"": 102, ""SOUTH"": 959, ""WATER"": 714, ""WEST"": 1168}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 209, ""BUY_SEED"": 53, ""HIRE"": 324, ""SELL"": 208}","{""BUY_ANIMAL:COW"": 7, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 630, ""BUY_SEED:CARROT"": 12, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 36, ""BUY_SEED:WHEAT"": 34, ""SELL:CARROT"": 36, ""SELL:FERTILIZER"": 291, ""SELL:MELON"": 120, ""SELL:MILK"": 176, ""SELL:STRAWBERRY"": 124, ""SELL:WHEAT"": 467, ""SELL:WOOL"": 153}"
v006b_livestock_only,starter,42,0,142433.0,3495.0,138938.0,win,DONE,DONE,1,719,0,0,0.626292,1.1419919000000003,1.3295088200000005,1.518166,2.243555124998238,"{""BUILD_PASTURE"": 13, ""CARE"": 257, ""COLLECT_FERTILIZER"": 285, ""DIG"": 22, ""DROP"": 93, ""EAST"": 936, ""FEED"": 283, ""HARVEST"": 202, ""NORTH"": 1261, ""PASS"": 1612, ""PICKUP"": 83, ""PLACE"": 13, ""PLANT"": 99, ""SOUTH"": 965, ""WATER"": 695, ""WEST"": 1167}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 218, ""BUY_SEED"": 46, ""HIRE"": 321, ""SELL"": 189}","{""BUY_ANIMAL:COW"": 10, ""BUY_ANIMAL:SHEEP"": 3, ""BUY_PRODUCT:WHEAT"": 579, ""BUY_SEED:CARROT"": 11, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 36, ""BUY_SEED:WHEAT"": 34, ""SELL:CARROT"": 27, ""SELL:FERTILIZER"": 285, ""SELL:MELON"": 118, ""SELL:MILK"": 252, ""SELL:STRAWBERRY"": 117, ""SELL:WHEAT"": 409, ""SELL:WOOL"": 84}"
v006b_livestock_only,starter,42,1,139258.0,3497.0,135761.0,win,DONE,DONE,1,719,0,0,0.61575,1.1658289000000002,1.3981437400000007,3.869042,2.319387250001455,"{""BUILD_PASTURE"": 13, ""CARE"": 249, ""COLLECT_FERTILIZER"": 291, ""DIG"": 23, ""DROP"": 84, ""EAST"": 897, ""FEED"": 271, ""HARVEST"": 197, ""NORTH"": 1270, ""PASS"": 1606, ""PICKUP"": 85, ""PLACE"": 13, ""PLANT"": 99, ""SOUTH"": 958, ""WATER"": 721, ""WEST"": 1165}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 208, ""BUY_SEED"": 48, ""HIRE"": 319, ""SELL"": 189}","{""BUY_ANIMAL:COW"": 10, ""BUY_ANIMAL:SHEEP"": 3, ""BUY_PRODUCT:WHEAT"": 568, ""BUY_SEED:CARROT"": 13, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 36, ""BUY_SEED:WHEAT"": 34, ""SELL:CARROT"": 30, ""SELL:FERTILIZER"": 291, ""SELL:MELON"": 115, ""SELL:MILK"": 233, ""SELL:STRAWBERRY"": 115, ""SELL:WHEAT"": 409, ""SELL:WOOL"": 75}"
v006b_livestock_only,starter,2026,0,134094.0,3493.0,130601.0,win,DONE,DONE,1,719,0,0,0.632541,1.1628542000000002,1.3912825600000003,19.329875,2.2926761669987172,"{""BUILD_PASTURE"": 13, ""CARE"": 256, ""COLLECT_FERTILIZER"": 286, ""DIG"": 19, ""DROP"": 95, ""EAST"": 904, ""FEED"": 272, ""HARVEST"": 197, ""NORTH"": 1363, ""PASS"": 1566, ""PICKUP"": 87, ""PLACE"": 13, ""PLANT"": 108, ""SOUTH"": 1018, ""WATER"": 719, ""WEST"": 1154}","{""BUY_ANIMAL"": 8, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 216, ""BUY_SEED"": 57, ""HIRE"": 325, ""SELL"": 190}","{""BUY_ANIMAL:COW"": 5, ""BUY_ANIMAL:SHEEP"": 8, ""BUY_PRODUCT:WHEAT"": 576, ""BUY_SEED:CARROT"": 14, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 36, ""BUY_SEED:WHEAT"": 41, ""SELL:CARROT"": 33, ""SELL:FERTILIZER"": 286, ""SELL:MELON"": 119, ""SELL:MILK"": 126, ""SELL:STRAWBERRY"": 119, ""SELL:WHEAT"": 417, ""SELL:WOOL"": 187}"
v006b_livestock_only,starter,2026,1,136148.0,3491.0,132657.0,win,DONE,DONE,1,719,0,0,0.633625,1.1149211,1.32255562,39.643125,2.265302250001696,"{""BUILD_PASTURE"": 13, ""CARE"": 265, ""COLLECT_FERTILIZER"": 285, ""DIG"": 19, ""DROP"": 104, ""EAST"": 893, ""FEED"": 276, ""HARVEST"": 202, ""NORTH"": 1330, ""PASS"": 1605, ""PICKUP"": 88, ""PLACE"": 13, ""PLANT"": 102, ""SOUTH"": 994, ""WATER"": 708, ""WEST"": 1151}","{""BUY_ANIMAL"": 8, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 219, ""BUY_SEED"": 54, ""HIRE"": 324, ""SELL"": 212}","{""BUY_ANIMAL:COW"": 5, ""BUY_ANIMAL:SHEEP"": 8, ""BUY_PRODUCT:WHEAT"": 580, ""BUY_SEED:CARROT"": 12, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 36, ""BUY_SEED:WHEAT"": 36, ""SELL:CARROT"": 33, ""SELL:FERTILIZER"": 285, ""SELL:MELON"": 119, ""SELL:MILK"": 131, ""SELL:STRAWBERRY"": 119, ""SELL:WHEAT"": 426, ""SELL:WOOL"": 187}"
v006b_livestock_only,starter,217,0,132016.0,3497.0,128519.0,win,DONE,DONE,1,719,0,0,0.62,1.1429587,1.3568589400000004,1.791916,2.2561518750007963,"{""BUILD_PASTURE"": 13, ""CARE"": 240, ""COLLECT_FERTILIZER"": 291, ""DIG"": 19, ""DROP"": 96, ""EAST"": 905, ""FEED"": 275, ""HARVEST"": 201, ""NORTH"": 1309, ""PASS"": 1635, ""PICKUP"": 82, ""PLACE"": 13, ""PLANT"": 100, ""SOUTH"": 945, ""WATER"": 694, ""WEST"": 1166}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 204, ""BUY_SEED"": 45, ""HIRE"": 321, ""SELL"": 194}","{""BUY_ANIMAL:COW"": 10, ""BUY_ANIMAL:SHEEP"": 3, ""BUY_PRODUCT:WHEAT"": 576, ""BUY_SEED:CARROT"": 12, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 36, ""BUY_SEED:WHEAT"": 33, ""SELL:CARROT"": 33, ""SELL:FERTILIZER"": 291, ""SELL:MELON"": 119, ""SELL:MILK"": 233, ""SELL:STRAWBERRY"": 117, ""SELL:WHEAT"": 414, ""SELL:WOOL"": 78}"
v006b_livestock_only,starter,217,1,138327.0,3485.0,134842.0,win,DONE,DONE,1,719,0,0,0.630625,1.1449164,1.330439440000001,3.081,2.2725909590008087,"{""BUILD_PASTURE"": 13, ""CARE"": 253, ""COLLECT_FERTILIZER"": 287, ""DIG"": 26, ""DROP"": 88, ""EAST"": 962, ""FEED"": 272, ""HARVEST"": 194, ""NORTH"": 1287, ""PASS"": 1549, ""PICKUP"": 86, ""PLACE"": 13, ""PLANT"": 99, ""SOUTH"": 969, ""WATER"": 695, ""WEST"": 1194}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 201, ""BUY_SEED"": 48, ""HIRE"": 321, ""SELL"": 184}","{""BUY_ANIMAL:COW"": 9, ""BUY_ANIMAL:SHEEP"": 4, ""BUY_PRODUCT:WHEAT"": 571, ""BUY_SEED:CARROT"": 12, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 36, ""BUY_SEED:WHEAT"": 36, ""SELL:CARROT"": 30, ""SELL:FERTILIZER"": 287, ""SELL:MELON"": 115, ""SELL:MILK"": 208, ""SELL:STRAWBERRY"": 117, ""SELL:WHEAT"": 415, ""SELL:WOOL"": 97}"
v006b_livestock_only,starter,317,0,132290.0,3475.0,128815.0,win,DONE,DONE,1,719,0,0,0.61,1.1702753000000001,1.3305919400000001,1.642209,2.2308111250022193,"{""BUILD_PASTURE"": 13, ""CARE"": 263, ""COLLECT_FERTILIZER"": 290, ""DIG"": 21, ""DROP"": 87, ""EAST"": 914, ""FEED"": 272, ""HARVEST"": 199, ""NORTH"": 1263, ""PASS"": 1665, ""PICKUP"": 85, ""PLACE"": 13, ""PLANT"": 100, ""SOUTH"": 945, ""WATER"": 694, ""WEST"": 1139}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 210, ""BUY_SEED"": 45, ""HIRE"": 320, ""SELL"": 183}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 5, ""BUY_PRODUCT:WHEAT"": 570, ""BUY_SEED:CARROT"": 13, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 36, ""BUY_SEED:WHEAT"": 33, ""SELL:CARROT"": 33, ""SELL:FERTILIZER"": 290, ""SELL:MELON"": 112, ""SELL:MILK"": 203, ""SELL:STRAWBERRY"": 113, ""SELL:WHEAT"": 411, ""SELL:WOOL"": 117}"
v006b_livestock_only,starter,317,1,131924.0,3475.0,128449.0,win,DONE,DONE,1,719,0,0,0.621125,1.1693,1.2994180600000003,1.553208,2.264275292000093,"{""BUILD_PASTURE"": 13, ""CARE"": 258, ""COLLECT_FERTILIZER"": 289, ""DIG"": 10, ""DROP"": 92, ""EAST"": 889, ""FEED"": 272, ""HARVEST"": 199, ""NORTH"": 1313, ""PASS"": 1689, ""PICKUP"": 85, ""PLACE"": 13, ""PLANT"": 100, ""SOUTH"": 985, ""WATER"": 691, ""WEST"": 1109}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 208, ""BUY_SEED"": 45, ""HIRE"": 322, ""SELL"": 182}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 5, ""BUY_PRODUCT:WHEAT"": 572, ""BUY_SEED:CARROT"": 13, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 36, ""BUY_SEED:WHEAT"": 33, ""SELL:CARROT"": 33, ""SELL:FERTILIZER"": 289, ""SELL:MELON"": 112, ""SELL:MILK"": 202, ""SELL:STRAWBERRY"": 113, ""SELL:WHEAT"": 413, ""SELL:WOOL"": 117}"
