candidate,opponent,seed,seat,candidate_money,opponent_money,margin,result,candidate_status,opponent_status,game_done,action_calls,agent_errors,invalid_action_shapes,runtime_p50_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,wall_seconds,field_counts,market_counts,market_quantities
v006b_livestock_wheat,starter,17,0,138709.0,3507.0,135202.0,win,DONE,DONE,1,719,0,0,0.657958,1.2508417,1.504732560000002,2.551416,2.4717260830002488,"{""BUILD_PASTURE"": 13, ""CARE"": 241, ""COLLECT_FERTILIZER"": 289, ""DIG"": 14, ""DROP"": 150, ""EAST"": 895, ""FEED"": 272, ""HARVEST"": 190, ""NORTH"": 1312, ""PASS"": 1599, ""PICKUP"": 88, ""PLACE"": 13, ""PLANT"": 93, ""SOUTH"": 1003, ""WATER"": 663, ""WEST"": 1134}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 209, ""BUY_SEED"": 48, ""HIRE"": 320, ""SELL"": 208}","{""BUY_ANIMAL:COW"": 10, ""BUY_ANIMAL:SHEEP"": 3, ""BUY_PRODUCT:WHEAT"": 701, ""BUY_SEED:CARROT"": 10, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 36, ""BUY_SEED:WHEAT"": 32, ""SELL:CARROT"": 21, ""SELL:FERTILIZER"": 289, ""SELL:MELON"": 116, ""SELL:MILK"": 240, ""SELL:STRAWBERRY"": 121, ""SELL:WHEAT"": 529, ""SELL:WOOL"": 75}"
v006b_livestock_wheat,starter,17,1,144742.0,3487.0,141255.0,win,DONE,DONE,1,719,0,0,0.660542,1.2291536000000003,1.4900969400000028,2.30975,2.384615541999665,"{""BUILD_PASTURE"": 13, ""CARE"": 254, ""COLLECT_FERTILIZER"": 292, ""DIG"": 16, ""DROP"": 153, ""EAST"": 871, ""FEED"": 275, ""HARVEST"": 198, ""NORTH"": 1295, ""PASS"": 1638, ""PICKUP"": 87, ""PLACE"": 13, ""PLANT"": 94, ""SOUTH"": 1002, ""WATER"": 670, ""WEST"": 1140}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 202, ""BUY_SEED"": 51, ""HIRE"": 322, ""SELL"": 221}","{""BUY_ANIMAL:COW"": 11, ""BUY_ANIMAL:SHEEP"": 2, ""BUY_PRODUCT:WHEAT"": 704, ""BUY_SEED:CARROT"": 11, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 36, ""BUY_SEED:WHEAT"": 33, ""SELL:CARROT"": 24, ""SELL:FERTILIZER"": 292, ""SELL:MELON"": 112, ""SELL:MILK"": 254, ""SELL:STRAWBERRY"": 118, ""SELL:WHEAT"": 534, ""SELL:WOOL"": 65}"
v006b_livestock_wheat,starter,42,0,128452.0,3485.0,124967.0,win,DONE,DONE,1,719,0,0,0.660292,1.2726625,1.5860526200000011,16.550209,2.411603084001399,"{""BUILD_PASTURE"": 13, ""CARE"": 235, ""COLLECT_FERTILIZER"": 281, ""DIG"": 15, ""DROP"": 124, ""EAST"": 845, ""FEED"": 270, ""HARVEST"": 193, ""NORTH"": 1341, ""PASS"": 1635, ""PICKUP"": 89, ""PLACE"": 13, ""PLANT"": 97, ""SOUTH"": 1021, ""WATER"": 697, ""WEST"": 1121}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 205, ""BUY_SEED"": 53, ""HIRE"": 321, ""SELL"": 205}","{""BUY_ANIMAL:COW"": 9, ""BUY_ANIMAL:SHEEP"": 4, ""BUY_PRODUCT:WHEAT"": 693, ""BUY_SEED:CARROT"": 13, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 36, ""BUY_SEED:WHEAT"": 34, ""SELL:CARROT"": 30, ""SELL:FERTILIZER"": 281, ""SELL:MELON"": 111, ""SELL:MILK"": 204, ""SELL:STRAWBERRY"": 122, ""SELL:WHEAT"": 529, ""SELL:WOOL"": 96}"
v006b_livestock_wheat,starter,42,1,139729.0,3477.0,136252.0,win,DONE,DONE,1,719,0,0,0.664125,1.2149497000000002,1.5736060000000007,3.4045,2.4250716249989637,"{""BUILD_PASTURE"": 13, ""CARE"": 253, ""COLLECT_FERTILIZER"": 292, ""DIG"": 18, ""DROP"": 125, ""EAST"": 879, ""FEED"": 272, ""HARVEST"": 203, ""NORTH"": 1348, ""PASS"": 1584, ""PICKUP"": 88, ""PLACE"": 13, ""PLANT"": 94, ""SOUTH"": 999, ""WATER"": 703, ""WEST"": 1127}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 205, ""BUY_SEED"": 50, ""HIRE"": 322, ""SELL"": 215}","{""BUY_ANIMAL:COW"": 10, ""BUY_ANIMAL:SHEEP"": 3, ""BUY_PRODUCT:WHEAT"": 730, ""BUY_SEED:CARROT"": 10, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 36, ""BUY_SEED:WHEAT"": 33, ""SELL:CARROT"": 21, ""SELL:FERTILIZER"": 292, ""SELL:MELON"": 117, ""SELL:MILK"": 231, ""SELL:STRAWBERRY"": 121, ""SELL:WHEAT"": 568, ""SELL:WOOL"": 81}"
v006b_livestock_wheat,starter,2026,0,130044.0,3478.0,126566.0,win,DONE,DONE,1,719,0,0,0.65125,1.2186956,1.4034994400000005,1.695667,2.3942007920013566,"{""BUILD_PASTURE"": 13, ""CARE"": 260, ""COLLECT_FERTILIZER"": 284, ""DIG"": 21, ""DROP"": 139, ""EAST"": 878, ""FEED"": 271, ""HARVEST"": 183, ""NORTH"": 1262, ""PASS"": 1620, ""PICKUP"": 90, ""PLACE"": 13, ""PLANT"": 89, ""SOUTH"": 959, ""WATER"": 643, ""WEST"": 1111}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 215, ""BUY_SEED"": 54, ""HIRE"": 314, ""SELL"": 219}","{""BUY_ANIMAL:COW"": 7, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 700, ""BUY_SEED:CARROT"": 9, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 36, ""BUY_SEED:WHEAT"": 37, ""SELL:CARROT"": 15, ""SELL:FERTILIZER"": 284, ""SELL:MELON"": 116, ""SELL:MILK"": 162, ""SELL:STRAWBERRY"": 114, ""SELL:WHEAT"": 518, ""SELL:WOOL"": 150}"
v006b_livestock_wheat,starter,2026,1,133256.0,3497.0,129759.0,win,DONE,DONE,1,719,0,0,0.669,1.2325327,1.4645148800000014,25.146541,2.4104945420003787,"{""BUILD_PASTURE"": 13, ""CARE"": 241, ""COLLECT_FERTILIZER"": 289, ""DIG"": 14, ""DROP"": 143, ""EAST"": 958, ""FEED"": 273, ""HARVEST"": 200, ""NORTH"": 1288, ""PASS"": 1583, ""PICKUP"": 89, ""PLACE"": 13, ""PLANT"": 95, ""SOUTH"": 977, ""WATER"": 669, ""WEST"": 1163}","{""BUY_ANIMAL"": 8, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 217, ""BUY_SEED"": 52, ""HIRE"": 322, ""SELL"": 217}","{""BUY_ANIMAL:COW"": 9, ""BUY_ANIMAL:SHEEP"": 4, ""BUY_PRODUCT:WHEAT"": 702, ""BUY_SEED:CARROT"": 10, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 36, ""BUY_SEED:WHEAT"": 35, ""SELL:CARROT"": 24, ""SELL:FERTILIZER"": 289, ""SELL:MELON"": 114, ""SELL:MILK"": 212, ""SELL:STRAWBERRY"": 120, ""SELL:WHEAT"": 536, ""SELL:WOOL"": 100}"
v006b_livestock_wheat,starter,217,0,142552.0,3487.0,139065.0,win,DONE,DONE,1,719,0,0,0.64125,1.2171420000000002,1.5461350000000003,5.223792,2.5067844170007447,"{""BUILD_PASTURE"": 13, ""CARE"": 251, ""COLLECT_FERTILIZER"": 290, ""DIG"": 12, ""DROP"": 144, ""EAST"": 903, ""FEED"": 277, ""HARVEST"": 197, ""NORTH"": 1292, ""PASS"": 1634, ""PICKUP"": 86, ""PLACE"": 13, ""PLANT"": 93, ""SOUTH"": 953, ""WATER"": 691, ""WEST"": 1141}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 214, ""BUY_SEED"": 49, ""HIRE"": 321, ""SELL"": 213}","{""BUY_ANIMAL:COW"": 9, ""BUY_ANIMAL:SHEEP"": 4, ""BUY_PRODUCT:WHEAT"": 712, ""BUY_SEED:CARROT"": 11, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 36, ""BUY_SEED:WHEAT"": 31, ""SELL:CARROT"": 24, ""SELL:FERTILIZER"": 290, ""SELL:MELON"": 117, ""SELL:MILK"": 229, ""SELL:STRAWBERRY"": 120, ""SELL:WHEAT"": 532, ""SELL:WOOL"": 91}"
v006b_livestock_wheat,starter,217,1,141431.0,3497.0,137934.0,win,DONE,DONE,1,719,0,0,0.67425,1.244259,1.5267398800000007,1.836,2.4031554169996525,"{""BUILD_PASTURE"": 13, ""CARE"": 254, ""COLLECT_FERTILIZER"": 287, ""DIG"": 19, ""DROP"": 136, ""EAST"": 870, ""FEED"": 269, ""HARVEST"": 197, ""NORTH"": 1304, ""PASS"": 1611, ""PICKUP"": 87, ""PLACE"": 13, ""PLANT"": 95, ""SOUTH"": 1005, ""WATER"": 687, ""WEST"": 1184}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 215, ""BUY_SEED"": 49, ""HIRE"": 323, ""SELL"": 209}","{""BUY_ANIMAL:COW"": 10, ""BUY_ANIMAL:SHEEP"": 3, ""BUY_PRODUCT:WHEAT"": 728, ""BUY_SEED:CARROT"": 10, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 36, ""BUY_SEED:WHEAT"": 32, ""SELL:CARROT"": 21, ""SELL:FERTILIZER"": 287, ""SELL:MELON"": 114, ""SELL:MILK"": 243, ""SELL:STRAWBERRY"": 120, ""SELL:WHEAT"": 562, ""SELL:WOOL"": 77}"
v006b_livestock_wheat,starter,317,0,126299.0,3506.0,122793.0,win,DONE,DONE,1,719,0,0,0.65875,1.2464336,1.43819762,1.717208,2.4083848750015022,"{""BUILD_PASTURE"": 13, ""CARE"": 251, ""COLLECT_FERTILIZER"": 288, ""DIG"": 19, ""DROP"": 132, ""EAST"": 910, ""FEED"": 270, ""HARVEST"": 192, ""NORTH"": 1261, ""PASS"": 1661, ""PICKUP"": 85, ""PLACE"": 13, ""PLANT"": 95, ""SOUTH"": 944, ""WATER"": 691, ""WEST"": 1140}","{""BUY_ANIMAL"": 8, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 198, ""BUY_SEED"": 54, ""HIRE"": 320, ""SELL"": 211}","{""BUY_ANIMAL:COW"": 5, ""BUY_ANIMAL:SHEEP"": 8, ""BUY_PRODUCT:WHEAT"": 738, ""BUY_SEED:CARROT"": 11, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 36, ""BUY_SEED:WHEAT"": 36, ""SELL:CARROT"": 24, ""SELL:FERTILIZER"": 288, ""SELL:MELON"": 116, ""SELL:MILK"": 137, ""SELL:STRAWBERRY"": 116, ""SELL:WHEAT"": 571, ""SELL:WOOL"": 178}"
v006b_livestock_wheat,starter,317,1,126299.0,3506.0,122793.0,win,DONE,DONE,1,719,0,0,0.669875,1.2654786,1.5770825600000005,3.324542,2.434156292001717,"{""BUILD_PASTURE"": 13, ""CARE"": 251, ""COLLECT_FERTILIZER"": 288, ""DIG"": 21, ""DROP"": 132, ""EAST"": 910, ""FEED"": 270, ""HARVEST"": 192, ""NORTH"": 1261, ""PASS"": 1659, ""PICKUP"": 85, ""PLACE"": 13, ""PLANT"": 95, ""SOUTH"": 944, ""WATER"": 691, ""WEST"": 1140}","{""BUY_ANIMAL"": 8, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 198, ""BUY_SEED"": 54, ""HIRE"": 320, ""SELL"": 211}","{""BUY_ANIMAL:COW"": 5, ""BUY_ANIMAL:SHEEP"": 8, ""BUY_PRODUCT:WHEAT"": 738, ""BUY_SEED:CARROT"": 11, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 36, ""BUY_SEED:WHEAT"": 36, ""SELL:CARROT"": 24, ""SELL:FERTILIZER"": 288, ""SELL:MELON"": 116, ""SELL:MILK"": 137, ""SELL:STRAWBERRY"": 116, ""SELL:WHEAT"": 571, ""SELL:WOOL"": 178}"
