candidate,opponent,seed,seat,candidate_money,opponent_money,margin,result,candidate_status,opponent_status,game_done,action_calls,agent_errors,invalid_action_shapes,runtime_p50_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,wall_seconds,field_counts,market_counts,market_quantities
v006b_wheat_only,starter,17,0,139567.0,3507.0,136060.0,win,DONE,DONE,1,719,0,0,0.62075,1.1194499999999998,1.3554213800000017,39.789,2.2636826660018414,"{""BUILD_PASTURE"": 12, ""CARE"": 236, ""COLLECT_FERTILIZER"": 274, ""DIG"": 15, ""DROP"": 111, ""EAST"": 882, ""FEED"": 262, ""HARVEST"": 199, ""NORTH"": 1402, ""PASS"": 1649, ""PICKUP"": 67, ""PLACE"": 12, ""PLANT"": 98, ""SOUTH"": 993, ""WATER"": 703, ""WEST"": 1070}","{""BUY_ANIMAL"": 6, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 200, ""BUY_SEED"": 49, ""HIRE"": 321, ""SELL"": 208}","{""BUY_ANIMAL:COW"": 10, ""BUY_ANIMAL:SHEEP"": 2, ""BUY_PRODUCT:WHEAT"": 633, ""BUY_SEED:CARROT"": 11, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 33, ""SELL:CARROT"": 24, ""SELL:FERTILIZER"": 274, ""SELL:MELON"": 115, ""SELL:MILK"": 240, ""SELL:STRAWBERRY"": 124, ""SELL:WHEAT"": 482, ""SELL:WOOL"": 66}"
v006b_wheat_only,starter,17,1,146287.0,3481.0,142806.0,win,DONE,DONE,1,719,0,0,0.631667,1.1262625000000002,1.31065444,1.40675,2.2226185420004185,"{""BUILD_PASTURE"": 12, ""CARE"": 233, ""COLLECT_FERTILIZER"": 271, ""DIG"": 17, ""DROP"": 121, ""EAST"": 921, ""FEED"": 260, ""HARVEST"": 205, ""NORTH"": 1309, ""PASS"": 1609, ""PICKUP"": 70, ""PLACE"": 12, ""PLANT"": 103, ""SOUTH"": 973, ""WATER"": 710, ""WEST"": 1163}","{""BUY_ANIMAL"": 6, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 210, ""BUY_SEED"": 54, ""HIRE"": 321, ""SELL"": 207}","{""BUY_ANIMAL:COW"": 10, ""BUY_ANIMAL:SHEEP"": 2, ""BUY_PRODUCT:WHEAT"": 660, ""BUY_SEED:CARROT"": 13, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 35, ""SELL:CARROT"": 33, ""SELL:FERTILIZER"": 271, ""SELL:MELON"": 113, ""SELL:MILK"": 243, ""SELL:STRAWBERRY"": 128, ""SELL:WHEAT"": 514, ""SELL:WOOL"": 66}"
v006b_wheat_only,starter,42,0,133286.0,3475.0,129811.0,win,DONE,DONE,1,719,0,0,0.608084,1.1181375,1.291031380000001,39.344333,2.23775166699852,"{""BUILD_PASTURE"": 12, ""CARE"": 231, ""COLLECT_FERTILIZER"": 272, ""DIG"": 20, ""DROP"": 104, ""EAST"": 845, ""FEED"": 255, ""HARVEST"": 199, ""NORTH"": 1343, ""PASS"": 1708, ""PICKUP"": 71, ""PLACE"": 12, ""PLANT"": 103, ""SOUTH"": 976, ""WATER"": 749, ""WEST"": 1086}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 202, ""BUY_SEED"": 53, ""HIRE"": 321, ""SELL"": 201}","{""BUY_ANIMAL:COW"": 9, ""BUY_ANIMAL:SHEEP"": 3, ""BUY_PRODUCT:WHEAT"": 651, ""BUY_SEED:CARROT"": 11, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 35, ""SELL:CARROT"": 33, ""SELL:FERTILIZER"": 272, ""SELL:MELON"": 116, ""SELL:MILK"": 215, ""SELL:STRAWBERRY"": 126, ""SELL:WHEAT"": 517, ""SELL:WOOL"": 79}"
v006b_wheat_only,starter,42,1,134410.0,3483.0,130927.0,win,DONE,DONE,1,719,0,0,0.632625,1.1403253000000002,1.4231761800000013,5.108875,2.2813081670028623,"{""BUILD_PASTURE"": 12, ""CARE"": 234, ""COLLECT_FERTILIZER"": 271, ""DIG"": 17, ""DROP"": 116, ""EAST"": 895, ""FEED"": 257, ""HARVEST"": 203, ""NORTH"": 1338, ""PASS"": 1651, ""PICKUP"": 70, ""PLACE"": 12, ""PLANT"": 102, ""SOUTH"": 986, ""WATER"": 739, ""WEST"": 1108}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 205, ""BUY_SEED"": 55, ""HIRE"": 322, ""SELL"": 207}","{""BUY_ANIMAL:COW"": 9, ""BUY_ANIMAL:SHEEP"": 3, ""BUY_PRODUCT:WHEAT"": 650, ""BUY_SEED:CARROT"": 12, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 37, ""SELL:CARROT"": 27, ""SELL:FERTILIZER"": 271, ""SELL:MELON"": 119, ""SELL:MILK"": 216, ""SELL:STRAWBERRY"": 128, ""SELL:WHEAT"": 514, ""SELL:WOOL"": 74}"
v006b_wheat_only,starter,2026,0,127286.0,3487.0,123799.0,win,DONE,DONE,1,719,0,0,0.6225,1.0917833000000001,1.2665250600000002,1.462542,2.211276333000569,"{""BUILD_PASTURE"": 12, ""CARE"": 247, ""COLLECT_FERTILIZER"": 270, ""DIG"": 17, ""DROP"": 112, ""EAST"": 923, ""FEED"": 258, ""HARVEST"": 190, ""NORTH"": 1256, ""PASS"": 1637, ""PICKUP"": 72, ""PLACE"": 12, ""PLANT"": 95, ""SOUTH"": 969, ""WATER"": 678, ""WEST"": 1099}","{""BUY_ANIMAL"": 6, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 192, ""BUY_SEED"": 53, ""HIRE"": 315, ""SELL"": 215}","{""BUY_ANIMAL:COW"": 6, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 643, ""BUY_SEED:CARROT"": 11, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 35, ""SELL:CARROT"": 23, ""SELL:FERTILIZER"": 270, ""SELL:MELON"": 116, ""SELL:MILK"": 153, ""SELL:STRAWBERRY"": 116, ""SELL:WHEAT"": 492, ""SELL:WOOL"": 142}"
v006b_wheat_only,starter,2026,1,128858.0,3501.0,125357.0,win,DONE,DONE,1,719,0,0,0.631,1.1397792,1.33028144,19.183209,2.2373438329996134,"{""BUILD_PASTURE"": 12, ""CARE"": 240, ""COLLECT_FERTILIZER"": 271, ""DIG"": 14, ""DROP"": 126, ""EAST"": 936, ""FEED"": 262, ""HARVEST"": 203, ""NORTH"": 1365, ""PASS"": 1579, ""PICKUP"": 71, ""PLACE"": 12, ""PLANT"": 101, ""SOUTH"": 984, ""WATER"": 715, ""WEST"": 1112}","{""BUY_ANIMAL"": 8, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 202, ""BUY_SEED"": 55, ""HIRE"": 322, ""SELL"": 208}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 4, ""BUY_PRODUCT:WHEAT"": 661, ""BUY_SEED:CARROT"": 13, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 35, ""SELL:CARROT"": 33, ""SELL:FERTILIZER"": 271, ""SELL:MELON"": 117, ""SELL:MILK"": 206, ""SELL:STRAWBERRY"": 126, ""SELL:WHEAT"": 503, ""SELL:WOOL"": 103}"
v006b_wheat_only,starter,217,0,140708.0,3475.0,137233.0,win,DONE,DONE,1,719,0,0,0.605667,1.1349705,1.26089188,39.885042,2.250936417000048,"{""BUILD_PASTURE"": 12, ""CARE"": 240, ""COLLECT_FERTILIZER"": 274, ""DIG"": 18, ""DROP"": 109, ""EAST"": 921, ""FEED"": 262, ""HARVEST"": 195, ""NORTH"": 1283, ""PASS"": 1661, ""PICKUP"": 67, ""PLACE"": 12, ""PLANT"": 97, ""SOUTH"": 974, ""WATER"": 725, ""WEST"": 1085}","{""BUY_ANIMAL"": 6, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 198, ""BUY_SEED"": 52, ""HIRE"": 319, ""SELL"": 213}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 4, ""BUY_PRODUCT:WHEAT"": 655, ""BUY_SEED:CARROT"": 12, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 33, ""SELL:CARROT"": 30, ""SELL:FERTILIZER"": 274, ""SELL:MELON"": 115, ""SELL:MILK"": 202, ""SELL:STRAWBERRY"": 123, ""SELL:WHEAT"": 503, ""SELL:WOOL"": 98}"
v006b_wheat_only,starter,217,1,138763.0,3497.0,135266.0,win,DONE,DONE,1,719,0,0,0.609875,1.1115705,1.26838506,1.567292,2.2154489169988665,"{""BUILD_PASTURE"": 12, ""CARE"": 225, ""COLLECT_FERTILIZER"": 273, ""DIG"": 14, ""DROP"": 113, ""EAST"": 901, ""FEED"": 263, ""HARVEST"": 198, ""NORTH"": 1356, ""PASS"": 1613, ""PICKUP"": 69, ""PLACE"": 12, ""PLANT"": 99, ""SOUTH"": 1001, ""WATER"": 734, ""WEST"": 1079}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 201, ""BUY_SEED"": 51, ""HIRE"": 320, ""SELL"": 206}","{""BUY_ANIMAL:COW"": 9, ""BUY_ANIMAL:SHEEP"": 3, ""BUY_PRODUCT:WHEAT"": 651, ""BUY_SEED:CARROT"": 12, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 34, ""SELL:CARROT"": 30, ""SELL:FERTILIZER"": 273, ""SELL:MELON"": 115, ""SELL:MILK"": 227, ""SELL:STRAWBERRY"": 124, ""SELL:WHEAT"": 503, ""SELL:WOOL"": 75}"
v006b_wheat_only,starter,317,0,128698.0,3502.0,125196.0,win,DONE,DONE,1,719,0,0,0.599541,1.1007874999999998,1.29277612,38.396542,2.209559916998842,"{""BUILD_PASTURE"": 12, ""CARE"": 240, ""COLLECT_FERTILIZER"": 269, ""DIG"": 20, ""DROP"": 116, ""EAST"": 920, ""FEED"": 259, ""HARVEST"": 195, ""NORTH"": 1289, ""PASS"": 1728, ""PICKUP"": 70, ""PLACE"": 12, ""PLANT"": 101, ""SOUTH"": 941, ""WATER"": 719, ""WEST"": 1074}","{""BUY_ANIMAL"": 8, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 191, ""BUY_SEED"": 58, ""HIRE"": 320, ""SELL"": 213}","{""BUY_ANIMAL:COW"": 6, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 644, ""BUY_SEED:CARROT"": 11, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 40, ""SELL:CARROT"": 24, ""SELL:FERTILIZER"": 269, ""SELL:MELON"": 111, ""SELL:MILK"": 159, ""SELL:STRAWBERRY"": 118, ""SELL:WHEAT"": 511, ""SELL:WOOL"": 145}"
v006b_wheat_only,starter,317,1,129034.0,3502.0,125532.0,win,DONE,DONE,1,719,0,0,0.603708,1.0868045000000004,1.2865976200000016,1.388083,2.1723603749996983,"{""BUILD_PASTURE"": 12, ""CARE"": 239, ""COLLECT_FERTILIZER"": 271, ""DIG"": 21, ""DROP"": 123, ""EAST"": 921, ""FEED"": 259, ""HARVEST"": 196, ""NORTH"": 1322, ""PASS"": 1679, ""PICKUP"": 70, ""PLACE"": 12, ""PLANT"": 101, ""SOUTH"": 957, ""WATER"": 716, ""WEST"": 1067}","{""BUY_ANIMAL"": 8, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 190, ""BUY_SEED"": 58, ""HIRE"": 320, ""SELL"": 216}","{""BUY_ANIMAL:COW"": 6, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 649, ""BUY_SEED:CARROT"": 11, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 40, ""SELL:CARROT"": 27, ""SELL:FERTILIZER"": 271, ""SELL:MELON"": 111, ""SELL:MILK"": 163, ""SELL:STRAWBERRY"": 118, ""SELL:WHEAT"": 514, ""SELL:WOOL"": 141}"
