candidate,opponent,seed,seat,candidate_money,opponent_money,margin,result,candidate_status,opponent_status,game_done,action_calls,agent_errors,invalid_action_shapes,runtime_p50_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,wall_seconds,field_counts,market_counts,market_quantities
current,hamburger,17,0,105366.0,149976.0,-44610.0,loss,DONE,DONE,1,719,0,0,0.8165,1.4855708,1.7701100000000007,25.328917,4.275931166997907,"{""BUILD_PASTURE"": 12, ""CARE"": 229, ""COLLECT_FERTILIZER"": 268, ""DIG"": 17, ""DROP"": 78, ""EAST"": 887, ""FEED"": 252, ""HARVEST"": 200, ""NORTH"": 1286, ""PASS"": 1728, ""PICKUP"": 69, ""PLACE"": 12, ""PLANT"": 105, ""SOUTH"": 940, ""WATER"": 758, ""WEST"": 1114}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 187, ""BUY_SEED"": 47, ""HIRE"": 320, ""SELL"": 182}","{""BUY_ANIMAL:COW"": 9, ""BUY_ANIMAL:SHEEP"": 3, ""BUY_PRODUCT:WHEAT"": 523, ""BUY_SEED:CARROT"": 13, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 37, ""SELL:CARROT"": 33, ""SELL:FERTILIZER"": 268, ""SELL:MELON"": 117, ""SELL:MILK"": 211, ""SELL:STRAWBERRY"": 124, ""SELL:WHEAT"": 411, ""SELL:WOOL"": 76}"
current,hamburger,17,1,91933.0,132779.0,-40846.0,loss,DONE,DONE,1,719,0,0,0.808833,1.5436211000000002,2.0616330600000055,61.455333,4.312822666997818,"{""BUILD_PASTURE"": 12, ""CARE"": 219, ""COLLECT_FERTILIZER"": 272, ""DIG"": 15, ""DROP"": 75, ""EAST"": 862, ""FEED"": 259, ""HARVEST"": 188, ""NORTH"": 1309, ""PASS"": 1726, ""PICKUP"": 71, ""PLACE"": 12, ""PLANT"": 102, ""SOUTH"": 978, ""WATER"": 768, ""WEST"": 1090}","{""BUY_ANIMAL"": 6, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 197, ""BUY_SEED"": 53, ""HIRE"": 320, ""SELL"": 187}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 4, ""BUY_PRODUCT:WHEAT"": 528, ""BUY_SEED:CARROT"": 13, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 36, ""SELL:CARROT"": 33, ""SELL:FERTILIZER"": 272, ""SELL:MELON"": 117, ""SELL:MILK"": 180, ""SELL:STRAWBERRY"": 125, ""SELL:WHEAT"": 391, ""SELL:WOOL"": 102}"
current,hamburger,42,0,91962.0,132217.0,-40255.0,loss,DONE,DONE,1,719,0,0,0.822792,1.5029541000000002,1.9797000000000038,29.596167,4.199769124999875,"{""BUILD_PASTURE"": 12, ""CARE"": 239, ""COLLECT_FERTILIZER"": 271, ""DIG"": 25, ""DROP"": 81, ""EAST"": 852, ""FEED"": 254, ""HARVEST"": 188, ""NORTH"": 1305, ""PASS"": 1588, ""PICKUP"": 71, ""PLACE"": 12, ""PLANT"": 102, ""SOUTH"": 1003, ""WATER"": 725, ""WEST"": 1100}","{""BUY_ANIMAL"": 6, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 197, ""BUY_SEED"": 53, ""HIRE"": 314, ""SELL"": 172}","{""BUY_ANIMAL:COW"": 4, ""BUY_ANIMAL:SHEEP"": 8, ""BUY_PRODUCT:WHEAT"": 524, ""BUY_SEED:CARROT"": 14, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 37, ""SELL:CARROT"": 30, ""SELL:FERTILIZER"": 271, ""SELL:MELON"": 115, ""SELL:MILK"": 111, ""SELL:STRAWBERRY"": 119, ""SELL:WHEAT"": 392, ""SELL:WOOL"": 176}"
current,hamburger,42,1,97302.0,147152.0,-49850.0,loss,DONE,DONE,1,719,0,0,0.805875,1.5311956000000002,1.9757564400000003,3.080042,4.285203833998821,"{""BUILD_PASTURE"": 12, ""CARE"": 236, ""COLLECT_FERTILIZER"": 272, ""DIG"": 26, ""DROP"": 76, ""EAST"": 881, ""FEED"": 257, ""HARVEST"": 190, ""NORTH"": 1261, ""PASS"": 1588, ""PICKUP"": 71, ""PLACE"": 12, ""PLANT"": 103, ""SOUTH"": 981, ""WATER"": 716, ""WEST"": 1118}","{""BUY_ANIMAL"": 6, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 190, ""BUY_SEED"": 52, ""HIRE"": 313, ""SELL"": 181}","{""BUY_ANIMAL:COW"": 4, ""BUY_ANIMAL:SHEEP"": 8, ""BUY_PRODUCT:WHEAT"": 515, ""BUY_SEED:CARROT"": 13, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 37, ""SELL:CARROT"": 27, ""SELL:FERTILIZER"": 272, ""SELL:MELON"": 114, ""SELL:MILK"": 114, ""SELL:STRAWBERRY"": 119, ""SELL:WHEAT"": 380, ""SELL:WOOL"": 171}"
current,hamburger,217,0,93382.0,147090.0,-53708.0,loss,DONE,DONE,1,719,0,0,0.858458,1.6079411000000001,1.9048037400000002,17.71875,4.379903834000288,"{""BUILD_PASTURE"": 12, ""CARE"": 218, ""COLLECT_FERTILIZER"": 270, ""DIG"": 22, ""DROP"": 78, ""EAST"": 826, ""FEED"": 259, ""HARVEST"": 183, ""NORTH"": 1331, ""PASS"": 1615, ""PICKUP"": 70, ""PLACE"": 12, ""PLANT"": 99, ""SOUTH"": 1023, ""WATER"": 762, ""WEST"": 1087}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 206, ""BUY_SEED"": 48, ""HIRE"": 316, ""SELL"": 185}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 4, ""BUY_PRODUCT:WHEAT"": 529, ""BUY_SEED:CARROT"": 12, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 36, ""SELL:CARROT"": 24, ""SELL:FERTILIZER"": 270, ""SELL:MELON"": 119, ""SELL:MILK"": 167, ""SELL:STRAWBERRY"": 124, ""SELL:WHEAT"": 383, ""SELL:WOOL"": 110}"
current,hamburger,217,1,88730.0,134542.0,-45812.0,loss,DONE,DONE,1,719,0,0,0.855708,1.5895673000000001,1.8546031800000016,2.205875,4.39017637500001,"{""BUILD_PASTURE"": 12, ""CARE"": 212, ""COLLECT_FERTILIZER"": 269, ""DIG"": 22, ""DROP"": 69, ""EAST"": 854, ""FEED"": 260, ""HARVEST"": 188, ""NORTH"": 1303, ""PASS"": 1639, ""PICKUP"": 70, ""PLACE"": 12, ""PLANT"": 98, ""SOUTH"": 1015, ""WATER"": 760, ""WEST"": 1105}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 205, ""BUY_SEED"": 47, ""HIRE"": 317, ""SELL"": 192}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 4, ""BUY_PRODUCT:WHEAT"": 527, ""BUY_SEED:CARROT"": 13, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 33, ""SELL:CARROT"": 29, ""SELL:FERTILIZER"": 269, ""SELL:MELON"": 115, ""SELL:MILK"": 179, ""SELL:STRAWBERRY"": 124, ""SELL:WHEAT"": 382, ""SELL:WOOL"": 98}"
current,hamburger,317,0,100165.0,149802.0,-49637.0,loss,DONE,DONE,1,719,0,0,0.86275,1.5604878000000002,2.010374500000003,60.692209,4.4290344580003875,"{""BUILD_PASTURE"": 12, ""CARE"": 232, ""COLLECT_FERTILIZER"": 269, ""DIG"": 18, ""DROP"": 81, ""EAST"": 891, ""FEED"": 260, ""HARVEST"": 199, ""NORTH"": 1300, ""PASS"": 1647, ""PICKUP"": 69, ""PLACE"": 12, ""PLANT"": 103, ""SOUTH"": 983, ""WATER"": 749, ""WEST"": 1109}","{""BUY_ANIMAL"": 8, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 202, ""BUY_SEED"": 48, ""HIRE"": 319, ""SELL"": 186}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 4, ""BUY_PRODUCT:WHEAT"": 527, ""BUY_SEED:CARROT"": 14, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 37, ""SELL:CARROT"": 33, ""SELL:FERTILIZER"": 269, ""SELL:MELON"": 114, ""SELL:MILK"": 195, ""SELL:STRAWBERRY"": 125, ""SELL:WHEAT"": 393, ""SELL:WOOL"": 107}"
current,hamburger,317,1,100328.0,149815.0,-49487.0,loss,DONE,DONE,1,719,0,0,0.867042,1.5605327,2.138214940000001,62.603667,4.497045291998802,"{""BUILD_PASTURE"": 12, ""CARE"": 232, ""COLLECT_FERTILIZER"": 269, ""DIG"": 16, ""DROP"": 81, ""EAST"": 883, ""FEED"": 260, ""HARVEST"": 199, ""NORTH"": 1311, ""PASS"": 1625, ""PICKUP"": 69, ""PLACE"": 12, ""PLANT"": 103, ""SOUTH"": 980, ""WATER"": 749, ""WEST"": 1109}","{""BUY_ANIMAL"": 8, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 199, ""BUY_SEED"": 49, ""HIRE"": 318, ""SELL"": 182}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 4, ""BUY_PRODUCT:WHEAT"": 526, ""BUY_SEED:CARROT"": 15, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 37, ""SELL:CARROT"": 33, ""SELL:FERTILIZER"": 269, ""SELL:MELON"": 114, ""SELL:MILK"": 195, ""SELL:STRAWBERRY"": 125, ""SELL:WHEAT"": 394, ""SELL:WOOL"": 107}"
current,hamburger,733,0,112804.0,167694.0,-54890.0,loss,DONE,DONE,1,719,0,0,0.836458,1.5610166,1.821843620000001,2.816208,4.257846749998862,"{""BUILD_PASTURE"": 12, ""CARE"": 245, ""COLLECT_FERTILIZER"": 270, ""DIG"": 13, ""DROP"": 73, ""EAST"": 866, ""FEED"": 256, ""HARVEST"": 199, ""NORTH"": 1336, ""PASS"": 1667, ""PICKUP"": 66, ""PLACE"": 12, ""PLANT"": 107, ""SOUTH"": 1001, ""WATER"": 748, ""WEST"": 1085}","{""BUY_ANIMAL"": 8, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 191, ""BUY_SEED"": 49, ""HIRE"": 320, ""SELL"": 178}","{""BUY_ANIMAL:COW"": 5, ""BUY_ANIMAL:SHEEP"": 7, ""BUY_PRODUCT:WHEAT"": 521, ""BUY_SEED:CARROT"": 14, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 39, ""SELL:CARROT"": 33, ""SELL:FERTILIZER"": 270, ""SELL:MELON"": 110, ""SELL:MILK"": 119, ""SELL:STRAWBERRY"": 124, ""SELL:WHEAT"": 400, ""SELL:WOOL"": 178}"
current,hamburger,733,1,113756.0,168119.0,-54363.0,loss,DONE,DONE,1,719,0,0,0.697709,1.2769711000000001,1.4721813800000019,1.736583,3.623955291001039,"{""BUILD_PASTURE"": 12, ""CARE"": 243, ""COLLECT_FERTILIZER"": 270, ""DIG"": 14, ""DROP"": 75, ""EAST"": 871, ""FEED"": 254, ""HARVEST"": 204, ""NORTH"": 1323, ""PASS"": 1672, ""PICKUP"": 67, ""PLACE"": 12, ""PLANT"": 110, ""SOUTH"": 981, ""WATER"": 738, ""WEST"": 1109}","{""BUY_ANIMAL"": 8, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 197, ""BUY_SEED"": 49, ""HIRE"": 320, ""SELL"": 172}","{""BUY_ANIMAL:COW"": 5, ""BUY_ANIMAL:SHEEP"": 7, ""BUY_PRODUCT:WHEAT"": 515, ""BUY_SEED:CARROT"": 15, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 40, ""SELL:CARROT"": 39, ""SELL:FERTILIZER"": 270, ""SELL:MELON"": 111, ""SELL:MILK"": 120, ""SELL:STRAWBERRY"": 124, ""SELL:WHEAT"": 396, ""SELL:WOOL"": 180}"
