candidate,opponent,games,mean_money,min_money,max_money,mean_margin,wins,ties,losses,win_rate,all_done,agent_errors,invalid_action_shapes,mean_calls,p50_ms,p95_ms,p99_ms,max_ms
current,hamburger,12,100186.41666666667,88730.0,113756.0,-48241.0,0,0,12,0.0,1,0,0,719,0.841958,1.5978355100000001,2.138214940000001,62.603667
current,random,12,133979.0,124981.0,141049.0,133963.16666666666,12,0,0,1.0,1,0,0,719,0.7711250000000001,1.5217045,2.1009645000000066,36.312625
current,starter,12,136735.66666666666,132023.0,140738.0,133244.41666666666,12,0,0,1.0,1,0,0,719,0.6545000000000001,1.292241135,1.7070099400000012,48.237542
v006a_fertilizer_terminal,hamburger,12,73107.33333333333,65775.0,79103.0,-82440.5,0,0,12,0.0,1,0,0,719,0.7077715,1.6012728150000002,1.9692074400000008,67.513625
v006a_fertilizer_terminal,random,12,93716.0,81295.0,103943.0,93644.33333333333,12,0,0,1.0,1,0,0,719,0.5565625000000001,1.4631572000000002,1.8752898800000044,42.389417
v006a_fertilizer_terminal,starter,12,93578.75,88814.0,104378.0,90089.83333333333,12,0,0,1.0,1,0,0,719,0.474333,1.217899375,1.6660430000000093,24.796959
v006b_livestock_wheat,hamburger,12,95803.91666666667,76565.0,109465.0,-41011.166666666664,0,0,12,0.0,1,0,0,719,0.874792,1.6544467150000002,2.0491250600000006,27.818333
v006b_livestock_wheat,random,12,131879.08333333334,113384.0,143710.0,131876.58333333334,12,0,0,1.0,1,0,0,719,0.789458,1.5587356,2.0707513200000034,48.602459
v006b_livestock_wheat,starter,12,136423.33333333334,126299.0,144742.0,132930.91666666666,12,0,0,1.0,1,0,0,719,0.6623334999999999,1.29814985,1.67509806,25.146541
v006c_combined,hamburger,12,76294.16666666667,57647.0,86238.0,-74601.75,0,0,12,0.0,1,0,0,719,0.734,1.6120898650000002,2.0558651200000058,42.9005
v006c_combined,random,12,103415.25,94081.0,110932.0,103349.41666666667,12,0,0,1.0,1,0,0,719,0.6807289999999999,1.5339684050000002,2.0165500000000027,44.673583
v006c_combined,starter,12,106820.25,96519.0,117019.0,103330.16666666667,12,0,0,1.0,1,0,0,719,0.6173955,1.3258943150000002,1.754150060000003,27.152459
