candidate,opponent,seed,seat,candidate_money,opponent_money,margin,result,candidate_status,opponent_status,game_done,action_calls,agent_errors,invalid_action_shapes,runtime_p50_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,wall_seconds,field_counts,field_item_counts,market_counts,market_quantities
v007c_combined,starter,17,0,135118.0,3485.0,131633.0,win,DONE,DONE,1,719,0,0,0.653667,1.2118795000000002,1.4518555600000003,3.004625,2.443492000002152,"{""BUILD_PASTURE"": 12, ""CARE"": 236, ""COLLECT_FERTILIZER"": 266, ""DIG"": 22, ""DROP"": 82, ""EAST"": 907, ""FEED"": 258, ""FERTILIZE"": 1, ""HARVEST"": 193, ""NORTH"": 1257, ""PASS"": 1744, ""PICKUP"": 69, ""PLACE"": 12, ""PLANT"": 100, ""SOUTH"": 936, ""WATER"": 685, ""WEST"": 1161}","{""PICKUP:COW"": 9, ""PICKUP:SHEEP"": 4, ""PICKUP:WHEAT"": 56, ""PLACE:COW"": 9, ""PLACE:SHEEP"": 3, ""PLANT:CARROT"": 10, ""PLANT:MELON"": 20, ""PLANT:STRAWBERRY"": 37, ""PLANT:WHEAT"": 33}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 192, ""BUY_SEED"": 51, ""HIRE"": 319, ""SELL"": 178}","{""BUY_ANIMAL:COW"": 9, ""BUY_ANIMAL:SHEEP"": 3, ""BUY_PRODUCT:WHEAT"": 529, ""BUY_SEED:CARROT"": 13, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 36, ""SELL:CARROT"": 30, ""SELL:FERTILIZER"": 265, ""SELL:MELON"": 115, ""SELL:MILK"": 217, ""SELL:STRAWBERRY"": 125, ""SELL:WHEAT"": 372, ""SELL:WOOL"": 81}"
v007c_combined,starter,17,1,132730.0,3485.0,129245.0,win,DONE,DONE,1,719,0,0,0.66575,1.1883289000000004,1.4246235000000005,27.679625,2.413476499998069,"{""BUILD_PASTURE"": 12, ""CARE"": 241, ""COLLECT_FERTILIZER"": 269, ""DIG"": 13, ""DROP"": 89, ""EAST"": 891, ""FEED"": 249, ""FERTILIZE"": 2, ""HARVEST"": 192, ""NORTH"": 1276, ""PASS"": 1810, ""PICKUP"": 67, ""PLACE"": 12, ""PLANT"": 101, ""SOUTH"": 908, ""WATER"": 704, ""WEST"": 1147}","{""PICKUP:COW"": 7, ""PICKUP:SHEEP"": 6, ""PICKUP:WHEAT"": 54, ""PLACE:COW"": 7, ""PLACE:SHEEP"": 5, ""PLANT:CARROT"": 10, ""PLANT:MELON"": 20, ""PLANT:STRAWBERRY"": 37, ""PLANT:WHEAT"": 34}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 197, ""BUY_SEED"": 54, ""HIRE"": 321, ""SELL"": 177}","{""BUY_ANIMAL:COW"": 7, ""BUY_ANIMAL:SHEEP"": 5, ""BUY_PRODUCT:WHEAT"": 522, ""BUY_SEED:CARROT"": 13, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 37, ""SELL:CARROT"": 27, ""SELL:FERTILIZER"": 267, ""SELL:MELON"": 119, ""SELL:MILK"": 158, ""SELL:STRAWBERRY"": 126, ""SELL:WHEAT"": 375, ""SELL:WOOL"": 125}"
v007c_combined,starter,42,0,135186.0,3495.0,131691.0,win,DONE,DONE,1,719,0,0,0.633042,1.1904619,1.4892911200000014,1.691667,2.404341834000661,"{""BUILD_PASTURE"": 12, ""CARE"": 237, ""COLLECT_FERTILIZER"": 265, ""DIG"": 31, ""DROP"": 76, ""EAST"": 855, ""FEED"": 256, ""FERTILIZE"": 3, ""HARVEST"": 183, ""NORTH"": 1248, ""PASS"": 1796, ""PICKUP"": 65, ""PLACE"": 12, ""PLANT"": 94, ""SOUTH"": 983, ""WATER"": 671, ""WEST"": 1136}","{""PICKUP:COW"": 10, ""PICKUP:SHEEP"": 2, ""PICKUP:WHEAT"": 53, ""PLACE:COW"": 10, ""PLACE:SHEEP"": 2, ""PLANT:CARROT"": 7, ""PLANT:MELON"": 20, ""PLANT:STRAWBERRY"": 37, ""PLANT:WHEAT"": 30}","{""BUY_ANIMAL"": 6, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 202, ""BUY_SEED"": 48, ""HIRE"": 318, ""SELL"": 173}","{""BUY_ANIMAL:COW"": 10, ""BUY_ANIMAL:SHEEP"": 2, ""BUY_PRODUCT:WHEAT"": 525, ""BUY_SEED:CARROT"": 11, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 37, ""SELL:CARROT"": 21, ""SELL:FERTILIZER"": 262, ""SELL:MELON"": 118, ""SELL:MILK"": 233, ""SELL:STRAWBERRY"": 121, ""SELL:WHEAT"": 365, ""SELL:WOOL"": 67}"
v007c_combined,starter,42,1,133137.0,3497.0,129640.0,win,DONE,DONE,1,719,0,0,0.653833,1.2036038,1.4387314400000009,26.278125,2.414993708000111,"{""BUILD_PASTURE"": 12, ""CARE"": 222, ""COLLECT_FERTILIZER"": 269, ""DIG"": 27, ""DROP"": 81, ""EAST"": 904, ""FEED"": 255, ""FERTILIZE"": 3, ""HARVEST"": 186, ""NORTH"": 1256, ""PASS"": 1709, ""PICKUP"": 66, ""PLACE"": 12, ""PLANT"": 99, ""SOUTH"": 967, ""WATER"": 694, ""WEST"": 1158}","{""PICKUP:COW"": 10, ""PICKUP:SHEEP"": 2, ""PICKUP:WHEAT"": 54, ""PLACE:COW"": 10, ""PLACE:SHEEP"": 2, ""PLANT:CARROT"": 9, ""PLANT:MELON"": 20, ""PLANT:STRAWBERRY"": 37, ""PLANT:WHEAT"": 33}","{""BUY_ANIMAL"": 6, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 201, ""BUY_SEED"": 47, ""HIRE"": 318, ""SELL"": 170}","{""BUY_ANIMAL:COW"": 10, ""BUY_ANIMAL:SHEEP"": 2, ""BUY_PRODUCT:WHEAT"": 520, ""BUY_SEED:CARROT"": 12, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 37, ""SELL:CARROT"": 24, ""SELL:FERTILIZER"": 266, ""SELL:MELON"": 112, ""SELL:MILK"": 226, ""SELL:STRAWBERRY"": 125, ""SELL:WHEAT"": 359, ""SELL:WOOL"": 56}"
v007c_combined,starter,2026,0,130256.0,3493.0,126763.0,win,DONE,DONE,1,719,0,0,0.662416,1.2543416,1.482838820000001,8.371958,2.491902249999839,"{""BUILD_PASTURE"": 12, ""CARE"": 233, ""COLLECT_FERTILIZER"": 268, ""DIG"": 19, ""DROP"": 77, ""EAST"": 922, ""FEED"": 257, ""FERTILIZE"": 2, ""HARVEST"": 192, ""NORTH"": 1307, ""PASS"": 1764, ""PICKUP"": 69, ""PLACE"": 12, ""PLANT"": 104, ""SOUTH"": 961, ""WATER"": 711, ""WEST"": 1156}","{""PICKUP:COW"": 5, ""PICKUP:SHEEP"": 8, ""PICKUP:WHEAT"": 56, ""PLACE:COW"": 5, ""PLACE:SHEEP"": 7, ""PLANT:CARROT"": 10, ""PLANT:MELON"": 20, ""PLANT:STRAWBERRY"": 37, ""PLANT:WHEAT"": 37}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 199, ""BUY_SEED"": 55, ""HIRE"": 325, ""SELL"": 181}","{""BUY_ANIMAL:COW"": 5, ""BUY_ANIMAL:SHEEP"": 7, ""BUY_PRODUCT:WHEAT"": 539, ""BUY_SEED:CARROT"": 12, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 39, ""SELL:CARROT"": 30, ""SELL:FERTILIZER"": 266, ""SELL:MELON"": 118, ""SELL:MILK"": 121, ""SELL:STRAWBERRY"": 127, ""SELL:WHEAT"": 388, ""SELL:WOOL"": 169}"
v007c_combined,starter,2026,1,129270.0,3493.0,125777.0,win,DONE,DONE,1,719,0,0,0.655,1.1876295000000003,1.5285898800000004,19.760709,2.4185543749990757,"{""BUILD_PASTURE"": 12, ""CARE"": 231, ""COLLECT_FERTILIZER"": 269, ""DIG"": 29, ""DROP"": 76, ""EAST"": 916, ""FEED"": 255, ""FERTILIZE"": 1, ""HARVEST"": 187, ""NORTH"": 1325, ""PASS"": 1784, ""PICKUP"": 68, ""PLACE"": 12, ""PLANT"": 99, ""SOUTH"": 933, ""WATER"": 709, ""WEST"": 1091}","{""PICKUP:COW"": 5, ""PICKUP:SHEEP"": 8, ""PICKUP:WHEAT"": 55, ""PLACE:COW"": 5, ""PLACE:SHEEP"": 7, ""PLANT:CARROT"": 9, ""PLANT:MELON"": 20, ""PLANT:STRAWBERRY"": 37, ""PLANT:WHEAT"": 33}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 207, ""BUY_SEED"": 56, ""HIRE"": 322, ""SELL"": 184}","{""BUY_ANIMAL:COW"": 5, ""BUY_ANIMAL:SHEEP"": 7, ""BUY_PRODUCT:WHEAT"": 522, ""BUY_SEED:CARROT"": 13, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 39, ""SELL:CARROT"": 27, ""SELL:FERTILIZER"": 268, ""SELL:MELON"": 118, ""SELL:MILK"": 117, ""SELL:STRAWBERRY"": 127, ""SELL:WHEAT"": 370, ""SELL:WOOL"": 167}"
v007c_combined,starter,217,0,127621.0,3495.0,124126.0,win,DONE,DONE,1,719,0,0,0.67725,1.2338294000000003,1.5305031200000023,25.911166,2.462052582999604,"{""BUILD_PASTURE"": 12, ""CARE"": 218, ""COLLECT_FERTILIZER"": 261, ""DIG"": 21, ""DROP"": 81, ""EAST"": 877, ""FEED"": 257, ""FERTILIZE"": 2, ""HARVEST"": 196, ""NORTH"": 1370, ""PASS"": 1677, ""PICKUP"": 67, ""PLACE"": 12, ""PLANT"": 106, ""SOUTH"": 1000, ""WATER"": 702, ""WEST"": 1150}","{""PICKUP:COW"": 10, ""PICKUP:SHEEP"": 3, ""PICKUP:WHEAT"": 54, ""PLACE:COW"": 9, ""PLACE:SHEEP"": 3, ""PLANT:CARROT"": 12, ""PLANT:MELON"": 20, ""PLANT:STRAWBERRY"": 37, ""PLANT:WHEAT"": 37}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 198, ""BUY_SEED"": 47, ""HIRE"": 322, ""SELL"": 176}","{""BUY_ANIMAL:COW"": 9, ""BUY_ANIMAL:SHEEP"": 3, ""BUY_PRODUCT:WHEAT"": 534, ""BUY_SEED:CARROT"": 12, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 37, ""SELL:CARROT"": 33, ""SELL:FERTILIZER"": 259, ""SELL:MELON"": 118, ""SELL:MILK"": 210, ""SELL:STRAWBERRY"": 124, ""SELL:WHEAT"": 398, ""SELL:WOOL"": 73}"
v007c_combined,starter,217,1,140683.0,3477.0,137206.0,win,DONE,DONE,1,719,0,0,0.685041,1.2487122000000002,1.5338601200000004,1.770959,2.474823499997001,"{""BUILD_PASTURE"": 12, ""CARE"": 243, ""COLLECT_FERTILIZER"": 270, ""DIG"": 23, ""DROP"": 93, ""EAST"": 925, ""FEED"": 255, ""FERTILIZE"": 2, ""HARVEST"": 191, ""NORTH"": 1314, ""PASS"": 1722, ""PICKUP"": 67, ""PLACE"": 12, ""PLANT"": 97, ""SOUTH"": 941, ""WATER"": 700, ""WEST"": 1147}","{""PICKUP:COW"": 9, ""PICKUP:SHEEP"": 4, ""PICKUP:WHEAT"": 54, ""PLACE:COW"": 8, ""PLACE:SHEEP"": 4, ""PLANT:CARROT"": 11, ""PLANT:MELON"": 20, ""PLANT:STRAWBERRY"": 37, ""PLANT:WHEAT"": 29}","{""BUY_ANIMAL"": 6, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 212, ""BUY_SEED"": 45, ""HIRE"": 322, ""SELL"": 186}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 4, ""BUY_PRODUCT:WHEAT"": 520, ""BUY_SEED:CARROT"": 11, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 33, ""SELL:CARROT"": 25, ""SELL:FERTILIZER"": 268, ""SELL:MELON"": 120, ""SELL:MILK"": 207, ""SELL:STRAWBERRY"": 122, ""SELL:WHEAT"": 374, ""SELL:WOOL"": 98}"
v007c_combined,starter,317,0,125764.0,3483.0,122281.0,win,DONE,DONE,1,719,0,0,0.67975,1.2940836999999998,1.5153645600000012,2.597667,2.5193744169991987,"{""BUILD_PASTURE"": 12, ""CARE"": 234, ""COLLECT_FERTILIZER"": 272, ""DIG"": 11, ""DROP"": 74, ""EAST"": 873, ""FEED"": 252, ""FERTILIZE"": 6, ""HARVEST"": 192, ""NORTH"": 1324, ""PASS"": 1798, ""PICKUP"": 67, ""PLACE"": 12, ""PLANT"": 100, ""SOUTH"": 986, ""WATER"": 688, ""WEST"": 1105}","{""PICKUP:COW"": 7, ""PICKUP:SHEEP"": 6, ""PICKUP:WHEAT"": 54, ""PLACE:COW"": 7, ""PLACE:SHEEP"": 5, ""PLANT:CARROT"": 9, ""PLANT:MELON"": 20, ""PLANT:STRAWBERRY"": 37, ""PLANT:WHEAT"": 34}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 204, ""BUY_SEED"": 44, ""HIRE"": 322, ""SELL"": 170}","{""BUY_ANIMAL:COW"": 7, ""BUY_ANIMAL:SHEEP"": 5, ""BUY_PRODUCT:WHEAT"": 525, ""BUY_SEED:CARROT"": 11, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 35, ""SELL:CARROT"": 27, ""SELL:FERTILIZER"": 266, ""SELL:MELON"": 116, ""SELL:MILK"": 177, ""SELL:STRAWBERRY"": 123, ""SELL:WHEAT"": 385, ""SELL:WOOL"": 104}"
v007c_combined,starter,317,1,125764.0,3483.0,122281.0,win,DONE,DONE,1,719,0,0,0.69525,1.2951458,1.6344214400000003,2.126083,2.580129958001635,"{""BUILD_PASTURE"": 12, ""CARE"": 234, ""COLLECT_FERTILIZER"": 272, ""DIG"": 11, ""DROP"": 74, ""EAST"": 873, ""FEED"": 252, ""FERTILIZE"": 6, ""HARVEST"": 192, ""NORTH"": 1324, ""PASS"": 1797, ""PICKUP"": 67, ""PLACE"": 12, ""PLANT"": 100, ""SOUTH"": 986, ""WATER"": 688, ""WEST"": 1106}","{""PICKUP:COW"": 7, ""PICKUP:SHEEP"": 6, ""PICKUP:WHEAT"": 54, ""PLACE:COW"": 7, ""PLACE:SHEEP"": 5, ""PLANT:CARROT"": 9, ""PLANT:MELON"": 20, ""PLANT:STRAWBERRY"": 37, ""PLANT:WHEAT"": 34}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 204, ""BUY_SEED"": 44, ""HIRE"": 322, ""SELL"": 170}","{""BUY_ANIMAL:COW"": 7, ""BUY_ANIMAL:SHEEP"": 5, ""BUY_PRODUCT:WHEAT"": 525, ""BUY_SEED:CARROT"": 11, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 35, ""SELL:CARROT"": 27, ""SELL:FERTILIZER"": 266, ""SELL:MELON"": 116, ""SELL:MILK"": 177, ""SELL:STRAWBERRY"": 123, ""SELL:WHEAT"": 385, ""SELL:WOOL"": 104}"
