candidate,opponent,seed,seat,candidate_money,opponent_money,margin,result,candidate_status,opponent_status,game_done,action_calls,agent_errors,invalid_action_shapes,runtime_p50_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,wall_seconds,field_counts,field_item_counts,market_counts,market_quantities
current,starter,17,0,139270.0,3484.0,135786.0,win,DONE,DONE,1,719,0,0,0.589875,1.0642125,1.2288689400000026,1.354541,2.236870667002222,"{""BUILD_PASTURE"": 12, ""CARE"": 236, ""COLLECT_FERTILIZER"": 273, ""DIG"": 17, ""DROP"": 86, ""EAST"": 943, ""FEED"": 260, ""HARVEST"": 203, ""NORTH"": 1323, ""PASS"": 1661, ""PICKUP"": 69, ""PLACE"": 12, ""PLANT"": 103, ""SOUTH"": 908, ""WATER"": 740, ""WEST"": 1141}","{""PICKUP:COW"": 9, ""PICKUP:SHEEP"": 4, ""PICKUP:WHEAT"": 56, ""PLACE:COW"": 9, ""PLACE:SHEEP"": 3, ""PLANT:CARROT"": 12, ""PLANT:MELON"": 20, ""PLANT:STRAWBERRY"": 37, ""PLANT:WHEAT"": 34}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 197, ""BUY_SEED"": 51, ""HIRE"": 321, ""SELL"": 187}","{""BUY_ANIMAL:COW"": 9, ""BUY_ANIMAL:SHEEP"": 3, ""BUY_PRODUCT:WHEAT"": 537, ""BUY_SEED:CARROT"": 13, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 35, ""SELL:CARROT"": 36, ""SELL:FERTILIZER"": 273, ""SELL:MELON"": 120, ""SELL:MILK"": 224, ""SELL:STRAWBERRY"": 125, ""SELL:WHEAT"": 397, ""SELL:WOOL"": 81}"
current,starter,17,1,138229.0,3499.0,134730.0,win,DONE,DONE,1,719,0,0,0.5905,1.079109,1.28471544,1.408791,2.151431166999828,"{""BUILD_PASTURE"": 12, ""CARE"": 239, ""COLLECT_FERTILIZER"": 271, ""DIG"": 15, ""DROP"": 88, ""EAST"": 952, ""FEED"": 259, ""HARVEST"": 212, ""NORTH"": 1357, ""PASS"": 1600, ""PICKUP"": 66, ""PLACE"": 12, ""PLANT"": 108, ""SOUTH"": 949, ""WATER"": 744, ""WEST"": 1121}","{""PICKUP:COW"": 7, ""PICKUP:SHEEP"": 5, ""PICKUP:WHEAT"": 54, ""PLACE:COW"": 7, ""PLACE:SHEEP"": 5, ""PLANT:CARROT"": 13, ""PLANT:MELON"": 20, ""PLANT:STRAWBERRY"": 37, ""PLANT:WHEAT"": 38}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 216, ""BUY_SEED"": 59, ""HIRE"": 322, ""SELL"": 192}","{""BUY_ANIMAL:COW"": 7, ""BUY_ANIMAL:SHEEP"": 5, ""BUY_PRODUCT:WHEAT"": 551, ""BUY_SEED:CARROT"": 13, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 38, ""SELL:CARROT"": 39, ""SELL:FERTILIZER"": 271, ""SELL:MELON"": 119, ""SELL:MILK"": 177, ""SELL:STRAWBERRY"": 128, ""SELL:WHEAT"": 420, ""SELL:WOOL"": 130}"
current,random,17,0,135318.0,0.0,135318.0,win,DONE,DONE,1,719,0,0,0.607708,1.1178963999999998,1.33163756,1.5765,2.2834838340022543,"{""BUILD_PASTURE"": 12, ""CARE"": 245, ""COLLECT_FERTILIZER"": 269, ""DIG"": 16, ""DROP"": 97, ""EAST"": 966, ""FEED"": 253, ""HARVEST"": 200, ""NORTH"": 1372, ""PASS"": 1487, ""PICKUP"": 64, ""PLACE"": 12, ""PLANT"": 109, ""SOUTH"": 1004, ""WATER"": 717, ""WEST"": 1189}","{""PICKUP:COW"": 7, ""PICKUP:SHEEP"": 5, ""PICKUP:WHEAT"": 52, ""PLACE:COW"": 7, ""PLACE:SHEEP"": 5, ""PLANT:CARROT"": 13, ""PLANT:MELON"": 20, ""PLANT:STRAWBERRY"": 37, ""PLANT:WHEAT"": 39}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 211, ""BUY_SEED"": 57, ""HIRE"": 322, ""SELL"": 183}","{""BUY_ANIMAL:COW"": 7, ""BUY_ANIMAL:SHEEP"": 5, ""BUY_PRODUCT:WHEAT"": 600, ""BUY_SEED:CARROT"": 13, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 39, ""SELL:CARROT"": 27, ""SELL:FERTILIZER"": 269, ""SELL:MELON"": 119, ""SELL:MILK"": 171, ""SELL:STRAWBERRY"": 128, ""SELL:WHEAT"": 455, ""SELL:WOOL"": 126}"
current,random,17,1,135870.0,0.0,135870.0,win,DONE,DONE,1,719,0,0,0.590792,1.1272292000000002,1.4866024400000017,13.049708,2.373989708001318,"{""BUILD_PASTURE"": 12, ""CARE"": 242, ""COLLECT_FERTILIZER"": 264, ""DIG"": 23, ""DROP"": 76, ""EAST"": 884, ""FEED"": 259, ""HARVEST"": 208, ""NORTH"": 1317, ""PASS"": 1665, ""PICKUP"": 67, ""PLACE"": 12, ""PLANT"": 110, ""SOUTH"": 986, ""WATER"": 766, ""WEST"": 1075}","{""PICKUP:COW"": 10, ""PICKUP:SHEEP"": 3, ""PICKUP:WHEAT"": 54, ""PLACE:COW"": 9, ""PLACE:SHEEP"": 3, ""PLANT:CARROT"": 11, ""PLANT:MELON"": 20, ""PLANT:STRAWBERRY"": 37, ""PLANT:WHEAT"": 42}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 189, ""BUY_SEED"": 50, ""HIRE"": 320, ""SELL"": 169}","{""BUY_ANIMAL:COW"": 9, ""BUY_ANIMAL:SHEEP"": 3, ""BUY_PRODUCT:WHEAT"": 531, ""BUY_SEED:CARROT"": 11, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 44, ""SELL:CARROT"": 30, ""SELL:FERTILIZER"": 264, ""SELL:MELON"": 119, ""SELL:MILK"": 226, ""SELL:STRAWBERRY"": 126, ""SELL:WHEAT"": 404, ""SELL:WOOL"": 83}"
current,hamburger,17,0,105366.0,149976.0,-44610.0,loss,DONE,DONE,1,719,0,0,0.600833,1.0790127999999999,1.2482429400000008,1.594708,3.0936280000023544,"{""BUILD_PASTURE"": 12, ""CARE"": 229, ""COLLECT_FERTILIZER"": 268, ""DIG"": 17, ""DROP"": 78, ""EAST"": 887, ""FEED"": 252, ""HARVEST"": 200, ""NORTH"": 1286, ""PASS"": 1728, ""PICKUP"": 69, ""PLACE"": 12, ""PLANT"": 105, ""SOUTH"": 940, ""WATER"": 758, ""WEST"": 1114}","{""PICKUP:COW"": 9, ""PICKUP:SHEEP"": 3, ""PICKUP:WHEAT"": 57, ""PLACE:COW"": 9, ""PLACE:SHEEP"": 3, ""PLANT:CARROT"": 11, ""PLANT:MELON"": 20, ""PLANT:STRAWBERRY"": 37, ""PLANT:WHEAT"": 37}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 187, ""BUY_SEED"": 47, ""HIRE"": 320, ""SELL"": 182}","{""BUY_ANIMAL:COW"": 9, ""BUY_ANIMAL:SHEEP"": 3, ""BUY_PRODUCT:WHEAT"": 523, ""BUY_SEED:CARROT"": 13, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 37, ""SELL:CARROT"": 33, ""SELL:FERTILIZER"": 268, ""SELL:MELON"": 117, ""SELL:MILK"": 211, ""SELL:STRAWBERRY"": 124, ""SELL:WHEAT"": 411, ""SELL:WOOL"": 76}"
current,hamburger,17,1,91933.0,132779.0,-40846.0,loss,DONE,DONE,1,719,0,0,0.585291,1.1019247,1.3240299400000013,49.983708,3.0785056250024354,"{""BUILD_PASTURE"": 12, ""CARE"": 219, ""COLLECT_FERTILIZER"": 272, ""DIG"": 15, ""DROP"": 75, ""EAST"": 862, ""FEED"": 259, ""HARVEST"": 188, ""NORTH"": 1309, ""PASS"": 1726, ""PICKUP"": 71, ""PLACE"": 12, ""PLANT"": 102, ""SOUTH"": 978, ""WATER"": 768, ""WEST"": 1090}","{""PICKUP:COW"": 8, ""PICKUP:SHEEP"": 4, ""PICKUP:WHEAT"": 59, ""PLACE:COW"": 8, ""PLACE:SHEEP"": 4, ""PLANT:CARROT"": 11, ""PLANT:MELON"": 20, ""PLANT:STRAWBERRY"": 37, ""PLANT:WHEAT"": 34}","{""BUY_ANIMAL"": 6, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 197, ""BUY_SEED"": 53, ""HIRE"": 320, ""SELL"": 187}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 4, ""BUY_PRODUCT:WHEAT"": 528, ""BUY_SEED:CARROT"": 13, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 36, ""SELL:CARROT"": 33, ""SELL:FERTILIZER"": 272, ""SELL:MELON"": 117, ""SELL:MILK"": 180, ""SELL:STRAWBERRY"": 125, ""SELL:WHEAT"": 391, ""SELL:WOOL"": 102}"
v007a_terminal_safe,starter,17,0,139270.0,3484.0,135786.0,win,DONE,DONE,1,719,0,0,0.586542,1.0699664,1.2113193200000012,1.361833,2.129788375001226,"{""BUILD_PASTURE"": 12, ""CARE"": 236, ""COLLECT_FERTILIZER"": 273, ""DIG"": 17, ""DROP"": 86, ""EAST"": 943, ""FEED"": 260, ""HARVEST"": 203, ""NORTH"": 1323, ""PASS"": 1661, ""PICKUP"": 69, ""PLACE"": 12, ""PLANT"": 103, ""SOUTH"": 908, ""WATER"": 740, ""WEST"": 1141}","{""PICKUP:COW"": 9, ""PICKUP:SHEEP"": 4, ""PICKUP:WHEAT"": 56, ""PLACE:COW"": 9, ""PLACE:SHEEP"": 3, ""PLANT:CARROT"": 12, ""PLANT:MELON"": 20, ""PLANT:STRAWBERRY"": 37, ""PLANT:WHEAT"": 34}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 197, ""BUY_SEED"": 51, ""HIRE"": 321, ""SELL"": 187}","{""BUY_ANIMAL:COW"": 9, ""BUY_ANIMAL:SHEEP"": 3, ""BUY_PRODUCT:WHEAT"": 537, ""BUY_SEED:CARROT"": 13, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 35, ""SELL:CARROT"": 36, ""SELL:FERTILIZER"": 273, ""SELL:MELON"": 120, ""SELL:MILK"": 224, ""SELL:STRAWBERRY"": 125, ""SELL:WHEAT"": 397, ""SELL:WOOL"": 81}"
v007a_terminal_safe,starter,17,1,138229.0,3499.0,134730.0,win,DONE,DONE,1,719,0,0,0.589542,1.0791244000000002,1.290547380000001,1.447292,2.1664412090030964,"{""BUILD_PASTURE"": 12, ""CARE"": 239, ""COLLECT_FERTILIZER"": 271, ""DIG"": 15, ""DROP"": 88, ""EAST"": 952, ""FEED"": 259, ""HARVEST"": 212, ""NORTH"": 1357, ""PASS"": 1600, ""PICKUP"": 66, ""PLACE"": 12, ""PLANT"": 108, ""SOUTH"": 949, ""WATER"": 744, ""WEST"": 1121}","{""PICKUP:COW"": 7, ""PICKUP:SHEEP"": 5, ""PICKUP:WHEAT"": 54, ""PLACE:COW"": 7, ""PLACE:SHEEP"": 5, ""PLANT:CARROT"": 13, ""PLANT:MELON"": 20, ""PLANT:STRAWBERRY"": 37, ""PLANT:WHEAT"": 38}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 216, ""BUY_SEED"": 59, ""HIRE"": 322, ""SELL"": 192}","{""BUY_ANIMAL:COW"": 7, ""BUY_ANIMAL:SHEEP"": 5, ""BUY_PRODUCT:WHEAT"": 551, ""BUY_SEED:CARROT"": 13, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 38, ""SELL:CARROT"": 39, ""SELL:FERTILIZER"": 271, ""SELL:MELON"": 119, ""SELL:MILK"": 177, ""SELL:STRAWBERRY"": 128, ""SELL:WHEAT"": 420, ""SELL:WOOL"": 130}"
v007a_terminal_safe,random,17,0,137718.0,0.0,137718.0,win,DONE,DONE,1,719,0,0,0.603125,1.0987916000000002,1.3040025000000006,26.747,2.2876978750027774,"{""BUILD_PASTURE"": 12, ""CARE"": 245, ""COLLECT_FERTILIZER"": 272, ""DIG"": 17, ""DROP"": 103, ""EAST"": 967, ""FEED"": 260, ""HARVEST"": 197, ""NORTH"": 1339, ""PASS"": 1519, ""PICKUP"": 66, ""PLACE"": 12, ""PLANT"": 103, ""SOUTH"": 1024, ""WATER"": 705, ""WEST"": 1172}","{""PICKUP:COW"": 7, ""PICKUP:SHEEP"": 5, ""PICKUP:WHEAT"": 54, ""PLACE:COW"": 7, ""PLACE:SHEEP"": 5, ""PLANT:CARROT"": 12, ""PLANT:MELON"": 20, ""PLANT:STRAWBERRY"": 37, ""PLANT:WHEAT"": 34}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 211, ""BUY_SEED"": 54, ""HIRE"": 322, ""SELL"": 198}","{""BUY_ANIMAL:COW"": 7, ""BUY_ANIMAL:SHEEP"": 5, ""BUY_PRODUCT:WHEAT"": 546, ""BUY_SEED:CARROT"": 12, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 37, ""SELL:CARROT"": 27, ""SELL:FERTILIZER"": 272, ""SELL:MELON"": 120, ""SELL:MILK"": 177, ""SELL:STRAWBERRY"": 128, ""SELL:WHEAT"": 387, ""SELL:WOOL"": 125}"
v007a_terminal_safe,random,17,1,136970.0,0.0,136970.0,win,DONE,DONE,1,719,0,0,0.601542,1.1057247,1.3077505000000003,1.534459,2.2410388749995036,"{""BUILD_PASTURE"": 12, ""CARE"": 243, ""COLLECT_FERTILIZER"": 268, ""DIG"": 16, ""DROP"": 91, ""EAST"": 985, ""FEED"": 260, ""HARVEST"": 208, ""NORTH"": 1363, ""PASS"": 1527, ""PICKUP"": 66, ""PLACE"": 12, ""PLANT"": 108, ""SOUTH"": 962, ""WATER"": 748, ""WEST"": 1162}","{""PICKUP:COW"": 7, ""PICKUP:SHEEP"": 5, ""PICKUP:WHEAT"": 54, ""PLACE:COW"": 7, ""PLACE:SHEEP"": 5, ""PLANT:CARROT"": 13, ""PLANT:MELON"": 20, ""PLANT:STRAWBERRY"": 37, ""PLANT:WHEAT"": 38}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 209, ""BUY_SEED"": 58, ""HIRE"": 323, ""SELL"": 191}","{""BUY_ANIMAL:COW"": 7, ""BUY_ANIMAL:SHEEP"": 5, ""BUY_PRODUCT:WHEAT"": 557, ""BUY_SEED:CARROT"": 13, ""BUY_SEED:MELON"": 20, ""BUY_SEED:STRAWBERRY"": 37, ""BUY_SEED:WHEAT"": 38, ""SELL:CARROT"": 36, ""SELL:FERTILIZER"": 268, ""SELL:MELON"": 120, ""SELL:MILK"": 176, ""SELL:STRAWBERRY"": 128, ""SELL:WHEAT"": 415, ""SELL:WOOL"": 133}"
