candidate,opponent,games,mean_money,min_money,max_money,mean_margin,wins,ties,losses,win_rate,all_done,agent_errors,invalid_action_shapes,mean_calls,p50_ms,p95_ms,p99_ms,max_ms
current,hamburger,2,98649.5,91933.0,105366.0,-42728.0,0,0,2,0.0,1,0,0,719,0.593062,1.100779105,1.3240299400000013,49.983708
current,random,2,135594.0,135318.0,135870.0,135594.0,2,0,0,1.0,1,0,0,719,0.5992500000000001,1.1267625600000002,1.4866024400000017,13.049708
current,starter,2,138749.5,138229.0,139270.0,135258.0,2,0,0,1.0,1,0,0,719,0.5901875000000001,1.078364175,1.28471544,1.408791
v007a_terminal_safe,hamburger,2,98649.5,91933.0,105366.0,-42728.0,0,0,2,0.0,1,0,0,719,0.5905835,1.0858530600000003,1.325305560000003,1.570084
v007a_terminal_safe,random,2,137344.0,136970.0,137718.0,137344.0,2,0,0,1.0,1,0,0,719,0.6023335000000001,1.105378045,1.3077505000000003,26.747
v007a_terminal_safe,starter,2,138749.5,138229.0,139270.0,135258.0,2,0,0,1.0,1,0,0,719,0.588042,1.0786665000000002,1.290547380000001,1.447292
v007b_idle_fertilizer,hamburger,2,93781.5,87175.0,100388.0,-49622.5,0,0,2,0.0,1,0,0,719,0.5945625000000001,1.0949311700000002,1.2826855,52.258417
v007b_idle_fertilizer,random,2,131923.0,130064.0,133782.0,131923.0,2,0,0,1.0,1,0,0,719,0.5980209999999999,1.1198567500000003,1.2842219400000012,11.367416
v007b_idle_fertilizer,starter,2,133924.0,132730.0,135118.0,130439.0,2,0,0,1.0,1,0,0,719,0.5916874999999999,1.0685134100000002,1.3059698800000004,19.758583
v007c_combined,hamburger,2,93781.5,87175.0,100388.0,-49622.5,0,0,2,0.0,1,0,0,719,0.601375,1.095380535,1.2891663800000015,15.708583
v007c_combined,random,2,131444.5,127634.0,135255.0,131444.5,2,0,0,1.0,1,0,0,719,0.601667,1.135297295,1.3156711800000007,26.920125
v007c_combined,starter,2,133924.0,132730.0,135118.0,130439.0,2,0,0,1.0,1,0,0,719,0.5925,1.0918458950000003,1.257745000000001,1.731916
