candidate,opponent,games,mean_money,min_money,max_money,mean_margin,wins,ties,losses,win_rate,all_done,agent_errors,invalid_action_shapes,mean_calls,p50_ms,p95_ms,p99_ms,max_ms
current,hamburger,12,100186.41666666667,88730.0,113756.0,-48241.0,0,0,12,0.0,1,0,0,719,0.848125,1.6184760550000001,2.425600000000009,42.753291
current,random,12,134833.08333333334,127864.0,144569.0,134795.58333333334,12,0,0,1.0,1,0,0,719,0.8064795,1.56750409,1.9208413800000024,37.996291
current,starter,12,136735.66666666666,132023.0,140738.0,133244.41666666666,12,0,0,1.0,1,0,0,719,0.6565000000000001,1.3428204250000002,1.6534619400000012,48.332875
v007a_terminal_safe,hamburger,12,100186.41666666667,88730.0,113756.0,-48241.0,0,0,12,0.0,1,0,0,719,0.8402495,1.6003700950000002,2.244580620000008,64.635917
v007a_terminal_safe,random,12,134793.66666666666,130970.0,139624.0,134731.16666666666,12,0,0,1.0,1,0,0,719,0.805896,1.5906201800000002,1.9653081200000009,45.09875
v007a_terminal_safe,starter,12,136735.66666666666,132023.0,140738.0,133244.41666666666,12,0,0,1.0,1,0,0,719,0.6570625,1.33378549,1.7282325000000012,56.553875
v007b_idle_fertilizer,hamburger,12,95566.91666666667,82985.0,106145.0,-54317.416666666664,0,0,12,0.0,1,0,0,719,0.837021,1.67367378,2.2769481200000015,49.839667
v007b_idle_fertilizer,random,12,129253.25,114852.0,136517.0,129229.91666666667,12,0,0,1.0,1,0,0,719,0.8040625,1.56096939,2.0175455000000104,49.168292
v007b_idle_fertilizer,starter,12,131935.5,125764.0,140683.0,128443.83333333333,12,0,0,1.0,1,0,0,719,0.6719165,1.3425476349999999,1.7353081800000003,48.843208
v007c_combined,hamburger,12,95566.91666666667,82985.0,106145.0,-54317.416666666664,0,0,12,0.0,1,0,0,719,0.8433539999999999,1.641846845,2.693543060000005,67.19175
v007c_combined,random,12,131852.5,127224.0,136728.0,131850.83333333334,12,0,0,1.0,1,0,0,719,0.789396,1.5430805050000003,2.0088785600000048,48.523417
v007c_combined,starter,12,131935.5,125764.0,140683.0,128443.83333333333,12,0,0,1.0,1,0,0,719,0.6715,1.3276055850000001,1.720506940000002,27.679625
