candidate,opponent,games,mean_money,min_money,max_money,mean_margin,wins,ties,losses,win_rate,all_done,agent_errors,invalid_action_shapes,mean_fallbacks,max_fallbacks,mean_route_switches,mean_calls,p50_ms,p95_ms,p99_ms,max_ms
v008_current,builder,6,98452.66666666667,90021.0,103851.0,-30920.0,0,0,6,0.0,1,0,0,0,0,0,719,0.82935,1.4836,1.9178800000000016,2.606
v008_current,frontier,6,94411.16666666667,85845.0,102225.0,-38497.166666666664,0,0,6,0.0,1,0,0,0,0,0,719,0.82565,1.5037425,1.8017080000000008,2.6234
v008_current,hamburger,6,98845.33333333333,91933.0,105520.0,-45165.833333333336,0,0,6,0.0,1,0,0,0,0,0,719,0.8138,1.5268675000000003,1.7728080000000022,2.2806
v008_current,random,6,134944.66666666666,127673.0,140098.0,134944.66666666666,6,0,0,1.0,1,0,0,0,0,0,719,0.79225,1.4890625,1.7997720000000013,170.2017
v008_current,starter,6,138208.5,135325.0,140738.0,134715.0,6,0,0,1.0,1,0,0,0,0,0,719,0.81925,1.8300575000000001,2.271630000000003,2.8913
v008_frontier,builder,6,136037.83333333334,111252.0,151190.0,6436.833333333333,4,0,2,0.6666666666666666,1,0,0,2.8333333333333335,7,1,719,0.9198,1.5679575000000003,1.853732000000001,2.4879
v008_frontier,frontier,6,115599.16666666667,93764.0,138354.0,204.16666666666666,3,0,3,0.5,1,0,0,2,2,1,719,0.9091,1.5979150000000004,1.878110000000002,2.7004
v008_frontier,hamburger,6,114831.33333333333,93420.0,134604.0,-1849.1666666666667,1,0,5,0.16666666666666666,1,0,0,2,2,1,719,0.90925,1.5912925,1.8827120000000024,2.4694
v008_frontier,random,6,184005.33333333334,162260.0,198326.0,184005.33333333334,6,0,0,1.0,1,0,0,2,2,1,719,0.90955,1.6995775000000002,2.0843180000000054,177.1894
v008_frontier,starter,6,183268.66666666666,169823.0,193571.0,179767.66666666666,6,0,0,1.0,1,0,0,2,2,1,719,0.8858,1.5848425000000002,1.822564000000002,2.4141
v008_q100,builder,6,136037.83333333334,111252.0,151190.0,6436.833333333333,4,0,2,0.6666666666666666,1,0,0,2.8333333333333335,7,1,719,0.9420999999999999,1.6313125000000002,1.9569100000000001,2.3731
v008_q100,frontier,6,115599.16666666667,93764.0,138354.0,204.16666666666666,3,0,3,0.5,1,0,0,2,2,1,719,0.9455,1.67462,2.0345060000000013,2.6151
v008_q100,hamburger,6,114831.33333333333,93420.0,134604.0,-1849.1666666666667,1,0,5,0.16666666666666666,1,0,0,2,2,1,719,0.92735,1.6705725000000002,1.9757900000000008,211.9015
v008_q100,random,6,179923.16666666666,167193.0,198001.0,179864.83333333334,6,0,0,1.0,1,0,0,2,2,1,719,0.8988499999999999,1.5911450000000005,1.8731240000000007,2.5204
v008_q100,starter,6,183268.66666666666,169823.0,193571.0,179767.66666666666,6,0,0,1.0,1,0,0,2,2,1,719,0.87905,1.5734599999999999,1.9991960000000026,162.7878
v008_q25,builder,6,136037.83333333334,111252.0,151190.0,6436.833333333333,4,0,2,0.6666666666666666,1,0,0,2.8333333333333335,7,1,719,0.9288000000000001,1.6661325000000005,1.9349420000000013,160.8603
v008_q25,frontier,6,115599.16666666667,93764.0,138354.0,204.16666666666666,3,0,3,0.5,1,0,0,2,2,1,719,0.91425,1.5952075000000001,1.853660000000002,2.3972
v008_q25,hamburger,6,114831.33333333333,93420.0,134604.0,-1849.1666666666667,1,0,5,0.16666666666666666,1,0,0,2,2,1,719,0.91815,1.58226,1.880748,2.3655
