candidate,opponent,games,mean_money,min_money,max_money,mean_margin,wins,ties,losses,win_rate,all_done,agent_errors,invalid_action_shapes,mean_fallbacks,max_fallbacks,mean_route_switches,mean_calls,p50_ms,p95_ms,p99_ms,max_ms
current,frontier,12,97185.91666666667,85845.0,108254.0,-43397.916666666664,0,0,12,0.0,1,0,0,0,0,0,719,0.6122295,1.1239865500000001,1.441827500000002,66.750125
current,hamburger,12,100186.41666666667,88730.0,113756.0,-48241.0,0,0,12,0.0,1,0,0,0,0,0,719,0.6189795,1.1548110600000001,1.6173470000000016,65.600458
current,random,12,134065.0,125556.0,140737.0,134050.0,12,0,0,1.0,1,0,0,0,0,0,719,0.615,1.1305515499999998,1.3454150000000002,43.879208
current,starter,12,136735.66666666666,132023.0,140738.0,133244.41666666666,12,0,0,1.0,1,0,0,0,0,0,719,0.5972295000000001,1.1096963350000002,1.3262293200000002,32.239208
v009a_market_memory,frontier,12,98077.25,85356.0,108030.0,-42751.416666666664,0,0,12,0.0,1,0,0,0,0,0,719,0.6514375,1.1773642300000002,1.41487994,64.959958
v009a_market_memory,hamburger,12,100220.08333333333,89282.0,113788.0,-48577.833333333336,0,0,12,0.0,1,0,0,0,0,0,719,0.658771,1.165252905,1.380094000000001,48.317542
v009a_market_memory,random,12,133793.25,124984.0,140012.0,133793.25,12,0,0,1.0,1,0,0,0,0,0,719,0.638604,1.206799675,1.5566499400000002,50.674584
v009a_market_memory,starter,12,136752.08333333334,132057.0,140738.0,133260.83333333334,12,0,0,1.0,1,0,0,0,0,0,719,0.6258125,1.13099122,1.3650686800000011,52.995166
v009b_public_meta_counter,frontier,12,97181.16666666667,85827.0,108254.0,-43405.416666666664,0,0,12,0.0,1,0,0,0,0,0,719,0.6524165,1.1660960350000003,1.4231880600000002,37.559458
v009b_public_meta_counter,hamburger,12,100183.66666666667,88707.0,113756.0,-48243.75,0,0,12,0.0,1,0,0,0,0,0,719,0.6568745,1.154092935,1.3680544400000016,38.918792
v009b_public_meta_counter,random,12,137272.41666666666,131343.0,144708.0,137272.41666666666,12,0,0,1.0,1,0,0,0,0,0,719,0.6232085,1.1425710100000002,1.3589860600000003,46.569917
v009b_public_meta_counter,starter,12,136735.66666666666,132023.0,140738.0,133244.41666666666,12,0,0,1.0,1,0,0,0,0,0,719,0.6124585,1.1177072049999999,1.3390693200000001,29.437917
