seed,seat,candidate_money,opponent_money,margin,result,candidate_status,opponent_status,game_done,action_calls,agent_errors,invalid_action_shapes,runtime_p50_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,wall_seconds,route_fallbacks,route_switches,route_history,daily_cash,field_counts,market_counts,market_quantities,candidate,opponent
17,0,108539.0,108539.0,0.0,tie,DONE,DONE,1,719,0,0,0.601167,1.0937673,1.3195555600000026,1.460625,3.5453015829989454,0,0,[],"{""0"": 86.0, ""1"": 83.0, ""10"": 6660.0, ""11"": 12931.0, ""12"": 10796.0, ""13"": 13923.0, ""14"": 13941.0, ""15"": 15270.0, ""16"": 19557.0, ""17"": 22766.0, ""18"": 28499.0, ""19"": 35211.0, ""2"": 103.0, ""20"": 45659.0, ""21"": 58527.0, ""22"": 58699.0, ""23"": 65296.0, ""24"": 71311.0, ""25"": 83259.0, ""26"": 85153.0, ""27"": 94566.0, ""28"": 107381.0, ""3"": 110.0, ""4"": 129.0, ""5"": 501.0, ""6"": 682.0, ""7"": 112.0, ""8"": 1085.0, ""9"": 1642.0}","{""BUILD_PASTURE"": 12, ""CARE"": 235, ""COLLECT_FERTILIZER"": 269, ""DIG"": 20, ""DROP"": 72, ""EAST"": 836, ""FEED"": 256, ""HARVEST"": 201, ""NORTH"": 1325, ""PASS"": 1662, ""PICKUP"": 66, ""PLACE"": 12, ""PLANT"": 103, ""SOUTH"": 992, ""WATER"": 740, ""WEST"": 1071}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 197, ""BUY_SEED"": 49, ""HIRE"": 316, ""SELL"": 190}","{""BUY_ANIMAL:COW"": 7, ""BUY_ANIMAL:SHEEP"": 5, ""BUY_PRODUCT:WHEAT"": 518, ""BUY_SEED:CARROT"": 14, ""BUY_SEED:MELON"": 18, ""BUY_SEED:STRAWBERRY"": 38, ""BUY_SEED:WHEAT"": 40, ""SELL:CARROT"": 30, ""SELL:FERTILIZER"": 269, ""SELL:MELON"": 102, ""SELL:MILK"": 183, ""SELL:STRAWBERRY"": 130, ""SELL:WHEAT"": 397, ""SELL:WOOL"": 116}",control,baseline
17,1,108539.0,108539.0,0.0,tie,DONE,DONE,1,719,0,0,0.574583,1.0924247,1.2509300000000005,1.357,3.475705332995858,0,0,[],"{""0"": 86.0, ""1"": 83.0, ""10"": 6660.0, ""11"": 12931.0, ""12"": 10796.0, ""13"": 13923.0, ""14"": 13941.0, ""15"": 15270.0, ""16"": 19557.0, ""17"": 22766.0, ""18"": 28499.0, ""19"": 35211.0, ""2"": 103.0, ""20"": 45659.0, ""21"": 58527.0, ""22"": 58699.0, ""23"": 65296.0, ""24"": 71311.0, ""25"": 83259.0, ""26"": 85153.0, ""27"": 94566.0, ""28"": 107381.0, ""3"": 110.0, ""4"": 129.0, ""5"": 501.0, ""6"": 682.0, ""7"": 112.0, ""8"": 1085.0, ""9"": 1642.0}","{""BUILD_PASTURE"": 12, ""CARE"": 235, ""COLLECT_FERTILIZER"": 269, ""DIG"": 19, ""DROP"": 72, ""EAST"": 836, ""FEED"": 256, ""HARVEST"": 201, ""NORTH"": 1325, ""PASS"": 1663, ""PICKUP"": 66, ""PLACE"": 12, ""PLANT"": 103, ""SOUTH"": 992, ""WATER"": 740, ""WEST"": 1071}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 197, ""BUY_SEED"": 49, ""HIRE"": 316, ""SELL"": 190}","{""BUY_ANIMAL:COW"": 7, ""BUY_ANIMAL:SHEEP"": 5, ""BUY_PRODUCT:WHEAT"": 518, ""BUY_SEED:CARROT"": 14, ""BUY_SEED:MELON"": 18, ""BUY_SEED:STRAWBERRY"": 38, ""BUY_SEED:WHEAT"": 40, ""SELL:CARROT"": 30, ""SELL:FERTILIZER"": 269, ""SELL:MELON"": 102, ""SELL:MILK"": 183, ""SELL:STRAWBERRY"": 130, ""SELL:WHEAT"": 397, ""SELL:WOOL"": 116}",control,baseline
42,0,112687.0,113221.0,-534.0,loss,DONE,DONE,1,719,0,0,0.616542,1.1103209,1.3443576200000007,66.958166,3.5875850419979542,0,0,[],"{""0"": 86.0, ""1"": 83.0, ""10"": 8845.0, ""11"": 13269.0, ""12"": 10789.0, ""13"": 14360.0, ""14"": 15786.0, ""15"": 19793.0, ""16"": 21661.0, ""17"": 25143.0, ""18"": 27980.0, ""19"": 34261.0, ""2"": 103.0, ""20"": 48234.0, ""21"": 49770.0, ""22"": 59939.0, ""23"": 68141.0, ""24"": 68942.0, ""25"": 80738.0, ""26"": 86160.0, ""27"": 96162.0, ""28"": 110606.0, ""3"": 109.0, ""4"": 125.0, ""5"": 504.0, ""6"": 676.0, ""7"": 100.0, ""8"": 899.0, ""9"": 1661.0}","{""BUILD_PASTURE"": 12, ""CARE"": 246, ""COLLECT_FERTILIZER"": 272, ""DIG"": 16, ""DROP"": 74, ""EAST"": 899, ""FEED"": 253, ""HARVEST"": 196, ""NORTH"": 1283, ""PASS"": 1703, ""PICKUP"": 71, ""PLACE"": 12, ""PLANT"": 101, ""SOUTH"": 939, ""WATER"": 738, ""WEST"": 1101}","{""BUY_ANIMAL"": 6, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 194, ""BUY_SEED"": 46, ""HIRE"": 318, ""SELL"": 192}","{""BUY_ANIMAL:COW"": 6, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 527, ""BUY_SEED:CARROT"": 12, ""BUY_SEED:MELON"": 18, ""BUY_SEED:STRAWBERRY"": 38, ""BUY_SEED:WHEAT"": 36, ""SELL:CARROT"": 30, ""SELL:FERTILIZER"": 272, ""SELL:MELON"": 103, ""SELL:MILK"": 152, ""SELL:STRAWBERRY"": 128, ""SELL:WHEAT"": 398, ""SELL:WOOL"": 141}",control,baseline
42,1,113221.0,112687.0,534.0,win,DONE,DONE,1,719,0,0,0.58875,1.0977214,1.2487345000000012,1.351375,3.5011640830052784,0,0,[],"{""0"": 86.0, ""1"": 83.0, ""10"": 8845.0, ""11"": 13269.0, ""12"": 10789.0, ""13"": 14360.0, ""14"": 15786.0, ""15"": 19793.0, ""16"": 21658.0, ""17"": 25220.0, ""18"": 30847.0, ""19"": 35336.0, ""2"": 103.0, ""20"": 49645.0, ""21"": 51742.0, ""22"": 60878.0, ""23"": 67363.0, ""24"": 73408.0, ""25"": 82968.0, ""26"": 87923.0, ""27"": 96586.0, ""28"": 111293.0, ""3"": 109.0, ""4"": 125.0, ""5"": 504.0, ""6"": 676.0, ""7"": 100.0, ""8"": 899.0, ""9"": 1661.0}","{""BUILD_PASTURE"": 12, ""CARE"": 242, ""COLLECT_FERTILIZER"": 272, ""DIG"": 19, ""DROP"": 77, ""EAST"": 948, ""FEED"": 255, ""HARVEST"": 196, ""NORTH"": 1273, ""PASS"": 1666, ""PICKUP"": 71, ""PLACE"": 12, ""PLANT"": 101, ""SOUTH"": 919, ""WATER"": 748, ""WEST"": 1079}","{""BUY_ANIMAL"": 6, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 204, ""BUY_SEED"": 50, ""HIRE"": 317, ""SELL"": 191}","{""BUY_ANIMAL:COW"": 6, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 530, ""BUY_SEED:CARROT"": 13, ""BUY_SEED:MELON"": 18, ""BUY_SEED:STRAWBERRY"": 38, ""BUY_SEED:WHEAT"": 38, ""SELL:CARROT"": 33, ""SELL:FERTILIZER"": 272, ""SELL:MELON"": 102, ""SELL:MILK"": 157, ""SELL:STRAWBERRY"": 127, ""SELL:WHEAT"": 399, ""SELL:WOOL"": 137}",control,baseline
2026,0,97036.0,96757.0,279.0,win,DONE,DONE,1,719,0,0,0.607584,1.0951086,1.2468636800000001,1.468666,3.563575041000149,0,0,[],"{""0"": 86.0, ""1"": 83.0, ""10"": 3713.0, ""11"": 10195.0, ""12"": 9985.0, ""13"": 13130.0, ""14"": 13192.0, ""15"": 15980.0, ""16"": 19715.0, ""17"": 21587.0, ""18"": 23835.0, ""19"": 27950.0, ""2"": 103.0, ""20"": 37785.0, ""21"": 43318.0, ""22"": 50278.0, ""23"": 53548.0, ""24"": 62038.0, ""25"": 69153.0, ""26"": 76734.0, ""27"": 82167.0, ""28"": 93563.0, ""3"": 109.0, ""4"": 125.0, ""5"": 504.0, ""6"": 676.0, ""7"": 91.0, ""8"": 609.0, ""9"": 1167.0}","{""BUILD_PASTURE"": 12, ""CARE"": 216, ""COLLECT_FERTILIZER"": 274, ""DIG"": 26, ""DROP"": 69, ""EAST"": 869, ""FEED"": 257, ""HARVEST"": 181, ""NORTH"": 1318, ""PASS"": 1563, ""PICKUP"": 68, ""PLACE"": 12, ""PLANT"": 98, ""SOUTH"": 1016, ""WATER"": 778, ""WEST"": 1095}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 192, ""BUY_SEED"": 48, ""HIRE"": 315, ""SELL"": 181}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 4, ""BUY_PRODUCT:WHEAT"": 524, ""BUY_SEED:CARROT"": 12, ""BUY_SEED:MELON"": 18, ""BUY_SEED:STRAWBERRY"": 38, ""BUY_SEED:WHEAT"": 39, ""SELL:CARROT"": 24, ""SELL:FERTILIZER"": 274, ""SELL:MELON"": 105, ""SELL:MILK"": 180, ""SELL:STRAWBERRY"": 123, ""SELL:WHEAT"": 394, ""SELL:WOOL"": 94}",control,baseline
2026,1,96757.0,97036.0,-279.0,loss,DONE,DONE,1,719,0,0,0.60525,1.0789039000000002,1.27327362,1.424542,3.522136249994219,0,0,[],"{""0"": 86.0, ""1"": 83.0, ""10"": 3713.0, ""11"": 10195.0, ""12"": 9985.0, ""13"": 13130.0, ""14"": 13234.0, ""15"": 16024.0, ""16"": 20044.0, ""17"": 21778.0, ""18"": 23383.0, ""19"": 28789.0, ""2"": 103.0, ""20"": 40826.0, ""21"": 44933.0, ""22"": 52461.0, ""23"": 51988.0, ""24"": 59153.0, ""25"": 70666.0, ""26"": 75846.0, ""27"": 82039.0, ""28"": 93284.0, ""3"": 109.0, ""4"": 125.0, ""5"": 504.0, ""6"": 676.0, ""7"": 91.0, ""8"": 609.0, ""9"": 1167.0}","{""BUILD_PASTURE"": 12, ""CARE"": 209, ""COLLECT_FERTILIZER"": 274, ""DIG"": 18, ""DROP"": 78, ""EAST"": 898, ""FEED"": 254, ""HARVEST"": 180, ""NORTH"": 1364, ""PASS"": 1488, ""PICKUP"": 69, ""PLACE"": 12, ""PLANT"": 100, ""SOUTH"": 1035, ""WATER"": 767, ""WEST"": 1141}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 201, ""BUY_SEED"": 49, ""HIRE"": 317, ""SELL"": 190}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 4, ""BUY_PRODUCT:WHEAT"": 519, ""BUY_SEED:CARROT"": 12, ""BUY_SEED:MELON"": 18, ""BUY_SEED:STRAWBERRY"": 38, ""BUY_SEED:WHEAT"": 39, ""SELL:CARROT"": 27, ""SELL:FERTILIZER"": 274, ""SELL:MELON"": 108, ""SELL:MILK"": 173, ""SELL:STRAWBERRY"": 123, ""SELL:WHEAT"": 390, ""SELL:WOOL"": 91}",control,baseline
217,0,101177.0,99287.0,1890.0,win,DONE,DONE,1,719,0,0,0.620542,1.08835,1.260799440000002,1.475458,3.5492270840040874,0,0,[],"{""0"": 86.0, ""1"": 83.0, ""10"": 7351.0, ""11"": 10330.0, ""12"": 10105.0, ""13"": 13092.0, ""14"": 16026.0, ""15"": 16699.0, ""16"": 19554.0, ""17"": 22790.0, ""18"": 28599.0, ""19"": 32875.0, ""2"": 103.0, ""20"": 48150.0, ""21"": 48803.0, ""22"": 54616.0, ""23"": 59549.0, ""24"": 64678.0, ""25"": 74632.0, ""26"": 85325.0, ""27"": 88308.0, ""28"": 99424.0, ""3"": 110.0, ""4"": 129.0, ""5"": 501.0, ""6"": 674.0, ""7"": 95.0, ""8"": 999.0, ""9"": 1468.0}","{""BUILD_PASTURE"": 12, ""CARE"": 246, ""COLLECT_FERTILIZER"": 275, ""DIG"": 17, ""DROP"": 81, ""EAST"": 876, ""FEED"": 261, ""HARVEST"": 197, ""NORTH"": 1329, ""PASS"": 1642, ""PICKUP"": 70, ""PLACE"": 12, ""PLANT"": 102, ""SOUTH"": 952, ""WATER"": 740, ""WEST"": 1081}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 198, ""BUY_SEED"": 46, ""HIRE"": 317, ""SELL"": 190}","{""BUY_ANIMAL:COW"": 4, ""BUY_ANIMAL:SHEEP"": 8, ""BUY_PRODUCT:WHEAT"": 522, ""BUY_SEED:CARROT"": 13, ""BUY_SEED:MELON"": 18, ""BUY_SEED:STRAWBERRY"": 38, ""BUY_SEED:WHEAT"": 35, ""SELL:CARROT"": 36, ""SELL:FERTILIZER"": 275, ""SELL:MELON"": 108, ""SELL:MILK"": 117, ""SELL:STRAWBERRY"": 129, ""SELL:WHEAT"": 378, ""SELL:WOOL"": 185}",control,baseline
217,1,99287.0,101177.0,-1890.0,loss,DONE,DONE,1,719,0,0,0.592375,1.0640664000000002,1.22488944,1.339958,3.491564625001047,0,0,[],"{""0"": 86.0, ""1"": 83.0, ""10"": 7351.0, ""11"": 10330.0, ""12"": 10065.0, ""13"": 13048.0, ""14"": 15982.0, ""15"": 16655.0, ""16"": 19434.0, ""17"": 23626.0, ""18"": 28940.0, ""19"": 33098.0, ""2"": 103.0, ""20"": 45265.0, ""21"": 48950.0, ""22"": 53475.0, ""23"": 57800.0, ""24"": 66018.0, ""25"": 72414.0, ""26"": 84304.0, ""27"": 86449.0, ""28"": 97924.0, ""3"": 110.0, ""4"": 129.0, ""5"": 501.0, ""6"": 674.0, ""7"": 95.0, ""8"": 999.0, ""9"": 1468.0}","{""BUILD_PASTURE"": 12, ""CARE"": 243, ""COLLECT_FERTILIZER"": 275, ""DIG"": 19, ""DROP"": 78, ""EAST"": 851, ""FEED"": 263, ""HARVEST"": 196, ""NORTH"": 1325, ""PASS"": 1613, ""PICKUP"": 69, ""PLACE"": 12, ""PLANT"": 102, ""SOUTH"": 992, ""WATER"": 750, ""WEST"": 1090}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 207, ""BUY_SEED"": 47, ""HIRE"": 317, ""SELL"": 207}","{""BUY_ANIMAL:COW"": 4, ""BUY_ANIMAL:SHEEP"": 8, ""BUY_PRODUCT:WHEAT"": 525, ""BUY_SEED:CARROT"": 14, ""BUY_SEED:MELON"": 18, ""BUY_SEED:STRAWBERRY"": 38, ""BUY_SEED:WHEAT"": 36, ""SELL:CARROT"": 33, ""SELL:FERTILIZER"": 275, ""SELL:MELON"": 107, ""SELL:MILK"": 113, ""SELL:STRAWBERRY"": 128, ""SELL:WHEAT"": 388, ""SELL:WOOL"": 188}",control,baseline
317,0,110846.0,110846.0,0.0,tie,DONE,DONE,1,719,0,0,0.607708,1.1033080000000004,1.30312618,36.281375,3.5196389999982785,0,0,[],"{""0"": 86.0, ""1"": 83.0, ""10"": 4841.0, ""11"": 11206.0, ""12"": 11016.0, ""13"": 15040.0, ""14"": 18131.0, ""15"": 19548.0, ""16"": 23961.0, ""17"": 27122.0, ""18"": 31578.0, ""19"": 36988.0, ""2"": 103.0, ""20"": 49097.0, ""21"": 55153.0, ""22"": 60782.0, ""23"": 64321.0, ""24"": 80392.0, ""25"": 85320.0, ""26"": 90861.0, ""27"": 94726.0, ""28"": 107853.0, ""3"": 110.0, ""4"": 129.0, ""5"": 501.0, ""6"": 674.0, ""7"": 91.0, ""8"": 1104.0, ""9"": 1850.0}","{""BUILD_PASTURE"": 12, ""CARE"": 241, ""COLLECT_FERTILIZER"": 269, ""DIG"": 29, ""DROP"": 58, ""EAST"": 953, ""FEED"": 260, ""HARVEST"": 178, ""NORTH"": 1229, ""PASS"": 1681, ""PICKUP"": 71, ""PLACE"": 12, ""PLANT"": 94, ""SOUTH"": 859, ""WATER"": 726, ""WEST"": 1109}","{""BUY_ANIMAL"": 6, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 197, ""BUY_SEED"": 44, ""HIRE"": 312, ""SELL"": 163}","{""BUY_ANIMAL:COW"": 6, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 524, ""BUY_SEED:CARROT"": 9, ""BUY_SEED:MELON"": 18, ""BUY_SEED:STRAWBERRY"": 38, ""BUY_SEED:WHEAT"": 38, ""SELL:CARROT"": 20, ""SELL:FERTILIZER"": 269, ""SELL:MELON"": 100, ""SELL:MILK"": 150, ""SELL:STRAWBERRY"": 116, ""SELL:WHEAT"": 372, ""SELL:WOOL"": 149}",control,baseline
317,1,110846.0,110846.0,0.0,tie,DONE,DONE,1,719,0,0,0.582208,1.0658583000000001,1.2657980000000013,1.396416,3.456583833001787,0,0,[],"{""0"": 86.0, ""1"": 83.0, ""10"": 4841.0, ""11"": 11206.0, ""12"": 11016.0, ""13"": 15040.0, ""14"": 18131.0, ""15"": 19548.0, ""16"": 23961.0, ""17"": 27122.0, ""18"": 31578.0, ""19"": 36988.0, ""2"": 103.0, ""20"": 49097.0, ""21"": 55153.0, ""22"": 60782.0, ""23"": 64321.0, ""24"": 80392.0, ""25"": 85320.0, ""26"": 90861.0, ""27"": 94726.0, ""28"": 107853.0, ""3"": 110.0, ""4"": 129.0, ""5"": 501.0, ""6"": 674.0, ""7"": 91.0, ""8"": 1104.0, ""9"": 1850.0}","{""BUILD_PASTURE"": 12, ""CARE"": 241, ""COLLECT_FERTILIZER"": 269, ""DIG"": 31, ""DROP"": 58, ""EAST"": 952, ""FEED"": 260, ""HARVEST"": 178, ""NORTH"": 1231, ""PASS"": 1674, ""PICKUP"": 71, ""PLACE"": 12, ""PLANT"": 94, ""SOUTH"": 860, ""WATER"": 726, ""WEST"": 1112}","{""BUY_ANIMAL"": 6, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 197, ""BUY_SEED"": 44, ""HIRE"": 312, ""SELL"": 163}","{""BUY_ANIMAL:COW"": 6, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 524, ""BUY_SEED:CARROT"": 9, ""BUY_SEED:MELON"": 18, ""BUY_SEED:STRAWBERRY"": 38, ""BUY_SEED:WHEAT"": 38, ""SELL:CARROT"": 20, ""SELL:FERTILIZER"": 269, ""SELL:MELON"": 100, ""SELL:MILK"": 150, ""SELL:STRAWBERRY"": 116, ""SELL:WHEAT"": 372, ""SELL:WOOL"": 149}",control,baseline
