candidate,opponent,games,mean_money,min_money,max_money,mean_margin,wins,ties,losses,win_rate,all_done,agent_errors,invalid_action_shapes,mean_fallbacks,max_fallbacks,mean_route_switches,mean_calls,p50_ms,p95_ms,p99_ms,max_ms
control,baseline,12,105706.75,96757.0,113221.0,0.0,4,4,4,0.3333333333333333,1,0,0,0,0,0,719,0.5967709999999999,1.1205939950000001,1.3443576200000007,66.958166
control,frontier,12,97185.91666666667,85845.0,108254.0,-43397.916666666664,0,0,12,0.0,1,0,0,0,0,0,719,0.613687,1.123722555,1.395213940000002,65.643833
control,hamburger,12,100186.41666666667,88730.0,113756.0,-48241.0,0,0,12,0.0,1,0,0,0,0,0,719,0.6186665,1.11254088,1.326884880000002,35.880375
control,random,12,136264.66666666666,131024.0,142140.0,136198.0,12,0,0,1.0,1,0,0,0,0,0,719,0.6157085,1.144145855,1.4292001200000055,46.116084
control,starter,12,136735.66666666666,132023.0,140738.0,133244.41666666666,12,0,0,1.0,1,0,0,0,0,0,719,0.5998335,1.10491712,1.3411418800000008,53.413333
v010a_crop_mix,baseline,12,100285.08333333333,81873.0,109574.0,-14060.75,0,0,12,0.0,1,0,0,0,0,0,719,0.5723545,1.096421265,1.2890250000000005,39.133584
v010a_crop_mix,frontier,12,104295.5,79504.0,113512.0,-38585.833333333336,0,0,12,0.0,1,0,0,0,0,0,719,0.6106875,1.1194660300000001,1.3644098800000029,68.549833
v010a_crop_mix,hamburger,12,103415.75,83812.0,110858.0,-48742.166666666664,0,0,12,0.0,1,0,0,0,0,0,719,0.6121875,1.1162631850000002,1.3486430000000003,47.685292
v010a_crop_mix,random,12,136171.0,122516.0,147318.0,136171.0,12,0,0,1.0,1,0,0,0,0,0,719,0.6180835,1.15018082,1.3792706200000013,52.744958
v010a_crop_mix,starter,12,136877.83333333334,127100.0,144358.0,133379.58333333334,12,0,0,1.0,1,0,0,0,0,0,719,0.6114165,1.1100372299999999,1.3607040000000024,53.909792
v010b_carrot_half,baseline,12,108270.0,99924.0,116173.0,-987.0,6,0,6,0.5,1,0,0,0,0,0,719,0.608563,1.1107949449999999,1.319609880000001,1.590334
v010b_carrot_half,frontier,12,100082.5,74494.0,110226.0,-46268.583333333336,0,0,12,0.0,1,0,0,0,0,0,719,0.6219165,1.114637275,1.3544238800000001,66.052708
v010b_carrot_half,hamburger,12,94977.83333333333,67676.0,107162.0,-46080.0,0,0,12,0.0,1,0,0,0,0,0,719,0.623042,1.1173912750000001,1.3389030600000018,36.362292
v010b_carrot_half,random,12,134580.58333333334,126391.0,141308.0,134569.75,12,0,0,1.0,1,0,0,0,0,0,719,0.6153124999999999,1.140923615,1.3602374400000001,52.221584
v010b_carrot_half,starter,12,134808.41666666666,128970.0,144821.0,131314.91666666666,12,0,0,1.0,1,0,0,0,0,0,719,0.6076250000000001,1.1139157499999999,1.331665000000001,41.862917
