seed,seat,candidate_money,opponent_money,margin,result,candidate_status,opponent_status,game_done,action_calls,agent_errors,invalid_action_shapes,runtime_p50_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,wall_seconds,route_fallbacks,route_switches,route_history,daily_cash,field_counts,high_value_counts,market_counts,market_quantities,eod_unwatered_mean,eod_unwatered_max,eod_weeds_mean,eod_weeds_max,max_consecutive_unwatered,v011_stats,candidate,opponent
17,0,108539.0,108539.0,0.0,tie,DONE,DONE,1,719,0,0,0.585,1.0810000000000002,1.2659245000000003,1.398541,3.5049889580041054,0,0,[],{},"{""BUILD_PASTURE"": 12, ""CARE"": 235, ""COLLECT_FERTILIZER"": 269, ""DIG"": 20, ""DROP"": 72, ""EAST"": 836, ""FEED"": 256, ""HARVEST"": 201, ""NORTH"": 1325, ""PASS"": 1662, ""PICKUP"": 66, ""PLACE"": 12, ""PLANT"": 103, ""SOUTH"": 992, ""WATER"": 740, ""WEST"": 1071}","{""HARVEST:HIGH_VALUE"": 72, ""HARVEST:MELON"": 18, ""HARVEST:STRAWBERRY"": 54, ""WATER:HIGH_VALUE"": 575, ""WATER:MELON"": 138, ""WATER:STRAWBERRY"": 437}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 197, ""BUY_SEED"": 49, ""HIRE"": 316, ""SELL"": 190}","{""BUY_ANIMAL:COW"": 7, ""BUY_ANIMAL:SHEEP"": 5, ""BUY_PRODUCT:WHEAT"": 518, ""BUY_SEED:CARROT"": 14, ""BUY_SEED:MELON"": 18, ""BUY_SEED:STRAWBERRY"": 38, ""BUY_SEED:WHEAT"": 40, ""SELL:CARROT"": 30, ""SELL:FERTILIZER"": 269, ""SELL:MELON"": 102, ""SELL:MILK"": 183, ""SELL:STRAWBERRY"": 130, ""SELL:WHEAT"": 397, ""SELL:WOOL"": 116}",10.413793103448276,30,1.7241379310344827,16,1,{},control,baseline
17,1,108539.0,108539.0,0.0,tie,DONE,DONE,1,719,0,0,0.563875,1.0715869,1.22361124,1.387416,3.435384292002709,0,0,[],{},"{""BUILD_PASTURE"": 12, ""CARE"": 235, ""COLLECT_FERTILIZER"": 269, ""DIG"": 19, ""DROP"": 72, ""EAST"": 836, ""FEED"": 256, ""HARVEST"": 201, ""NORTH"": 1325, ""PASS"": 1663, ""PICKUP"": 66, ""PLACE"": 12, ""PLANT"": 103, ""SOUTH"": 992, ""WATER"": 740, ""WEST"": 1071}","{""HARVEST:HIGH_VALUE"": 72, ""HARVEST:MELON"": 18, ""HARVEST:STRAWBERRY"": 54, ""WATER:HIGH_VALUE"": 575, ""WATER:MELON"": 138, ""WATER:STRAWBERRY"": 437}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 197, ""BUY_SEED"": 49, ""HIRE"": 316, ""SELL"": 190}","{""BUY_ANIMAL:COW"": 7, ""BUY_ANIMAL:SHEEP"": 5, ""BUY_PRODUCT:WHEAT"": 518, ""BUY_SEED:CARROT"": 14, ""BUY_SEED:MELON"": 18, ""BUY_SEED:STRAWBERRY"": 38, ""BUY_SEED:WHEAT"": 40, ""SELL:CARROT"": 30, ""SELL:FERTILIZER"": 269, ""SELL:MELON"": 102, ""SELL:MILK"": 183, ""SELL:STRAWBERRY"": 130, ""SELL:WHEAT"": 397, ""SELL:WOOL"": 116}",10.413793103448276,30,1.793103448275862,17,1,{},control,baseline
42,0,112687.0,113221.0,-534.0,loss,DONE,DONE,1,719,0,0,0.600875,1.0985125,1.363952440000001,72.153583,3.533649291995971,0,0,[],{},"{""BUILD_PASTURE"": 12, ""CARE"": 246, ""COLLECT_FERTILIZER"": 272, ""DIG"": 16, ""DROP"": 74, ""EAST"": 899, ""FEED"": 253, ""HARVEST"": 196, ""NORTH"": 1283, ""PASS"": 1703, ""PICKUP"": 71, ""PLACE"": 12, ""PLANT"": 101, ""SOUTH"": 939, ""WATER"": 738, ""WEST"": 1101}","{""HARVEST:HIGH_VALUE"": 72, ""HARVEST:MELON"": 18, ""HARVEST:STRAWBERRY"": 54, ""WATER:HIGH_VALUE"": 584, ""WATER:MELON"": 139, ""WATER:STRAWBERRY"": 445}","{""BUY_ANIMAL"": 6, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 194, ""BUY_SEED"": 46, ""HIRE"": 318, ""SELL"": 192}","{""BUY_ANIMAL:COW"": 6, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 527, ""BUY_SEED:CARROT"": 12, ""BUY_SEED:MELON"": 18, ""BUY_SEED:STRAWBERRY"": 38, ""BUY_SEED:WHEAT"": 36, ""SELL:CARROT"": 30, ""SELL:FERTILIZER"": 272, ""SELL:MELON"": 103, ""SELL:MILK"": 152, ""SELL:STRAWBERRY"": 128, ""SELL:WHEAT"": 398, ""SELL:WOOL"": 141}",9.586206896551724,23,2.2758620689655173,19,1,{},control,baseline
42,1,113221.0,112687.0,534.0,win,DONE,DONE,1,719,0,0,0.575041,1.0589125,1.2296775000000002,1.32575,3.458443167000951,0,0,[],{},"{""BUILD_PASTURE"": 12, ""CARE"": 242, ""COLLECT_FERTILIZER"": 272, ""DIG"": 19, ""DROP"": 77, ""EAST"": 948, ""FEED"": 255, ""HARVEST"": 196, ""NORTH"": 1273, ""PASS"": 1666, ""PICKUP"": 71, ""PLACE"": 12, ""PLANT"": 101, ""SOUTH"": 919, ""WATER"": 748, ""WEST"": 1079}","{""HARVEST:HIGH_VALUE"": 72, ""HARVEST:MELON"": 18, ""HARVEST:STRAWBERRY"": 54, ""WATER:HIGH_VALUE"": 591, ""WATER:MELON"": 138, ""WATER:STRAWBERRY"": 453}","{""BUY_ANIMAL"": 6, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 204, ""BUY_SEED"": 50, ""HIRE"": 317, ""SELL"": 191}","{""BUY_ANIMAL:COW"": 6, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 530, ""BUY_SEED:CARROT"": 13, ""BUY_SEED:MELON"": 18, ""BUY_SEED:STRAWBERRY"": 38, ""BUY_SEED:WHEAT"": 38, ""SELL:CARROT"": 33, ""SELL:FERTILIZER"": 272, ""SELL:MELON"": 102, ""SELL:MILK"": 157, ""SELL:STRAWBERRY"": 127, ""SELL:WHEAT"": 399, ""SELL:WOOL"": 137}",9.137931034482758,24,1.7241379310344827,13,1,{},control,baseline
2026,0,97036.0,96757.0,279.0,win,DONE,DONE,1,719,0,0,0.595166,1.0885875,1.2203605600000007,1.493083,3.527224624995142,0,0,[],{},"{""BUILD_PASTURE"": 12, ""CARE"": 216, ""COLLECT_FERTILIZER"": 274, ""DIG"": 26, ""DROP"": 69, ""EAST"": 869, ""FEED"": 257, ""HARVEST"": 181, ""NORTH"": 1318, ""PASS"": 1563, ""PICKUP"": 68, ""PLACE"": 12, ""PLANT"": 98, ""SOUTH"": 1016, ""WATER"": 778, ""WEST"": 1095}","{""HARVEST:HIGH_VALUE"": 65, ""HARVEST:MELON"": 18, ""HARVEST:STRAWBERRY"": 47, ""WATER:HIGH_VALUE"": 627, ""WATER:MELON"": 141, ""WATER:STRAWBERRY"": 486}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 192, ""BUY_SEED"": 48, ""HIRE"": 315, ""SELL"": 181}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 4, ""BUY_PRODUCT:WHEAT"": 524, ""BUY_SEED:CARROT"": 12, ""BUY_SEED:MELON"": 18, ""BUY_SEED:STRAWBERRY"": 38, ""BUY_SEED:WHEAT"": 39, ""SELL:CARROT"": 24, ""SELL:FERTILIZER"": 274, ""SELL:MELON"": 105, ""SELL:MILK"": 180, ""SELL:STRAWBERRY"": 123, ""SELL:WHEAT"": 394, ""SELL:WOOL"": 94}",7.862068965517241,21,1.9655172413793103,12,1,{},control,baseline
2026,1,96757.0,97036.0,-279.0,loss,DONE,DONE,1,719,0,0,0.592,1.0608747,1.207238940000001,1.425875,3.473235833000217,0,0,[],{},"{""BUILD_PASTURE"": 12, ""CARE"": 209, ""COLLECT_FERTILIZER"": 274, ""DIG"": 18, ""DROP"": 78, ""EAST"": 898, ""FEED"": 254, ""HARVEST"": 180, ""NORTH"": 1364, ""PASS"": 1488, ""PICKUP"": 69, ""PLACE"": 12, ""PLANT"": 100, ""SOUTH"": 1035, ""WATER"": 767, ""WEST"": 1141}","{""HARVEST:HIGH_VALUE"": 65, ""HARVEST:MELON"": 18, ""HARVEST:STRAWBERRY"": 47, ""WATER:HIGH_VALUE"": 615, ""WATER:MELON"": 144, ""WATER:STRAWBERRY"": 471}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 201, ""BUY_SEED"": 49, ""HIRE"": 317, ""SELL"": 190}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 4, ""BUY_PRODUCT:WHEAT"": 519, ""BUY_SEED:CARROT"": 12, ""BUY_SEED:MELON"": 18, ""BUY_SEED:STRAWBERRY"": 38, ""BUY_SEED:WHEAT"": 39, ""SELL:CARROT"": 27, ""SELL:FERTILIZER"": 274, ""SELL:MELON"": 108, ""SELL:MILK"": 173, ""SELL:STRAWBERRY"": 123, ""SELL:WHEAT"": 390, ""SELL:WOOL"": 91}",8.517241379310345,21,3.6551724137931036,20,1,{},control,baseline
217,0,101177.0,99287.0,1890.0,win,DONE,DONE,1,719,0,0,0.608583,1.0757503000000002,1.24186994,1.49925,3.488165124996158,0,0,[],{},"{""BUILD_PASTURE"": 12, ""CARE"": 246, ""COLLECT_FERTILIZER"": 275, ""DIG"": 17, ""DROP"": 81, ""EAST"": 876, ""FEED"": 261, ""HARVEST"": 197, ""NORTH"": 1329, ""PASS"": 1642, ""PICKUP"": 70, ""PLACE"": 12, ""PLANT"": 102, ""SOUTH"": 952, ""WATER"": 740, ""WEST"": 1081}","{""HARVEST:HIGH_VALUE"": 71, ""HARVEST:MELON"": 18, ""HARVEST:STRAWBERRY"": 53, ""WATER:HIGH_VALUE"": 587, ""WATER:MELON"": 144, ""WATER:STRAWBERRY"": 443}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 198, ""BUY_SEED"": 46, ""HIRE"": 317, ""SELL"": 190}","{""BUY_ANIMAL:COW"": 4, ""BUY_ANIMAL:SHEEP"": 8, ""BUY_PRODUCT:WHEAT"": 522, ""BUY_SEED:CARROT"": 13, ""BUY_SEED:MELON"": 18, ""BUY_SEED:STRAWBERRY"": 38, ""BUY_SEED:WHEAT"": 35, ""SELL:CARROT"": 36, ""SELL:FERTILIZER"": 275, ""SELL:MELON"": 108, ""SELL:MILK"": 117, ""SELL:STRAWBERRY"": 129, ""SELL:WHEAT"": 378, ""SELL:WOOL"": 185}",9.689655172413794,23,1.8275862068965518,17,1,{},control,baseline
217,1,99287.0,101177.0,-1890.0,loss,DONE,DONE,1,719,0,0,0.572958,1.0500663000000001,1.2084004400000012,24.2985,3.5121425409961375,0,0,[],{},"{""BUILD_PASTURE"": 12, ""CARE"": 243, ""COLLECT_FERTILIZER"": 275, ""DIG"": 19, ""DROP"": 78, ""EAST"": 851, ""FEED"": 263, ""HARVEST"": 196, ""NORTH"": 1325, ""PASS"": 1613, ""PICKUP"": 69, ""PLACE"": 12, ""PLANT"": 102, ""SOUTH"": 992, ""WATER"": 750, ""WEST"": 1090}","{""HARVEST:HIGH_VALUE"": 71, ""HARVEST:MELON"": 18, ""HARVEST:STRAWBERRY"": 53, ""WATER:HIGH_VALUE"": 591, ""WATER:MELON"": 143, ""WATER:STRAWBERRY"": 448}","{""BUY_ANIMAL"": 7, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 207, ""BUY_SEED"": 47, ""HIRE"": 317, ""SELL"": 207}","{""BUY_ANIMAL:COW"": 4, ""BUY_ANIMAL:SHEEP"": 8, ""BUY_PRODUCT:WHEAT"": 525, ""BUY_SEED:CARROT"": 14, ""BUY_SEED:MELON"": 18, ""BUY_SEED:STRAWBERRY"": 38, ""BUY_SEED:WHEAT"": 36, ""SELL:CARROT"": 33, ""SELL:FERTILIZER"": 275, ""SELL:MELON"": 107, ""SELL:MILK"": 113, ""SELL:STRAWBERRY"": 128, ""SELL:WHEAT"": 388, ""SELL:WOOL"": 188}",9.758620689655173,22,1.8275862068965518,15,1,{},control,baseline
317,0,110846.0,110846.0,0.0,tie,DONE,DONE,1,719,0,0,0.587042,1.0663459,1.2787780600000007,36.594333,3.429892790998565,0,0,[],{},"{""BUILD_PASTURE"": 12, ""CARE"": 241, ""COLLECT_FERTILIZER"": 269, ""DIG"": 29, ""DROP"": 58, ""EAST"": 953, ""FEED"": 260, ""HARVEST"": 178, ""NORTH"": 1229, ""PASS"": 1681, ""PICKUP"": 71, ""PLACE"": 12, ""PLANT"": 94, ""SOUTH"": 859, ""WATER"": 726, ""WEST"": 1109}","{""HARVEST:HIGH_VALUE"": 62, ""HARVEST:MELON"": 18, ""HARVEST:STRAWBERRY"": 44, ""WATER:HIGH_VALUE"": 594, ""WATER:MELON"": 136, ""WATER:STRAWBERRY"": 458}","{""BUY_ANIMAL"": 6, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 197, ""BUY_SEED"": 44, ""HIRE"": 312, ""SELL"": 163}","{""BUY_ANIMAL:COW"": 6, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 524, ""BUY_SEED:CARROT"": 9, ""BUY_SEED:MELON"": 18, ""BUY_SEED:STRAWBERRY"": 38, ""BUY_SEED:WHEAT"": 38, ""SELL:CARROT"": 20, ""SELL:FERTILIZER"": 269, ""SELL:MELON"": 100, ""SELL:MILK"": 150, ""SELL:STRAWBERRY"": 116, ""SELL:WHEAT"": 372, ""SELL:WOOL"": 149}",9.344827586206897,25,0.8620689655172413,6,1,{},control,baseline
317,1,110846.0,110846.0,0.0,tie,DONE,DONE,1,719,0,0,0.57025,1.0404077000000003,1.2403323800000023,1.357542,3.4209622500056867,0,0,[],{},"{""BUILD_PASTURE"": 12, ""CARE"": 241, ""COLLECT_FERTILIZER"": 269, ""DIG"": 31, ""DROP"": 58, ""EAST"": 952, ""FEED"": 260, ""HARVEST"": 178, ""NORTH"": 1231, ""PASS"": 1674, ""PICKUP"": 71, ""PLACE"": 12, ""PLANT"": 94, ""SOUTH"": 860, ""WATER"": 726, ""WEST"": 1112}","{""HARVEST:HIGH_VALUE"": 62, ""HARVEST:MELON"": 18, ""HARVEST:STRAWBERRY"": 44, ""WATER:HIGH_VALUE"": 594, ""WATER:MELON"": 136, ""WATER:STRAWBERRY"": 458}","{""BUY_ANIMAL"": 6, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 197, ""BUY_SEED"": 44, ""HIRE"": 312, ""SELL"": 163}","{""BUY_ANIMAL:COW"": 6, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 524, ""BUY_SEED:CARROT"": 9, ""BUY_SEED:MELON"": 18, ""BUY_SEED:STRAWBERRY"": 38, ""BUY_SEED:WHEAT"": 38, ""SELL:CARROT"": 20, ""SELL:FERTILIZER"": 269, ""SELL:MELON"": 100, ""SELL:MILK"": 150, ""SELL:STRAWBERRY"": 116, ""SELL:WHEAT"": 372, ""SELL:WOOL"": 149}",9.344827586206897,25,0.896551724137931,7,1,{},control,baseline
