candidate,opponent,games,mean_money,min_money,max_money,mean_margin,wins,ties,losses,win_rate,all_done,agent_errors,invalid_action_shapes,mean_fallbacks,max_fallbacks,mean_route_switches,mean_calls,p50_ms,p95_ms,p99_ms,max_ms,mean_eod_unwatered,max_eod_unwatered,mean_eod_weeds,max_eod_weeds,max_consecutive_unwatered,mean_high_value_water,mean_high_value_harvest,mean_pass,mean_movement,mean_feed,mean_care,mean_drop,mean_unassigned_urgent,mean_extra_water_assignments,mean_extra_harvest_assignments,mean_extra_drop_assignments
control,baseline,12,105706.75,96757.0,113221.0,0.0,4,4,4,0.3333333333333333,1,0,0,0,0,0,719,0.58125,1.10968591,1.363952440000001,72.153583,9.637931034482758,30,1.8706896551724137,20,1,587.3333333333334,68.16666666666667,1634.5,4240.0,256.9166666666667,235.33333333333334,72.91666666666667,0.0,0.0,0.0,0.0
control,frontier,12,97185.91666666667,85845.0,108254.0,-43397.916666666664,0,0,12,0.0,1,0,0,0,0,0,719,0.6119375,1.1159799849999998,1.3802800000000013,66.151291,9.778735632183908,27,1.6206896551724137,22,1,586.75,70.75,1578.4166666666667,4305.0,256.6666666666667,228.0,79.16666666666667,0.0,0.0,0.0,0.0
control,hamburger,12,100186.41666666667,88730.0,113756.0,-48241.0,0,0,12,0.0,1,0,0,0,0,0,719,0.6125205,1.13047576,1.4314423800000007,65.223208,9.810344827586206,33,1.5862068965517242,22,1,585.0,71.5,1645.75,4273.333333333333,255.25,232.58333333333334,76.5,0.0,0.0,0.0,0.0
control,random,12,134920.0,129217.0,141540.0,134920.0,12,0,0,1.0,1,0,0,0,0,0,719,0.601541,1.1307245950000002,1.3536475600000004,49.261542,10.126436781609195,30,1.2270114942528736,15,1,577.4166666666666,71.58333333333333,1636.0833333333333,4322.416666666667,259.0,243.25,87.91666666666667,0.0,0.0,0.0,0.0
control,starter,12,136735.66666666666,132023.0,140738.0,133244.41666666666,12,0,0,1.0,1,0,0,0,0,0,719,0.5949165,1.101785215,1.3185811800000002,53.280084,9.686781609195403,28,1.5689655172413792,20,1,591.75,69.33333333333333,1655.75,4305.166666666667,260.25,241.41666666666666,84.0,0.0,0.0,0.0,0.0
v011a_water_guard,baseline,12,101761.66666666667,88543.0,113970.0,-2727.0,7,0,5,0.5833333333333334,1,0,0,0,0,0,719,0.6779165,1.292558955,1.5248699400000003,64.119125,8.974137931034482,34,1.2902298850574712,27,1,565.5,70.33333333333333,1614.1666666666667,4346.333333333333,249.25,227.0,80.33333333333333,6473.083333333333,80.33333333333333,0.0,0.0
v011a_water_guard,frontier,12,96618.5,65029.0,110410.0,-43160.75,0,0,12,0.0,1,0,0,0,0,0,719,0.719229,1.3317606350000002,1.6255775600000006,67.378417,9.64367816091954,31,1.896551724137931,24,1,596.25,71.0,1524.0,4376.833333333333,256.4166666666667,226.83333333333334,80.41666666666667,6959.166666666667,70.08333333333333,0.0,0.0
v011a_water_guard,hamburger,12,99484.75,76146.0,114318.0,-48225.583333333336,0,0,12,0.0,1,0,0,0,0,0,719,0.7174795,1.29524549,1.544896880000002,67.0285,9.632183908045977,28,1.5517241379310345,21,1,595.4166666666666,72.41666666666667,1557.3333333333333,4375.333333333333,258.0833333333333,229.66666666666666,76.5,6902.416666666667,74.5,0.0,0.0
v011a_water_guard,random,12,132523.33333333334,124109.0,137255.0,132515.0,12,0,0,1.0,1,0,0,0,0,0,719,0.694563,1.302080015,1.567400440000003,47.525084,10.209770114942529,31,1.1954022988505748,16,1,571.1666666666666,72.5,1480.3333333333333,4427.0,254.91666666666666,234.5,82.41666666666667,6861.25,72.75,0.0,0.0
v011a_water_guard,starter,12,133704.33333333334,119787.0,143797.0,130213.16666666667,12,0,0,1.0,1,0,0,0,0,0,719,0.698,1.2686873900000002,1.5719395000000032,53.877333,10.25,33,1.5,17,1,570.5,72.83333333333333,1480.1666666666667,4452.25,254.75,234.91666666666666,83.33333333333333,6875.583333333333,77.66666666666667,0.0,0.0
v011b_harvest_storage,baseline,12,104897.58333333333,93883.0,112753.0,-1182.3333333333333,3,1,8,0.25,1,0,0,0,0,0,719,0.6572709999999999,1.2067459550000001,1.438428180000002,68.267834,9.35344827586207,30,1.7873563218390804,20,1,591.25,68.16666666666667,1636.5,4226.166666666667,257.0833333333333,236.41666666666666,71.66666666666667,578.0,0.0,0.0,0.0
v011b_harvest_storage,frontier,12,95628.16666666667,81050.0,109619.0,-44688.25,0,0,12,0.0,1,0,0,0,0,0,719,0.6709585,1.2156427300000001,1.4574394400000001,51.599291,9.543103448275863,28,1.6724137931034484,22,1,587.0,70.75,1600.0,4299.5,256.25,225.83333333333334,78.66666666666667,613.25,0.0,0.0,0.0
v011b_harvest_storage,hamburger,12,97314.41666666667,85876.0,115237.0,-50071.166666666664,0,0,12,0.0,1,0,0,0,0,0,719,0.6756044999999999,1.203503275,1.4619487400000002,36.92325,9.956896551724139,32,1.7758620689655173,20,1,578.0833333333334,71.5,1642.0,4295.833333333333,255.25,230.83333333333334,75.75,634.4166666666666,0.0,0.0,0.0
v011b_harvest_storage,random,12,134105.75,124309.0,144197.0,134105.75,12,0,0,1.0,1,0,0,0,0,0,719,0.6692705,1.2302856100000001,1.4560311200000016,44.797958,9.818965517241379,29,1.3017241379310345,17,1,575.5,72.25,1608.8333333333333,4375.833333333333,260.0,239.08333333333334,85.08333333333333,727.4166666666666,0.0,0.0,0.0
v011b_harvest_storage,starter,12,134349.5,128992.0,138538.0,130859.33333333333,12,0,0,1.0,1,0,0,0,0,0,719,0.6601875,1.2001022150000002,1.4318519400000012,32.967583,9.724137931034482,30,1.5057471264367817,19,1,579.4166666666666,69.33333333333333,1652.75,4324.666666666667,259.6666666666667,242.08333333333334,84.66666666666667,671.8333333333334,0.0,0.0,0.0
