seed,seat,candidate_money,opponent_money,margin,result,candidate_status,opponent_status,game_done,action_calls,agent_errors,route_switches,route_history,runtime_p50_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,wall_seconds,candidate,route
17,0,143303.0,149739.0,-6436.0,loss,DONE,DONE,1,719,0,0,"[{""day"": 0, ""route"": ""automatylicza"", ""step"": 0}]",0.008333,0.055584,0.077125,0.226209,2.9518698750034673,top5_replaced_v18,automatylicza
17,1,150270.0,142751.0,7519.0,win,DONE,DONE,1,719,0,0,"[{""day"": 0, ""route"": ""automatylicza"", ""step"": 0}]",0.007041,0.039958,0.061042,0.094916,2.794759917000192,top5_replaced_v18,automatylicza
42,0,131272.0,130982.0,290.0,win,DONE,DONE,1,719,0,0,"[{""day"": 0, ""route"": ""automatylicza"", ""step"": 0}]",0.008375,0.052625,0.073084,0.378041,2.9302700420012116,top5_replaced_v18,automatylicza
42,1,131371.0,130883.0,488.0,win,DONE,DONE,1,719,0,0,"[{""day"": 0, ""route"": ""automatylicza"", ""step"": 0}]",0.006834,0.040625,0.075875,0.295,2.900761666998733,top5_replaced_v18,automatylicza
2026,0,110294.0,108311.0,1983.0,win,DONE,DONE,1,719,0,2,"[{""day"": 0, ""route"": ""automatylicza"", ""step"": 0}, {""day"": 18, ""route"": ""navazsh_fathi"", ""step"": 432}, {""day"": 21, ""route"": ""automatylicza"", ""step"": 504}]",0.0085,0.046083,0.069167,0.42975,2.9629943749969243,top5_replaced_v18,automatylicza
2026,1,108510.0,110476.0,-1966.0,loss,DONE,DONE,1,719,0,2,"[{""day"": 0, ""route"": ""automatylicza"", ""step"": 0}, {""day"": 18, ""route"": ""navazsh_fathi"", ""step"": 432}, {""day"": 21, ""route"": ""automatylicza"", ""step"": 504}]",0.006833,0.04025,0.059666,0.113583,2.920075125002768,top5_replaced_v18,automatylicza
217,0,103643.0,102890.0,753.0,win,DONE,DONE,1,719,0,0,"[{""day"": 0, ""route"": ""automatylicza"", ""step"": 0}]",0.008459,0.046625,0.069416,0.180541,2.967788666006527,top5_replaced_v18,automatylicza
217,1,103410.0,103123.0,287.0,win,DONE,DONE,1,719,0,0,"[{""day"": 0, ""route"": ""automatylicza"", ""step"": 0}]",0.007083,0.04525,0.061833,0.269708,2.810806583001977,top5_replaced_v18,automatylicza
317,0,132897.0,132208.0,689.0,win,DONE,DONE,1,719,0,2,"[{""day"": 0, ""route"": ""automatylicza"", ""step"": 0}, {""day"": 18, ""route"": ""navazsh_fathi"", ""step"": 432}, {""day"": 21, ""route"": ""automatylicza"", ""step"": 504}]",0.00825,0.042583,0.07525,0.360958,2.944356957996206,top5_replaced_v18,automatylicza
317,1,133038.0,132067.0,971.0,win,DONE,DONE,1,719,0,2,"[{""day"": 0, ""route"": ""automatylicza"", ""step"": 0}, {""day"": 18, ""route"": ""navazsh_fathi"", ""step"": 432}, {""day"": 21, ""route"": ""automatylicza"", ""step"": 504}]",0.006875,0.039375,0.063625,131.151083,2.931214791999082,top5_replaced_v18,automatylicza
733,0,126688.0,126504.0,184.0,win,DONE,DONE,1,719,0,2,"[{""day"": 0, ""route"": ""automatylicza"", ""step"": 0}, {""day"": 18, ""route"": ""navazsh_fathi"", ""step"": 432}, {""day"": 21, ""route"": ""automatylicza"", ""step"": 504}]",0.008208,0.048541,0.069208,0.273208,2.9539472090036725,top5_replaced_v18,automatylicza
733,1,126639.0,126552.0,87.0,win,DONE,DONE,1,719,0,2,"[{""day"": 0, ""route"": ""automatylicza"", ""step"": 0}, {""day"": 18, ""route"": ""navazsh_fathi"", ""step"": 432}, {""day"": 21, ""route"": ""automatylicza"", ""step"": 504}]",0.006959,0.041917,0.063958,0.091792,2.9798739580000984,top5_replaced_v18,automatylicza
