seed,seat,candidate_money,opponent_money,margin,result,candidate_status,opponent_status,game_done,action_calls,hand_shape_mismatches,runtime_p50_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,wall_seconds,candidate,opponent,route_file
17,0,142857.0,150240.0,-7383.0,loss,DONE,DONE,1,719,21,0.015166,0.027709,0.058166,0.290292,3.1900534169981256,mohit,v18,89817349
17,1,149930.0,143146.0,6784.0,win,DONE,DONE,1,719,21,0.01425,0.018875,0.024834,0.051083,2.9974794999943697,mohit,v18,89817349
42,0,130740.0,131753.0,-1013.0,loss,DONE,DONE,1,719,21,0.01525,0.03025,0.063958,0.265375,3.0473212500000955,mohit,v18,89817349
42,1,130839.0,131654.0,-815.0,loss,DONE,DONE,1,719,21,0.014292,0.019084,0.028125,0.097333,2.840902415999153,mohit,v18,89817349
2026,0,108905.0,110582.0,-1677.0,loss,DONE,DONE,1,719,21,0.015,0.025458,0.059333,122.204375,3.170203499998024,mohit,v18,89817349
2026,1,107089.0,112398.0,-5309.0,loss,DONE,DONE,1,719,21,0.014583,0.019834,0.024791,0.375792,3.0192049160032184,mohit,v18,89817349
217,0,102640.0,103273.0,-633.0,loss,DONE,DONE,1,719,21,0.014917,0.026084,0.057333,0.332375,3.0334142499996233,mohit,v18,89817349
217,1,102407.0,103506.0,-1099.0,loss,DONE,DONE,1,719,21,0.014542,0.020417,0.028542,0.122333,2.860021582993795,mohit,v18,89817349
317,0,132278.0,133733.0,-1455.0,loss,DONE,DONE,1,719,21,0.014875,0.026333,0.062041,0.42575,3.2319450409995625,mohit,v18,89817349
317,1,132420.0,133591.0,-1171.0,loss,DONE,DONE,1,719,21,0.0145,0.020417,0.029667,0.393459,3.0366605410017655,mohit,v18,89817349
733,0,124862.0,128731.0,-3869.0,loss,DONE,DONE,1,719,21,0.01475,0.023291,0.058166,0.137916,2.872808833999443,mohit,v18,89817349
733,1,124752.0,127968.0,-3216.0,loss,DONE,DONE,1,719,21,0.014417,0.020625,0.033667,0.210208,3.1680780830065487,mohit,v18,89817349
17,0,143303.0,149739.0,-6436.0,loss,DONE,DONE,1,719,21,0.014917,0.025708,0.055917,0.431541,3.022818458004622,automatylicza,v18,89830916
17,1,150270.0,142751.0,7519.0,win,DONE,DONE,1,719,21,0.014708,0.02025,0.030083,0.062209,3.043519083999854,automatylicza,v18,89830916
42,0,131272.0,130982.0,290.0,win,DONE,DONE,1,719,21,0.014666,0.024292,0.055291,0.389583,2.8387957499944605,automatylicza,v18,89830916
42,1,131371.0,130883.0,488.0,win,DONE,DONE,1,719,21,0.014833,0.020459,0.026,0.050625,3.1835939579978003,automatylicza,v18,89830916
2026,0,110825.0,108792.0,2033.0,win,DONE,DONE,1,719,21,0.01475,0.022458,0.049333,0.0785,2.9860962079983437,automatylicza,v18,89830916
2026,1,109013.0,110604.0,-1591.0,loss,DONE,DONE,1,719,21,0.014917,0.021417,0.038667,0.097291,3.041963208997913,automatylicza,v18,89830916
217,0,103643.0,102890.0,753.0,win,DONE,DONE,1,719,21,0.014833,0.026917,0.054125,0.4245,3.0113039589996333,automatylicza,v18,89830916
217,1,103410.0,103123.0,287.0,win,DONE,DONE,1,719,21,0.014584,0.019959,0.026209,0.343375,2.8658347909949953,automatylicza,v18,89830916
317,0,133168.0,132992.0,176.0,win,DONE,DONE,1,719,21,0.015083,0.025708,0.049916,0.412458,3.1551177500004997,automatylicza,v18,89830916
317,1,133310.0,132850.0,460.0,win,DONE,DONE,1,719,21,0.0145,0.020125,0.027667,0.048583,2.8691424170028768,automatylicza,v18,89830916
733,0,126835.0,126848.0,-13.0,loss,DONE,DONE,1,719,21,0.01475,0.024167,0.053625,0.291917,3.167082833002496,automatylicza,v18,89830916
733,1,126719.0,126097.0,622.0,win,DONE,DONE,1,719,21,0.014667,0.020333,0.031125,0.050166,3.0285668750002515,automatylicza,v18,89830916
17,0,141796.0,151705.0,-9909.0,loss,DONE,DONE,1,719,21,0.014917,0.02775,0.053375,0.095167,3.0124997079983586,manual_player,v18,89820316
17,1,148972.0,144559.0,4413.0,win,DONE,DONE,1,719,21,0.014708,0.020125,0.025375,0.116125,3.031249249994289,manual_player,v18,89820316
42,0,129233.0,133502.0,-4269.0,loss,DONE,DONE,1,719,21,0.015167,0.032833,0.087583,0.78825,2.9431130419980036,manual_player,v18,89820316
42,1,129277.0,133444.0,-4167.0,loss,DONE,DONE,1,719,21,0.014375,0.018792,0.024833,0.055834,3.1331974159984384,manual_player,v18,89820316
2026,0,107232.0,112767.0,-5535.0,loss,DONE,DONE,1,719,21,0.015292,0.025417,0.055375,0.079625,3.0501035420020344,manual_player,v18,89820316
2026,1,105351.0,114615.0,-9264.0,loss,DONE,DONE,1,719,21,0.01425,0.019,0.03125,0.059084,3.0056471249990864,manual_player,v18,89820316
217,0,100825.0,105293.0,-4468.0,loss,DONE,DONE,1,719,21,0.015208,0.032709,0.053959,0.521958,2.8799461669987068,manual_player,v18,89820316
