phase,candidate,opponent,seed,seat,candidate_money,opponent_money,margin,result,candidate_status,opponent_status,game_done,agent_errors,hand_shape_mismatches,market_overflows,action_calls,runtime_p99_ms,runtime_max_ms,wall_seconds,daily_cash,field_counts,market_counts
calibration,raw_mohit,baseline,17,0,138456.0,98790.0,39666.0,win,DONE,DONE,1,0,0,0,719,0.1674,0.331,4.142324200016446,"{""0"": 14.0, ""1"": 140.0, ""10"": 3111.0, ""11"": 5186.0, ""12"": 11317.0, ""13"": 9504.0, ""14"": 14972.0, ""15"": 20192.0, ""16"": 22575.0, ""17"": 28474.0, ""18"": 34461.0, ""19"": 42658.0, ""2"": 217.0, ""20"": 50614.0, ""21"": 54803.0, ""22"": 66509.0, ""23"": 75308.0, ""24"": 81590.0, ""25"": 96843.0, ""26"": 103265.0, ""27"": 108835.0, ""28"": 113585.0, ""3"": 850.0, ""4"": 582.0, ""5"": 735.0, ""6"": 1685.0, ""7"": 1027.0, ""8"": 1119.0, ""9"": 1213.0}","{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
calibration,raw_mohit,baseline,17,1,139022.0,99020.0,40002.0,win,DONE,DONE,1,0,0,0,719,0.0944,0.1555,3.8742982000112534,"{""0"": 14.0, ""1"": 140.0, ""10"": 3111.0, ""11"": 5186.0, ""12"": 12597.0, ""13"": 10784.0, ""14"": 16252.0, ""15"": 21379.0, ""16"": 23762.0, ""17"": 29632.0, ""18"": 35619.0, ""19"": 43816.0, ""2"": 217.0, ""20"": 51774.0, ""21"": 55935.0, ""22"": 67959.0, ""23"": 76702.0, ""24"": 83027.0, ""25"": 98030.0, ""26"": 104230.0, ""27"": 109674.0, ""28"": 114288.0, ""3"": 850.0, ""4"": 582.0, ""5"": 735.0, ""6"": 1685.0, ""7"": 1027.0, ""8"": 1119.0, ""9"": 1213.0}","{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
calibration,raw_mohit,baseline,42,0,169035.0,114209.0,54826.0,win,DONE,DONE,1,0,0,0,719,0.171,0.2387,4.158935600018594,"{""0"": 14.0, ""1"": 140.0, ""10"": 2903.0, ""11"": 5117.0, ""12"": 12544.0, ""13"": 10800.0, ""14"": 17301.0, ""15"": 22771.0, ""16"": 25496.0, ""17"": 32103.0, ""18"": 38991.0, ""19"": 49116.0, ""2"": 217.0, ""20"": 58791.0, ""21"": 64106.0, ""22"": 78687.0, ""23"": 89597.0, ""24"": 99549.0, ""25"": 117184.0, ""26"": 126208.0, ""27"": 134949.0, ""28"": 141652.0, ""3"": 850.0, ""4"": 582.0, ""5"": 735.0, ""6"": 1687.0, ""7"": 1034.0, ""8"": 937.0, ""9"": 1032.0}","{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
calibration,raw_mohit,baseline,42,1,165295.0,107976.0,57319.0,win,DONE,DONE,1,0,0,0,719,0.0941,0.1716,3.996132200001739,"{""0"": 14.0, ""1"": 140.0, ""10"": 2903.0, ""11"": 5117.0, ""12"": 12544.0, ""13"": 10801.0, ""14"": 17302.0, ""15"": 22760.0, ""16"": 25456.0, ""17"": 31968.0, ""18"": 38675.0, ""19"": 48428.0, ""2"": 217.0, ""20"": 57644.0, ""21"": 62631.0, ""22"": 76742.0, ""23"": 87275.0, ""24"": 96578.0, ""25"": 114683.0, ""26"": 123308.0, ""27"": 131509.0, ""28"": 138073.0, ""3"": 850.0, ""4"": 582.0, ""5"": 735.0, ""6"": 1687.0, ""7"": 1034.0, ""8"": 937.0, ""9"": 1032.0}","{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
calibration,raw_mohit,baseline,2026,0,149880.0,92219.0,57661.0,win,DONE,DONE,1,0,0,0,719,0.1382,0.2244,3.9360606999835,"{""0"": 14.0, ""1"": 140.0, ""10"": 2813.0, ""11"": 4932.0, ""12"": 12207.0, ""13"": 10263.0, ""14"": 15686.0, ""15"": 20644.0, ""16"": 22731.0, ""17"": 28167.0, ""18"": 33314.0, ""19"": 40998.0, ""2"": 217.0, ""20"": 49771.0, ""21"": 54727.0, ""22"": 65765.0, ""23"": 75848.0, ""24"": 85084.0, ""25"": 101620.0, ""26"": 109870.0, ""27"": 117692.0, ""28"": 123844.0, ""3"": 850.0, ""4"": 582.0, ""5"": 735.0, ""6"": 1685.0, ""7"": 1030.0, ""8"": 920.0, ""9"": 1009.0}","{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
calibration,raw_mohit,baseline,2026,1,144292.0,93378.0,50914.0,win,DONE,DONE,1,0,0,0,719,0.092,0.1275,3.9420202000183053,"{""0"": 14.0, ""1"": 140.0, ""10"": 2813.0, ""11"": 4932.0, ""12"": 12164.0, ""13"": 10186.0, ""14"": 15174.0, ""15"": 19893.0, ""16"": 21748.0, ""17"": 26729.0, ""18"": 31344.0, ""19"": 38872.0, ""2"": 217.0, ""20"": 47639.0, ""21"": 52617.0, ""22"": 62301.0, ""23"": 72280.0, ""24"": 81726.0, ""25"": 96459.0, ""26"": 105064.0, ""27"": 112993.0, ""28"": 119459.0, ""3"": 850.0, ""4"": 582.0, ""5"": 735.0, ""6"": 1685.0, ""7"": 1030.0, ""8"": 920.0, ""9"": 1009.0}","{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
calibration,raw_mohit,v012,17,0,143061.0,149929.0,-6868.0,loss,DONE,DONE,1,0,21,0,719,0.131,0.313,3.5103824000107124,"{""0"": 10.0, ""1"": 141.0, ""10"": 2951.0, ""11"": 5154.0, ""12"": 12744.0, ""13"": 10953.0, ""14"": 16346.0, ""15"": 20960.0, ""16"": 23353.0, ""17"": 28730.0, ""18"": 35248.0, ""19"": 44464.0, ""2"": 217.0, ""20"": 53482.0, ""21"": 58801.0, ""22"": 71114.0, ""23"": 81018.0, ""24"": 88260.0, ""25"": 102965.0, ""26"": 109409.0, ""27"": 115087.0, ""28"": 120112.0, ""3"": 786.0, ""4"": 519.0, ""5"": 654.0, ""6"": 1502.0, ""7"": 816.0, ""8"": 862.0, ""9"": 909.0}","{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
calibration,raw_mohit,v012,17,1,149929.0,143061.0,6868.0,win,DONE,DONE,1,0,21,0,719,0.0932,0.3477,3.5029532000189647,"{""0"": 10.0, ""1"": 141.0, ""10"": 3234.0, ""11"": 6810.0, ""12"": 14427.0, ""13"": 12636.0, ""14"": 18094.0, ""15"": 23242.0, ""16"": 25690.0, ""17"": 31939.0, ""18"": 38457.0, ""19"": 47673.0, ""2"": 217.0, ""20"": 56691.0, ""21"": 61610.0, ""22"": 74947.0, ""23"": 84927.0, ""24"": 92202.0, ""25"": 107899.0, ""26"": 114559.0, ""27"": 120293.0, ""28"": 125090.0, ""3"": 786.0, ""4"": 519.0, ""5"": 654.0, ""6"": 1594.0, ""7"": 929.0, ""8"": 975.0, ""9"": 1109.0}","{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
calibration,raw_mohit,v012,42,0,131077.0,131180.0,-103.0,loss,DONE,DONE,1,0,21,0,719,0.0981,0.1867,3.4590339999995194,"{""0"": 10.0, ""1"": 141.0, ""10"": 2953.0, ""11"": 6654.0, ""12"": 13833.0, ""13"": 11906.0, ""14"": 18571.0, ""15"": 23607.0, ""16"": 25687.0, ""17"": 31335.0, ""18"": 36786.0, ""19"": 44747.0, ""2"": 217.0, ""20"": 51342.0, ""21"": 55177.0, ""22"": 66846.0, ""23"": 75185.0, ""24"": 83021.0, ""25"": 96172.0, ""26"": 101359.0, ""27"": 106567.0, ""28"": 109510.0, ""3"": 786.0, ""4"": 519.0, ""5"": 654.0, ""6"": 1595.0, ""7"": 922.0, ""8"": 622.0, ""9"": 798.0}","{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
calibration,raw_mohit,v012,42,1,131180.0,131077.0,103.0,win,DONE,DONE,1,0,21,0,719,0.0875,0.2551,3.4613052000058815,"{""0"": 10.0, ""1"": 141.0, ""10"": 2953.0, ""11"": 6654.0, ""12"": 13833.0, ""13"": 11906.0, ""14"": 18571.0, ""15"": 23607.0, ""16"": 25687.0, ""17"": 31335.0, ""18"": 36786.0, ""19"": 44747.0, ""2"": 217.0, ""20"": 51342.0, ""21"": 55177.0, ""22"": 66846.0, ""23"": 75185.0, ""24"": 82678.0, ""25"": 96488.0, ""26"": 101675.0, ""27"": 106697.0, ""28"": 109547.0, ""3"": 786.0, ""4"": 519.0, ""5"": 654.0, ""6"": 1595.0, ""7"": 922.0, ""8"": 622.0, ""9"": 798.0}","{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
