phase,candidate,games,mean_cash,min_cash,max_cash,mean_margin,wins,ties,losses,win_rate,done_rate,agent_errors,hand_shape_mismatches,market_overflows,max_p99_ms,max_runtime_ms
calibration,automatylicza_overlay_combined,18,137729.5,101428.0,169035.0,22298.333333333332,15,0,3,0.8333333333333334,1,0,146,0,0.2055,0.51
calibration,automatylicza_overlay_none,18,137729.5,101428.0,169035.0,22298.333333333332,15,0,3,0.8333333333333334,1,0,146,0,0.1535,0.4025
calibration,automatylicza_overlay_terminal_storage,18,137729.5,101428.0,169035.0,22298.333333333332,15,0,3,0.8333333333333334,1,0,146,0,0.1843,159.0315
calibration,automatylicza_overlay_urgent_maintenance,18,137729.5,101428.0,169035.0,22298.333333333332,15,0,3,0.8333333333333334,1,0,146,0,0.1784,153.2955
calibration,crossover_day10_01_mohit,18,137729.5,101428.0,169035.0,22298.333333333332,15,0,3,0.8333333333333334,1,0,146,0,0.1641,154.9573
calibration,crossover_day10_02_manual_player,18,137729.5,101428.0,169035.0,22298.333333333332,15,0,3,0.8333333333333334,1,0,146,0,0.1572,0.7494
calibration,crossover_day10_03_navazsh_fathi,18,137729.5,101428.0,169035.0,22298.333333333332,15,0,3,0.8333333333333334,1,0,146,0,0.1631,0.7866
calibration,crossover_day10_04_lucien_de_rubempre,18,137729.5,101428.0,169035.0,22298.333333333332,15,0,3,0.8333333333333334,1,0,146,0,0.2063,0.546
calibration,crossover_day10_05_soil_v25,18,136614.72222222222,100833.0,167509.0,21079.11111111111,14,0,4,0.7777777777777778,1,0,542,0,0.1753,151.3242
calibration,raw_automatylicza,18,137729.5,101428.0,169035.0,22298.333333333332,15,0,3,0.8333333333333334,1,0,146,0,0.1817,0.4499
calibration,raw_kaito_builder,18,18058.38888888889,9803.0,22436.0,-135509.5,0,0,18,0.0,1,0,3566,0,0.2294,0.5929
calibration,raw_lucien_de_rubempre,18,137729.5,101428.0,169035.0,22298.333333333332,15,0,3,0.8333333333333334,1,0,146,0,0.1727,0.3878
calibration,raw_manual_player,18,137729.5,101428.0,169035.0,22298.333333333332,15,0,3,0.8333333333333334,1,0,146,0,0.1712,224.0114
calibration,raw_mohit,18,137729.5,101428.0,169035.0,22298.333333333332,15,0,3,0.8333333333333334,1,0,146,0,0.171,0.7101
calibration,raw_navazsh_fathi,18,137729.5,101428.0,169035.0,22298.333333333332,15,0,3,0.8333333333333334,1,0,146,0,0.1535,0.6189
calibration,raw_recovered_alias_08_mohit,18,137729.5,101428.0,169035.0,22298.333333333332,15,0,3,0.8333333333333334,1,0,146,0,0.1568,0.3466
calibration,raw_recovered_alias_09_automatylicza,18,137729.5,101428.0,169035.0,22298.333333333332,15,0,3,0.8333333333333334,1,0,146,0,0.1508,0.3212
calibration,raw_recovered_alias_10_manual_player,18,137729.5,101428.0,169035.0,22298.333333333332,15,0,3,0.8333333333333334,1,0,146,0,0.324,1.2812
calibration,raw_recovered_alias_11_navazsh_fathi,18,137729.5,101428.0,169035.0,22298.333333333332,15,0,3,0.8333333333333334,1,0,146,0,0.19,0.6053
calibration,raw_recovered_alias_12_lucien_de_rubempre,18,137729.5,101428.0,169035.0,22298.333333333332,15,0,3,0.8333333333333334,1,0,146,0,0.1792,160.8819
calibration,raw_recovered_alias_13_soil_v25,18,136614.72222222222,100833.0,167509.0,21079.11111111111,14,0,4,0.7777777777777778,1,0,668,0,0.1847,0.548
calibration,raw_recovered_alias_14_kaito_builder,18,18058.38888888889,9803.0,22436.0,-135509.5,0,0,18,0.0,1,0,3566,0,0.2483,173.7031
calibration,raw_recovered_alias_15_mohit,18,137729.5,101428.0,169035.0,22298.333333333332,15,0,3,0.8333333333333334,1,0,146,0,0.169,0.5301
calibration,raw_soil_v25,18,136614.72222222222,100833.0,167509.0,21079.11111111111,14,0,4,0.7777777777777778,1,0,668,0,0.1546,0.3745
parent_round_robin,parent_automatylicza,6,148040.33333333334,144263.0,151877.0,2502.3333333333335,3,0,3,0.5,1,0,168,0,0.0409,0.3711
parent_round_robin,parent_manual_player,4,148339.5,144450.0,152212.0,2406.25,2,0,2,0.5,1,0,126,0,0.038,0.4052
parent_round_robin,parent_mohit,8,147497.625,142593.0,151920.0,1476.125,4,0,4,0.5,1,0,210,0,0.0378,0.3939
parent_round_robin,parent_navazsh_fathi,2,145518.5,142011.0,149026.0,-3453.5,1,0,1,0.5,1,0,84,0,0.0494,0.1835
parent_round_robin,parent_v012,10,147506.8,143061.0,151877.0,1669.0,5,0,5,0.5,1,0,252,0,0.1143,0.4236
