phase,candidate,opponent,seed,seat,candidate_money,opponent_money,margin,result,candidate_status,opponent_status,game_done,agent_errors,hand_shape_mismatches,market_overflows,action_calls,runtime_p99_ms,runtime_max_ms,wall_seconds,daily_cash,field_counts,market_counts
final,automatylicza_overlay_combined,baseline,17,0,138456.0,98790.0,39666.0,win,DONE,DONE,1,0,0,0,719,0.222,0.4502,3.9704400000046007,"{""0"": 14.0, ""1"": 140.0, ""10"": 3111.0, ""11"": 5186.0, ""12"": 11317.0, ""13"": 9504.0, ""14"": 14972.0, ""15"": 20192.0, ""16"": 22575.0, ""17"": 28474.0, ""18"": 34461.0, ""19"": 42658.0, ""2"": 217.0, ""20"": 50614.0, ""21"": 54803.0, ""22"": 66509.0, ""23"": 75308.0, ""24"": 81590.0, ""25"": 96843.0, ""26"": 103265.0, ""27"": 108835.0, ""28"": 113585.0, ""3"": 850.0, ""4"": 582.0, ""5"": 735.0, ""6"": 1685.0, ""7"": 1027.0, ""8"": 1119.0, ""9"": 1213.0}","{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 376, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 320, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
final,automatylicza_overlay_combined,baseline,17,1,139022.0,99020.0,40002.0,win,DONE,DONE,1,0,0,0,719,0.1136,0.223,3.854759700014256,"{""0"": 14.0, ""1"": 140.0, ""10"": 3111.0, ""11"": 5186.0, ""12"": 12597.0, ""13"": 10784.0, ""14"": 16252.0, ""15"": 21379.0, ""16"": 23762.0, ""17"": 29632.0, ""18"": 35619.0, ""19"": 43816.0, ""2"": 217.0, ""20"": 51774.0, ""21"": 55935.0, ""22"": 67959.0, ""23"": 76702.0, ""24"": 83027.0, ""25"": 98030.0, ""26"": 104230.0, ""27"": 109674.0, ""28"": 114288.0, ""3"": 850.0, ""4"": 582.0, ""5"": 735.0, ""6"": 1685.0, ""7"": 1027.0, ""8"": 1119.0, ""9"": 1213.0}","{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 376, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 320, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
final,automatylicza_overlay_combined,baseline,42,0,169035.0,114209.0,54826.0,win,DONE,DONE,1,0,0,0,719,0.1395,0.2677,4.117234300007112,"{""0"": 14.0, ""1"": 140.0, ""10"": 2903.0, ""11"": 5117.0, ""12"": 12544.0, ""13"": 10800.0, ""14"": 17301.0, ""15"": 22771.0, ""16"": 25496.0, ""17"": 32103.0, ""18"": 38991.0, ""19"": 49116.0, ""2"": 217.0, ""20"": 58791.0, ""21"": 64106.0, ""22"": 78687.0, ""23"": 89597.0, ""24"": 99549.0, ""25"": 117184.0, ""26"": 126208.0, ""27"": 134949.0, ""28"": 141652.0, ""3"": 850.0, ""4"": 582.0, ""5"": 735.0, ""6"": 1687.0, ""7"": 1034.0, ""8"": 937.0, ""9"": 1032.0}","{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 376, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 320, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
final,automatylicza_overlay_combined,baseline,42,1,165295.0,107976.0,57319.0,win,DONE,DONE,1,0,0,0,719,0.0923,0.1547,3.894903299980797,"{""0"": 14.0, ""1"": 140.0, ""10"": 2903.0, ""11"": 5117.0, ""12"": 12544.0, ""13"": 10801.0, ""14"": 17302.0, ""15"": 22760.0, ""16"": 25456.0, ""17"": 31968.0, ""18"": 38675.0, ""19"": 48428.0, ""2"": 217.0, ""20"": 57644.0, ""21"": 62631.0, ""22"": 76742.0, ""23"": 87275.0, ""24"": 96578.0, ""25"": 114683.0, ""26"": 123308.0, ""27"": 131509.0, ""28"": 138073.0, ""3"": 850.0, ""4"": 582.0, ""5"": 735.0, ""6"": 1687.0, ""7"": 1034.0, ""8"": 937.0, ""9"": 1032.0}","{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 376, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 320, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
final,automatylicza_overlay_combined,baseline,2026,0,149880.0,92219.0,57661.0,win,DONE,DONE,1,0,0,0,719,0.1796,0.4123,3.9133746000006795,"{""0"": 14.0, ""1"": 140.0, ""10"": 2813.0, ""11"": 4932.0, ""12"": 12207.0, ""13"": 10263.0, ""14"": 15686.0, ""15"": 20644.0, ""16"": 22731.0, ""17"": 28167.0, ""18"": 33314.0, ""19"": 40998.0, ""2"": 217.0, ""20"": 49771.0, ""21"": 54727.0, ""22"": 65765.0, ""23"": 75848.0, ""24"": 85084.0, ""25"": 101620.0, ""26"": 109870.0, ""27"": 117692.0, ""28"": 123844.0, ""3"": 850.0, ""4"": 582.0, ""5"": 735.0, ""6"": 1685.0, ""7"": 1030.0, ""8"": 920.0, ""9"": 1009.0}","{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 376, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 320, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
final,automatylicza_overlay_combined,baseline,2026,1,144292.0,93378.0,50914.0,win,DONE,DONE,1,0,0,0,719,0.1022,0.2446,4.025466200022493,"{""0"": 14.0, ""1"": 140.0, ""10"": 2813.0, ""11"": 4932.0, ""12"": 12164.0, ""13"": 10186.0, ""14"": 15174.0, ""15"": 19893.0, ""16"": 21748.0, ""17"": 26729.0, ""18"": 31344.0, ""19"": 38872.0, ""2"": 217.0, ""20"": 47639.0, ""21"": 52617.0, ""22"": 62301.0, ""23"": 72280.0, ""24"": 81726.0, ""25"": 96459.0, ""26"": 105064.0, ""27"": 112993.0, ""28"": 119459.0, ""3"": 850.0, ""4"": 582.0, ""5"": 735.0, ""6"": 1685.0, ""7"": 1030.0, ""8"": 920.0, ""9"": 1009.0}","{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 376, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 320, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
final,automatylicza_overlay_combined,baseline,217,0,159799.0,100089.0,59710.0,win,DONE,DONE,1,0,0,0,719,0.1238,0.2203,4.008423799998127,"{""0"": 14.0, ""1"": 140.0, ""10"": 2948.0, ""11"": 5181.0, ""12"": 12322.0, ""13"": 10562.0, ""14"": 15660.0, ""15"": 20671.0, ""16"": 22976.0, ""17"": 29041.0, ""18"": 35299.0, ""19"": 44429.0, ""2"": 217.0, ""20"": 53545.0, ""21"": 58615.0, ""22"": 72504.0, ""23"": 82890.0, ""24"": 91897.0, ""25"": 109862.0, ""26"": 118327.0, ""27"": 126611.0, ""28"": 133010.0, ""3"": 849.0, ""4"": 581.0, ""5"": 719.0, ""6"": 1682.0, ""7"": 1023.0, ""8"": 943.0, ""9"": 1050.0}","{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 376, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 320, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
final,automatylicza_overlay_combined,baseline,217,1,160062.0,104811.0,55251.0,win,DONE,DONE,1,0,0,0,719,0.1011,0.2752,3.9695175000233576,"{""0"": 14.0, ""1"": 140.0, ""10"": 2948.0, ""11"": 5181.0, ""12"": 12322.0, ""13"": 10562.0, ""14"": 15660.0, ""15"": 20668.0, ""16"": 22974.0, ""17"": 29090.0, ""18"": 35399.0, ""19"": 44704.0, ""2"": 217.0, ""20"": 53878.0, ""21"": 58992.0, ""22"": 73121.0, ""23"": 83496.0, ""24"": 92610.0, ""25"": 110358.0, ""26"": 118873.0, ""27"": 126861.0, ""28"": 133337.0, ""3"": 849.0, ""4"": 581.0, ""5"": 719.0, ""6"": 1682.0, ""7"": 1023.0, ""8"": 943.0, ""9"": 1050.0}","{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 376, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 320, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
final,automatylicza_overlay_combined,baseline,317,0,156747.0,108891.0,47856.0,win,DONE,DONE,1,0,0,0,719,0.1304,0.3301,3.959520199976396,"{""0"": 14.0, ""1"": 140.0, ""10"": 3196.0, ""11"": 5638.0, ""12"": 13110.0, ""13"": 11438.0, ""14"": 18473.0, ""15"": 24069.0, ""16"": 26918.0, ""17"": 33349.0, ""18"": 39981.0, ""19"": 49315.0, ""2"": 217.0, ""20"": 57916.0, ""21"": 62498.0, ""22"": 75928.0, ""23"": 85412.0, ""24"": 92862.0, ""25"": 109595.0, ""26"": 117293.0, ""27"": 124327.0, ""28"": 130322.0, ""3"": 849.0, ""4"": 581.0, ""5"": 719.0, ""6"": 1760.0, ""7"": 1101.0, ""8"": 945.0, ""9"": 1188.0}","{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 376, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 320, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
final,automatylicza_overlay_combined,baseline,317,1,156818.0,108485.0,48333.0,win,DONE,DONE,1,0,0,0,719,0.1133,0.1673,4.050423399952706,"{""0"": 14.0, ""1"": 140.0, ""10"": 3196.0, ""11"": 5638.0, ""12"": 13110.0, ""13"": 11438.0, ""14"": 18473.0, ""15"": 24069.0, ""16"": 26918.0, ""17"": 33349.0, ""18"": 39981.0, ""19"": 49315.0, ""2"": 217.0, ""20"": 57916.0, ""21"": 62498.0, ""22"": 75928.0, ""23"": 85412.0, ""24"": 92862.0, ""25"": 109543.0, ""26"": 117241.0, ""27"": 124279.0, ""28"": 130274.0, ""3"": 849.0, ""4"": 581.0, ""5"": 719.0, ""6"": 1760.0, ""7"": 1101.0, ""8"": 945.0, ""9"": 1188.0}","{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 376, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 320, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
