phase,candidate,opponent,games,mean_cash,min_cash,max_cash,mean_margin,wins,ties,losses,win_rate,done_rate,agent_errors,hand_shape_mismatches,market_overflows,max_p99_ms,max_runtime_ms
final,automatylicza_overlay_combined,baseline,12,155481.91666666666,138456.0,169035.0,52017.083333333336,12,0,0,1.0,1,0,0,0,0.222,0.4502
final,automatylicza_overlay_combined,frontier,12,121499.16666666667,102261.0,148369.0,8443.0,11,0,1,0.9166666666666666,1,0,252,0,0.1679,0.5242
final,automatylicza_overlay_combined,hamburger,12,141606.66666666666,101598.0,166518.0,17285.833333333332,12,0,0,1.0,1,0,20,0,0.2227,0.783
final,automatylicza_overlay_combined,random,12,184320.83333333334,168677.0,193117.0,184320.83333333334,12,0,0,1.0,1,0,252,0,0.3006,191.5633
final,automatylicza_overlay_combined,starter,12,186874.08333333334,175667.0,196430.0,183372.25,12,0,0,1.0,1,0,252,0,0.1423,172.5674
final,automatylicza_overlay_combined,v012,12,124677.41666666667,103313.0,149929.0,0.0,6,0,6,0.5,1,0,252,0,0.1704,0.7702
final,automatylicza_overlay_combined,v18,12,125111.25,103410.0,150270.0,404.0833333333333,10,0,2,0.8333333333333334,1,0,252,0,0.1706,0.5039
final,automatylicza_overlay_none,baseline,12,155481.91666666666,138456.0,169035.0,52017.083333333336,12,0,0,1.0,1,0,0,0,0.157,0.4549
final,automatylicza_overlay_none,frontier,12,121499.16666666667,102261.0,148369.0,8443.0,11,0,1,0.9166666666666666,1,0,252,0,0.2008,272.4186
final,automatylicza_overlay_none,hamburger,12,141606.66666666666,101598.0,166518.0,17285.833333333332,12,0,0,1.0,1,0,20,0,0.2211,0.7775
final,automatylicza_overlay_none,random,12,179914.0,165513.0,201347.0,179895.66666666666,12,0,0,1.0,1,0,252,0,0.2226,205.2928
final,automatylicza_overlay_none,starter,12,186874.08333333334,175667.0,196430.0,183372.25,12,0,0,1.0,1,0,252,0,0.1905,0.8254
final,automatylicza_overlay_none,v012,12,124677.41666666667,103313.0,149929.0,0.0,6,0,6,0.5,1,0,252,0,0.1905,0.551
final,automatylicza_overlay_none,v18,12,125111.25,103410.0,150270.0,404.0833333333333,10,0,2,0.8333333333333334,1,0,252,0,0.1486,0.5838
final,crossover_day10_05_soil_v25,baseline,12,153771.16666666666,136880.0,167509.0,50277.333333333336,12,0,0,1.0,1,0,264,0,0.1664,0.4268
final,crossover_day10_05_soil_v25,frontier,12,120767.58333333333,101991.0,146834.0,7499.833333333333,11,0,1,0.9166666666666666,1,0,516,0,0.1515,0.6466
final,crossover_day10_05_soil_v25,hamburger,12,140456.5,100890.0,164669.0,16039.416666666666,12,0,0,1.0,1,0,284,0,0.1337,0.5599
final,crossover_day10_05_soil_v25,random,12,182401.75,173505.0,194068.0,182401.75,12,0,0,1.0,1,0,516,0,0.1713,218.4526
final,crossover_day10_05_soil_v25,starter,12,184654.5,173298.0,194537.0,181152.66666666666,12,0,0,1.0,1,0,516,0,0.1268,166.497
final,crossover_day10_05_soil_v25,v012,12,123917.83333333333,103161.0,148412.0,-921.5,3,0,9,0.25,1,0,516,0,0.1063,0.4707
final,crossover_day10_05_soil_v25,v18,12,124346.83333333333,103278.0,148757.0,-530.5,4,0,8,0.3333333333333333,1,0,516,0,0.1464,0.473
final,raw_kaito_builder,baseline,12,17997.75,14778.0,20485.0,-105573.66666666667,0,0,12,0.0,1,0,2237,0,0.2093,171.6906
final,raw_kaito_builder,frontier,12,17470.75,11415.0,20681.0,-154879.58333333334,0,0,12,0.0,1,0,2665,0,0.3102,186.3584
final,raw_kaito_builder,hamburger,12,19068.416666666668,9803.0,22436.0,-142993.0,0,0,12,0.0,1,0,2276,0,0.4201,282.1861
final,raw_kaito_builder,random,12,23084.833333333332,17813.0,27609.0,23084.833333333332,12,0,0,1.0,1,0,2591,0,0.4816,231.8388
final,raw_kaito_builder,starter,12,23997.583333333332,20212.0,26864.0,20500.583333333332,12,0,0,1.0,1,0,2704,0,0.4739,239.9104
final,raw_kaito_builder,v012,12,18147.333333333332,14453.0,21650.0,-160216.5,0,0,12,0.0,1,0,2488,0,0.2548,177.4594
final,raw_kaito_builder,v18,12,18130.583333333332,14434.0,21643.0,-159140.0,0,0,12,0.0,1,0,2488,0,0.2917,168.0034
final,raw_recovered_alias_13_soil_v25,baseline,12,153771.16666666666,136880.0,167509.0,50277.333333333336,12,0,0,1.0,1,0,516,0,0.1513,0.4043
final,raw_recovered_alias_13_soil_v25,frontier,12,120767.58333333333,101991.0,146834.0,7499.833333333333,11,0,1,0.9166666666666666,1,0,264,0,0.1579,228.525
final,raw_recovered_alias_13_soil_v25,hamburger,12,140456.5,100890.0,164669.0,16039.416666666666,12,0,0,1.0,1,0,536,0,0.1879,244.17
final,raw_recovered_alias_13_soil_v25,random,12,186893.41666666666,166717.0,198064.0,186893.41666666666,12,0,0,1.0,1,0,516,0,0.2999,206.1867
final,raw_recovered_alias_13_soil_v25,starter,12,184654.5,173298.0,194537.0,181152.66666666666,12,0,0,1.0,1,0,516,0,0.2365,1.1852
final,raw_recovered_alias_13_soil_v25,v012,12,123917.83333333333,103161.0,148412.0,-921.5,3,0,9,0.25,1,0,264,0,0.1863,0.882
final,raw_recovered_alias_13_soil_v25,v18,12,124346.83333333333,103278.0,148757.0,-530.5,4,0,8,0.3333333333333333,1,0,264,0,0.1923,0.5617
final,v012_control,baseline,12,155481.91666666666,138456.0,169035.0,52017.083333333336,12,0,0,1.0,1,0,0,0,0.2795,0.7509
final,v012_control,frontier,12,121499.16666666667,102261.0,148369.0,8443.0,11,0,1,0.9166666666666666,1,0,252,0,0.1855,0.4808
final,v012_control,hamburger,12,141606.66666666666,101598.0,166518.0,17285.833333333332,12,0,0,1.0,1,0,20,0,0.3191,0.7186
final,v012_control,random,12,186707.33333333334,164845.0,195146.0,186693.16666666666,12,0,0,1.0,1,0,252,0,0.3413,192.0524
final,v012_control,starter,12,186874.08333333334,175667.0,196430.0,183372.25,12,0,0,1.0,1,0,252,0,0.1605,0.9885
final,v012_control,v012,12,124677.41666666667,103313.0,149929.0,0.0,6,0,6,0.5,1,0,252,0,0.1837,0.7078
final,v012_control,v18,12,125111.25,103410.0,150270.0,404.0833333333333,10,0,2,0.8333333333333334,1,0,252,0,0.218,0.7215
