phase,candidate,config,opponent,seed,seat,candidate_money,opponent_money,margin,result,candidate_status,opponent_status,game_done,agent_errors,invalid_actions,action_calls,runtime_p99_ms,runtime_max_ms,wall_seconds,field_counts,market_counts
calibration,v012_control,"{""use_fixed_schedule"": true}",v012,17,0,143061.0,149929.0,-6868.0,loss,DONE,DONE,1,0,0,719,0.161333,0.623125,3.8222704580039135,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
calibration,v012_control,"{""use_fixed_schedule"": true}",v012,42,0,131077.0,131180.0,-103.0,loss,DONE,DONE,1,0,0,719,0.167125,0.24425,3.8920234170000185,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
calibration,v012_control,"{""use_fixed_schedule"": true}",baseline,17,0,138456.0,98790.0,39666.0,win,DONE,DONE,1,0,0,719,0.169583,0.318917,4.305721999997331,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
calibration,v012_control,"{""use_fixed_schedule"": true}",baseline,42,0,169035.0,114209.0,54826.0,win,DONE,DONE,1,0,0,719,0.19825,0.247167,4.284670500004722,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
calibration,macro_000_13_8_6_34_10_9,"{""animal_ne_day"": 8, ""animal_nw_day"": 4, ""animal_sw_day"": 12, ""cash_reserve"": 150, ""cows"": 8, ""feed_days_buffer"": 1, ""hands"": 13, ""land_ne_day"": 5, ""land_sw_day"": 10, ""ongoing_harvest_threshold"": 3, ""opening_animals"": 2, ""opening_carrots"": 2, ""opening_melons"": 9, ""opening_wheat"": 10, ""sheep"": 6, ""strawberries"": 34, ""use_fixed_schedule"": false}",v012,17,0,81215.0,151749.0,-70534.0,loss,DONE,DONE,1,0,0,719,4.482125,5.955666,4.376672208003583,"{""BUILD_PASTURE"": 14, ""CARE"": 271, ""COLLECT_FERTILIZER"": 217, ""DIG"": 1, ""DROP"": 36, ""EAST"": 1004, ""FEED"": 184, ""FERTILIZE"": 91, ""HARVEST"": 213, ""NORTH"": 1260, ""PASS"": 2253, ""PICKUP"": 91, ""PLACE"": 17, ""PLANT"": 76, ""SOUTH"": 808, ""WATER"": 815, ""WEST"": 1303}","{""BUY_ANIMAL"": 10, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 175, ""BUY_SEED"": 17, ""HIRE"": 352, ""SELL"": 90}"
calibration,macro_000_13_8_6_34_10_9,"{""animal_ne_day"": 8, ""animal_nw_day"": 4, ""animal_sw_day"": 12, ""cash_reserve"": 150, ""cows"": 8, ""feed_days_buffer"": 1, ""hands"": 13, ""land_ne_day"": 5, ""land_sw_day"": 10, ""ongoing_harvest_threshold"": 3, ""opening_animals"": 2, ""opening_carrots"": 2, ""opening_melons"": 9, ""opening_wheat"": 10, ""sheep"": 6, ""strawberries"": 34, ""use_fixed_schedule"": false}",v012,42,0,89267.0,176550.0,-87283.0,loss,DONE,DONE,1,0,0,719,4.862834,92.122,4.337735708999389,"{""BUILD_PASTURE"": 14, ""CARE"": 270, ""COLLECT_FERTILIZER"": 221, ""DIG"": 1, ""DROP"": 38, ""EAST"": 999, ""FEED"": 178, ""FERTILIZE"": 98, ""HARVEST"": 214, ""NORTH"": 1272, ""PASS"": 2156, ""PICKUP"": 93, ""PLACE"": 17, ""PLANT"": 75, ""SOUTH"": 856, ""WATER"": 813, ""WEST"": 1338}","{""BUY_ANIMAL"": 11, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 176, ""BUY_SEED"": 17, ""HIRE"": 352, ""SELL"": 87}"
calibration,macro_000_13_8_6_34_10_9,"{""animal_ne_day"": 8, ""animal_nw_day"": 4, ""animal_sw_day"": 12, ""cash_reserve"": 150, ""cows"": 8, ""feed_days_buffer"": 1, ""hands"": 13, ""land_ne_day"": 5, ""land_sw_day"": 10, ""ongoing_harvest_threshold"": 3, ""opening_animals"": 2, ""opening_carrots"": 2, ""opening_melons"": 9, ""opening_wheat"": 10, ""sheep"": 6, ""strawberries"": 34, ""use_fixed_schedule"": false}",baseline,17,0,88009.0,121407.0,-33398.0,loss,DONE,DONE,1,0,0,719,4.640416,10.640458,5.132290708002984,"{""BUILD_PASTURE"": 14, ""CARE"": 269, ""COLLECT_FERTILIZER"": 215, ""DIG"": 2, ""DROP"": 41, ""EAST"": 993, ""FEED"": 177, ""FERTILIZE"": 89, ""HARVEST"": 212, ""NORTH"": 1285, ""PASS"": 2201, ""PICKUP"": 94, ""PLACE"": 15, ""PLANT"": 77, ""SOUTH"": 843, ""WATER"": 820, ""WEST"": 1307}","{""BUY_ANIMAL"": 9, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 169, ""BUY_SEED"": 18, ""HIRE"": 352, ""SELL"": 92}"
calibration,macro_000_13_8_6_34_10_9,"{""animal_ne_day"": 8, ""animal_nw_day"": 4, ""animal_sw_day"": 12, ""cash_reserve"": 150, ""cows"": 8, ""feed_days_buffer"": 1, ""hands"": 13, ""land_ne_day"": 5, ""land_sw_day"": 10, ""ongoing_harvest_threshold"": 3, ""opening_animals"": 2, ""opening_carrots"": 2, ""opening_melons"": 9, ""opening_wheat"": 10, ""sheep"": 6, ""strawberries"": 34, ""use_fixed_schedule"": false}",baseline,42,0,78431.0,111133.0,-32702.0,loss,DONE,DONE,1,0,0,719,4.358958,34.116083,5.019707957995706,"{""BUILD_PASTURE"": 14, ""CARE"": 272, ""COLLECT_FERTILIZER"": 215, ""DIG"": 1, ""DROP"": 45, ""EAST"": 980, ""FEED"": 183, ""FERTILIZE"": 95, ""HARVEST"": 212, ""NORTH"": 1278, ""PASS"": 2159, ""PICKUP"": 92, ""PLACE"": 17, ""PLANT"": 75, ""SOUTH"": 880, ""WATER"": 814, ""WEST"": 1317}","{""BUY_ANIMAL"": 11, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 177, ""BUY_SEED"": 17, ""HIRE"": 352, ""SELL"": 92}"
calibration,macro_001_10_8_6_34_10_9,"{""animal_ne_day"": 8, ""animal_nw_day"": 4, ""animal_sw_day"": 12, ""cash_reserve"": 150, ""cows"": 8, ""feed_days_buffer"": 1, ""hands"": 10, ""land_ne_day"": 5, ""land_sw_day"": 10, ""ongoing_harvest_threshold"": 3, ""opening_animals"": 2, ""opening_carrots"": 2, ""opening_melons"": 9, ""opening_wheat"": 10, ""sheep"": 6, ""strawberries"": 34, ""use_fixed_schedule"": false}",v012,17,0,85496.0,160211.0,-74715.0,loss,DONE,DONE,1,0,0,719,3.187125,84.526375,4.326559917004488,"{""BUILD_PASTURE"": 14, ""CARE"": 248, ""COLLECT_FERTILIZER"": 160, ""DIG"": 1, ""DROP"": 47, ""EAST"": 955, ""FEED"": 185, ""FERTILIZE"": 52, ""HARVEST"": 188, ""NORTH"": 1149, ""PASS"": 1394, ""PICKUP"": 99, ""PLACE"": 15, ""PLANT"": 67, ""SOUTH"": 688, ""WATER"": 671, ""WEST"": 1152}","{""BUY_ANIMAL"": 11, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 182, ""BUY_SEED"": 18, ""HIRE"": 280, ""SELL"": 105}"
calibration,macro_001_10_8_6_34_10_9,"{""animal_ne_day"": 8, ""animal_nw_day"": 4, ""animal_sw_day"": 12, ""cash_reserve"": 150, ""cows"": 8, ""feed_days_buffer"": 1, ""hands"": 10, ""land_ne_day"": 5, ""land_sw_day"": 10, ""ongoing_harvest_threshold"": 3, ""opening_animals"": 2, ""opening_carrots"": 2, ""opening_melons"": 9, ""opening_wheat"": 10, ""sheep"": 6, ""strawberries"": 34, ""use_fixed_schedule"": false}",v012,42,0,82264.0,170682.0,-88418.0,loss,DONE,DONE,1,0,0,719,2.963833,3.915625,4.376972083002329,"{""BUILD_PASTURE"": 14, ""CARE"": 248, ""COLLECT_FERTILIZER"": 153, ""DIG"": 1, ""DROP"": 41, ""EAST"": 946, ""FEED"": 181, ""FERTILIZE"": 49, ""HARVEST"": 183, ""NORTH"": 1136, ""PASS"": 1341, ""PICKUP"": 102, ""PLACE"": 17, ""PLANT"": 70, ""SOUTH"": 742, ""WATER"": 715, ""WEST"": 1146}","{""BUY_ANIMAL"": 13, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 175, ""BUY_SEED"": 18, ""HIRE"": 280, ""SELL"": 105}"
calibration,macro_001_10_8_6_34_10_9,"{""animal_ne_day"": 8, ""animal_nw_day"": 4, ""animal_sw_day"": 12, ""cash_reserve"": 150, ""cows"": 8, ""feed_days_buffer"": 1, ""hands"": 10, ""land_ne_day"": 5, ""land_sw_day"": 10, ""ongoing_harvest_threshold"": 3, ""opening_animals"": 2, ""opening_carrots"": 2, ""opening_melons"": 9, ""opening_wheat"": 10, ""sheep"": 6, ""strawberries"": 34, ""use_fixed_schedule"": false}",baseline,17,0,85588.0,118409.0,-32821.0,loss,DONE,DONE,1,0,0,719,2.980334,143.116375,4.797802708002564,"{""BUILD_PASTURE"": 14, ""CARE"": 243, ""COLLECT_FERTILIZER"": 161, ""DIG"": 1, ""DROP"": 51, ""EAST"": 954, ""FEED"": 199, ""FERTILIZE"": 49, ""HARVEST"": 178, ""NORTH"": 1154, ""PASS"": 1446, ""PICKUP"": 98, ""PLACE"": 14, ""PLANT"": 65, ""SOUTH"": 690, ""WATER"": 649, ""WEST"": 1114}","{""BUY_ANIMAL"": 9, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 197, ""BUY_SEED"": 17, ""HIRE"": 280, ""SELL"": 110}"
calibration,macro_001_10_8_6_34_10_9,"{""animal_ne_day"": 8, ""animal_nw_day"": 4, ""animal_sw_day"": 12, ""cash_reserve"": 150, ""cows"": 8, ""feed_days_buffer"": 1, ""hands"": 10, ""land_ne_day"": 5, ""land_sw_day"": 10, ""ongoing_harvest_threshold"": 3, ""opening_animals"": 2, ""opening_carrots"": 2, ""opening_melons"": 9, ""opening_wheat"": 10, ""sheep"": 6, ""strawberries"": 34, ""use_fixed_schedule"": false}",baseline,42,0,74562.0,123084.0,-48522.0,loss,DONE,DONE,1,0,0,719,3.117041,5.789959,4.9515489999976126,"{""BUILD_PASTURE"": 14, ""CARE"": 248, ""COLLECT_FERTILIZER"": 167, ""DROP"": 46, ""EAST"": 912, ""FEED"": 187, ""FERTILIZE"": 51, ""HARVEST"": 171, ""NORTH"": 1240, ""PASS"": 1482, ""PICKUP"": 105, ""PLACE"": 20, ""PLANT"": 64, ""SOUTH"": 710, ""WATER"": 634, ""WEST"": 1030}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 182, ""BUY_SEED"": 17, ""HIRE"": 280, ""SELL"": 105}"
calibration,macro_002_11_8_6_34_10_9,"{""animal_ne_day"": 8, ""animal_nw_day"": 4, ""animal_sw_day"": 12, ""cash_reserve"": 150, ""cows"": 8, ""feed_days_buffer"": 1, ""hands"": 11, ""land_ne_day"": 5, ""land_sw_day"": 10, ""ongoing_harvest_threshold"": 3, ""opening_animals"": 2, ""opening_carrots"": 2, ""opening_melons"": 9, ""opening_wheat"": 10, ""sheep"": 6, ""strawberries"": 34, ""use_fixed_schedule"": false}",v012,17,0,82595.0,168899.0,-86304.0,loss,DONE,DONE,1,0,0,719,3.976042,8.65175,4.440118499995151,"{""BUILD_PASTURE"": 14, ""CARE"": 257, ""COLLECT_FERTILIZER"": 180, ""DIG"": 2, ""DROP"": 44, ""EAST"": 1030, ""FEED"": 182, ""FERTILIZE"": 63, ""HARVEST"": 181, ""NORTH"": 1172, ""PASS"": 1585, ""PICKUP"": 119, ""PLACE"": 21, ""PLANT"": 70, ""SOUTH"": 707, ""WATER"": 695, ""WEST"": 1294}","{""BUY_ANIMAL"": 16, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 178, ""BUY_SEED"": 17, ""HIRE"": 304, ""SELL"": 105}"
calibration,macro_002_11_8_6_34_10_9,"{""animal_ne_day"": 8, ""animal_nw_day"": 4, ""animal_sw_day"": 12, ""cash_reserve"": 150, ""cows"": 8, ""feed_days_buffer"": 1, ""hands"": 11, ""land_ne_day"": 5, ""land_sw_day"": 10, ""ongoing_harvest_threshold"": 3, ""opening_animals"": 2, ""opening_carrots"": 2, ""opening_melons"": 9, ""opening_wheat"": 10, ""sheep"": 6, ""strawberries"": 34, ""use_fixed_schedule"": false}",v012,42,0,70998.0,161416.0,-90418.0,loss,DONE,DONE,1,0,0,719,3.99825,6.066916,4.418271417001961,"{""BUILD_PASTURE"": 14, ""CARE"": 259, ""COLLECT_FERTILIZER"": 184, ""DIG"": 2, ""DROP"": 51, ""EAST"": 1007, ""FEED"": 186, ""FERTILIZE"": 68, ""HARVEST"": 181, ""NORTH"": 1218, ""PASS"": 1615, ""PICKUP"": 115, ""PLACE"": 20, ""PLANT"": 70, ""SOUTH"": 757, ""WATER"": 678, ""WEST"": 1191}","{""BUY_ANIMAL"": 15, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 179, ""BUY_SEED"": 18, ""HIRE"": 304, ""SELL"": 98}"
calibration,macro_002_11_8_6_34_10_9,"{""animal_ne_day"": 8, ""animal_nw_day"": 4, ""animal_sw_day"": 12, ""cash_reserve"": 150, ""cows"": 8, ""feed_days_buffer"": 1, ""hands"": 11, ""land_ne_day"": 5, ""land_sw_day"": 10, ""ongoing_harvest_threshold"": 3, ""opening_animals"": 2, ""opening_carrots"": 2, ""opening_melons"": 9, ""opening_wheat"": 10, ""sheep"": 6, ""strawberries"": 34, ""use_fixed_schedule"": false}",baseline,17,0,74767.0,121498.0,-46731.0,loss,DONE,DONE,1,0,0,719,3.831875,112.892542,4.924510042001202,"{""BUILD_PASTURE"": 14, ""CARE"": 260, ""COLLECT_FERTILIZER"": 193, ""DIG"": 1, ""DROP"": 50, ""EAST"": 944, ""FEED"": 186, ""FERTILIZE"": 70, ""HARVEST"": 185, ""NORTH"": 1256, ""PASS"": 1691, ""PICKUP"": 118, ""PLACE"": 18, ""PLANT"": 66, ""SOUTH"": 774, ""WATER"": 645, ""WEST"": 1142}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 184, ""BUY_SEED"": 18, ""HIRE"": 304, ""SELL"": 110}"
calibration,macro_002_11_8_6_34_10_9,"{""animal_ne_day"": 8, ""animal_nw_day"": 4, ""animal_sw_day"": 12, ""cash_reserve"": 150, ""cows"": 8, ""feed_days_buffer"": 1, ""hands"": 11, ""land_ne_day"": 5, ""land_sw_day"": 10, ""ongoing_harvest_threshold"": 3, ""opening_animals"": 2, ""opening_carrots"": 2, ""opening_melons"": 9, ""opening_wheat"": 10, ""sheep"": 6, ""strawberries"": 34, ""use_fixed_schedule"": false}",baseline,42,0,87381.0,120817.0,-33436.0,loss,DONE,DONE,1,0,0,719,3.717667,8.133,4.995789582993893,"{""BUILD_PASTURE"": 14, ""CARE"": 244, ""COLLECT_FERTILIZER"": 159, ""DROP"": 56, ""EAST"": 998, ""FEED"": 185, ""FERTILIZE"": 57, ""HARVEST"": 191, ""NORTH"": 1295, ""PASS"": 1357, ""PICKUP"": 102, ""PLACE"": 18, ""PLANT"": 72, ""SOUTH"": 862, ""WATER"": 766, ""WEST"": 1238}","{""BUY_ANIMAL"": 13, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 179, ""BUY_SEED"": 16, ""HIRE"": 304, ""SELL"": 109}"
calibration,macro_003_12_8_6_34_10_9,"{""animal_ne_day"": 8, ""animal_nw_day"": 4, ""animal_sw_day"": 12, ""cash_reserve"": 150, ""cows"": 8, ""feed_days_buffer"": 1, ""hands"": 12, ""land_ne_day"": 5, ""land_sw_day"": 10, ""ongoing_harvest_threshold"": 3, ""opening_animals"": 2, ""opening_carrots"": 2, ""opening_melons"": 9, ""opening_wheat"": 10, ""sheep"": 6, ""strawberries"": 34, ""use_fixed_schedule"": false}",v012,17,0,90259.0,166361.0,-76102.0,loss,DONE,DONE,1,0,0,719,3.914084,5.431834,4.593963915998756,"{""BUILD_PASTURE"": 14, ""CARE"": 252, ""COLLECT_FERTILIZER"": 181, ""DIG"": 1, ""DROP"": 56, ""EAST"": 1008, ""FEED"": 184, ""FERTILIZE"": 71, ""HARVEST"": 199, ""NORTH"": 1344, ""PASS"": 1706, ""PICKUP"": 97, ""PLACE"": 16, ""PLANT"": 76, ""SOUTH"": 872, ""WATER"": 804, ""WEST"": 1238}","{""BUY_ANIMAL"": 10, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 176, ""BUY_SEED"": 19, ""HIRE"": 328, ""SELL"": 111}"
