phase,candidate,opponent,games,mean_cash,min_cash,max_cash,mean_margin,wins,ties,losses,win_rate,done_rate,agent_errors,invalid_actions,max_p99_ms,max_runtime_ms,total_wall_seconds
calibration,macro_000_13_8_6_34_10_9,baseline,2,83220.0,78431.0,88009.0,-33050.0,0,0,2,0.0,1,0,0,4.640416,34.116083,10.15199866599869
calibration,macro_000_13_8_6_34_10_9,v012,2,85241.0,81215.0,89267.0,-78908.5,0,0,2,0.0,1,0,0,4.862834,92.122,8.714407917002973
calibration,macro_001_10_8_6_34_10_9,baseline,2,80075.0,74562.0,85588.0,-40671.5,0,0,2,0.0,1,0,0,3.117041,143.116375,9.749351708000177
calibration,macro_001_10_8_6_34_10_9,v012,2,83880.0,82264.0,85496.0,-81566.5,0,0,2,0.0,1,0,0,3.187125,84.526375,8.703532000006817
calibration,macro_002_11_8_6_34_10_9,baseline,2,81074.0,74767.0,87381.0,-40083.5,0,0,2,0.0,1,0,0,3.831875,112.892542,9.920299624995096
calibration,macro_002_11_8_6_34_10_9,v012,2,76796.5,70998.0,82595.0,-88361.0,0,0,2,0.0,1,0,0,3.99825,8.65175,8.858389916997112
calibration,macro_003_12_8_6_34_10_9,baseline,2,86632.5,81702.0,91563.0,-33113.5,0,0,2,0.0,1,0,0,4.073125,97.977208,9.772770832998503
calibration,macro_003_12_8_6_34_10_9,v012,2,84097.0,77935.0,90259.0,-81093.0,0,0,2,0.0,1,0,0,3.954875,10.419584,9.085150540995528
calibration,macro_004_14_8_6_34_10_9,baseline,2,79752.0,77014.0,82490.0,-37523.5,0,0,2,0.0,1,0,0,4.8455,9.345958,10.120504582991998
calibration,macro_004_14_8_6_34_10_9,v012,2,80027.0,79575.0,80479.0,-82470.5,0,0,2,0.0,1,0,0,4.672291,6.885959,9.019401166995522
calibration,macro_005_13_6_6_34_10_9,baseline,2,83653.0,79899.0,87407.0,-31686.0,0,0,2,0.0,1,0,0,4.626875,9.413334,10.996184792005806
calibration,macro_005_13_6_6_34_10_9,v012,2,86399.5,85503.0,87296.0,-78692.0,0,0,2,0.0,1,0,0,4.97075,7.217291,9.834226457998739
calibration,macro_006_13_7_6_34_10_9,baseline,2,83220.0,78431.0,88009.0,-33050.0,0,0,2,0.0,1,0,0,4.931334,13.023875,11.324560665998433
calibration,macro_006_13_7_6_34_10_9,v012,2,85241.0,81215.0,89267.0,-78908.5,0,0,2,0.0,1,0,0,5.280333,15.290958,10.166949708000175
calibration,macro_007_13_9_6_34_10_9,baseline,2,83220.0,78431.0,88009.0,-33050.0,0,0,2,0.0,1,0,0,4.599792,17.277125,11.129823458009923
calibration,macro_007_13_9_6_34_10_9,v012,2,85241.0,81215.0,89267.0,-78908.5,0,0,2,0.0,1,0,0,5.797875,9.243208,10.010932083001535
calibration,macro_008_13_10_6_34_10_9,baseline,2,83220.0,78431.0,88009.0,-33050.0,0,0,2,0.0,1,0,0,4.971166,14.100083,10.48681800000486
calibration,macro_008_13_10_6_34_10_9,v012,2,85241.0,81215.0,89267.0,-78908.5,0,0,2,0.0,1,0,0,4.54425,12.013791,9.553562374996545
calibration,macro_009_13_12_6_34_10_9,baseline,2,83220.0,78431.0,88009.0,-33050.0,0,0,2,0.0,1,0,0,4.625292,5.86625,10.56559829100297
calibration,macro_009_13_12_6_34_10_9,v012,2,85241.0,81215.0,89267.0,-78908.5,0,0,2,0.0,1,0,0,5.018375,11.203458,9.464908041001763
calibration,macro_010_13_8_3_34_10_9,baseline,2,90503.0,82566.0,98440.0,-23500.0,0,0,2,0.0,1,0,0,4.213167,65.765959,10.381447209001635
calibration,macro_010_13_8_3_34_10_9,v012,2,90637.5,87758.0,93517.0,-78058.5,0,0,2,0.0,1,0,0,4.531042,10.243541,9.550165207998361
calibration,macro_011_13_8_4_34_10_9,baseline,2,90503.0,82566.0,98440.0,-23500.0,0,0,2,0.0,1,0,0,4.314541,6.203958,10.477307043009205
calibration,macro_011_13_8_4_34_10_9,v012,2,90637.5,87758.0,93517.0,-78058.5,0,0,2,0.0,1,0,0,4.351833,8.87075,9.645534873998258
calibration,macro_012_13_8_5_34_10_9,baseline,2,83220.0,78431.0,88009.0,-33050.0,0,0,2,0.0,1,0,0,4.866792,82.153916,10.893084291004925
calibration,macro_012_13_8_5_34_10_9,v012,2,85241.0,81215.0,89267.0,-78908.5,0,0,2,0.0,1,0,0,4.947792,8.8525,9.832229750005354
calibration,macro_013_13_8_7_34_10_9,baseline,2,83653.0,79899.0,87407.0,-31686.0,0,0,2,0.0,1,0,0,4.575,6.096791,11.164624125005503
