phase,candidate,opponent,games,mean_cash,min_cash,max_cash,mean_margin,wins,ties,losses,win_rate,done_rate,agent_errors,invalid_actions,max_p99_ms,max_runtime_ms,total_wall_seconds
final,macro_021_13_8_6_34_12_9,baseline,12,87435.25,79925.0,98320.0,-31756.25,0,0,12,0.0,1,0,0,5.184125,152.775209,86.86163970900088
final,macro_021_13_8_6_34_12_9,frontier,12,85089.33333333333,75184.0,95086.0,-72709.66666666667,0,0,12,0.0,1,0,0,4.905959,191.900625,76.2363587520158
final,macro_021_13_8_6_34_12_9,hamburger,12,85348.33333333333,75688.0,95221.0,-74169.83333333333,0,0,12,0.0,1,0,0,5.619167,171.830834,80.00839104199258
final,macro_021_13_8_6_34_12_9,v012,12,85559.66666666667,73205.0,95290.0,-74525.75,0,0,12,0.0,1,0,0,5.341167,10.028958,76.15813224999147
final,macro_021_13_8_6_34_12_9,v18,12,85565.83333333333,73211.0,95296.0,-73579.0,0,0,12,0.0,1,0,0,5.474333,7.775208,76.36184375000448
final,macro_022_13_8_6_34_14_9,baseline,12,87435.25,79925.0,98320.0,-31756.25,0,0,12,0.0,1,0,0,5.385042,7.463292,87.77828787598992
final,macro_022_13_8_6_34_14_9,frontier,12,85089.33333333333,75184.0,95086.0,-72709.66666666667,0,0,12,0.0,1,0,0,5.30525,154.021583,77.5442282899894
final,macro_022_13_8_6_34_14_9,hamburger,12,85348.33333333333,75688.0,95221.0,-74169.83333333333,0,0,12,0.0,1,0,0,5.341292,195.976667,76.80271466998965
final,macro_022_13_8_6_34_14_9,v012,12,85559.66666666667,73205.0,95290.0,-74525.75,0,0,12,0.0,1,0,0,5.457625,143.514458,78.02541954100161
final,macro_022_13_8_6_34_14_9,v18,12,85565.83333333333,73211.0,95296.0,-73579.0,0,0,12,0.0,1,0,0,5.583666,7.389084,76.93572062498424
final,macro_028_13_8_6_34_10_9,baseline,12,88945.25,85033.0,96569.0,-25732.083333333332,0,0,12,0.0,1,0,0,6.842875,23.471375,93.1798324609772
final,macro_028_13_8_6_34_10_9,frontier,12,78564.0,64041.0,92200.0,-70277.58333333333,0,0,12,0.0,1,0,0,5.775,13.208125,77.91167291699094
final,macro_028_13_8_6_34_10_9,hamburger,12,78358.91666666667,65865.0,92502.0,-74286.16666666667,0,0,12,0.0,1,0,0,6.14025,12.190958,79.47097191801004
final,macro_028_13_8_6_34_10_9,v012,12,78608.58333333333,68847.0,88921.0,-74701.08333333333,0,0,12,0.0,1,0,0,6.088042,10.6165,83.87859316499089
final,macro_028_13_8_6_34_10_9,v18,12,78614.91666666667,68853.0,88927.0,-74065.16666666667,0,0,12,0.0,1,0,0,5.752917,8.606583,77.20730241499405
final,macro_044_13_8_6_34_10_9,baseline,12,84221.5,74355.0,96003.0,-36211.5,0,0,12,0.0,1,0,0,5.589709,10.79875,86.53189929200744
