variant,opponent,games,mean_money,mean_margin,min_money,wins,ties,losses,win_rate,all_done,agent_errors,invalid_action_shapes,p50_ms,p95_ms,p99_ms,max_ms,overlay_price_shocks,overlay_delayed_units,overlay_released_units,overlay_terminal_flush_units,overlay_field_changed,overlay_nonpremium_changed
control,baseline,12,155481.91666666666,52017.083333333336,138456.0,12,0,0,1.0,1,0,0,0.0089585,0.05728460500000003,0.15318118000000291,0.28925,,,,,,
control,frontier,12,121499.16666666667,8443.0,102261.0,11,0,1,0.9166666666666666,1,0,0,0.0085,0.04742990000000002,0.07244376000000011,88.994958,,,,,,
control,hamburger,12,141606.66666666666,17285.833333333332,101598.0,12,0,0,1.0,1,0,20,0.008479,0.057597710000000024,0.16100600000000342,109.1165,,,,,,
control,v012,12,124677.41666666667,0.0,103313.0,6,0,6,0.5,1,0,0,0.0077085,0.057445790000000004,0.10470756000000175,0.402167,,,,,,
control,v18,12,125111.25,404.0833333333333,103410.0,10,0,2,0.8333333333333334,1,0,0,0.007771,0.05183292000000005,0.07978488000000013,0.291208,,,,,,
default,baseline,12,155413.75,51990.0,138399.0,12,0,0,1.0,1,0,0,0.021854,0.07550466000000003,0.18450506000000025,0.3005,44.0,13.0,11.0,658.0,0.0,0.0
default,frontier,12,121378.33333333333,8276.833333333334,102215.0,11,0,1,0.9166666666666666,1,0,0,0.0212495,0.06891483500000002,0.16864700000000318,80.899875,457.0,80.0,76.0,653.0,0.0,0.0
default,hamburger,12,141557.25,17295.833333333332,101552.0,12,0,0,1.0,1,0,20,0.021187499999999998,0.07490773000000003,0.2680150600000024,136.807625,251.0,49.0,39.0,655.0,0.0,0.0
default,v012,12,125345.66666666667,1414.6666666666667,103456.0,10,0,2,0.8333333333333334,1,0,0,0.020458,0.07152625,0.1580670000000032,0.333,466.0,146.0,124.0,653.0,0.0,0.0
default,v18,12,125734.66666666667,1825.4166666666667,103580.0,11,0,1,0.9166666666666666,1,0,0,0.020479499999999998,0.06891342500000006,0.16436206000000297,75.856125,469.0,138.0,118.0,653.0,0.0,0.0
