variant,opponent,games,mean_money,mean_margin,min_money,wins,ties,losses,win_rate,all_done,agent_errors,invalid_action_shapes,p50_ms,p95_ms,p99_ms,max_ms,overlay_price_shocks,overlay_delayed_units,overlay_released_units,overlay_terminal_flush_units,sum_selection_count,sum_market_replacements,sum_overlay_price_shocks,sum_overlay_delayed_units,sum_overlay_released_units,sum_overlay_terminal_flush_units,sum_field_changed,sum_nonpremium_changed,selected_experts
aggressive_value,baseline,12,155393.33333333334,51955.916666666664,138394.0,12,0,0,1.0,1,0,0,0.0277915,0.20654839,0.6167831800000001,144.609167,44.0,13.0,11.0,658.0,360.0,8628.0,44.0,13.0,11.0,658.0,0.0,0.0,"{""automatylicza"": 12}"
aggressive_value,frontier,12,121398.83333333333,7599.25,102360.0,11,0,1,0.9166666666666666,1,0,0,0.0262495,0.09959410000000077,0.62736994,137.396458,425.0,86.0,82.0,653.0,360.0,8628.0,425.0,86.0,82.0,653.0,0.0,0.0,"{""automatylicza"": 12}"
aggressive_value,hamburger,12,140226.33333333334,16834.75,101376.0,12,0,0,1.0,1,0,0,0.0263545,0.20736394000000075,0.6303299400000003,151.329542,257.0,53.0,48.0,655.0,360.0,8628.0,257.0,53.0,48.0,655.0,0.0,0.0,"{""automatylicza"": 12}"
aggressive_value,v012,12,125543.5,1405.1666666666667,103423.0,9,0,3,0.75,1,0,0,0.025333,0.16823307000000048,0.6234806200000003,116.606833,460.0,148.0,128.0,653.0,360.0,8628.0,460.0,148.0,128.0,653.0,0.0,0.0,"{""automatylicza"": 12}"
aggressive_value,v18,12,125837.41666666667,1882.75,103554.0,11,0,1,0.9166666666666666,1,0,0,0.0253545,0.18823624000000005,0.6167730600000008,106.075916,455.0,154.0,132.0,653.0,360.0,8628.0,455.0,154.0,132.0,653.0,0.0,0.0,"{""automatylicza"": 12}"
collision_hedged,baseline,12,156520.58333333334,53152.0,138846.0,12,0,0,1.0,1,0,0,0.026917,0.19350474000000012,0.61305188,145.329875,55.0,9.0,8.0,658.0,360.0,8628.0,55.0,9.0,8.0,658.0,0.0,0.0,"{""mohit"": 12}"
collision_hedged,frontier,12,121792.75,8309.916666666666,102790.0,11,0,1,0.9166666666666666,1,0,0,0.0260625,0.18363565000000015,0.6311631800000006,54.923667,448.0,65.0,58.0,653.0,360.0,8628.0,448.0,65.0,58.0,653.0,0.0,0.0,"{""mohit"": 12}"
collision_hedged,hamburger,12,141252.08333333334,17997.333333333332,102114.0,12,0,0,1.0,1,0,0,0.0262085,0.21685109000000014,0.6126136200000006,37.440959,267.0,46.0,40.0,655.0,360.0,8628.0,267.0,46.0,40.0,655.0,0.0,0.0,"{""mohit"": 12}"
collision_hedged,v012,12,125034.66666666667,94.91666666666667,102136.0,5,0,7,0.4166666666666667,1,0,0,0.025229500000000002,0.11446065000000175,0.6078520600000002,0.901667,478.0,132.0,110.0,653.0,360.0,8628.0,478.0,132.0,110.0,653.0,0.0,0.0,"{""mohit"": 12}"
collision_hedged,v18,12,125203.0,197.91666666666666,102174.0,5,0,7,0.4166666666666667,1,0,0,0.024979,0.16560343500000033,0.6254430599999999,98.544834,479.0,128.0,106.0,653.0,360.0,8628.0,479.0,128.0,106.0,653.0,0.0,0.0,"{""mohit"": 12}"
control,baseline,12,155481.91666666666,52017.083333333336,138456.0,12,0,0,1.0,1,0,0,0.008896000000000001,0.05684583000000002,0.11762756000000078,0.397792,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
