variant,opponent,games,mean_money,mean_margin,min_money,wins,ties,losses,win_rate,all_done,agent_errors,invalid_action_shapes,p50_ms,p95_ms,p99_ms,max_ms,sum_adjusted_items,sum_adjusted_units,sum_changed_market_actions,sum_overlay_price_shocks,sum_overlay_delayed_units,sum_overlay_released_units,sum_overlay_terminal_flush_units,sum_field_changed,sum_nonpremium_changed,expert_counts
control_v012,baseline,12,155481.91666666666,52017.083333333336,138456.0,12,0,0,1.0,1,0,0,0.009125,0.05687037000000001,0.12029382000000077,0.308333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
control_v012,frontier,12,121499.16666666667,8443.0,102261.0,11,0,1,0.9166666666666666,1,0,0,0.008625,0.04851880500000003,0.070375,90.785833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
control_v012,hamburger,12,141606.66666666666,17285.833333333332,101598.0,12,0,0,1.0,1,0,20,0.0086665,0.05645690000000002,0.15679006000000403,105.986625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
control_v012,v012,12,124677.41666666667,0.0,103313.0,6,0,6,0.5,1,0,0,0.0077085,0.054752230000000006,0.09723556000000023,0.373917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
control_v012,v18,12,125111.25,404.0833333333333,103410.0,10,0,2,0.8333333333333334,1,0,0,0.0078745,0.049533785000000066,0.08032506000000092,0.297334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
control_v015a,baseline,12,155413.75,51990.0,138399.0,12,0,0,1.0,1,0,0,0.0224165,0.07495268500000002,0.19024694000000023,0.304,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
control_v015a,frontier,12,121378.33333333333,8276.833333333334,102215.0,11,0,1,0.9166666666666666,1,0,0,0.021646,0.06972213000000003,0.1743619400000018,81.296125,0.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
control_v015a,hamburger,12,141557.25,17295.833333333332,101552.0,12,0,0,1.0,1,0,20,0.021875,0.07657782500000002,0.24499150000000028,138.448208,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
control_v015a,v012,12,125345.66666666667,1414.6666666666667,103456.0,10,0,2,0.8333333333333334,1,0,0,0.020791999999999998,0.06934083499999999,0.16274812000000347,0.327417,0.0,0.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
control_v015a,v18,12,125734.66666666667,1825.4166666666667,103580.0,11,0,1,0.9166666666666666,1,0,0,0.0209165,0.07101664500000002,0.16881688000000328,74.591875,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
curve_only,baseline,12,155472.41666666666,52146.083333333336,138399.0,12,0,0,1.0,1,0,0,0.027042,0.316786485,0.5292211800000008,82.118459,6.0,40.0,22.0,39.0,12.0,8.0,655.0,0.0,0.0,"{""automatylicza"": 1236}"
curve_only,frontier,12,121736.58333333333,6730.0,103639.0,10,0,2,0.8333333333333334,1,0,0,0.026229,0.31612167000000013,0.5413930600000002,74.112792,130.0,1009.0,256.0,424.0,65.0,59.0,653.0,0.0,0.0,"{""automatylicza"": 1086, ""navazsh_fathi"": 96}"
curve_only,hamburger,12,141760.33333333334,16785.083333333332,104376.0,12,0,0,1.0,1,0,20,0.0262915,0.32473281500000006,0.5235995000000013,37.207416,62.0,495.0,168.0,239.0,37.0,33.0,652.0,0.0,0.0,"{""automatylicza"": 1154, ""navazsh_fathi"": 51}"
curve_only,v012,12,124290.0,-1511.6666666666667,103283.0,3,0,9,0.25,1,0,0,0.0255415,0.3183862450000001,0.5466495600000022,115.686125,112.0,986.0,238.0,482.0,144.0,116.0,635.0,0.0,0.0,"{""automatylicza"": 1086, ""navazsh_fathi"": 96}"
curve_only,v18,12,124769.08333333333,-1155.1666666666667,102999.0,6,0,6,0.5,1,0,0,0.0253125,0.3181927550000002,0.527170060000002,109.949833,100.0,844.0,234.0,453.0,132.0,110.0,635.0,0.0,0.0,"{""automatylicza"": 1086, ""navazsh_fathi"": 96}"
opponent_aware,baseline,12,155475.66666666666,52151.583333333336,138399.0,12,0,0,1.0,1,0,0,0.0273335,0.5034789800000002,0.7979368800000012,76.321708,3.0,12.0,10.0,40.0,13.0,10.0,658.0,0.0,0.0,"{""automatylicza"": 1236}"
