variant,opponent_style,games,mean_money,mean_margin,min_money,wins,ties,losses,win_rate,all_done,agent_errors,invalid_action_shapes,p99_ms,sum_actual_MILK_revenue,sum_actual_STRAWBERRY_revenue,sum_actual_MILK_filled,sum_actual_STRAWBERRY_filled
control_v012,reduced_ne_only,3,182020.0,170948.66666666666,179242.0,3,0,0,1.0,1,0,0,0.1925168800000013,131677.0,157633.0,549.0,646.0
control_v012,standard_converged,55,129144.21818181819,4229.054545454545,79996.0,11,0,44,0.2,1,0,40,0.14684144000000293,1560745.0,2041901.0,9943.0,11841.0
fixed_automatylicza,reduced_ne_only,3,182020.0,170948.66666666666,179242.0,3,0,0,1.0,1,0,0,0.19365806000000027,131677.0,157633.0,549.0,646.0
fixed_automatylicza,standard_converged,55,129199.18181818182,4061.4363636363637,79996.0,11,0,44,0.2,1,0,40,0.0971093800000004,1559553.0,2037402.0,9943.0,11790.0
fixed_lucien_de_rubempre,reduced_ne_only,3,84374.33333333333,-57908.666666666664,51978.0,0,0,3,0.0,1,0,103,0.11050262000000059,58118.0,76443.0,399.0,380.0
fixed_lucien_de_rubempre,standard_converged,55,128794.67272727273,4386.036363636364,77818.0,9,0,46,0.16363636363636364,1,0,42,0.1077030600000009,1554815.0,2059382.0,10022.0,12049.0
fixed_manual_player,reduced_ne_only,3,182231.66666666666,171140.66666666666,179467.0,3,0,0,1.0,1,0,0,0.18976244000000056,134038.0,157817.0,558.0,646.0
fixed_manual_player,standard_converged,55,129183.89090909091,3953.2545454545457,78217.0,9,0,46,0.16363636363636364,1,0,40,0.1568129400000031,1587625.0,2038701.0,10104.0,11790.0
fixed_mohit,reduced_ne_only,3,182096.0,171023.0,179332.0,3,0,0,1.0,1,0,0,0.19837862000000012,132634.0,157645.0,552.0,646.0
fixed_mohit,standard_converged,55,129192.70909090909,4032.6,79533.0,9,0,46,0.16363636363636364,1,0,40,0.09622894000000044,1568726.0,2037476.0,9998.0,11790.0
fixed_navazsh_fathi,reduced_ne_only,3,184162.66666666666,172764.0,181416.0,3,0,0,1.0,1,0,0,0.20702932000000057,134741.0,163337.0,557.0,665.0
fixed_navazsh_fathi,standard_converged,55,130672.16363636364,5309.963636363636,77741.0,10,0,45,0.18181818181818182,1,0,20,0.1502280000000034,1623998.0,2091651.0,10075.0,12150.0
