variant,opponent_style,games,mean_money,mean_margin,min_money,wins,ties,losses,win_rate,all_done,agent_errors,invalid_action_shapes,p99_ms,sum_actual_MILK_revenue,sum_actual_STRAWBERRY_revenue,sum_actual_MILK_filled,sum_actual_STRAWBERRY_filled,sum_field_changed,sum_nonpremium_changed
control_v012,reduced_ne_only,3,182020.0,170948.66666666666,179242.0,3,0,0,1.0,1,0,0,0.15055300000000357,131677.0,157633.0,549.0,646.0,,
control_v012,standard_converged,55,129144.21818181819,4229.054545454545,79996.0,11,0,44,0.2,1,0,40,0.1274025600000018,1560745.0,2041901.0,9943.0,11841.0,,
control_v018,reduced_ne_only,3,181998.33333333334,170932.33333333334,179230.0,3,0,0,1.0,1,0,0,12.336835000000013,131677.0,157633.0,549.0,646.0,,
control_v018,standard_converged,55,129205.23636363636,3378.1272727272726,78845.0,10,0,45,0.18181818181818182,1,0,40,13.312696320000038,1592119.0,2037276.0,9945.0,11770.0,,
v019a,reduced_ne_only,3,182100.33333333334,171030.33333333334,179335.0,3,0,0,1.0,1,0,0,0.2294535600000005,132634.0,157645.0,552.0,646.0,0.0,0.0
v019a,standard_converged,55,130120.41818181818,4622.236363636363,77924.0,9,0,46,0.16363636363636364,1,0,40,0.23189056000000013,1626559.0,2067674.0,10104.0,11905.0,0.0,0.0
v019b,reduced_ne_only,3,182060.33333333334,170807.33333333334,179225.0,3,0,0,1.0,1,0,0,0.21819194000000025,132598.0,157645.0,552.0,646.0,0.0,15.0
v019b,standard_converged,55,130585.27272727272,5253.2,77741.0,10,0,45,0.18181818181818182,1,0,20,0.25070388000000027,1622013.0,2088229.0,10079.0,12144.0,0.0,784.0
v019c,reduced_ne_only,3,182096.0,171023.0,179332.0,3,0,0,1.0,1,0,0,0.22858062000000015,132634.0,157645.0,552.0,646.0,0.0,3.0
v019c,standard_converged,55,129144.21818181819,4229.054545454545,79996.0,11,0,44,0.2,1,0,40,0.24253182000000223,1560745.0,2041901.0,9943.0,11841.0,0.0,0.0
