episode,seat,team,score_bands,day,style,confidence,hour,hands,unlocked_count,has_NE,has_SW,has_SE,crops_total,animals_total,cows,sheep,geese,premium_pipeline,premium_price_ratio,weeds,crop_MELON,crop_WHEAT,ready_MELON,ready_WHEAT,ready_SHEEP,ready_COW,crop_STRAWBERRY,ready_STRAWBERRY,ready_
90104951,0,lucaskna,L4,0,standard_converged,0.6,0,0,1,0,0,0,0,0,0,0,0,0.0,1.0,0,,,,,,,,,
90104951,0,lucaskna,L4,1,standard_converged,0.6,0,0,1,0,0,0,17,4,3,1,0,25.0,1.065,0,7,10,7,10,0,0,,,
90104951,0,lucaskna,L4,2,standard_converged,0.6,0,0,1,0,0,0,18,4,3,1,0,25.0,1.0934791666666668,0,7,11,7,11,0,0,,,
90104951,0,lucaskna,L4,3,standard_converged,0.6,0,0,1,0,0,0,19,4,3,1,0,28.0,1.1148125000000002,0,8,11,8,21,0,0,,,
90104951,0,lucaskna,L4,4,standard_converged,0.6,0,0,1,0,0,0,19,4,3,1,0,28.0,1.1463958333333333,0,8,11,8,32,0,0,,,
90104951,0,lucaskna,L4,5,standard_converged,0.6,0,0,1,0,0,0,19,4,3,1,0,36.0,1.1706875,0,10,7,10,9,0,0,2,0,
90104951,0,lucaskna,L4,6,standard_converged,0.6,0,0,1,0,0,0,18,6,4,2,0,38.0,1.1922083333333333,1,10,6,10,6,6,0,2,0,
90104951,0,lucaskna,L4,7,standard_converged,0.6,0,0,1,0,0,0,18,7,4,2,0,52.0,1.2034791666666667,0,10,6,17,12,0,0,2,0,0
90104951,0,lucaskna,L4,8,standard_converged,0.6,0,0,2,1,0,0,27,7,5,2,0,74.0,1.2305208333333335,0,11,10,25,22,0,18,6,0,
90104951,0,lucaskna,L4,9,standard_converged,0.6,0,0,2,1,0,0,30,11,5,6,0,100.0,1.1357916666666668,2,11,7,33,7,4,0,12,0,
90104951,0,lucaskna,L4,10,standard_converged,0.6,0,0,2,1,0,0,35,12,6,6,0,122.0,1.1363750000000001,0,11,7,41,11,0,9,17,0,
90104951,0,lucaskna,L4,11,standard_converged,0.6,0,0,3,1,1,0,33,14,6,6,0,55.0,1.1495208333333333,0,4,8,9,20,6,0,21,0,0
90104951,0,lucaskna,L4,12,standard_converged,0.6,0,0,3,1,1,0,39,14,8,6,0,75.0,1.1307708333333333,0,6,6,14,18,4,9,27,0,
90104951,0,lucaskna,L4,13,standard_converged,0.6,0,0,3,1,1,0,43,14,8,6,0,77.0,1.0743125,2,6,4,12,6,0,6,33,0,
90104951,0,lucaskna,L4,14,standard_converged,0.6,0,0,3,1,1,0,51,14,8,6,0,105.0,1.0809791666666666,1,9,4,18,12,27,9,38,4,
90104951,0,lucaskna,L4,15,standard_converged,0.6,0,0,3,1,1,0,52,14,8,6,0,82.0,0.9455625,1,8,4,10,14,4,9,40,0,
90104951,0,lucaskna,L4,16,standard_converged,0.6,0,0,3,1,1,0,53,14,8,6,0,98.0,0.9131458333333334,1,10,3,13,6,0,9,40,4,
90104951,0,lucaskna,L4,17,standard_converged,0.6,0,0,3,1,1,0,54,14,8,6,0,108.0,0.8941458333333334,0,10,4,14,6,20,12,40,8,
90104951,0,lucaskna,L4,18,standard_converged,0.6,0,0,3,1,1,0,54,14,8,6,0,117.0,0.8522291666666666,0,9,5,11,11,4,9,40,16,
90104951,0,lucaskna,L4,19,standard_converged,0.6,0,0,3,1,1,0,53,14,8,6,0,127.0,0.8337500000000001,0,9,4,14,12,0,21,40,18,
90104951,0,lucaskna,L4,20,standard_converged,0.6,0,0,3,1,1,0,52,14,8,6,0,151.0,0.8127708333333334,0,9,3,20,11,20,9,40,24,
90104951,0,lucaskna,L4,21,standard_converged,0.6,0,0,3,1,1,0,50,14,8,6,0,165.0,0.8437916666666666,0,9,1,26,4,4,14,40,25,
90104951,0,lucaskna,L4,22,standard_converged,0.6,0,0,3,1,1,0,46,14,8,6,0,196.0,0.7594166666666666,0,8,,29,,0,9,38,39,
90104951,0,lucaskna,L4,23,standard_converged,0.6,0,0,3,1,1,0,45,14,8,6,0,209.0,0.7808750000000001,0,7,,28,,20,15,38,47,
90104951,0,lucaskna,L4,24,standard_converged,0.6,0,0,3,1,1,0,44,14,8,6,0,186.0,0.8016041666666667,1,6,,26,,4,9,38,38,
90104951,0,lucaskna,L4,25,standard_converged,0.6,0,0,3,1,1,0,39,14,8,6,0,173.0,0.8702708333333334,2,5,,24,,0,15,34,36,
90104951,0,lucaskna,L4,26,standard_converged,0.6,0,0,3,1,1,0,31,14,8,6,0,127.0,0.7719166666666667,3,3,,15,,20,9,28,26,
90104951,0,lucaskna,L4,27,standard_converged,0.6,0,0,3,1,1,0,55,14,8,6,0,90.0,0.8581041666666666,3,2,31,11,31,4,15,22,15,
90104951,0,lucaskna,L4,28,standard_converged,0.6,0,0,3,1,1,0,47,14,8,6,0,55.0,0.7980208333333333,10,,32,,32,0,9,15,13,
90104951,0,lucaskna,L4,29,standard_converged,0.6,0,0,3,1,1,0,36,14,8,5,0,37.0,0.8199166666666666,13,,24,,56,20,15,12,6,0
90104951,1,somewhere after,L4,0,standard_converged,0.6,0,0,1,0,0,0,0,0,0,0,0,0.0,1.0,0,,,,,,,,,
90104951,1,somewhere after,L4,1,standard_converged,0.6,0,0,1,0,0,0,17,4,3,1,0,25.0,1.065,0,7,10,7,10,0,0,,,
90104951,1,somewhere after,L4,2,standard_converged,0.6,0,0,1,0,0,0,18,4,3,1,0,25.0,1.0934791666666668,0,7,11,7,11,0,0,,,
90104951,1,somewhere after,L4,3,standard_converged,0.6,0,0,1,0,0,0,19,4,3,1,0,28.0,1.1148125000000002,0,8,11,8,21,0,0,,,
90104951,1,somewhere after,L4,4,standard_converged,0.6,0,0,1,0,0,0,19,4,3,1,0,28.0,1.1463958333333333,0,8,11,8,32,0,0,,,
90104951,1,somewhere after,L4,5,standard_converged,0.6,0,0,1,0,0,0,19,4,3,1,0,36.0,1.1706875,0,10,7,10,9,0,0,2,0,
90104951,1,somewhere after,L4,6,standard_converged,0.6,0,0,1,0,0,0,18,6,4,2,0,38.0,1.1922083333333333,0,10,6,10,6,6,0,2,0,
90104951,1,somewhere after,L4,7,standard_converged,0.6,0,0,1,0,0,0,18,7,4,2,0,52.0,1.2034791666666667,0,10,6,17,12,0,0,2,0,0
90104951,1,somewhere after,L4,8,standard_converged,0.6,0,0,2,1,0,0,27,7,5,2,0,74.0,1.2305208333333335,1,11,10,25,22,0,18,6,0,
90104951,1,somewhere after,L4,9,standard_converged,0.6,0,0,2,1,0,0,30,11,5,6,0,100.0,1.1357916666666668,3,11,7,33,7,4,0,12,0,
90104951,1,somewhere after,L4,10,standard_converged,0.6,0,0,2,1,0,0,35,12,6,6,0,122.0,1.1363750000000001,0,11,7,41,11,0,9,17,0,
90104951,1,somewhere after,L4,11,standard_converged,0.6,0,0,3,1,1,0,33,14,6,6,0,55.0,1.1495208333333333,0,4,8,9,24,6,0,21,0,0
90104951,1,somewhere after,L4,12,standard_converged,0.6,0,0,3,1,1,0,39,14,8,6,0,75.0,1.1307708333333333,0,6,6,14,18,4,9,27,0,
90104951,1,somewhere after,L4,13,standard_converged,0.6,0,0,3,1,1,0,43,14,8,6,0,77.0,1.0743125,2,6,4,12,6,0,6,33,0,
90104951,1,somewhere after,L4,14,standard_converged,0.6,0,0,3,1,1,0,51,14,8,6,0,105.0,1.0809791666666666,1,9,4,18,12,28,9,38,4,
90104951,1,somewhere after,L4,15,standard_converged,0.6,0,0,3,1,1,0,52,14,8,6,0,82.0,0.9455625,1,8,4,10,14,4,9,40,0,
90104951,1,somewhere after,L4,16,standard_converged,0.6,0,0,3,1,1,0,53,14,8,6,0,98.0,0.9131458333333334,1,10,3,13,6,0,9,40,4,
90104951,1,somewhere after,L4,17,standard_converged,0.6,0,0,3,1,1,0,54,14,8,6,0,108.0,0.8941458333333334,0,10,4,14,6,20,12,40,8,
90104951,1,somewhere after,L4,18,standard_converged,0.6,0,0,3,1,1,0,54,14,8,6,0,117.0,0.8522291666666666,0,9,5,11,11,4,9,40,16,
90104951,1,somewhere after,L4,19,standard_converged,0.6,0,0,3,1,1,0,53,14,8,6,0,127.0,0.8337500000000001,0,9,4,14,12,0,21,40,18,
90104951,1,somewhere after,L4,20,standard_converged,0.6,0,0,3,1,1,0,52,14,8,6,0,151.0,0.8127708333333334,0,9,3,20,11,20,9,40,24,
