episode,source,score_labels,score_bands,duplicate_count,duplicate_exact,seed,team_names,side_score_mapping
90104951,/Users/guoziming/Desktop/比赛/kaggriculture/log/2026-08-05/3081.json,3081,L4,1,1,802179968,"[""lucaskna"", ""somewhere after""]",unknown
90106933,/Users/guoziming/Desktop/比赛/kaggriculture/log/2026-08-05/2409.json,2409,L3,1,1,82539666,"[""Tianfu Wang (王天夫)"", ""Devaansh Pathak""]",unknown
90106946,/Users/guoziming/Desktop/比赛/kaggriculture/log/2026-08-05/2538.json,2538,L3,1,1,1390058913,"[""Rayk Kretzschmar"", ""test_money""]",unknown
90108324,/Users/guoziming/Desktop/比赛/kaggriculture/log/2026-08-05/2590.json,2590,L3,1,1,313718519,"[""Renji Starfall"", ""Narendra Sirvi""]",unknown
90113773,/Users/guoziming/Desktop/比赛/kaggriculture/log/2026-08-05/1787.json,1787,L1,1,1,152037057,"[""kreiack"", ""Aurora wy""]",unknown
90117191,/Users/guoziming/Desktop/比赛/kaggriculture/log/2026-08-05/1909.json,1909,L1,1,1,470270336,"[""Juwon Kweon"", ""Yaroslav""]",unknown
90118542,/Users/guoziming/Desktop/比赛/kaggriculture/log/2026-08-05/2926.json,2926,L4,1,1,1924556938,"[""somewhere after"", ""Lucien de Rubempre""]",unknown
90121273,/Users/guoziming/Desktop/比赛/kaggriculture/log/2026-08-05/2882.json,"2882,2924",L4,2,1,1793854302,"[""Le Viet"", ""Dennis Gioche""]",unknown
90122627,/Users/guoziming/Desktop/比赛/kaggriculture/log/2026-08-05/2667.json,2667,L3,1,1,813706482,"[""bcTiann"", ""Kyle""]",unknown
90123152,/Users/guoziming/Desktop/比赛/kaggriculture/log/2026-08-05/1815.json,1815,L1,1,1,1354632275,"[""Zerabyte_X"", ""Ben Hamilton""]",unknown
90127343,/Users/guoziming/Desktop/比赛/kaggriculture/log/2026-08-05/2223.json,2223,L2,1,1,1934415223,"[""today"", ""Syed Shayan Ali Shah""]",unknown
90128745,/Users/guoziming/Desktop/比赛/kaggriculture/log/2026-08-05/1735.json,1735,L1,1,1,1684033547,"[""senxichong"", ""Mobzya""]",unknown
90128767,/Users/guoziming/Desktop/比赛/kaggriculture/log/2026-08-05/2891.json,2891,L4,1,1,1856099072,"[""sash"", ""Kun Zhang""]",unknown
90128775,/Users/guoziming/Desktop/比赛/kaggriculture/log/2026-08-05/2720.json,2720,L3,1,1,1472662957,"[""Rudolf HOUNLETE"", ""thwaitsusa2""]",unknown
90128778,/Users/guoziming/Desktop/比赛/kaggriculture/log/2026-08-05/1639.json,1639,L1,1,1,998459814,"[""Aastik Rajan15"", ""Will Rice""]",unknown
90129386,/Users/guoziming/Desktop/比赛/kaggriculture/log/2026-08-05/1950.json,1950,L1,1,1,214318505,"[""Bharath Varma"", ""Spandan Mhapsekar""]",unknown
90130062,/Users/guoziming/Desktop/比赛/kaggriculture/log/2026-08-05/1681.json,1681,L1,1,1,612087498,"[""Chhaya Awasthi"", ""ych~sun""]",unknown
90130129,/Users/guoziming/Desktop/比赛/kaggriculture/log/2026-08-05/2756.json,2756,L3,1,1,1339902708,"[""roma"", ""thwaitsusa2""]",unknown
90130741,/Users/guoziming/Desktop/比赛/kaggriculture/log/2026-08-05/2173.json,2173,L2,1,1,408989610,"[""Ben Hamilton"", ""Tomoki Hirose""]",unknown
90130765,/Users/guoziming/Desktop/比赛/kaggriculture/log/2026-08-05/1881.json,1881,L1,1,1,2114083515,"[""Mikhail_Komkin"", ""GUAM""]",unknown
90130806,/Users/guoziming/Desktop/比赛/kaggriculture/log/2026-08-05/2676.json,2676,L3,1,1,1940616154,"[""안녕하세요이세입니다잘부탁드립니다"", ""Mengfei Li""]",unknown
90130811,/Users/guoziming/Desktop/比赛/kaggriculture/log/2026-08-05/2907.json,"2907,2972",L4,2,1,716866017,"[""lucaskna"", ""Ibad Ur Rahman""]",unknown
90131482,/Users/guoziming/Desktop/比赛/kaggriculture/log/2026-08-05/2378.json,2378,L2,1,1,925027272,"[""Amitesh Chaudhary"", ""Haramball forever!""]",unknown
90132097,/Users/guoziming/Desktop/比赛/kaggriculture/log/2026-08-05/2128.json,2128,L2,1,1,317069013,"[""Aleksei Ponomarev"", ""tong00""]",unknown
90132099,/Users/guoziming/Desktop/比赛/kaggriculture/log/2026-08-05/2443.json,2443,L3,1,1,697466904,"[""Sayandeep Ghosh"", ""Tai Tien Ta""]",unknown
90132830,/Users/guoziming/Desktop/比赛/kaggriculture/log/2026-08-05/2019.json,2019,L2,1,1,1426018937,"[""Roshan Singh"", ""cracker_1_war""]",unknown
90133493,/Users/guoziming/Desktop/比赛/kaggriculture/log/2026-08-05/2317.json,2317,L2,1,1,1551702183,"[""Ben Hamilton"", ""Arya Mazloomi""]",unknown
90133507,/Users/guoziming/Desktop/比赛/kaggriculture/log/2026-08-05/2113.json,2113,L2,1,1,1595153933,"[""MilanJoshi"", ""Roshan Singh""]",unknown
90133550,/Users/guoziming/Desktop/比赛/kaggriculture/log/2026-08-05/2286.json,2286,L2,1,1,2093769810,"[""Jesse Ferguson"", ""SeshuRaju 🧘‍♂️""]",unknown
