episode,seat,team,cash,opponent_cash,win,score_labels,score_bands,dominant_style,max_hands,land_days,final_crops,final_cows,final_sheep,final_weeds
90104951,0,lucaskna,109349.0,103256.0,1,3081,L4,standard_converged,0,"{""NE"": 8, ""SW"": 11}",7,8,5,20
90104951,1,somewhere after,103256.0,109349.0,0,3081,L4,standard_converged,0,"{""NE"": 8, ""SW"": 11}",7,8,5,19
90106933,0,Tianfu Wang (王天夫),111828.0,116801.0,0,2409,L3,standard_converged,0,"{""NE"": 8, ""SW"": 11}",7,8,5,22
90106933,1,Devaansh Pathak,116801.0,111828.0,1,2409,L3,standard_converged,0,"{""NE"": 8, ""SW"": 11}",12,8,6,14
90106946,0,Rayk Kretzschmar,99698.0,100723.0,0,2538,L3,standard_converged,0,"{""NE"": 8, ""SW"": 11}",7,8,5,20
90106946,1,test_money,100723.0,99698.0,1,2538,L3,standard_converged,0,"{""NE"": 8, ""SW"": 11}",7,8,5,19
90108324,0,Renji Starfall,161136.0,162193.0,0,2590,L3,standard_converged,0,"{""NE"": 8, ""SW"": 11}",7,7,5,19
90108324,1,Narendra Sirvi,162193.0,161136.0,1,2590,L3,standard_converged,0,"{""NE"": 8, ""SW"": 11}",7,8,5,19
90113773,0,kreiack,81234.0,87696.0,0,1787,L1,standard_converged,0,"{""NE"": 8, ""SW"": 11}",7,8,4,22
90113773,1,Aurora wy,87696.0,81234.0,1,1787,L1,standard_converged,0,"{""NE"": 8, ""SW"": 11}",7,8,5,20
90117191,0,Juwon Kweon,100368.0,99769.0,1,1909,L1,standard_converged,0,"{""NE"": 8, ""SW"": 11}",7,8,5,19
90117191,1,Yaroslav,99769.0,100368.0,0,1909,L1,standard_converged,0,"{""NE"": 8, ""SW"": 11}",7,8,5,19
90118542,0,somewhere after,106767.0,105960.0,1,2926,L4,standard_converged,0,"{""NE"": 8, ""SW"": 11}",7,8,5,19
90118542,1,Lucien de Rubempre,105960.0,106767.0,0,2926,L4,standard_converged,0,"{""NE"": 8, ""SW"": 11}",7,8,5,20
90121273,0,Le Viet,149742.0,149376.0,1,"2882,2924",L4,standard_converged,0,"{""NE"": 8, ""SW"": 11}",7,8,5,19
90121273,1,Dennis Gioche,149376.0,149742.0,0,"2882,2924",L4,standard_converged,0,"{""NE"": 8, ""SW"": 11}",7,8,5,21
90122627,0,bcTiann,120095.0,116192.0,1,2667,L3,standard_converged,0,"{""NE"": 8, ""SW"": 11}",6,8,5,20
