episode,seat,step,day,item,requested,filled,revenue,weighted_price,floor_units
90104951,0,76,3,MELON,8,0,0.0,0,0
90104951,1,76,3,MELON,8,0,0.0,0,0
90104951,0,77,3,MELON,6,0,0.0,0,0
90104951,1,77,3,MELON,6,0,0.0,0,0
90104951,0,98,4,MELON,5,0,0.0,0,0
90104951,1,98,4,MELON,5,0,0.0,0,0
90104951,0,158,6,WOOL,6,0,0.0,0,0
90104951,1,158,6,WOOL,6,0,0.0,0,0
90104951,0,195,8,MILK,10,0,0.0,0,0
90104951,1,195,8,MILK,10,0,0.0,0,0
90104951,0,198,8,MILK,15,0,0.0,0,0
90104951,1,198,8,MILK,15,0,0.0,0,0
90104951,0,229,9,WOOL,4,0,0.0,0,0
90104951,1,229,9,WOOL,4,0,0.0,0,0
90104951,0,256,10,MELON,8,0,0.0,0,0
90104951,1,256,10,MELON,8,0,0.0,0,0
90104951,0,257,10,MELON,8,0,0.0,0,0
90104951,1,257,10,MELON,8,0,0.0,0,0
90104951,0,259,10,MELON,20,0,0.0,0,0
90104951,1,259,10,MELON,20,0,0.0,0,0
90104951,0,262,10,MELON,14,0,0.0,0,0
90104951,1,262,10,MELON,14,0,0.0,0,0
90104951,0,264,11,MELON,34,18,4178.0,232.111111,0
90104951,1,264,11,MELON,34,18,4178.0,232.111111,0
90104951,0,269,11,STRAWBERRY,6,0,0.0,0,0
90104951,1,269,11,STRAWBERRY,6,0,0.0,0,0
90104951,0,280,11,WOOL,6,0,0.0,0,0
90104951,1,280,11,WOOL,6,0,0.0,0,0
90104951,0,292,12,STRAWBERRY,9,0,0.0,0,0
90104951,1,292,12,STRAWBERRY,9,0,0.0,0,0
90104951,0,292,12,MILK,11,9,1270.0,141.111111,0
90104951,1,292,12,MILK,11,9,1100.0,122.222222,0
90104951,0,294,12,MILK,15,0,0.0,0,0
90104951,1,294,12,MILK,15,0,0.0,0,0
90104951,0,295,12,MILK,25,0,0.0,0,0
90104951,1,295,12,MILK,25,0,0.0,0,0
90104951,0,301,12,MILK,11,0,0.0,0,0
90104951,1,301,12,MILK,11,0,0.0,0,0
90104951,0,302,12,MILK,8,0,0.0,0,0
90104951,1,302,12,MILK,8,0,0.0,0,0
90104951,0,306,12,MELON,15,0,0.0,0,0
90104951,1,306,12,MELON,15,0,0.0,0,0
90104951,0,308,12,MILK,2,0,0.0,0,0
90104951,1,308,12,MILK,2,0,0.0,0,0
90104951,0,309,12,WOOL,5,0,0.0,0,0
90104951,1,309,12,WOOL,5,0,0.0,0,0
90104951,0,323,13,MILK,4,4,439.0,109.75,0
90104951,1,323,13,MILK,4,4,439.0,109.75,0
90104951,0,324,13,MILK,1,0,0.0,0,0
90104951,1,324,13,MILK,1,0,0.0,0,0
90104951,0,325,13,MILK,4,0,0.0,0,0
90104951,1,325,13,MILK,4,0,0.0,0,0
90104951,0,341,14,MILK,4,2,198.0,99.0,0
90104951,1,341,14,MILK,4,2,198.0,99.0,0
90104951,0,343,14,MILK,4,0,0.0,0,0
90104951,1,343,14,MILK,4,0,0.0,0,0
90104951,0,344,14,MILK,5,0,0.0,0,0
90104951,1,344,14,MILK,5,0,0.0,0,0
90104951,0,347,14,MILK,4,0,0.0,0,0
90104951,1,347,14,MILK,4,0,0.0,0,0
90104951,0,348,14,MILK,5,0,0.0,0,0
90104951,1,348,14,MILK,5,0,0.0,0,0
90104951,0,348,14,WOOL,7,6,1192.0,198.666667,0
90104951,1,348,14,WOOL,7,5,970.0,194.0,0
