variant,opponent,games,mean_money,mean_margin,min_money,wins,ties,losses,win_rate,all_done,agent_errors,invalid_action_shapes,p50_ms,p95_ms,p99_ms,max_ms
conservative,baseline,12,155521.83333333334,52052.083333333336,138529.0,12,0,0,1.0,1,0,0,0.02355,1.783504500000002,6.510238000000019,9.911
conservative,frontier,12,121980.25,8638.083333333334,103391.0,11,0,1,0.9166666666666666,1,0,0,0.0259,2.565351500000001,7.4835800000000035,14.4349
conservative,hamburger,12,142071.41666666666,17486.083333333332,102645.0,12,0,0,1.0,1,0,20,0.02635,2.4878050000000007,7.1475800000000245,156.887
conservative,random,12,184439.16666666666,184434.16666666666,168887.0,12,0,0,1.0,1,0,0,0.033350000000000005,0.4528040000000002,8.971626000000043,231.5362
conservative,starter,12,186874.08333333334,183372.25,175667.0,12,0,0,1.0,1,0,0,0.02415,0.13375000000000004,5.730804000000002,150.2214
conservative,v012,12,124956.41666666667,-470.25,103520.0,2,0,10,0.16666666666666666,1,0,0,0.023,2.6059755000000004,6.786976000000006,10.1411
conservative,v015a,12,124317.5,-1729.9166666666667,103326.0,3,0,9,0.25,1,0,0,0.0217,2.576443000000001,7.066224000000013,159.6221
conservative,v18,12,125444.08333333333,-127.33333333333333,103522.0,5,0,7,0.4166666666666667,1,0,0,0.025099999999999997,2.882277000000001,7.524268000000005,16.0265
control,baseline,12,155481.91666666666,52017.083333333336,138456.0,12,0,0,1.0,1,0,0,0.0269,0.10170549999999999,0.24468200000000123,0.6536
control,frontier,12,121499.16666666667,8443.0,102261.0,11,0,1,0.9166666666666666,1,0,0,0.02355,0.08104350000000005,0.1753560000000003,0.5941
control,hamburger,12,141606.66666666666,17285.833333333332,101598.0,12,0,0,1.0,1,0,20,0.02555,0.09640350000000003,0.28542400000000767,278.6309
control,random,12,183609.16666666666,183600.0,168143.0,12,0,0,1.0,1,0,0,0.015050000000000001,0.07405050000000005,0.15307200000000049,138.0036
control,starter,12,186874.08333333334,183372.25,175667.0,12,0,0,1.0,1,0,0,0.015099999999999999,0.07723549999999998,0.16016200000000047,146.7191
control,v012,12,124677.41666666667,0.0,103313.0,6,0,6,0.5,1,0,0,0.0225,0.07903300000000002,0.14315600000000028,0.924
control,v015a,12,123931.0,-1414.6666666666667,103044.0,2,0,10,0.16666666666666666,1,0,0,0.021249999999999998,0.0941285,0.16542800000000055,0.7079
control,v18,12,125111.25,404.0833333333333,103410.0,10,0,2,0.8333333333333334,1,0,0,0.023649999999999997,0.08603700000000006,0.15546400000000027,0.7711
