episode,day,candidate_cash,opponent_cash,cash_gap,candidate_equity_shed,opponent_equity_shed,equity_shed_gap,candidate_equity_all,opponent_equity_all,equity_all_gap,milk_price,strawberry_price,melon_price,wool_price
90114415,0,10.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,172,132,260,209
90114415,1,141.0,141.0,0.0,141.0,141.0,0.0,141.0,141.0,0.0,177,137,264,214
90114415,2,217.0,217.0,0.0,217.0,217.0,0.0,217.0,217.0,0.0,181,141,267,217
90114415,3,789.0,789.0,0.0,789.0,789.0,0.0,789.0,789.0,0.0,193,151,269,219
90114415,4,522.0,522.0,0.0,522.0,522.0,0.0,522.0,522.0,0.0,201,159,271,221
90114415,5,642.0,642.0,0.0,642.0,642.0,0.0,642.0,642.0,0.0,208,166,272,222
90114415,6,1595.0,1595.0,0.0,1595.0,1595.0,0.0,1595.0,1595.0,0.0,218,176,274,209
90114415,7,915.0,915.0,0.0,915.0,915.0,0.0,915.0,915.0,0.0,226,184,275,214
90114415,8,1169.0,1169.0,0.0,1169.0,1169.0,0.0,1169.0,1169.0,0.0,212,191,276,217
90114415,9,1353.0,1388.0,-35.0,1353.0,1388.0,-35.0,1353.0,1388.0,-35.0,221,198,277,222
90114415,10,3525.0,3560.0,-35.0,4216.0,4251.0,-35.0,9972.0,10007.0,-35.0,231,205,244,229
90114415,11,7252.0,9402.0,-2150.0,9342.0,9402.0,-60.0,9342.0,9402.0,-60.0,234,211,219,230
90114415,12,14922.0,14876.0,46.0,15155.0,15109.0,46.0,15852.0,15806.0,46.0,233,219,209,232
90114415,13,13284.0,14170.0,-886.0,14212.0,14170.0,42.0,14212.0,14170.0,42.0,233,227,214,235
90114415,14,20146.0,20085.0,61.0,22866.0,22805.0,61.0,26721.0,26660.0,61.0,239,234,219,228
90114415,15,25699.0,25659.0,40.0,26666.0,26626.0,40.0,29715.0,29675.0,40.0,238,242,192,230
90114415,16,28477.0,28444.0,33.0,29476.0,29443.0,33.0,32603.0,32570.0,33.0,237,250,198,232
90114415,17,35149.0,35498.0,-349.0,39015.0,38987.0,28.0,43379.0,43351.0,28.0,236,253,189,232
90114415,18,42042.0,44563.0,-2521.0,46279.0,46349.0,-70.0,50405.0,50475.0,-70.0,232,256,195,230
90114415,19,52138.0,52620.0,-482.0,52539.0,52620.0,-81.0,58904.0,58985.0,-81.0,224,252,201,232
90114415,20,61459.0,61926.0,-467.0,65991.0,66036.0,-45.0,72006.0,72051.0,-45.0,218,249,212,235
90114415,21,66712.0,67464.0,-752.0,73253.0,73354.0,-101.0,80934.0,81035.0,-101.0,218,250,219,238
90114415,22,81229.0,81479.0,-250.0,83766.0,84016.0,-250.0,87321.0,87571.0,-250.0,214,243,214,234
90114415,23,91877.0,94519.0,-2642.0,93986.0,94519.0,-533.0,105791.0,106324.0,-533.0,211,238,209,235
90114415,24,101132.0,110798.0,-9666.0,109839.0,110798.0,-959.0,115263.0,116445.0,-1182.0,216,224,204,236
90114415,25,118864.0,118488.0,376.0,118864.0,119599.0,-735.0,127437.0,128172.0,-735.0,218,212,189,236
90114415,26,127007.0,127930.0,-923.0,127007.0,127930.0,-923.0,139260.0,140806.0,-1546.0,215,208,173,238
90114415,27,134460.0,140001.0,-5541.0,138487.0,140001.0,-1514.0,147214.0,149128.0,-1914.0,220,202,165,238
90114415,28,140058.0,149064.0,-9006.0,146828.0,149064.0,-2236.0,151425.0,153661.0,-2236.0,218,204,158,239
90114415,29,165862.0,167165.0,-1303.0,165862.0,167165.0,-1303.0,165862.0,167773.0,-1911.0,203,202,150,235
90120538,0,9.0,69.0,-60.0,9.0,69.0,-60.0,9.0,69.0,-60.0,172,132,260,209
90120538,1,137.0,140.0,-3.0,137.0,140.0,-3.0,137.0,140.0,-3.0,177,137,264,214
90120538,2,211.0,216.0,-5.0,211.0,216.0,-5.0,211.0,216.0,-5.0,181,141,267,217
90120538,3,782.0,952.0,-170.0,782.0,952.0,-170.0,782.0,952.0,-170.0,193,151,269,219
90120538,4,515.0,718.0,-203.0,515.0,718.0,-203.0,515.0,718.0,-203.0,201,159,271,221
90120538,5,630.0,710.0,-80.0,630.0,710.0,-80.0,630.0,710.0,-80.0,208,166,272,222
90120538,6,1587.0,1485.0,102.0,1587.0,1485.0,102.0,1587.0,1485.0,102.0,214,172,274,212
90120538,7,905.0,706.0,199.0,905.0,706.0,199.0,905.0,706.0,199.0,219,177,275,215
90120538,8,997.0,798.0,199.0,997.0,798.0,199.0,997.0,798.0,199.0,197,182,276,218
90120538,9,1173.0,1026.0,147.0,1173.0,1026.0,147.0,1173.0,1026.0,147.0,209,186,277,206
90120538,10,3373.0,3215.0,158.0,4032.0,3874.0,158.0,9724.0,9566.0,158.0,220,191,244,215
90120538,11,7005.0,8840.0,-1835.0,9003.0,8840.0,163.0,9003.0,8840.0,163.0,224,196,219,199
90120538,12,14234.0,14197.0,37.0,14457.0,14420.0,37.0,15123.0,15086.0,37.0,223,203,209,197
90120538,13,12574.0,13750.0,-1176.0,13463.0,13973.0,-510.0,13463.0,13973.0,-510.0,223,210,214,199
90120538,14,17636.0,17633.0,3.0,20300.0,20297.0,3.0,23398.0,23395.0,3.0,230,216,219,72
90120538,15,22417.0,22452.0,-35.0,23310.0,23345.0,-35.0,25547.0,25582.0,-35.0,232,224,192,49
90120538,16,24338.0,24408.0,-70.0,25259.0,25329.0,-70.0,28281.0,28351.0,-70.0,234,231,198,24
90120538,17,29299.0,30790.0,-1491.0,31080.0,31182.0,-102.0,34336.0,34438.0,-102.0,233,233,192,1
90120538,18,34186.0,34571.0,-385.0,36238.0,36375.0,-137.0,40225.0,40362.0,-137.0,235,235,198,1
90120538,19,41907.0,42002.0,-95.0,42320.0,42408.0,-88.0,48538.0,48626.0,-88.0,231,231,204,1
90120538,20,50770.0,52402.0,-1632.0,52769.0,53076.0,-307.0,56950.0,57257.0,-307.0,226,228,212,49
90120538,21,55873.0,57339.0,-1466.0,56898.0,59211.0,-2313.0,64435.0,66748.0,-2313.0,236,229,219,24
90120538,22,65041.0,69252.0,-4211.0,67624.0,69481.0,-1857.0,70953.0,72810.0,-1857.0,229,221,206,61
90120538,23,75193.0,77537.0,-2344.0,76196.0,78540.0,-2344.0,86750.0,89094.0,-2344.0,233,214,209,129
90120538,24,83876.0,88665.0,-4789.0,91509.0,93490.0,-1981.0,96723.0,98510.0,-1787.0,240,194,204,187
90120538,25,99146.0,101053.0,-1907.0,99146.0,101053.0,-1907.0,107245.0,108461.0,-1216.0,238,176,179,121
90120538,26,107056.0,108171.0,-1115.0,107056.0,108171.0,-1115.0,117973.0,118916.0,-943.0,236,174,173,183
90120538,27,113920.0,115153.0,-1233.0,117397.0,118630.0,-1233.0,126037.0,127114.0,-1077.0,240,161,165,200
90120538,28,119654.0,127325.0,-7671.0,125533.0,127325.0,-1792.0,129780.0,131572.0,-1792.0,238,164,158,199
90120538,29,143336.0,144055.0,-719.0,143336.0,144055.0,-719.0,143336.0,144055.0,-719.0,228,159,150,82
90126604,0,10.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,172,132,260,209
90126604,1,140.0,168.0,-28.0,140.0,168.0,-28.0,140.0,168.0,-28.0,177,137,264,214
