seed,seat,candidate_money,opponent_money,margin,result,candidate_status,opponent_status,game_done,wall_seconds,final_shed_MELON,final_shed_STRAWBERRY,final_shed_MILK,final_shed_WOOL,action_calls,agent_errors,invalid_action_shapes,runtime_p50_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,field_counts,market_counts,market_quantities,variant,opponent,v021_market_actions,v021_score_rejected_WOOL,v021_terminal_passthrough,v021_variant,v021_last_step,v021_items,v021_pending,v021_history,v021_v021_variant,v021_pending_units,v021_defer_budget,v021_shock_cooldown,v021_recovery_count,v021_field_changed,v021_nonpremium_changed,v021_score_rejected_MILK,v021_deferred_MILK,v021_deferred_units_MILK,v021_changed_market_actions,v021_deferred_WOOL,v021_deferred_units_WOOL,v021_cash_blocked_WOOL,v021_cash_blocked_MELON,v021_cash_blocked_STRAWBERRY,v021_score_rejected_MELON,v021_score_rejected_STRAWBERRY,v021_cash_blocked_MILK
17,0,143061.0,149929.0,-6868.0,loss,DONE,DONE,1,2.8616896250023274,0,0,0,0,719,0,0,0.009375,0.0520586,0.08080394,0.25175,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 224, ""SELL:MILK"": 682, ""SELL:STRAWBERRY"": 636, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 373}",control,v012,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,149929.0,143061.0,6868.0,win,DONE,DONE,1,2.9485170419939095,0,0,0,0,719,0,0,0.006958,0.045495800000000024,0.0774118800000006,0.215625,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 224, ""SELL:MILK"": 682, ""SELL:STRAWBERRY"": 636, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 373}",control,v012,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0,131077.0,131180.0,-103.0,loss,DONE,DONE,1,3.0643949579971377,0,0,0,0,719,0,0,0.008959,0.04905410000000002,0.07831312000000028,0.3865,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 224, ""SELL:MILK"": 682, ""SELL:STRAWBERRY"": 636, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 373}",control,v012,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1,131180.0,131077.0,103.0,win,DONE,DONE,1,2.9823653329949593,0,0,0,0,719,0,0,0.007,0.04215480000000005,0.06068006000000005,0.300959,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 224, ""SELL:MILK"": 682, ""SELL:STRAWBERRY"": 636, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 373}",control,v012,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,0,110046.0,107955.0,2091.0,win,DONE,DONE,1,2.981636165990494,0,0,0,0,719,0,0,0.009083,0.0433917,0.07655900000000024,0.289959,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 450}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 437, ""SELL:MELON"": 224, ""SELL:MILK"": 614, ""SELL:STRAWBERRY"": 567, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 354}",control,v012,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,1,107955.0,110046.0,-2091.0,loss,DONE,DONE,1,2.99339799999143,0,0,0,0,719,0,0,0.007042,0.042696200000000004,0.06142568000000004,0.116,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 450}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 437, ""SELL:MELON"": 224, ""SELL:MILK"": 614, ""SELL:STRAWBERRY"": 567, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 354}",control,v012,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,0,103544.0,103313.0,231.0,win,DONE,DONE,1,3.0099435419979272,0,0,0,0,719,0,0,0.009125,0.04679230000000002,0.072209,0.292333,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 224, ""SELL:MILK"": 682, ""SELL:STRAWBERRY"": 636, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 373}",control,v012,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,1,103313.0,103544.0,-231.0,loss,DONE,DONE,1,2.9954676249908516,0,0,0,0,719,0,0,0.007125,0.04582110000000001,0.05945062,0.115041,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 224, ""SELL:MILK"": 682, ""SELL:STRAWBERRY"": 636, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 373}",control,v012,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,0,131722.0,131863.0,-141.0,loss,DONE,DONE,1,2.9393461250001565,0,0,0,0,719,0,0,0.008958,0.0534253,0.07369256000000007,0.250083,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 450}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 437, ""SELL:MELON"": 224, ""SELL:MILK"": 614, ""SELL:STRAWBERRY"": 567, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 354}",control,v012,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,1,131863.0,131722.0,141.0,win,DONE,DONE,1,2.91054554200673,0,0,0,0,719,0,0,0.007208,0.041346400000000005,0.060167060000000105,0.27275,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 450}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 437, ""SELL:MELON"": 224, ""SELL:MILK"": 614, ""SELL:STRAWBERRY"": 567, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 354}",control,v012,,,,,,,,,,,,,,,,,,,,,,,,,,,
