variant,opponent,games,mean_money,mean_margin,min_money,wins,ties,losses,win_rate,all_done,agent_errors,invalid_action_shapes,p50_ms,p95_ms,p99_ms,max_ms,v021_deferred_WOOL,v021_terminal_passthrough,v021_changed_market_actions,v021_deferred_MILK
control,baseline,12,155481.91666666666,52017.083333333336,138456.0,12,0,0,1.0,1,0,0,0.009458,0.0634378,0.18611762000000312,67.070584,,,,
control,frontier,12,121499.16666666667,8443.0,102261.0,11,0,1,0.9166666666666666,1,0,0,0.008937500000000001,0.052066700000000014,0.07943062000000009,0.356083,,,,
control,hamburger,12,141606.66666666666,17285.833333333332,101598.0,12,0,0,1.0,1,0,20,0.0089795,0.06272470000000001,0.11837644000000075,43.090583,,,,
control,random,12,187769.33333333334,187769.33333333334,179327.0,12,0,0,1.0,1,0,0,0.0089165,0.0634706,0.1837631200000008,112.554583,,,,
control,starter,12,186874.08333333334,183372.25,175667.0,12,0,0,1.0,1,0,0,0.008479,0.054604500000000014,0.08077500000000037,107.28275,,,,
control,v012,12,124677.41666666667,0.0,103313.0,6,0,6,0.5,1,0,0,0.008083,0.053762500000000005,0.08205876000000015,0.3865,,,,
control,v015a,12,123931.0,-1414.6666666666667,103044.0,2,0,10,0.16666666666666666,1,0,0,0.0080625,0.0553705,0.07928118000000003,0.974083,,,,
control,v18,12,125111.25,404.0833333333333,103410.0,10,0,2,0.8333333333333334,1,0,0,0.0080205,0.05715030000000006,0.14240112000000293,0.48275,,,,
product_gate,baseline,12,155482.91666666666,52018.083333333336,138456.0,12,0,0,1.0,1,0,0,0.0949585,0.16187910000000003,0.30158512000000004,1.626083,1.0,852.0,1.0,
product_gate,frontier,12,121500.16666666667,8444.0,102261.0,11,0,1,0.9166666666666666,1,0,0,0.09860450000000001,0.1711378,1.5216575000000052,92.945041,,852.0,2.0,2.0
product_gate,hamburger,12,141613.08333333334,17292.25,101604.0,12,0,0,1.0,1,0,20,0.09575,0.1665422,1.5404755000000023,88.983375,1.0,852.0,4.0,3.0
product_gate,random,12,185720.25,185720.25,176298.0,12,0,0,1.0,1,0,0,0.0517085,0.1285375,0.2774100600000001,94.293208,,852.0,,
product_gate,starter,12,186874.08333333334,183372.25,175667.0,12,0,0,1.0,1,0,0,0.043813,0.09487110000000001,0.1491455600000006,78.928167,,852.0,,
product_gate,v012,12,124674.08333333333,-8.166666666666666,103313.0,6,0,6,0.5,1,0,0,0.097583,0.1682372,1.5853414400000028,2.204125,2.0,852.0,10.0,8.0
product_gate,v015a,12,123923.16666666667,-1433.1666666666667,103044.0,2,0,10,0.16666666666666666,1,0,0,0.0957505,0.1667583,1.5888539400000001,132.677,2.0,852.0,10.0,8.0
product_gate,v18,12,125114.91666666667,404.0833333333333,103410.0,10,0,2,0.8333333333333334,1,0,0,0.0974585,0.1703830000000001,1.620762440000002,2.215875,2.0,852.0,12.0,10.0
safety_patch,baseline,12,155482.91666666666,52018.083333333336,138456.0,12,0,0,1.0,1,0,0,0.093479,0.1572961,0.8577504400000301,85.222208,1.0,852.0,1.0,
safety_patch,frontier,12,121501.83333333333,8445.666666666666,102261.0,11,0,1,0.9166666666666666,1,0,0,0.09818750000000001,0.17025000000000007,1.5908195000000007,153.520083,2.0,852.0,4.0,2.0
safety_patch,hamburger,12,141615.33333333334,17294.5,101613.0,12,0,0,1.0,1,0,20,0.095083,0.16476670000000002,1.5758979400000028,91.156666,4.0,852.0,8.0,4.0
safety_patch,random,12,187150.41666666666,187132.08333333334,179857.0,12,0,0,1.0,1,0,0,0.051813,0.1282541,0.27595932000000056,94.788916,,852.0,,
