seed,seat,candidate_money,opponent_money,margin,result,candidate_status,opponent_status,game_done,wall_seconds,final_shed_MELON,final_shed_STRAWBERRY,final_shed_MILK,final_shed_WOOL,action_calls,agent_errors,invalid_action_shapes,runtime_p50_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,field_counts,market_counts,market_quantities,replay,variant,source,v021_market_actions,v021_score_rejected_MILK,v021_terminal_passthrough,v021_variant,v021_last_step,v021_items,v021_pending,v021_history,v021_v021_variant,v021_pending_units,v021_defer_budget,v021_shock_cooldown,v021_recovery_count,v021_field_changed,v021_nonpremium_changed,v021_score_rejected_MELON,v021_score_rejected_STRAWBERRY,v021_cash_blocked_MILK,v021_cash_blocked_MELON,v021_cash_blocked_STRAWBERRY,v021_score_rejected_WOOL,v021_deferred_MILK,v021_deferred_units_MILK,v021_changed_market_actions,v021_cash_blocked_WOOL
463865208,0,132264.0,133053.0,-789.0,loss,DONE,DONE,1,2.919057832987164,0,0,0,0,719,0,0,0.0095,0.04831610000000001,0.07658750000000022,0.224625,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 224, ""SELL:MILK"": 682, ""SELL:STRAWBERRY"": 636, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 373}",89928050,control,baseline/history/v012_top5_replaced_v18/log/89928050.json,,,,,,,,,,,,,,,,,,,,,,,,,
463865208,0,132264.0,133053.0,-789.0,loss,DONE,DONE,1,2.9289174159930553,0,0,0,0,719,0,0,0.098333,0.1591381,0.36064138000000323,1.797041,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 224, ""SELL:MILK"": 682, ""SELL:STRAWBERRY"": 636, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 373}",89928050,safety_patch,baseline/history/v012_top5_replaced_v18/log/89928050.json,648,7,71,safety_patch,718,"{""MILK"": {}, ""WOOL"": {}}",{},[],safety_patch,"{""MELON"": 0, ""MILK"": 0, ""STRAWBERRY"": 0, ""WOOL"": 0}","{""MELON"": 1, ""MILK"": 1, ""STRAWBERRY"": 1, ""WOOL"": 1}","{""MELON"": false, ""MILK"": false, ""STRAWBERRY"": false, ""WOOL"": false}","{""MELON"": 648, ""MILK"": 8, ""STRAWBERRY"": 648, ""WOOL"": 292}",0,0,,,,,,,,,,
463865208,0,132264.0,133053.0,-789.0,loss,DONE,DONE,1,2.9627669580077054,0,0,0,0,719,0,0,0.100417,0.16480030000000004,0.25386006000000005,1.827375,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 224, ""SELL:MILK"": 682, ""SELL:STRAWBERRY"": 636, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 373}",89928050,product_gate,baseline/history/v012_top5_replaced_v18/log/89928050.json,648,5,71,product_gate,718,"{""MILK"": {}, ""WOOL"": {}}",{},[],product_gate,"{""MELON"": 0, ""MILK"": 0, ""STRAWBERRY"": 0, ""WOOL"": 0}","{""MELON"": 1, ""MILK"": 1, ""STRAWBERRY"": 1, ""WOOL"": 1}","{""MELON"": false, ""MILK"": false, ""STRAWBERRY"": false, ""WOOL"": false}","{""MELON"": 648, ""MILK"": 8, ""STRAWBERRY"": 648, ""WOOL"": 648}",0,0,,,,,,,,,,
463865208,0,132264.0,133053.0,-789.0,loss,DONE,DONE,1,2.937684666001587,0,0,0,0,719,0,0,0.101542,0.14738330000000002,1.2834943800000005,84.411458,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 224, ""SELL:MILK"": 682, ""SELL:STRAWBERRY"": 636, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 373}",89928050,win_guard,baseline/history/v012_top5_replaced_v18/log/89928050.json,648,5,71,win_guard,718,"{""MELON"": {}, ""MILK"": {}, ""STRAWBERRY"": {}, ""WOOL"": {}}",{},[],win_guard,"{""MELON"": 0, ""MILK"": 0, ""STRAWBERRY"": 0, ""WOOL"": 0}","{""MELON"": 1, ""MILK"": 1, ""STRAWBERRY"": 1, ""WOOL"": 1}","{""MELON"": false, ""MILK"": false, ""STRAWBERRY"": false, ""WOOL"": false}","{""MELON"": 21, ""MILK"": 8, ""STRAWBERRY"": 8, ""WOOL"": 648}",0,0,1,1,,,,,,,,
1455557852,0,127484.0,136307.0,-8823.0,loss,DONE,DONE,1,2.8468517500004964,0,0,0,0,719,0,0,0.009041,0.054808600000000006,0.07653256000000005,0.292291,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 224, ""SELL:MILK"": 682, ""SELL:STRAWBERRY"": 636, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 373}",89935005,control,baseline/history/v012_top5_replaced_v18/log/89935005.json,,,,,,,,,,,,,,,,,,,,,,,,,
1455557852,0,127484.0,136307.0,-8823.0,loss,DONE,DONE,1,3.023117207994801,0,0,0,0,719,0,0,0.101667,0.16012530000000003,1.4096538800000036,1.790791,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 224, ""SELL:MILK"": 682, ""SELL:STRAWBERRY"": 636, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 373}",89935005,safety_patch,baseline/history/v012_top5_replaced_v18/log/89935005.json,648,11,71,safety_patch,718,"{""MILK"": {}, ""WOOL"": {}}",{},[],safety_patch,"{""MELON"": 0, ""MILK"": 0, ""STRAWBERRY"": 0, ""WOOL"": 0}","{""MELON"": 1, ""MILK"": 1, ""STRAWBERRY"": 1, ""WOOL"": 1}","{""MELON"": false, ""MILK"": false, ""STRAWBERRY"": false, ""WOOL"": false}","{""MELON"": 648, ""MILK"": 12, ""STRAWBERRY"": 648, ""WOOL"": 648}",0,0,,,,,,,,,,
1455557852,0,127484.0,136307.0,-8823.0,loss,DONE,DONE,1,2.9548297910077963,0,0,0,0,719,0,0,0.097709,0.16717120000000002,1.1943439400000044,1.890583,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 224, ""SELL:MILK"": 682, ""SELL:STRAWBERRY"": 636, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 373}",89935005,product_gate,baseline/history/v012_top5_replaced_v18/log/89935005.json,648,9,71,product_gate,718,"{""MILK"": {}, ""WOOL"": {}}",{},[],product_gate,"{""MELON"": 0, ""MILK"": 0, ""STRAWBERRY"": 0, ""WOOL"": 0}","{""MELON"": 1, ""MILK"": 1, ""STRAWBERRY"": 1, ""WOOL"": 1}","{""MELON"": false, ""MILK"": false, ""STRAWBERRY"": false, ""WOOL"": false}","{""MELON"": 648, ""MILK"": 12, ""STRAWBERRY"": 648, ""WOOL"": 648}",0,0,,,,,,,,,,
1455557852,0,127484.0,136307.0,-8823.0,loss,DONE,DONE,1,2.9900619160034694,0,0,0,0,719,0,0,0.099459,0.1629045,0.24407362000000016,1.21575,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 224, ""SELL:MILK"": 682, ""SELL:STRAWBERRY"": 636, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 373}",89935005,win_guard,baseline/history/v012_top5_replaced_v18/log/89935005.json,648,2,71,win_guard,718,"{""MELON"": {}, ""MILK"": {}, ""STRAWBERRY"": {}, ""WOOL"": {}}",{},[],win_guard,"{""MELON"": 0, ""MILK"": 0, ""STRAWBERRY"": 0, ""WOOL"": 0}","{""MELON"": 1, ""MILK"": 1, ""STRAWBERRY"": 1, ""WOOL"": 1}","{""MELON"": false, ""MILK"": false, ""STRAWBERRY"": false, ""WOOL"": false}","{""MELON"": 21, ""MILK"": 12, ""STRAWBERRY"": 13, ""WOOL"": 648}",0,0,,,7,1,3,,,,,
1128798377,0,130532.0,135293.0,-4761.0,loss,DONE,DONE,1,2.9335394999943674,0,0,0,0,719,0,0,0.009042,0.05133340000000004,0.07906244000000005,0.376625,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 224, ""SELL:MILK"": 682, ""SELL:STRAWBERRY"": 636, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 373}",89950078,control,baseline/history/v012_top5_replaced_v18/log/89950078.json,,,,,,,,,,,,,,,,,,,,,,,,,
1128798377,0,130560.0,135293.0,-4733.0,loss,DONE,DONE,1,2.9930022500047926,0,0,0,0,719,0,0,0.099041,0.1696205,1.550711880000001,2.489,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 224, ""SELL:MILK"": 676, ""SELL:STRAWBERRY"": 636, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 373}",89950078,safety_patch,baseline/history/v012_top5_replaced_v18/log/89950078.json,648,8,71,safety_patch,718,"{""MILK"": {""base"": 15, ""cash_gap"": 0.0, ""cash_mode"": ""normal"", ""chosen"": 14, ""gain"": 95.0, ""pipeline"": 16.0, ""step"": 633}, ""WOOL"": {}}",{},[],safety_patch,"{""MELON"": 0, ""MILK"": 0, ""STRAWBERRY"": 0, ""WOOL"": 0}","{""MELON"": 1, ""MILK"": 1, ""STRAWBERRY"": 1, ""WOOL"": 1}","{""MELON"": false, ""MILK"": false, ""STRAWBERRY"": false, ""WOOL"": false}","{""MELON"": 648, ""MILK"": 12, ""STRAWBERRY"": 648, ""WOOL"": 108}",0,0,,,,,,6,6,6,6,
