actions,calls,candidate,candidate_money,candidate_status,done,errors,invalid,margin,max_ms,opponent,opponent_money,opponent_status,p50_ms,p95_ms,p99_ms,result,seat,seed
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,143061.0,DONE,1,0,0,-6868.0,0.236833,control,149929.0,DONE,0.009666,0.051292,0.080166,loss,0,17
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,149929.0,DONE,1,0,0,6868.0,0.082125,control,143061.0,DONE,0.006958,0.039167,0.063042,win,1,17
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,131077.0,DONE,1,0,0,-103.0,0.312041,control,131180.0,DONE,0.009041,0.054875,0.078,loss,0,42
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,131180.0,DONE,1,0,0,103.0,0.184125,control,131077.0,DONE,0.006958,0.044042,0.076417,win,1,42
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,110046.0,DONE,1,0,0,2091.0,0.2425,control,107955.0,DONE,0.009083,0.051084,0.078959,win,0,2026
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,107955.0,DONE,1,0,0,-2091.0,0.341792,control,110046.0,DONE,0.007,0.041833,0.059833,loss,1,2026
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,103544.0,DONE,1,0,0,231.0,0.288334,control,103313.0,DONE,0.009041,0.054041,0.130625,win,0,217
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,103313.0,DONE,1,0,0,-231.0,0.120917,control,103544.0,DONE,0.006958,0.041792,0.057792,loss,1,217
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,131722.0,DONE,1,0,0,-141.0,0.241791,control,131863.0,DONE,0.009166,0.057666,0.084958,loss,0,317
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,131863.0,DONE,1,0,0,141.0,0.348334,control,131722.0,DONE,0.006959,0.042167,0.064458,win,1,317
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,126245.0,DONE,1,0,0,51.0,0.323167,control,126194.0,DONE,0.008959,0.047584,0.081792,win,0,733
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,126194.0,DONE,1,0,0,-51.0,0.365666,control,126245.0,DONE,0.007042,0.046042,0.068708,loss,1,733
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,138456.0,DONE,1,0,0,39666.0,0.248417,baseline,98790.0,DONE,0.010083,0.054458,0.143625,win,0,17
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,139022.0,DONE,1,0,0,40002.0,0.081542,baseline,99020.0,DONE,0.009,0.021292,0.067166,win,1,17
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,169035.0,DONE,1,0,0,54826.0,0.270208,baseline,114209.0,DONE,0.010208,0.060667,0.091125,win,0,42
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,165295.0,DONE,1,0,0,57319.0,0.174333,baseline,107976.0,DONE,0.009,0.023,0.068083,win,1,42
