actions,all_done,candidate,errors,games,invalid,losses,mean_margin,mean_money,min_money,opponent,p99_ms,ties,win_rate,wins
{},1,control,0,12,0,0,52017.083333333336,155481.91666666666,138456.0,baseline,0.137667,0,1.0,12
{},1,control,0,12,0,6,0.0,124677.41666666667,103313.0,control,0.164041,0,0.5,6
{},1,control,0,12,0,1,8443.0,121499.16666666667,102261.0,frontier,0.081542,0,0.9166666666666666,11
{},1,control,0,12,0,0,17285.833333333332,141606.66666666666,101598.0,hamburger,0.17375,0,1.0,12
{},1,control,0,12,0,0,190941.08333333334,190985.25,178766.0,random,0.157375,0,1.0,12
{},1,control,0,12,0,0,183372.25,186874.08333333334,175667.0,starter,0.095583,0,1.0,12
{},1,control,0,12,0,2,404.0833333333333,125111.25,103410.0,v18,0.102709,0,0.8333333333333334,10
{},1,v022a_weed_recovery,0,12,0,0,52185.25,155661.41666666666,139022.0,baseline,0.228166,0,1.0,12
{},1,v022a_weed_recovery,0,12,0,3,667.4166666666666,124931.25,102680.0,control,0.191417,1,0.6666666666666666,8
{},1,v022a_weed_recovery,0,12,0,0,9117.916666666666,121631.75,102192.0,frontier,0.208459,0,1.0,12
{},1,v022a_weed_recovery,0,12,0,0,17900.75,141052.75,101598.0,hamburger,0.231542,0,1.0,12
{},1,v022a_weed_recovery,0,12,0,0,184652.5,184689.16666666666,168077.0,random,0.253666,0,1.0,12
{},1,v022a_weed_recovery,0,12,0,0,184194.25,187696.08333333334,180959.0,starter,0.241084,0,1.0,12
{},1,v022a_weed_recovery,0,12,0,2,1097.75,125376.58333333333,102741.0,v18,0.194083,0,0.8333333333333334,10
{},1,v022b_fresh_medoid,0,12,0,0,27238.416666666668,124520.33333333333,111362.0,baseline,0.142083,0,1.0,12
{},1,v022b_fresh_medoid,0,12,0,2,1110.5,122649.5,83075.0,control,0.203791,0,0.8333333333333334,10
{},1,v022b_fresh_medoid,0,12,0,1,4254.333333333333,127209.16666666667,117242.0,frontier,0.108584,0,0.9166666666666666,11
{},1,v022b_fresh_medoid,0,12,0,1,4105.833333333333,128647.75,118503.0,hamburger,0.217083,0,0.9166666666666666,11
{},1,v022b_fresh_medoid,0,12,0,0,184160.25,184160.25,169970.0,random,0.284125,0,1.0,12
{},1,v022b_fresh_medoid,0,12,0,0,181761.41666666666,185262.16666666666,174740.0,starter,0.092042,0,1.0,12
{},1,v022b_fresh_medoid,0,12,0,2,1764.25,122692.91666666667,82780.0,v18,0.110958,0,0.8333333333333334,10
{},1,v022c_medoid_recovery,0,12,0,4,16434.25,116780.08333333333,61994.0,baseline,0.230166,0,0.6666666666666666,8
{},1,v022c_medoid_recovery,0,12,0,0,2081.6666666666665,124620.0,103682.0,control,0.256125,0,1.0,12
{},1,v022c_medoid_recovery,0,12,0,0,5034.916666666667,127917.91666666667,117053.0,frontier,0.237375,0,1.0,12
{},1,v022c_medoid_recovery,0,12,0,0,5073.5,129492.83333333333,118763.0,hamburger,0.2,0,1.0,12
{},1,v022c_medoid_recovery,0,12,0,0,185272.25,185336.41666666666,176079.0,random,0.319208,0,1.0,12
{},1,v022c_medoid_recovery,0,12,0,0,183047.66666666666,186548.25,177181.0,starter,0.294041,0,1.0,12
{},1,v022c_medoid_recovery,0,12,0,0,2769.5,124694.66666666667,103642.0,v18,0.232625,0,1.0,12
{},1,v022d_medoid_recovery_tactical,0,12,0,0,42873.333333333336,135876.16666666666,112260.0,baseline,0.297542,0,1.0,12
{},1,v022d_medoid_recovery_tactical,0,12,0,0,4773.0,126917.33333333333,106478.0,control,0.356209,0,1.0,12
{},1,v022d_medoid_recovery_tactical,0,12,0,0,9690.083333333334,131406.58333333334,119665.0,frontier,0.29625,0,1.0,12
{},1,v022d_medoid_recovery_tactical,0,12,0,0,7727.0,131915.58333333334,121130.0,hamburger,0.329791,0,1.0,12
{},1,v022d_medoid_recovery_tactical,0,12,0,0,184058.33333333334,184058.33333333334,173519.0,random,0.357958,0,1.0,12
{},1,v022d_medoid_recovery_tactical,0,12,0,0,184107.83333333334,187608.41666666666,178353.0,starter,0.321459,0,1.0,12
{},1,v022d_medoid_recovery_tactical,0,12,0,0,5523.333333333333,127009.41666666667,106473.0,v18,0.298334,0,1.0,12
