actions,all_done,candidate,errors,games,invalid,losses,mean_margin,mean_money,min_money,opponent,p99_ms,ties,win_rate,wins
{},1,control,0,2,0,0,39834.0,138739.0,138456.0,baseline,0.198,0,1.0,2
{},1,control,0,2,0,1,0.0,146495.0,143061.0,control,0.072292,0,0.5,1
{},1,control,0,2,0,1,7014.5,143704.0,139039.0,frontier,0.072333,0,0.5,1
{},1,control,0,2,0,0,15897.5,111905.5,101598.0,hamburger,0.078458,0,1.0,2
{},1,control,0,2,0,0,175948.5,175983.5,175587.0,random,0.087875,0,1.0,2
{},1,control,0,2,0,0,178654.5,182146.5,175667.0,starter,0.070917,0,1.0,2
{},1,control,0,2,0,1,541.5,146786.5,143303.0,v18,0.070125,0,0.5,1
{},1,v022a_weed_recovery,0,2,0,0,40002.0,139022.0,139022.0,baseline,0.137666,0,1.0,2
{},1,v022a_weed_recovery,0,2,0,0,3434.0,147821.0,145713.0,control,0.143458,1,0.5,1
{},1,v022a_weed_recovery,0,2,0,0,10647.0,144568.5,140768.0,frontier,0.118917,0,1.0,2
{},1,v022a_weed_recovery,0,2,0,0,19240.5,108280.0,101598.0,hamburger,0.214625,0,1.0,2
{},1,v022a_weed_recovery,0,2,0,0,190566.0,190566.0,186337.0,random,0.279042,0,1.0,2
{},1,v022a_weed_recovery,0,2,0,0,182390.0,185882.0,183415.0,starter,0.118333,0,1.0,2
{},1,v022a_weed_recovery,0,2,0,0,4044.5,148142.0,146014.0,v18,0.116959,0,1.0,2
{},1,v022b_fresh_medoid,0,2,0,0,11199.5,119025.0,111362.0,baseline,0.071,0,1.0,2
{},1,v022b_fresh_medoid,0,2,0,1,-2170.0,93874.0,83075.0,control,0.146875,0,0.5,1
{},1,v022b_fresh_medoid,0,2,0,1,5434.0,123954.5,119888.0,frontier,0.103125,0,0.5,1
{},1,v022b_fresh_medoid,0,2,0,1,5624.0,125712.5,120989.0,hamburger,0.069916,0,0.5,1
{},1,v022b_fresh_medoid,0,2,0,0,173020.5,173020.5,169904.0,random,0.209875,0,1.0,2
{},1,v022b_fresh_medoid,0,2,0,0,177438.0,180930.5,174740.0,starter,0.079334,0,1.0,2
{},1,v022b_fresh_medoid,0,2,0,1,-2000.0,93698.0,82780.0,v18,0.105708,0,0.5,1
{},1,v022c_medoid_recovery,0,2,0,0,28683.0,130702.5,129705.0,baseline,0.099583,0,1.0,2
{},1,v022c_medoid_recovery,0,2,0,0,1787.5,104177.5,103682.0,control,0.22175,0,1.0,2
{},1,v022c_medoid_recovery,0,2,0,0,8595.5,126972.5,125924.0,frontier,0.125583,0,1.0,2
{},1,v022c_medoid_recovery,0,2,0,0,9869.0,129570.5,128705.0,hamburger,0.215334,0,1.0,2
{},1,v022c_medoid_recovery,0,2,0,0,187392.5,187392.5,187121.0,random,0.245125,0,1.0,2
{},1,v022c_medoid_recovery,0,2,0,0,182902.5,186395.0,185669.0,starter,0.27875,0,1.0,2
{},1,v022c_medoid_recovery,0,2,0,0,2186.5,104129.0,103642.0,v18,0.111542,0,1.0,2
{},1,v022d_medoid_recovery_tactical,0,2,0,0,43949.0,148440.0,148332.0,baseline,0.266375,0,1.0,2
{},1,v022d_medoid_recovery_tactical,0,2,0,0,5522.0,107004.0,106478.0,control,0.257542,0,1.0,2
{},1,v022d_medoid_recovery_tactical,0,2,0,0,13373.5,130335.0,129338.0,frontier,0.251542,0,1.0,2
{},1,v022d_medoid_recovery_tactical,0,2,0,0,12766.5,132003.5,131393.0,hamburger,0.235084,0,1.0,2
{},1,v022d_medoid_recovery_tactical,0,2,0,0,180759.0,180759.0,176770.0,random,0.330084,0,1.0,2
{},1,v022d_medoid_recovery_tactical,0,2,0,0,183986.5,187479.0,186762.0,starter,0.31975,0,1.0,2
{},1,v022d_medoid_recovery_tactical,0,2,0,0,5999.0,106998.5,106473.0,v18,0.24325,0,1.0,2
