actions,calls,candidate,candidate_money,candidate_status,done,errors,invalid,margin,max_ms,opponent,opponent_money,opponent_status,p50_ms,p95_ms,p99_ms,result,seat,seed
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,175667.0,DONE,1,0,0,172172.0,0.396583,starter,3495.0,DONE,0.00875,0.047375,0.07275,win,0,17
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,188626.0,DONE,1,0,0,185137.0,0.286166,starter,3489.0,DONE,0.008208,0.042958,0.070541,win,1,17
"{'PASS': 398, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 928, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 26, 'FERTILIZE': 107}",719,v022a_weed_recovery,183415.0,DONE,1,0,0,179920.0,0.347167,starter,3495.0,DONE,0.03975,0.080958,0.113291,win,0,17
"{'PASS': 398, 'BUILD_PASTURE': 14, 'WEST': 1097, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 26, 'FERTILIZE': 107}",719,v022a_weed_recovery,188349.0,DONE,1,0,0,184860.0,0.326916,starter,3489.0,DONE,0.038959,0.075333,0.111417,win,1,17
"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 938, 'EAST': 671, 'SOUTH': 793, 'FEED': 323, 'CARE': 322, 'PASS': 461, 'COLLECT_FERTILIZER': 324, 'DROP': 100, 'HARVEST': 341, 'DIG': 31, 'FERTILIZE': 103}",719,v022b_fresh_medoid,174740.0,DONE,1,0,0,171244.0,53.149584,starter,3496.0,DONE,0.025542,0.041,0.058833,win,0,17
"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 938, 'EAST': 671, 'SOUTH': 793, 'FEED': 323, 'CARE': 322, 'PASS': 461, 'COLLECT_FERTILIZER': 324, 'DROP': 100, 'HARVEST': 341, 'DIG': 31, 'FERTILIZE': 103}",719,v022b_fresh_medoid,187121.0,DONE,1,0,0,183632.0,0.347417,starter,3489.0,DONE,0.026291,0.04875,0.058667,win,1,17
"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 937, 'EAST': 671, 'SOUTH': 793, 'FEED': 323, 'CARE': 322, 'PASS': 461, 'COLLECT_FERTILIZER': 324, 'DROP': 100, 'HARVEST': 341, 'DIG': 32, 'FERTILIZE': 103}",719,v022c_medoid_recovery,185669.0,DONE,1,0,0,182173.0,0.458167,starter,3496.0,DONE,0.051708,0.085583,0.258208,win,0,17
"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 938, 'EAST': 671, 'SOUTH': 793, 'FEED': 323, 'CARE': 322, 'PASS': 461, 'COLLECT_FERTILIZER': 324, 'DROP': 100, 'HARVEST': 341, 'DIG': 31, 'FERTILIZE': 103}",719,v022c_medoid_recovery,187121.0,DONE,1,0,0,183632.0,0.703084,starter,3489.0,DONE,0.049625,0.083667,0.184,win,1,17
"{'BUILD_PASTURE': 14, 'NORTH': 1014, 'WEST': 882, 'PICKUP': 259, 'PLACE': 14, 'PLANT': 134, 'WATER': 932, 'EAST': 659, 'SOUTH': 784, 'FEED': 322, 'CARE': 317, 'PASS': 443, 'COLLECT_FERTILIZER': 322, 'DROP': 100, 'HARVEST': 341, 'DIG': 29, 'FERTILIZE': 100}",719,v022d_medoid_recovery_tactical,186762.0,DONE,1,0,0,183266.0,28.712708,starter,3496.0,DONE,0.091959,0.1345,0.330625,win,0,17
"{'BUILD_PASTURE': 14, 'NORTH': 1014, 'WEST': 882, 'PICKUP': 259, 'PLACE': 14, 'PLANT': 134, 'WATER': 933, 'EAST': 659, 'SOUTH': 784, 'FEED': 322, 'CARE': 317, 'PASS': 443, 'COLLECT_FERTILIZER': 322, 'DROP': 100, 'HARVEST': 341, 'DIG': 28, 'FERTILIZE': 100}",719,v022d_medoid_recovery_tactical,188196.0,DONE,1,0,0,184707.0,0.489292,starter,3489.0,DONE,0.094458,0.134083,0.224583,win,1,17
