agent_errors,calls,candidate,candidate_money,candidate_status,done,margin,max_ms,opponent,opponent_money,opponent_status,p50_ms,p95_ms,p99_ms,result,seat,seed
0,719,v022c,1816.0,DONE,1,-21307.0,0.196833,v022c_hybrid,23123.0,DONE,0.039792,0.070541,0.078833,loss,0,17
0,719,v022c,8701.0,DONE,1,-128402.0,0.190042,v022c_hybrid,137103.0,DONE,0.044125,0.059792,0.077042,loss,1,17
0,719,v022c,26935.0,DONE,1,-147300.0,23.779709,v022c_hybrid,174235.0,DONE,0.050208,0.084542,0.181042,loss,0,42
0,719,v022c,26935.0,DONE,1,-147656.0,0.081083,v022c_hybrid,174591.0,DONE,0.044292,0.059375,0.066125,loss,1,42
0,719,v022c,22552.0,DONE,1,-133654.0,26.074125,v022c_hybrid,156206.0,DONE,0.050042,0.088167,0.2035,loss,0,2026
0,719,v022c,22793.0,DONE,1,-134953.0,0.079542,v022c_hybrid,157746.0,DONE,0.04425,0.058917,0.067625,loss,1,2026
0,719,v022c,24232.0,DONE,1,-139742.0,18.795584,v022c_hybrid,163974.0,DONE,0.050708,0.085667,0.194666,loss,0,217
0,719,v022c,26355.0,DONE,1,-147962.0,0.230042,v022c_hybrid,174317.0,DONE,0.044584,0.060625,0.080042,loss,1,217
0,719,v022c,28019.0,DONE,1,-141100.0,0.21675,v022c_hybrid,169119.0,DONE,0.049834,0.08425,0.188875,loss,0,317
0,719,v022c,28019.0,DONE,1,-141053.0,0.232083,v022c_hybrid,169072.0,DONE,0.04475,0.059667,0.070708,loss,1,317
0,719,v022c,32035.0,DONE,1,-112893.0,26.882875,v022c_hybrid,144928.0,DONE,0.050958,0.082292,0.196041,loss,0,733
0,719,v022c,31997.0,DONE,1,-112106.0,17.586209,v022c_hybrid,144103.0,DONE,0.043958,0.058333,0.06575,loss,1,733
0,719,v022c,92883.0,DONE,1,-8293.0,0.550167,v13_r3,101176.0,DONE,0.049083,0.076625,0.096292,loss,0,17
0,719,v022c,92883.0,DONE,1,-8293.0,0.071417,v13_r3,101176.0,DONE,0.044625,0.058333,0.065042,loss,1,17
0,719,v022c,65811.0,DONE,1,-11205.0,0.227542,v13_r3,77016.0,DONE,0.049792,0.076041,0.093375,loss,0,42
0,719,v022c,66156.0,DONE,1,-10778.0,0.193084,v13_r3,76934.0,DONE,0.044417,0.058708,0.066458,loss,1,42
0,719,v022c,91808.0,DONE,1,-11441.0,0.242792,v13_r3,103249.0,DONE,0.049958,0.073792,0.087666,loss,0,2026
0,719,v022c,92211.0,DONE,1,-10959.0,0.077042,v13_r3,103170.0,DONE,0.044667,0.059125,0.065583,loss,1,2026
0,719,v022c,136995.0,DONE,1,-18324.0,18.773542,v13_r3,155319.0,DONE,0.05,0.078833,0.193583,loss,0,217
0,719,v022c,138685.0,DONE,1,-18552.0,0.074916,v13_r3,157237.0,DONE,0.045125,0.059292,0.06625,loss,1,217
0,719,v022c,85622.0,DONE,1,-9260.0,18.235459,v13_r3,94882.0,DONE,0.049333,0.077958,0.192542,loss,0,317
0,719,v022c,85496.0,DONE,1,-9383.0,0.072458,v13_r3,94879.0,DONE,0.044709,0.059,0.065292,loss,1,317
0,719,v022c,96873.0,DONE,1,-11805.0,0.213958,v13_r3,108678.0,DONE,0.049959,0.076584,0.096125,loss,0,733
0,719,v022c,91655.0,DONE,1,-11549.0,0.074208,v13_r3,103204.0,DONE,0.044916,0.05925,0.065667,loss,1,733
0,719,v022c_hybrid,137103.0,DONE,1,128402.0,17.44575,v022c,8701.0,DONE,0.166708,0.193458,0.298625,win,0,17
0,719,v022c_hybrid,23123.0,DONE,1,21307.0,0.349417,v022c,1816.0,DONE,0.121125,0.163625,0.266667,win,1,17
0,719,v022c_hybrid,174591.0,DONE,1,147656.0,18.525708,v022c,26935.0,DONE,0.172833,0.19625,0.307166,win,0,42
0,719,v022c_hybrid,174235.0,DONE,1,147300.0,0.386042,v022c,26935.0,DONE,0.16225,0.183959,0.223041,win,1,42
0,719,v022c_hybrid,157746.0,DONE,1,134953.0,27.102792,v022c,22793.0,DONE,0.171208,0.195375,0.311833,win,0,2026
0,719,v022c_hybrid,156206.0,DONE,1,133654.0,0.291958,v022c,22552.0,DONE,0.163792,0.181416,0.193708,win,1,2026
0,719,v022c_hybrid,174317.0,DONE,1,147962.0,18.918667,v022c,26355.0,DONE,0.172042,0.19375,0.306542,win,0,217
0,719,v022c_hybrid,163974.0,DONE,1,139742.0,0.447541,v022c,24232.0,DONE,0.162542,0.196875,0.304,win,1,217
0,719,v022c_hybrid,169072.0,DONE,1,141053.0,27.792958,v022c,28019.0,DONE,0.172625,0.204542,0.326666,win,0,317
0,719,v022c_hybrid,169119.0,DONE,1,141100.0,19.593333,v022c,28019.0,DONE,0.164917,0.188,0.207875,win,1,317
0,719,v022c_hybrid,144103.0,DONE,1,112106.0,53.066083,v022c,31997.0,DONE,0.174875,0.199042,0.271875,win,0,733
0,719,v022c_hybrid,144928.0,DONE,1,112893.0,0.347375,v022c,32035.0,DONE,0.166958,0.191375,0.2215,win,1,733
0,719,v022c_hybrid,92884.0,DONE,1,-8292.0,0.434833,v13_r3,101176.0,DONE,0.198,0.223875,0.245459,loss,0,17
0,719,v022c_hybrid,92884.0,DONE,1,-8292.0,0.461792,v13_r3,101176.0,DONE,0.1935,0.225166,0.238625,loss,1,17
0,719,v022c_hybrid,65812.0,DONE,1,-11204.0,25.880458,v13_r3,77016.0,DONE,0.200375,0.2275,0.313542,loss,0,42
0,719,v022c_hybrid,66157.0,DONE,1,-10777.0,0.422458,v13_r3,76934.0,DONE,0.193208,0.220667,0.237417,loss,1,42
0,719,v022c_hybrid,91809.0,DONE,1,-11440.0,0.404917,v13_r3,103249.0,DONE,0.199375,0.22675,0.261334,loss,0,2026
0,719,v022c_hybrid,92212.0,DONE,1,-10958.0,0.258208,v13_r3,103170.0,DONE,0.193583,0.22075,0.239167,loss,1,2026
