actions,all_done,candidate,errors,games,invalid,losses,mean_margin,mean_money,min_money,opponent,p99_ms,ties,win_rate,wins
{},1,v022c_control,0,12,0,4,16434.25,116780.08333333333,61994.0,baseline,0.2395,0,0.6666666666666666,8
{},1,v022c_control,0,12,0,0,5034.916666666667,127917.91666666667,117053.0,frontier,0.250166,0,1.0,12
{},1,v022c_control,0,12,0,0,5073.5,129492.83333333333,118763.0,hamburger,0.250084,0,1.0,12
{},1,v022c_control,0,12,0,0,184592.25,184603.91666666666,170913.0,random,0.286125,0,1.0,12
{},1,v022c_control,0,12,0,0,183047.66666666666,186548.25,177181.0,starter,0.270334,0,1.0,12
{},1,v022c_control,0,12,0,0,2081.6666666666665,124620.0,103682.0,v012,0.235208,0,1.0,12
{},1,v022c_control,0,12,0,12,-169928.91666666666,5920.666666666667,1020.0,v022d,0.243459,0,0.0,0
{},1,v022c_control,0,12,0,0,2769.5,124694.66666666667,103642.0,v18,0.23625,0,1.0,12
{},1,v022e_adaptive_recovery,0,12,0,4,-10860.583333333334,95675.5,45046.0,baseline,0.25,0,0.6666666666666666,8
{},1,v022e_adaptive_recovery,0,12,0,0,4645.75,127612.25,117002.0,frontier,0.228375,0,1.0,12
{},1,v022e_adaptive_recovery,0,12,0,0,4678.083333333333,129187.83333333333,118712.0,hamburger,0.216292,0,1.0,12
{},1,v022e_adaptive_recovery,0,12,0,0,187198.66666666666,187198.66666666666,175852.0,random,0.2985,0,1.0,12
{},1,v022e_adaptive_recovery,0,12,0,0,182040.16666666666,185540.75,173332.0,starter,0.30625,0,1.0,12
{},1,v022e_adaptive_recovery,0,12,0,1,1778.5833333333333,124834.41666666667,103682.0,v012,0.249458,0,0.9166666666666666,11
{},1,v022e_adaptive_recovery,0,12,0,12,-165704.91666666666,9431.75,5314.0,v022d,0.259417,0,0.0,0
{},1,v022e_adaptive_recovery,0,12,0,1,2474.1666666666665,124903.75,103642.0,v18,0.216167,0,0.9166666666666666,11
