action_BUILD_PASTURE,action_CARE,action_COLLECT_FERTILIZER,action_DIG,action_DROP,action_EAST,action_FEED,action_FERTILIZE,action_HARVEST,action_NORTH,action_PASS,action_PICKUP,action_PLACE,action_PLANT,action_SOUTH,action_WATER,action_WEST,actions,calls,candidate,candidate_money,candidate_status,done,errors,invalid,margin,max_ms,opponent,opponent_money,opponent_status,p50_ms,p95_ms,p99_ms,result,seat,seed,v022e_abandoned,v022e_catchup_actions,v022e_catchup_releases,v022e_early_releases,v022e_repeat_suppressed,v022e_retry_failures,v022e_retry_success_first,v022e_retry_success_second,v022e_weed_repairs,v022e_weed_retries
14,322,324,32,100,671,323,103,341,1030,461,262,14,135,793,937,896,"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 937, 'EAST': 671, 'SOUTH': 793, 'FEED': 323, 'CARE': 322, 'PASS': 461, 'COLLECT_FERTILIZER': 324, 'DROP': 100, 'HARVEST': 341, 'DIG': 32, 'FERTILIZE': 103}",719,v022c_control,103682.0,DONE,1,0,0,899.0,0.330834,v012,102783.0,DONE,0.053042,0.084792,0.251083,win,0,17,,,,,,,,,,
14,322,324,31,100,671,323,103,341,1030,461,262,14,135,793,938,896,"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 938, 'EAST': 671, 'SOUTH': 793, 'FEED': 323, 'CARE': 322, 'PASS': 461, 'COLLECT_FERTILIZER': 324, 'DROP': 100, 'HARVEST': 341, 'DIG': 31, 'FERTILIZE': 103}",719,v022c_control,104673.0,DONE,1,0,0,2676.0,0.262166,v012,101997.0,DONE,0.050708,0.075916,0.089541,win,1,17,,,,,,,,,,
14,322,324,32,100,671,323,103,341,1030,461,262,14,135,793,937,896,"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 937, 'EAST': 671, 'SOUTH': 793, 'FEED': 323, 'CARE': 322, 'PASS': 461, 'COLLECT_FERTILIZER': 324, 'DROP': 100, 'HARVEST': 341, 'DIG': 32, 'FERTILIZE': 103}",719,v022c_control,130046.0,DONE,1,0,0,2604.0,0.381958,v012,127442.0,DONE,0.052709,0.083291,0.133625,win,0,42,,,,,,,,,,
14,322,324,33,100,671,323,103,341,1029,461,262,14,135,793,937,896,"{'BUILD_PASTURE': 14, 'NORTH': 1029, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 937, 'EAST': 671, 'SOUTH': 793, 'FEED': 323, 'CARE': 322, 'PASS': 461, 'COLLECT_FERTILIZER': 324, 'DROP': 100, 'HARVEST': 341, 'DIG': 33, 'FERTILIZE': 103}",719,v022c_control,129223.0,DONE,1,0,0,1125.0,0.322417,v012,128098.0,DONE,0.051667,0.076,0.08725,win,1,42,,,,,,,,,,
14,322,324,34,100,671,323,103,341,1030,461,262,14,135,792,936,896,"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 936, 'EAST': 671, 'SOUTH': 792, 'FEED': 323, 'CARE': 322, 'PASS': 461, 'COLLECT_FERTILIZER': 324, 'DROP': 100, 'HARVEST': 341, 'DIG': 34, 'FERTILIZE': 103}",719,v022c_control,144474.0,DONE,1,0,0,2089.0,0.319,v012,142385.0,DONE,0.05325,0.0835,0.115541,win,0,2026,,,,,,,,,,
14,322,324,32,99,671,323,103,341,1030,461,262,14,135,793,938,896,"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 938, 'EAST': 671, 'SOUTH': 793, 'FEED': 323, 'CARE': 322, 'PASS': 461, 'COLLECT_FERTILIZER': 324, 'DROP': 99, 'HARVEST': 341, 'DIG': 32, 'FERTILIZE': 103}",719,v022c_control,150382.0,DONE,1,0,0,1825.0,0.256625,v012,148557.0,DONE,0.051875,0.077584,0.117875,win,1,2026,,,,,,,,,,
14,322,324,32,100,671,323,103,341,1030,460,262,14,135,793,938,896,"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 938, 'EAST': 671, 'SOUTH': 793, 'FEED': 323, 'CARE': 322, 'PASS': 460, 'COLLECT_FERTILIZER': 324, 'DROP': 100, 'HARVEST': 341, 'DIG': 32, 'FERTILIZE': 103}",719,v022c_control,127598.0,DONE,1,0,0,2525.0,99.274834,v012,125073.0,DONE,0.053583,0.083,0.22225,win,0,217,,,,,,,,,,
14,322,324,32,100,671,323,103,341,1030,460,262,14,135,793,938,896,"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 938, 'EAST': 671, 'SOUTH': 793, 'FEED': 323, 'CARE': 322, 'PASS': 460, 'COLLECT_FERTILIZER': 324, 'DROP': 100, 'HARVEST': 341, 'DIG': 32, 'FERTILIZE': 103}",719,v022c_control,127730.0,DONE,1,0,0,2640.0,0.235583,v012,125090.0,DONE,0.051083,0.076042,0.094666,win,1,217,,,,,,,,,,
14,322,323,32,100,671,323,103,341,1030,461,262,14,135,793,938,896,"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 938, 'EAST': 671, 'SOUTH': 793, 'FEED': 323, 'CARE': 322, 'PASS': 461, 'COLLECT_FERTILIZER': 323, 'DROP': 100, 'HARVEST': 341, 'DIG': 32, 'FERTILIZE': 103}",719,v022c_control,131522.0,DONE,1,0,0,2768.0,97.790458,v012,128754.0,DONE,0.053,0.084083,0.139166,win,0,317,,,,,,,,,,
14,322,324,31,100,671,323,103,341,1030,461,262,14,135,793,938,896,"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 938, 'EAST': 671, 'SOUTH': 793, 'FEED': 323, 'CARE': 322, 'PASS': 461, 'COLLECT_FERTILIZER': 324, 'DROP': 100, 'HARVEST': 341, 'DIG': 31, 'FERTILIZE': 103}",719,v022c_control,131541.0,DONE,1,0,0,3039.0,0.452167,v012,128502.0,DONE,0.052041,0.075416,0.098375,win,1,317,,,,,,,,,,
14,322,323,33,100,671,323,103,341,1030,461,262,14,135,793,937,896,"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 937, 'EAST': 671, 'SOUTH': 793, 'FEED': 323, 'CARE': 322, 'PASS': 461, 'COLLECT_FERTILIZER': 323, 'DROP': 100, 'HARVEST': 341, 'DIG': 33, 'FERTILIZE': 103}",719,v022c_control,109119.0,DONE,1,0,0,1230.0,0.32275,v012,107889.0,DONE,0.054375,0.085042,0.106708,win,0,733,,,,,,,,,,
14,322,324,32,100,671,323,103,341,1030,461,262,14,135,792,938,896,"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 938, 'EAST': 671, 'SOUTH': 792, 'FEED': 323, 'CARE': 322, 'PASS': 461, 'COLLECT_FERTILIZER': 324, 'DROP': 100, 'HARVEST': 341, 'DIG': 32, 'FERTILIZE': 103}",719,v022c_control,105450.0,DONE,1,0,0,1560.0,0.356042,v012,103890.0,DONE,0.051542,0.076125,0.108875,win,1,733,,,,,,,,,,
13,173,179,15,61,372,202,44,175,553,282,154,13,96,419,582,508,"{'BUILD_PASTURE': 13, 'NORTH': 553, 'WEST': 508, 'PICKUP': 154, 'PLACE': 13, 'PLANT': 96, 'WATER': 582, 'EAST': 372, 'SOUTH': 419, 'FEED': 202, 'CARE': 173, 'PASS': 282, 'COLLECT_FERTILIZER': 179, 'DIG': 15, 'DROP': 61, 'HARVEST': 175, 'FERTILIZE': 44}",719,v022c_control,2613.0,DONE,1,0,0,-166196.0,0.461416,v022d,168809.0,DONE,0.048375,0.088791,0.242292,loss,0,17,,,,,,,,,,
12,295,310,36,94,633,308,102,337,975,419,238,10,130,763,895,835,"{'BUILD_PASTURE': 12, 'NORTH': 975, 'WEST': 835, 'PICKUP': 238, 'PLACE': 10, 'PLANT': 130, 'WATER': 895, 'EAST': 633, 'SOUTH': 763, 'FEED': 308, 'CARE': 295, 'PASS': 419, 'COLLECT_FERTILIZER': 310, 'DROP': 94, 'HARVEST': 337, 'DIG': 36, 'FERTILIZE': 102}",719,v022c_control,9123.0,DONE,1,0,0,-178668.0,0.23625,v022d,187791.0,DONE,0.046417,0.062375,0.076167,loss,1,17,,,,,,,,,,
12,105,114,11,42,247,135,22,123,357,194,99,10,69,282,375,345,"{'BUILD_PASTURE': 12, 'NORTH': 357, 'WEST': 345, 'PICKUP': 99, 'PLACE': 10, 'PLANT': 69, 'WATER': 375, 'EAST': 247, 'SOUTH': 282, 'FEED': 135, 'CARE': 105, 'PASS': 194, 'COLLECT_FERTILIZER': 114, 'DROP': 42, 'HARVEST': 123, 'DIG': 11, 'FERTILIZE': 22}",719,v022c_control,1020.0,DONE,1,0,0,-188472.0,38.248417,v022d,189492.0,DONE,0.050916,0.096791,0.242958,loss,0,42,,,,,,,,,,
12,105,114,11,42,247,135,22,123,357,194,99,10,69,282,375,345,"{'BUILD_PASTURE': 12, 'NORTH': 357, 'WEST': 345, 'PICKUP': 99, 'PLACE': 10, 'PLANT': 69, 'WATER': 375, 'EAST': 247, 'SOUTH': 282, 'FEED': 135, 'CARE': 105, 'PASS': 194, 'COLLECT_FERTILIZER': 114, 'DROP': 42, 'HARVEST': 123, 'DIG': 11, 'FERTILIZE': 22}",719,v022c_control,1020.0,DONE,1,0,0,-188522.0,0.354709,v022d,189542.0,DONE,0.035875,0.053542,0.075667,loss,1,42,,,,,,,,,,
12,286,299,36,92,609,307,97,322,940,397,240,12,123,721,863,803,"{'BUILD_PASTURE': 12, 'NORTH': 940, 'WEST': 803, 'PICKUP': 240, 'PLACE': 12, 'PLANT': 123, 'WATER': 863, 'EAST': 609, 'SOUTH': 721, 'FEED': 307, 'CARE': 286, 'PASS': 397, 'COLLECT_FERTILIZER': 299, 'DROP': 92, 'HARVEST': 322, 'DIG': 36, 'FERTILIZE': 97}",719,v022c_control,6997.0,DONE,1,0,0,-164586.0,1.032791,v022d,171583.0,DONE,0.055625,0.10225,0.238,loss,0,2026,,,,,,,,,,
12,240,252,29,79,513,270,66,251,753,327,201,12,115,565,740,663,"{'BUILD_PASTURE': 12, 'NORTH': 753, 'WEST': 663, 'PICKUP': 201, 'PLACE': 12, 'PLANT': 115, 'WATER': 740, 'EAST': 513, 'SOUTH': 565, 'FEED': 270, 'CARE': 240, 'PASS': 327, 'COLLECT_FERTILIZER': 252, 'DROP': 79, 'HARVEST': 251, 'DIG': 29, 'FERTILIZE': 66}",719,v022c_control,5132.0,DONE,1,0,0,-155175.0,0.605958,v022d,160307.0,DONE,0.045834,0.069375,0.089083,loss,1,2026,,,,,,,,,,
12,298,307,33,92,629,311,99,325,968,411,246,12,133,743,895,825,"{'BUILD_PASTURE': 12, 'NORTH': 968, 'WEST': 825, 'PICKUP': 246, 'PLACE': 12, 'PLANT': 133, 'WATER': 895, 'EAST': 629, 'SOUTH': 743, 'FEED': 311, 'CARE': 298, 'PASS': 411, 'COLLECT_FERTILIZER': 307, 'DROP': 92, 'HARVEST': 325, 'DIG': 33, 'FERTILIZE': 99}",719,v022c_control,8498.0,DONE,1,0,0,-164590.0,0.410208,v022d,173088.0,DONE,0.054958,0.096458,0.255541,loss,0,217,,,,,,,,,,
12,277,275,34,86,585,286,80,283,869,376,225,12,128,668,842,748,"{'BUILD_PASTURE': 12, 'NORTH': 869, 'WEST': 748, 'PICKUP': 225, 'PLACE': 12, 'PLANT': 128, 'WATER': 842, 'EAST': 585, 'SOUTH': 668, 'FEED': 286, 'CARE': 277, 'PASS': 376, 'COLLECT_FERTILIZER': 275, 'DROP': 86, 'HARVEST': 283, 'DIG': 34, 'FERTILIZE': 80}",719,v022c_control,5192.0,DONE,1,0,0,-172308.0,0.375583,v022d,177500.0,DONE,0.046333,0.066375,0.094875,loss,1,217,,,,,,,,,,
12,292,306,36,94,628,308,102,332,969,413,243,11,131,753,891,833,"{'BUILD_PASTURE': 12, 'NORTH': 969, 'WEST': 833, 'PICKUP': 243, 'PLACE': 11, 'PLANT': 131, 'WATER': 891, 'EAST': 628, 'SOUTH': 753, 'FEED': 308, 'CARE': 292, 'PASS': 413, 'COLLECT_FERTILIZER': 306, 'DROP': 94, 'HARVEST': 332, 'DIG': 36, 'FERTILIZE': 102}",719,v022c_control,9456.0,DONE,1,0,0,-162946.0,43.907209,v022d,172402.0,DONE,0.055292,0.097208,0.22925,loss,0,317,,,,,,,,,,
12,292,305,36,94,628,308,102,332,969,413,243,11,131,754,891,833,"{'BUILD_PASTURE': 12, 'NORTH': 969, 'WEST': 833, 'PICKUP': 243, 'PLACE': 11, 'PLANT': 131, 'WATER': 891, 'EAST': 628, 'SOUTH': 754, 'FEED': 308, 'CARE': 292, 'PASS': 413, 'COLLECT_FERTILIZER': 305, 'DROP': 94, 'HARVEST': 332, 'DIG': 36, 'FERTILIZE': 102}",719,v022c_control,9451.0,DONE,1,0,0,-163019.0,0.265083,v022d,172470.0,DONE,0.047625,0.065625,0.11925,loss,1,317,,,,,,,,,,
12,236,260,31,83,526,282,78,291,814,348,208,11,109,610,745,680,"{'BUILD_PASTURE': 12, 'NORTH': 814, 'WEST': 680, 'PICKUP': 208, 'PLACE': 11, 'PLANT': 109, 'WATER': 745, 'EAST': 526, 'SOUTH': 610, 'FEED': 282, 'CARE': 236, 'PASS': 348, 'COLLECT_FERTILIZER': 260, 'DROP': 83, 'HARVEST': 291, 'DIG': 31, 'FERTILIZE': 78}",719,v022c_control,5841.0,DONE,1,0,0,-173081.0,32.21825,v022d,178922.0,DONE,0.052959,0.099292,0.253959,loss,0,733,,,,,,,,,,
