actions,all_done,candidate,errors,games,invalid,losses,mean_margin,mean_money,min_money,opponent,p99_ms,ties,win_rate,wins
{},1,v022c_control,0,12,0,4,16434.25,116780.08333333333,61994.0,baseline,0.239708,0,0.6666666666666666,8
{},1,v022c_control,0,12,0,0,5034.916666666667,127917.91666666667,117053.0,frontier,0.207958,0,1.0,12
{},1,v022c_control,0,12,0,0,5073.5,129492.83333333333,118763.0,hamburger,0.227875,0,1.0,12
{},1,v022c_control,0,12,0,0,190594.58333333334,190594.58333333334,178864.0,random,0.281209,0,1.0,12
{},1,v022c_control,0,12,0,0,183047.66666666666,186548.25,177181.0,starter,0.265084,0,1.0,12
{},1,v022c_control,0,12,0,0,2081.6666666666665,124620.0,103682.0,v012,0.251083,0,1.0,12
{},1,v022c_control,0,12,0,12,-169928.91666666666,5920.666666666667,1020.0,v022d,0.255541,0,0.0,0
{},1,v022c_control,0,12,0,0,2769.5,124694.66666666667,103642.0,v18,0.246917,0,1.0,12
{},1,v022f_single_retry,0,12,0,4,9168.666666666666,111420.58333333333,56737.0,baseline,0.217417,0,0.6666666666666666,8
{},1,v022f_single_retry,0,12,0,0,4645.75,127612.25,117002.0,frontier,0.211875,0,1.0,12
{},1,v022f_single_retry,0,12,0,0,4678.083333333333,129187.83333333333,118712.0,hamburger,0.221458,0,1.0,12
{},1,v022f_single_retry,0,12,0,0,186492.58333333334,186492.58333333334,171392.0,random,0.273875,0,1.0,12
{},1,v022f_single_retry,0,12,0,0,182040.16666666666,185540.75,173332.0,starter,0.228083,0,1.0,12
{},1,v022f_single_retry,0,12,0,1,1778.5833333333333,124834.41666666667,103682.0,v012,0.226125,0,0.9166666666666666,11
{},1,v022f_single_retry,0,12,0,12,-161329.75,13131.583333333334,1852.0,v022d,0.219291,0,0.0,0
{},1,v022f_single_retry,0,12,0,1,2474.1666666666665,124903.75,103642.0,v18,0.226042,0,0.9166666666666666,11
