actions,calls,candidate,candidate_money,candidate_status,done,errors,invalid,margin,market,max_ms,opponent,opponent_money,opponent_status,p50_ms,p95_ms,p99_ms,result,seat,source,v023_route_fallbacks,v023_route_selected,v023_sell_clipped,v023_terminal_liquidations,v023_weed_catchup_actions,v023_weed_repairs,v023_weed_retries
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,175667.0,DONE,1,0,0,172172.0,"{'HIRE': 306, 'BUY_ANIMAL': 14, 'BUY_SEED': 54, 'SELL': 481, 'SELL_WHEAT': 1108, 'BUY_PRODUCT': 279, 'SELL_FERTILIZER': 445, 'SELL_CARROT': 13, 'SELL_MELON': 224, 'SELL_WOOL': 373, 'BUY_LAND': 2, 'SELL_MILK': 682, 'SELL_STRAWBERRY': 636, 'SELL_TOMATO': 4, 'SELL_EGG': 8}",0.217542,starter,3495.0,DONE,0.008958,0.052125,0.070042,win,0,local,,,,,,,
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,188626.0,DONE,1,0,0,185137.0,"{'HIRE': 306, 'BUY_ANIMAL': 14, 'BUY_SEED': 54, 'SELL': 481, 'SELL_WHEAT': 1108, 'BUY_PRODUCT': 279, 'SELL_FERTILIZER': 445, 'SELL_CARROT': 13, 'SELL_MELON': 224, 'SELL_WOOL': 373, 'BUY_LAND': 2, 'SELL_MILK': 682, 'SELL_STRAWBERRY': 636, 'SELL_TOMATO': 4, 'SELL_EGG': 8}",0.2805,starter,3489.0,DONE,0.008542,0.050125,0.070417,win,1,local,,,,,,,
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,138456.0,DONE,1,0,0,39666.0,"{'HIRE': 306, 'BUY_ANIMAL': 14, 'BUY_SEED': 54, 'SELL': 481, 'SELL_WHEAT': 1108, 'BUY_PRODUCT': 279, 'SELL_FERTILIZER': 445, 'SELL_CARROT': 13, 'SELL_MELON': 224, 'SELL_WOOL': 373, 'BUY_LAND': 2, 'SELL_MILK': 682, 'SELL_STRAWBERRY': 636, 'SELL_TOMATO': 4, 'SELL_EGG': 8}",0.201583,baseline,98790.0,DONE,0.0095,0.053625,0.106041,win,0,local,,,,,,,
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,139022.0,DONE,1,0,0,40002.0,"{'HIRE': 306, 'BUY_ANIMAL': 14, 'BUY_SEED': 54, 'SELL': 481, 'SELL_WHEAT': 1108, 'BUY_PRODUCT': 279, 'SELL_FERTILIZER': 445, 'SELL_CARROT': 13, 'SELL_MELON': 224, 'SELL_WOOL': 373, 'BUY_LAND': 2, 'SELL_MILK': 682, 'SELL_STRAWBERRY': 636, 'SELL_TOMATO': 4, 'SELL_EGG': 8}",0.149125,baseline,99020.0,DONE,0.009417,0.024416,0.069167,win,1,local,,,,,,,
"{'PASS': 996, 'PICKUP': 166, 'WEST': 924, 'NORTH': 910, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 921, 'FEED': 314, 'CARE': 322, 'EAST': 674, 'COLLECT_FERTILIZER': 250, 'SOUTH': 602, 'DROP': 102, 'HARVEST': 372, 'DIG': 45, 'FERTILIZE': 73}",719,v023a_high_output_14hands,186891.0,DONE,1,0,0,183377.0,"{'HIRE': 275, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 245, 'SELL': 316, 'SELL_FERTILIZER': 169, 'SELL_WHEAT': 791, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 231, 'SELL_MELON': 121, 'SELL_STRAWBERRY': 266}",0.363334,starter,3514.0,DONE,0.04625,0.100125,0.228459,win,0,local,0,,17,1,0,0,0
"{'PASS': 996, 'PICKUP': 166, 'WEST': 924, 'NORTH': 910, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 921, 'FEED': 314, 'CARE': 322, 'EAST': 674, 'COLLECT_FERTILIZER': 250, 'SOUTH': 602, 'DROP': 102, 'HARVEST': 372, 'DIG': 45, 'FERTILIZE': 73}",719,v023a_high_output_14hands,186891.0,DONE,1,0,0,183377.0,"{'HIRE': 275, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 245, 'SELL': 316, 'SELL_FERTILIZER': 169, 'SELL_WHEAT': 791, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 231, 'SELL_MELON': 121, 'SELL_STRAWBERRY': 266}",44.333834,starter,3514.0,DONE,0.047459,0.116125,0.290167,win,1,local,0,,17,1,0,0,0
"{'PASS': 996, 'PICKUP': 166, 'WEST': 924, 'NORTH': 910, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 921, 'FEED': 314, 'CARE': 322, 'EAST': 674, 'COLLECT_FERTILIZER': 250, 'SOUTH': 602, 'DROP': 102, 'HARVEST': 372, 'DIG': 45, 'FERTILIZE': 73}",719,v023a_high_output_14hands,142644.0,DONE,1,0,0,47054.0,"{'HIRE': 275, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 245, 'SELL': 316, 'SELL_FERTILIZER': 172, 'SELL_WHEAT': 783, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 231, 'SELL_MELON': 129, 'SELL_STRAWBERRY': 273}",0.302583,baseline,95590.0,DONE,0.0505,0.085125,0.2155,win,0,local,0,,15,1,0,0,0
"{'PASS': 996, 'PICKUP': 166, 'WEST': 924, 'NORTH': 910, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 921, 'FEED': 314, 'CARE': 322, 'EAST': 674, 'COLLECT_FERTILIZER': 250, 'SOUTH': 602, 'DROP': 102, 'HARVEST': 372, 'DIG': 45, 'FERTILIZE': 73}",719,v023a_high_output_14hands,142644.0,DONE,1,0,0,47054.0,"{'HIRE': 275, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 245, 'SELL': 316, 'SELL_FERTILIZER': 172, 'SELL_WHEAT': 783, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 231, 'SELL_MELON': 129, 'SELL_STRAWBERRY': 273}",0.14775,baseline,95590.0,DONE,0.04725,0.064625,0.078959,win,1,local,0,,15,1,0,0,0
"{'PASS': 996, 'PICKUP': 166, 'WEST': 924, 'NORTH': 910, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 921, 'FEED': 314, 'CARE': 322, 'EAST': 674, 'COLLECT_FERTILIZER': 250, 'SOUTH': 602, 'DROP': 102, 'HARVEST': 372, 'DIG': 45, 'FERTILIZE': 73}",719,v023d_early_portfolio,186891.0,DONE,1,0,0,183377.0,"{'HIRE': 275, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 245, 'SELL': 316, 'SELL_FERTILIZER': 169, 'SELL_WHEAT': 791, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 231, 'SELL_MELON': 121, 'SELL_STRAWBERRY': 266}",30.721375,starter,3514.0,DONE,0.046875,0.100125,0.2295,win,0,local,0,high_output_14hands,17,1,0,0,0
"{'PASS': 996, 'PICKUP': 166, 'WEST': 924, 'NORTH': 910, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 921, 'FEED': 314, 'CARE': 322, 'EAST': 674, 'COLLECT_FERTILIZER': 250, 'SOUTH': 602, 'DROP': 102, 'HARVEST': 372, 'DIG': 45, 'FERTILIZE': 73}",719,v023d_early_portfolio,186891.0,DONE,1,0,0,183377.0,"{'HIRE': 275, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 245, 'SELL': 316, 'SELL_FERTILIZER': 169, 'SELL_WHEAT': 791, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 231, 'SELL_MELON': 121, 'SELL_STRAWBERRY': 266}",28.23975,starter,3514.0,DONE,0.045458,0.095375,0.2215,win,1,local,0,high_output_14hands,17,1,0,0,0
