actions,calls,candidate,candidate_money,candidate_status,done,errors,invalid,margin,market,max_ms,opponent,opponent_money,opponent_status,p50_ms,p95_ms,p99_ms,result,seat,source,v023_route_fallbacks,v023_route_selected,v023_sell_clipped,v023_terminal_liquidations,v023_weed_catchup_actions,v023_weed_repairs,v023_weed_retries
"{'BUILD_PASTURE': 12, 'NORTH': 907, 'WEST': 920, 'PICKUP': 170, 'PLACE': 14, 'PLANT': 147, 'WATER': 911, 'EAST': 670, 'SOUTH': 595, 'FEED': 316, 'CARE': 321, 'PASS': 990, 'COLLECT_FERTILIZER': 247, 'HARVEST': 370, 'DROP': 100, 'DIG': 63, 'FERTILIZE': 73}",719,v023d_early_portfolio,22303.0,DONE,1,0,0,-160403.0,"{'BUY_ANIMAL': 8, 'BUY_SEED': 19, 'BUY_PRODUCT': 229, 'HIRE': 278, 'SELL': 223, 'SELL_FERTILIZER': 81, 'SELL_WHEAT': 776, 'BUY_LAND': 2, 'SELL_MILK': 98, 'SELL_MELON': 29}",512.582667,fixed_replay,182706.0,DONE,0.049708,0.09425,0.206625,loss,0,90308565,1,high_output_14hands,131,1,110,18,18
"{'BUILD_PASTURE': 11, 'NORTH': 915, 'WEST': 928, 'PICKUP': 170, 'PLACE': 14, 'PLANT': 154, 'WATER': 925, 'EAST': 673, 'SOUTH': 608, 'FEED': 316, 'CARE': 322, 'PASS': 968, 'COLLECT_FERTILIZER': 248, 'HARVEST': 371, 'DROP': 101, 'DIG': 53, 'FERTILIZE': 73}",719,v023d_early_portfolio,66673.0,DONE,1,0,0,-110830.0,"{'BUY_ANIMAL': 8, 'BUY_SEED': 19, 'BUY_PRODUCT': 229, 'HIRE': 278, 'SELL': 256, 'SELL_FERTILIZER': 72, 'SELL_WHEAT': 812, 'BUY_LAND': 2, 'SELL_MILK': 121, 'SELL_MELON': 65, 'SELL_WOOL': 40, 'SELL_STRAWBERRY': 106}",0.309917,fixed_replay,177503.0,DONE,0.047667,0.079625,0.11275,loss,1,90308565,1,high_output_14hands,100,1,56,8,8
"{'BUILD_PASTURE': 12, 'NORTH': 896, 'WEST': 911, 'PICKUP': 170, 'PLACE': 14, 'PLANT': 143, 'WATER': 897, 'EAST': 659, 'SOUTH': 590, 'FEED': 316, 'CARE': 319, 'PASS': 965, 'COLLECT_FERTILIZER': 244, 'HARVEST': 368, 'DROP': 99, 'DIG': 62, 'FERTILIZE': 73}",719,v023d_early_portfolio,13034.0,DONE,1,0,0,-133860.0,"{'BUY_ANIMAL': 8, 'BUY_SEED': 19, 'BUY_PRODUCT': 229, 'HIRE': 278, 'SELL': 226, 'SELL_FERTILIZER': 80, 'SELL_WHEAT': 776, 'BUY_LAND': 2, 'SELL_MILK': 96, 'SELL_MELON': 23, 'SELL_STRAWBERRY': 6}",0.360625,fixed_replay,146894.0,DONE,0.050292,0.088166,0.1045,loss,0,90318860,1,high_output_14hands,131,1,97,17,17
"{'BUILD_PASTURE': 11, 'NORTH': 915, 'WEST': 928, 'PICKUP': 170, 'PLACE': 14, 'PLANT': 154, 'WATER': 925, 'EAST': 673, 'SOUTH': 608, 'FEED': 316, 'CARE': 322, 'PASS': 968, 'COLLECT_FERTILIZER': 248, 'HARVEST': 371, 'DROP': 101, 'DIG': 53, 'FERTILIZE': 73}",719,v023d_early_portfolio,59286.0,DONE,1,0,0,-94100.0,"{'BUY_ANIMAL': 8, 'BUY_SEED': 19, 'BUY_PRODUCT': 229, 'HIRE': 278, 'SELL': 260, 'SELL_FERTILIZER': 75, 'SELL_WHEAT': 812, 'BUY_LAND': 2, 'SELL_MILK': 125, 'SELL_MELON': 75, 'SELL_WOOL': 42, 'SELL_STRAWBERRY': 114}",0.256875,fixed_replay,153386.0,DONE,0.047625,0.076708,0.098375,loss,1,90318860,1,high_output_14hands,97,1,56,8,8
"{'BUILD_PASTURE': 12, 'NORTH': 907, 'WEST': 920, 'PICKUP': 170, 'PLACE': 14, 'PLANT': 147, 'WATER': 911, 'EAST': 670, 'SOUTH': 595, 'FEED': 316, 'CARE': 321, 'PASS': 991, 'COLLECT_FERTILIZER': 247, 'HARVEST': 370, 'DROP': 100, 'DIG': 62, 'FERTILIZE': 73}",719,v023d_early_portfolio,23725.0,DONE,1,0,0,-164836.0,"{'BUY_ANIMAL': 8, 'BUY_SEED': 19, 'BUY_PRODUCT': 229, 'HIRE': 278, 'SELL': 223, 'SELL_FERTILIZER': 81, 'SELL_WHEAT': 776, 'BUY_LAND': 2, 'SELL_MILK': 98, 'SELL_MELON': 29}",490.385208,fixed_replay,188561.0,DONE,0.05,0.104292,0.249333,loss,0,90319683,1,high_output_14hands,131,1,103,17,17
"{'BUILD_PASTURE': 11, 'NORTH': 886, 'WEST': 910, 'PICKUP': 170, 'PLACE': 14, 'PLANT': 144, 'WATER': 894, 'EAST': 660, 'SOUTH': 590, 'FEED': 316, 'CARE': 320, 'PASS': 971, 'COLLECT_FERTILIZER': 244, 'HARVEST': 362, 'DROP': 96, 'DIG': 55, 'FERTILIZE': 73}",719,v023d_early_portfolio,25826.0,DONE,1,0,0,-145123.0,"{'BUY_ANIMAL': 8, 'BUY_SEED': 19, 'BUY_PRODUCT': 229, 'HIRE': 278, 'SELL': 203, 'SELL_FERTILIZER': 63, 'SELL_WHEAT': 699, 'BUY_LAND': 2, 'SELL_MILK': 88, 'SELL_MELON': 41, 'SELL_STRAWBERRY': 29}",0.300541,fixed_replay,170949.0,DONE,0.04725,0.084334,0.098167,loss,1,90319683,1,high_output_14hands,154,1,70,10,10
"{'BUILD_PASTURE': 12, 'NORTH': 907, 'WEST': 919, 'PICKUP': 170, 'PLACE': 14, 'PLANT': 147, 'WATER': 911, 'EAST': 670, 'SOUTH': 595, 'FEED': 316, 'CARE': 321, 'PASS': 990, 'COLLECT_FERTILIZER': 247, 'HARVEST': 370, 'DROP': 100, 'DIG': 64, 'FERTILIZE': 73}",719,v023d_early_portfolio,20774.0,DONE,1,0,0,-152866.0,"{'BUY_ANIMAL': 8, 'BUY_SEED': 19, 'BUY_PRODUCT': 229, 'HIRE': 278, 'SELL': 223, 'SELL_FERTILIZER': 81, 'SELL_WHEAT': 776, 'BUY_LAND': 2, 'SELL_MILK': 98, 'SELL_MELON': 29}",0.454917,fixed_replay,173640.0,DONE,0.048875,0.09375,0.173875,loss,0,90323243,1,high_output_14hands,131,1,117,19,19
"{'BUILD_PASTURE': 11, 'NORTH': 915, 'WEST': 928, 'PICKUP': 170, 'PLACE': 14, 'PLANT': 154, 'WATER': 925, 'EAST': 673, 'SOUTH': 608, 'FEED': 316, 'CARE': 322, 'PASS': 968, 'COLLECT_FERTILIZER': 248, 'HARVEST': 371, 'DROP': 101, 'DIG': 53, 'FERTILIZE': 73}",719,v023d_early_portfolio,65691.0,DONE,1,0,0,-97037.0,"{'BUY_ANIMAL': 8, 'BUY_SEED': 19, 'BUY_PRODUCT': 229, 'HIRE': 278, 'SELL': 256, 'SELL_FERTILIZER': 73, 'SELL_WHEAT': 812, 'BUY_LAND': 2, 'SELL_MILK': 121, 'SELL_MELON': 65, 'SELL_WOOL': 40, 'SELL_STRAWBERRY': 106}",0.331292,fixed_replay,162728.0,DONE,0.04775,0.084167,0.195667,loss,1,90323243,1,high_output_14hands,100,1,56,8,8
"{'BUILD_PASTURE': 11, 'NORTH': 915, 'WEST': 928, 'PICKUP': 170, 'PLACE': 14, 'PLANT': 154, 'WATER': 925, 'EAST': 673, 'SOUTH': 608, 'FEED': 316, 'CARE': 322, 'PASS': 968, 'COLLECT_FERTILIZER': 248, 'HARVEST': 371, 'DROP': 101, 'DIG': 53, 'FERTILIZE': 73}",719,v023d_early_portfolio,53582.0,DONE,1,0,0,-64559.0,"{'BUY_ANIMAL': 8, 'BUY_SEED': 19, 'BUY_PRODUCT': 229, 'HIRE': 278, 'SELL': 260, 'SELL_FERTILIZER': 75, 'SELL_WHEAT': 812, 'BUY_LAND': 2, 'SELL_MILK': 125, 'SELL_MELON': 74, 'SELL_WOOL': 41, 'SELL_STRAWBERRY': 111}",1.264917,fixed_replay,118141.0,DONE,0.0485,0.090625,0.2185,loss,0,90326281,1,high_output_14hands,98,1,56,8,8
"{'BUILD_PASTURE': 12, 'NORTH': 891, 'WEST': 905, 'PICKUP': 170, 'PLACE': 14, 'PLANT': 141, 'WATER': 894, 'EAST': 662, 'SOUTH': 584, 'FEED': 316, 'CARE': 319, 'PASS': 969, 'COLLECT_FERTILIZER': 244, 'HARVEST': 364, 'DROP': 98, 'DIG': 62, 'FERTILIZE': 73}",719,v023d_early_portfolio,8950.0,DONE,1,0,0,-134636.0,"{'BUY_ANIMAL': 8, 'BUY_SEED': 19, 'BUY_PRODUCT': 229, 'HIRE': 278, 'SELL': 229, 'SELL_FERTILIZER': 86, 'SELL_WHEAT': 769, 'BUY_LAND': 2, 'SELL_MILK': 108, 'SELL_MELON': 23, 'SELL_STRAWBERRY': 6}",0.352208,fixed_replay,143586.0,DONE,0.049583,0.085417,0.1165,loss,1,90326281,1,high_output_14hands,128,1,99,17,17
