actions,calls,candidate,candidate_money,candidate_status,done,errors,invalid,margin,market,max_ms,opponent,opponent_money,opponent_status,p50_ms,p95_ms,p99_ms,result,seat,source,v023_route_fallbacks,v023_route_selected,v023_sell_clipped,v023_terminal_liquidations,v023_weed_catchup_actions,v023_weed_repairs,v023_weed_retries
"{'PASS': 996, 'PICKUP': 166, 'WEST': 924, 'NORTH': 910, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 921, 'FEED': 314, 'CARE': 322, 'EAST': 674, 'COLLECT_FERTILIZER': 250, 'SOUTH': 602, 'DROP': 102, 'HARVEST': 372, 'DIG': 45, 'FERTILIZE': 73}",719,v023d_early_portfolio,129499.0,DONE,1,0,0,303.0,"{'HIRE': 275, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 245, 'SELL': 316, 'SELL_FERTILIZER': 170, 'SELL_WHEAT': 783, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 231, 'SELL_MELON': 129, 'SELL_STRAWBERRY': 281}",0.25275,fixed_replay,129196.0,DONE,0.048875,0.079542,0.097542,win,0,90308565,0,high_output_14hands,14,1,0,0,0
"{'PASS': 996, 'PICKUP': 166, 'WEST': 924, 'NORTH': 910, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 921, 'FEED': 314, 'CARE': 322, 'EAST': 674, 'COLLECT_FERTILIZER': 250, 'SOUTH': 602, 'DROP': 102, 'HARVEST': 372, 'DIG': 45, 'FERTILIZE': 73}",719,v023d_early_portfolio,126584.0,DONE,1,0,0,478.0,"{'HIRE': 275, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 245, 'SELL': 316, 'SELL_FERTILIZER': 170, 'SELL_WHEAT': 783, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 231, 'SELL_MELON': 129, 'SELL_STRAWBERRY': 281}",0.3235,fixed_replay,126106.0,DONE,0.048792,0.079667,0.139917,win,1,90308565,0,high_output_14hands,14,1,0,0,0
"{'PASS': 996, 'PICKUP': 166, 'WEST': 924, 'NORTH': 910, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 921, 'FEED': 314, 'CARE': 322, 'EAST': 674, 'COLLECT_FERTILIZER': 250, 'SOUTH': 602, 'DROP': 102, 'HARVEST': 372, 'DIG': 45, 'FERTILIZE': 73}",719,v023d_early_portfolio,127169.0,DONE,1,0,0,5530.0,"{'HIRE': 275, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 245, 'SELL': 316, 'SELL_FERTILIZER': 170, 'SELL_WHEAT': 783, 'SELL_WOOL': 160, 'BUY_LAND': 2, 'SELL_MILK': 231, 'SELL_MELON': 129, 'SELL_STRAWBERRY': 281}",0.421958,fixed_replay,121639.0,DONE,0.048167,0.078375,0.090584,win,0,90318860,0,high_output_14hands,16,1,0,0,0
"{'PASS': 996, 'PICKUP': 166, 'WEST': 924, 'NORTH': 910, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 921, 'FEED': 314, 'CARE': 322, 'EAST': 674, 'COLLECT_FERTILIZER': 250, 'SOUTH': 602, 'DROP': 102, 'HARVEST': 372, 'DIG': 45, 'FERTILIZE': 73}",719,v023d_early_portfolio,98589.0,DONE,1,0,0,-3239.0,"{'HIRE': 275, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 245, 'SELL': 316, 'SELL_FERTILIZER': 170, 'SELL_WHEAT': 783, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 231, 'SELL_MELON': 129, 'SELL_STRAWBERRY': 281}",0.384833,fixed_replay,101828.0,DONE,0.048834,0.078667,0.116709,loss,1,90318860,0,high_output_14hands,14,1,0,0,0
"{'PASS': 996, 'PICKUP': 166, 'WEST': 924, 'NORTH': 910, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 921, 'FEED': 314, 'CARE': 322, 'EAST': 674, 'COLLECT_FERTILIZER': 250, 'SOUTH': 602, 'DROP': 102, 'HARVEST': 372, 'DIG': 45, 'FERTILIZE': 73}",719,v023d_early_portfolio,144053.0,DONE,1,0,0,517.0,"{'HIRE': 275, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 245, 'SELL': 316, 'SELL_FERTILIZER': 170, 'SELL_WHEAT': 783, 'SELL_WOOL': 160, 'BUY_LAND': 2, 'SELL_MILK': 231, 'SELL_MELON': 129, 'SELL_STRAWBERRY': 281}",0.371083,fixed_replay,143536.0,DONE,0.048959,0.079417,0.202667,win,0,90319683,0,high_output_14hands,16,1,0,0,0
"{'PASS': 996, 'PICKUP': 166, 'WEST': 924, 'NORTH': 910, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 921, 'FEED': 314, 'CARE': 322, 'EAST': 674, 'COLLECT_FERTILIZER': 250, 'SOUTH': 602, 'DROP': 102, 'HARVEST': 372, 'DIG': 45, 'FERTILIZE': 73}",719,v023d_early_portfolio,142110.0,DONE,1,0,0,2284.0,"{'HIRE': 275, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 245, 'SELL': 316, 'SELL_FERTILIZER': 170, 'SELL_WHEAT': 783, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 231, 'SELL_MELON': 129, 'SELL_STRAWBERRY': 281}",0.224125,fixed_replay,139826.0,DONE,0.047666,0.077875,0.098,win,1,90319683,0,high_output_14hands,14,1,0,0,0
"{'PASS': 996, 'PICKUP': 166, 'WEST': 922, 'NORTH': 910, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 921, 'FEED': 314, 'CARE': 322, 'EAST': 674, 'COLLECT_FERTILIZER': 250, 'SOUTH': 602, 'DROP': 102, 'HARVEST': 372, 'DIG': 47, 'FERTILIZE': 73}",719,v023d_early_portfolio,106414.0,DONE,1,0,0,2676.0,"{'HIRE': 275, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 245, 'SELL': 316, 'SELL_FERTILIZER': 171, 'SELL_WHEAT': 782, 'SELL_WOOL': 162, 'BUY_LAND': 2, 'SELL_MILK': 231, 'SELL_MELON': 129, 'SELL_STRAWBERRY': 277}",0.627375,fixed_replay,103738.0,DONE,0.048458,0.078833,0.21125,win,0,90323243,0,high_output_14hands,17,1,14,2,2
"{'PASS': 995, 'PICKUP': 166, 'WEST': 924, 'NORTH': 910, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 921, 'FEED': 314, 'CARE': 322, 'EAST': 674, 'COLLECT_FERTILIZER': 250, 'SOUTH': 602, 'DROP': 102, 'HARVEST': 372, 'DIG': 46, 'FERTILIZE': 73}",719,v023d_early_portfolio,121290.0,DONE,1,0,0,12555.0,"{'HIRE': 275, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 245, 'SELL': 316, 'SELL_FERTILIZER': 170, 'SELL_WHEAT': 783, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 231, 'SELL_MELON': 129, 'SELL_STRAWBERRY': 281}",0.617917,fixed_replay,108735.0,DONE,0.049125,0.079459,0.134917,win,1,90323243,0,high_output_14hands,14,1,7,1,1
"{'PASS': 996, 'PICKUP': 166, 'WEST': 924, 'NORTH': 910, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 921, 'FEED': 314, 'CARE': 322, 'EAST': 674, 'COLLECT_FERTILIZER': 250, 'SOUTH': 602, 'DROP': 102, 'HARVEST': 372, 'DIG': 45, 'FERTILIZE': 73}",719,v023d_early_portfolio,129848.0,DONE,1,0,0,4476.0,"{'HIRE': 275, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 245, 'SELL': 316, 'SELL_FERTILIZER': 170, 'SELL_WHEAT': 783, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 231, 'SELL_MELON': 129, 'SELL_STRAWBERRY': 281}",0.389708,fixed_replay,125372.0,DONE,0.048,0.074541,0.084917,win,0,90326281,0,high_output_14hands,14,1,0,0,0
"{'PASS': 996, 'PICKUP': 166, 'WEST': 924, 'NORTH': 910, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 921, 'FEED': 314, 'CARE': 322, 'EAST': 674, 'COLLECT_FERTILIZER': 250, 'SOUTH': 602, 'DROP': 102, 'HARVEST': 372, 'DIG': 45, 'FERTILIZE': 73}",719,v023d_early_portfolio,137412.0,DONE,1,0,0,1244.0,"{'HIRE': 275, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 245, 'SELL': 316, 'SELL_FERTILIZER': 170, 'SELL_WHEAT': 783, 'SELL_WOOL': 160, 'BUY_LAND': 2, 'SELL_MILK': 231, 'SELL_MELON': 129, 'SELL_STRAWBERRY': 281}",0.222958,fixed_replay,136168.0,DONE,0.048083,0.078083,0.100541,win,1,90326281,0,high_output_14hands,16,1,0,0,0
