actions,calls,candidate,candidate_money,candidate_status,done,errors,invalid,margin,market,max_ms,opponent,opponent_money,opponent_status,p50_ms,p95_ms,p99_ms,result,seat,source,v023_route_fallbacks,v023_route_selected,v023_sell_clipped,v023_terminal_liquidations,v023_weed_catchup_actions,v023_weed_repairs,v023_weed_retries
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,181588.0,DONE,1,0,0,170693.0,"{'HIRE': 306, 'BUY_ANIMAL': 14, 'BUY_SEED': 54, 'SELL': 481, 'SELL_WHEAT': 1108, 'BUY_PRODUCT': 279, 'SELL_FERTILIZER': 445, 'SELL_CARROT': 13, 'SELL_MELON': 224, 'SELL_WOOL': 373, 'BUY_LAND': 2, 'SELL_MILK': 682, 'SELL_STRAWBERRY': 636, 'SELL_TOMATO': 4, 'SELL_EGG': 8}",0.245375,fixed_replay,10895.0,DONE,0.008916,0.060625,0.177542,win,0,90308565,,,,,,,
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,137312.0,DONE,1,0,0,-5770.0,"{'HIRE': 306, 'BUY_ANIMAL': 14, 'BUY_SEED': 54, 'SELL': 471, 'SELL_WHEAT': 1108, 'BUY_PRODUCT': 279, 'SELL_FERTILIZER': 445, 'SELL_CARROT': 13, 'SELL_MELON': 224, 'SELL_WOOL': 367, 'BUY_LAND': 2, 'SELL_MILK': 662, 'SELL_STRAWBERRY': 620, 'SELL_TOMATO': 4, 'SELL_EGG': 8}",0.273917,fixed_replay,143082.0,DONE,0.009,0.048875,0.079375,loss,1,90308565,,,,,,,
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,118450.0,DONE,1,0,0,3802.0,"{'HIRE': 306, 'BUY_ANIMAL': 14, 'BUY_SEED': 54, 'SELL': 458, 'SELL_WHEAT': 1108, 'BUY_PRODUCT': 279, 'SELL_FERTILIZER': 444, 'SELL_CARROT': 13, 'SELL_MELON': 224, 'SELL_WOOL': 354, 'BUY_LAND': 2, 'SELL_MILK': 644, 'SELL_STRAWBERRY': 595, 'SELL_TOMATO': 4, 'SELL_EGG': 8}",0.253,fixed_replay,114648.0,DONE,0.008625,0.052208,0.082375,win,0,90318860,,,,,,,
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,106440.0,DONE,1,0,0,-5710.0,"{'HIRE': 306, 'BUY_ANIMAL': 14, 'BUY_SEED': 54, 'SELL': 481, 'SELL_WHEAT': 1108, 'BUY_PRODUCT': 279, 'SELL_FERTILIZER': 445, 'SELL_CARROT': 13, 'SELL_MELON': 224, 'SELL_WOOL': 373, 'BUY_LAND': 2, 'SELL_MILK': 682, 'SELL_STRAWBERRY': 636, 'SELL_TOMATO': 4, 'SELL_EGG': 8}",0.183791,fixed_replay,112150.0,DONE,0.008958,0.052959,0.07575,loss,1,90318860,,,,,,,
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,101414.0,DONE,1,0,0,-5361.0,"{'HIRE': 306, 'BUY_ANIMAL': 14, 'BUY_SEED': 54, 'SELL': 481, 'SELL_WHEAT': 1108, 'BUY_PRODUCT': 279, 'SELL_FERTILIZER': 445, 'SELL_CARROT': 13, 'SELL_MELON': 224, 'SELL_WOOL': 373, 'BUY_LAND': 2, 'SELL_MILK': 682, 'SELL_STRAWBERRY': 636, 'SELL_TOMATO': 4, 'SELL_EGG': 8}",0.429458,fixed_replay,106775.0,DONE,0.008959,0.0495,0.06825,loss,0,90319683,,,,,,,
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,143969.0,DONE,1,0,0,18231.0,"{'HIRE': 306, 'BUY_ANIMAL': 14, 'BUY_SEED': 54, 'SELL': 471, 'SELL_WHEAT': 1108, 'BUY_PRODUCT': 279, 'SELL_FERTILIZER': 445, 'SELL_CARROT': 13, 'SELL_MELON': 224, 'SELL_WOOL': 367, 'BUY_LAND': 2, 'SELL_MILK': 662, 'SELL_STRAWBERRY': 620, 'SELL_TOMATO': 4, 'SELL_EGG': 8}",0.30625,fixed_replay,125738.0,DONE,0.009041,0.048625,0.077625,win,1,90319683,,,,,,,
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,126521.0,DONE,1,0,0,1699.0,"{'HIRE': 306, 'BUY_ANIMAL': 14, 'BUY_SEED': 54, 'SELL': 481, 'SELL_WHEAT': 1108, 'BUY_PRODUCT': 279, 'SELL_FERTILIZER': 445, 'SELL_CARROT': 13, 'SELL_MELON': 224, 'SELL_WOOL': 373, 'BUY_LAND': 2, 'SELL_MILK': 682, 'SELL_STRAWBERRY': 636, 'SELL_TOMATO': 4, 'SELL_EGG': 8}",0.225375,fixed_replay,124822.0,DONE,0.008542,0.05,0.073208,win,0,90323243,,,,,,,
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,147002.0,DONE,1,0,0,9802.0,"{'HIRE': 306, 'BUY_ANIMAL': 14, 'BUY_SEED': 54, 'SELL': 481, 'SELL_WHEAT': 1108, 'BUY_PRODUCT': 279, 'SELL_FERTILIZER': 445, 'SELL_CARROT': 13, 'SELL_MELON': 224, 'SELL_WOOL': 373, 'BUY_LAND': 2, 'SELL_MILK': 682, 'SELL_STRAWBERRY': 636, 'SELL_TOMATO': 4, 'SELL_EGG': 8}",0.189958,fixed_replay,137200.0,DONE,0.009209,0.056916,0.079417,win,1,90323243,,,,,,,
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,108658.0,DONE,1,0,0,-4112.0,"{'HIRE': 306, 'BUY_ANIMAL': 14, 'BUY_SEED': 54, 'SELL': 481, 'SELL_WHEAT': 1108, 'BUY_PRODUCT': 279, 'SELL_FERTILIZER': 445, 'SELL_CARROT': 13, 'SELL_MELON': 224, 'SELL_WOOL': 373, 'BUY_LAND': 2, 'SELL_MILK': 682, 'SELL_STRAWBERRY': 636, 'SELL_TOMATO': 4, 'SELL_EGG': 8}",0.224333,fixed_replay,112770.0,DONE,0.009083,0.051917,0.075292,loss,0,90326281,,,,,,,
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,138200.0,DONE,1,0,0,-6031.0,"{'HIRE': 306, 'BUY_ANIMAL': 14, 'BUY_SEED': 54, 'SELL': 481, 'SELL_WHEAT': 1108, 'BUY_PRODUCT': 279, 'SELL_FERTILIZER': 445, 'SELL_CARROT': 13, 'SELL_MELON': 224, 'SELL_WOOL': 373, 'BUY_LAND': 2, 'SELL_MILK': 682, 'SELL_STRAWBERRY': 636, 'SELL_TOMATO': 4, 'SELL_EGG': 8}",0.284875,fixed_replay,144231.0,DONE,0.009041,0.046291,0.072625,loss,1,90326281,,,,,,,
