actions,agent_errors,calls,candidate,candidate_money,candidate_status,done,margin,market,max_ms,opponent,opponent_money,opponent_status,p50_ms,p95_ms,p99_ms,result,seat,seed,source,v024_errors,v024_order_memory_hits,v024_order_memory_reorders,v024_sell_clipped,v024_strict_r3_hits,v024_strict_r3_repayments,v024_strict_r3_units,v024_terminal_liquidations,v024_weed_abandoned,v024_weed_catchup_actions,v024_weed_repairs,v024_weed_retries
"{'BUILD_PASTURE': 14, 'NORTH': 1022, 'WEST': 883, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 135, 'WATER': 924, 'EAST': 668, 'SOUTH': 786, 'FEED': 322, 'CARE': 319, 'PASS': 447, 'COLLECT_FERTILIZER': 322, 'DROP': 100, 'HARVEST': 341, 'DIG': 36, 'FERTILIZE': 103}",0,719,v022c_control,131700.0,DONE,1,27057.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.238459,root,104643.0,DONE,0.052583,0.085333,0.203666,win,0,17,local,,,,,,,,,,,,
"{'BUILD_PASTURE': 14, 'NORTH': 1022, 'WEST': 883, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 135, 'WATER': 924, 'EAST': 668, 'SOUTH': 786, 'FEED': 322, 'CARE': 319, 'PASS': 448, 'COLLECT_FERTILIZER': 322, 'DROP': 100, 'HARVEST': 341, 'DIG': 35, 'FERTILIZE': 103}",0,719,v022c_control,129705.0,DONE,1,30309.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.112875,root,99396.0,DONE,0.050791,0.066958,0.09025,win,1,17,local,,,,,,,,,,,,
"{'BUILD_PASTURE': 14, 'NORTH': 1022, 'WEST': 883, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 134, 'WATER': 924, 'EAST': 668, 'SOUTH': 786, 'FEED': 322, 'CARE': 319, 'PASS': 448, 'COLLECT_FERTILIZER': 322, 'DROP': 100, 'HARVEST': 341, 'DIG': 36, 'FERTILIZE': 103}",0,719,v022c_control,63918.0,DONE,1,-35364.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",47.316708,root,99282.0,DONE,0.0525,0.091958,0.205917,loss,0,42,local,,,,,,,,,,,,
"{'BUILD_PASTURE': 14, 'NORTH': 1022, 'WEST': 883, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 134, 'WATER': 924, 'EAST': 668, 'SOUTH': 786, 'FEED': 322, 'CARE': 319, 'PASS': 448, 'COLLECT_FERTILIZER': 322, 'DROP': 100, 'HARVEST': 341, 'DIG': 36, 'FERTILIZE': 103}",0,719,v022c_control,64109.0,DONE,1,-32167.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.234292,root,96276.0,DONE,0.050959,0.067583,0.087958,loss,1,42,local,,,,,,,,,,,,
"{'BUILD_PASTURE': 14, 'NORTH': 1022, 'WEST': 883, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 134, 'WATER': 924, 'EAST': 668, 'SOUTH': 786, 'FEED': 322, 'CARE': 319, 'PASS': 447, 'COLLECT_FERTILIZER': 322, 'DROP': 100, 'HARVEST': 341, 'DIG': 37, 'FERTILIZE': 103}",0,719,v022c_control,61994.0,DONE,1,-27315.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.249916,root,89309.0,DONE,0.05275,0.093375,0.223584,loss,0,2026,local,,,,,,,,,,,,
"{'BUILD_PASTURE': 14, 'NORTH': 1022, 'WEST': 883, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 134, 'WATER': 924, 'EAST': 668, 'SOUTH': 786, 'FEED': 322, 'CARE': 319, 'PASS': 448, 'COLLECT_FERTILIZER': 322, 'DROP': 100, 'HARVEST': 341, 'DIG': 36, 'FERTILIZE': 103}",0,719,v022c_control,61994.0,DONE,1,-27315.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.250167,root,89309.0,DONE,0.050459,0.068625,0.089416,loss,1,2026,local,,,,,,,,,,,,
"{'BUILD_PASTURE': 14, 'NORTH': 1022, 'WEST': 882, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 135, 'WATER': 924, 'EAST': 668, 'SOUTH': 786, 'FEED': 322, 'CARE': 319, 'PASS': 448, 'COLLECT_FERTILIZER': 322, 'DROP': 100, 'HARVEST': 341, 'DIG': 36, 'FERTILIZE': 103}",0,719,v022c_control,144867.0,DONE,1,38360.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.291625,root,106507.0,DONE,0.052959,0.084917,0.211042,win,0,217,local,,,,,,,,,,,,
"{'BUILD_PASTURE': 14, 'NORTH': 1022, 'WEST': 883, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 135, 'WATER': 923, 'EAST': 668, 'SOUTH': 786, 'FEED': 322, 'CARE': 319, 'PASS': 447, 'COLLECT_FERTILIZER': 322, 'DROP': 100, 'HARVEST': 341, 'DIG': 37, 'FERTILIZE': 103}",0,719,v022c_control,141800.0,DONE,1,38014.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.339542,root,103786.0,DONE,0.050583,0.067417,0.095833,win,1,217,local,,,,,,,,,,,,
"{'BUILD_PASTURE': 14, 'NORTH': 1022, 'WEST': 883, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 135, 'WATER': 924, 'EAST': 668, 'SOUTH': 786, 'FEED': 322, 'CARE': 319, 'PASS': 448, 'COLLECT_FERTILIZER': 321, 'DROP': 100, 'HARVEST': 341, 'DIG': 36, 'FERTILIZE': 103}",0,719,v022c_control,154630.0,DONE,1,45671.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.268,root,108959.0,DONE,0.052458,0.083958,0.209875,win,0,317,local,,,,,,,,,,,,
"{'BUILD_PASTURE': 14, 'NORTH': 1022, 'WEST': 883, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 135, 'WATER': 924, 'EAST': 668, 'SOUTH': 786, 'FEED': 322, 'CARE': 319, 'PASS': 448, 'COLLECT_FERTILIZER': 322, 'DROP': 100, 'HARVEST': 341, 'DIG': 35, 'FERTILIZE': 103}",0,719,v022c_control,154630.0,DONE,1,45671.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",58.679625,root,108959.0,DONE,0.054083,0.07175,0.101,win,1,317,local,,,,,,,,,,,,
