actions,agent_errors,calls,candidate,candidate_money,candidate_status,done,margin,market,max_ms,opponent,opponent_money,opponent_status,p50_ms,p95_ms,p99_ms,result,seat,seed,source,v024_errors,v024_order_memory_hits,v024_order_memory_reorders,v024_sell_clipped,v024_strict_r3_hits,v024_strict_r3_repayments,v024_strict_r3_units,v024_terminal_liquidations,v024_weed_abandoned,v024_weed_catchup_actions,v024_weed_repairs,v024_weed_retries
"{'BUILD_PASTURE': 12, 'NORTH': 884, 'WEST': 756, 'PICKUP': 232, 'PLACE': 12, 'PLANT': 125, 'WATER': 813, 'EAST': 579, 'SOUTH': 671, 'FEED': 300, 'CARE': 264, 'PASS': 366, 'COLLECT_FERTILIZER': 283, 'DIG': 36, 'DROP': 88, 'HARVEST': 308, 'FERTILIZE': 86}",0,719,v022c_control,6532.0,DONE,1,-2514.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",21.474625,v022c,9046.0,DONE,0.047791,0.070083,0.086958,loss,0,17,local,,,,,,,,,,,,
"{'BUILD_PASTURE': 12, 'NORTH': 969, 'WEST': 826, 'PICKUP': 244, 'PLACE': 12, 'PLANT': 133, 'WATER': 896, 'EAST': 641, 'SOUTH': 745, 'FEED': 307, 'CARE': 294, 'PASS': 415, 'COLLECT_FERTILIZER': 303, 'DROP': 94, 'HARVEST': 326, 'DIG': 33, 'FERTILIZE': 98}",0,719,v022c_control,9046.0,DONE,1,2514.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.279125,v022c,6532.0,DONE,0.044625,0.076542,0.145083,win,1,17,local,,,,,,,,,,,,
"{'BUILD_PASTURE': 14, 'NORTH': 1018, 'WEST': 878, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 134, 'WATER': 920, 'EAST': 665, 'SOUTH': 783, 'FEED': 322, 'CARE': 317, 'PASS': 442, 'COLLECT_FERTILIZER': 320, 'DROP': 100, 'HARVEST': 341, 'DIG': 36, 'FERTILIZE': 103}",0,719,v022c_control,61106.0,DONE,1,0.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",40.414333,v022c,61106.0,DONE,0.052917,0.09875,0.213167,tie,0,42,local,,,,,,,,,,,,
"{'BUILD_PASTURE': 14, 'NORTH': 1018, 'WEST': 878, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 134, 'WATER': 920, 'EAST': 665, 'SOUTH': 783, 'FEED': 322, 'CARE': 317, 'PASS': 442, 'COLLECT_FERTILIZER': 320, 'DROP': 100, 'HARVEST': 341, 'DIG': 36, 'FERTILIZE': 103}",0,719,v022c_control,61106.0,DONE,1,0.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.658125,v022c,61106.0,DONE,0.045833,0.063208,0.083666,tie,1,42,local,,,,,,,,,,,,
"{'BUILD_PASTURE': 14, 'NORTH': 1018, 'WEST': 878, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 134, 'WATER': 920, 'EAST': 665, 'SOUTH': 783, 'FEED': 322, 'CARE': 317, 'PASS': 441, 'COLLECT_FERTILIZER': 320, 'DROP': 100, 'HARVEST': 341, 'DIG': 37, 'FERTILIZE': 103}",0,719,v022c_control,54446.0,DONE,1,0.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",3.889667,v022c,54446.0,DONE,0.052667,0.102709,0.222042,tie,0,2026,local,,,,,,,,,,,,
"{'BUILD_PASTURE': 14, 'NORTH': 1018, 'WEST': 878, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 134, 'WATER': 920, 'EAST': 665, 'SOUTH': 783, 'FEED': 322, 'CARE': 317, 'PASS': 442, 'COLLECT_FERTILIZER': 320, 'DROP': 100, 'HARVEST': 341, 'DIG': 36, 'FERTILIZE': 103}",0,719,v022c_control,54446.0,DONE,1,0.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.297,v022c,54446.0,DONE,0.046208,0.064625,0.131958,tie,1,2026,local,,,,,,,,,,,,
"{'BUILD_PASTURE': 14, 'NORTH': 1018, 'WEST': 878, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 134, 'WATER': 920, 'EAST': 664, 'SOUTH': 783, 'FEED': 322, 'CARE': 317, 'PASS': 442, 'COLLECT_FERTILIZER': 320, 'DROP': 100, 'HARVEST': 341, 'DIG': 37, 'FERTILIZE': 103}",0,719,v022c_control,54827.0,DONE,1,0.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",33.0035,v022c,54827.0,DONE,0.053833,0.097167,0.216375,tie,0,217,local,,,,,,,,,,,,
"{'BUILD_PASTURE': 14, 'NORTH': 1018, 'WEST': 878, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 134, 'WATER': 920, 'EAST': 665, 'SOUTH': 783, 'FEED': 322, 'CARE': 317, 'PASS': 442, 'COLLECT_FERTILIZER': 320, 'DROP': 100, 'HARVEST': 341, 'DIG': 36, 'FERTILIZE': 103}",0,719,v022c_control,54827.0,DONE,1,0.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.3405,v022c,54827.0,DONE,0.04675,0.063584,0.149709,tie,1,217,local,,,,,,,,,,,,
"{'BUILD_PASTURE': 14, 'NORTH': 1018, 'WEST': 878, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 135, 'WATER': 920, 'EAST': 665, 'SOUTH': 783, 'FEED': 322, 'CARE': 317, 'PASS': 442, 'COLLECT_FERTILIZER': 319, 'DROP': 100, 'HARVEST': 341, 'DIG': 36, 'FERTILIZE': 103}",0,719,v022c_control,143837.0,DONE,1,-29.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",22.882625,v022c,143866.0,DONE,0.051959,0.086875,0.207125,loss,0,317,local,,,,,,,,,,,,
"{'BUILD_PASTURE': 14, 'NORTH': 1018, 'WEST': 878, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 135, 'WATER': 920, 'EAST': 665, 'SOUTH': 783, 'FEED': 322, 'CARE': 317, 'PASS': 442, 'COLLECT_FERTILIZER': 320, 'DROP': 100, 'HARVEST': 341, 'DIG': 35, 'FERTILIZE': 103}",0,719,v022c_control,143866.0,DONE,1,29.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.249792,v022c,143837.0,DONE,0.046541,0.064375,0.123,win,1,317,local,,,,,,,,,,,,
