actions,agent_errors,calls,candidate,candidate_money,candidate_status,done,margin,market,max_ms,opponent,opponent_money,opponent_status,p50_ms,p95_ms,p99_ms,result,seat,seed,source
"{'BUILD_PASTURE': 14, 'NORTH': 1018, 'WEST': 878, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 134, 'WATER': 920, 'EAST': 665, 'SOUTH': 782, 'FEED': 322, 'CARE': 317, 'PASS': 442, 'COLLECT_FERTILIZER': 320, 'DROP': 100, 'HARVEST': 341, 'DIG': 37, 'FERTILIZE': 103}",0,719,v022c_control,44345.0,DONE,1,-88498.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.305583,fixed_replay,132843.0,DONE,0.053208,0.087042,0.217083,loss,0,873102636,90336350.json
"{'BUILD_PASTURE': 14, 'NORTH': 1018, 'WEST': 878, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 134, 'WATER': 920, 'EAST': 665, 'SOUTH': 783, 'FEED': 322, 'CARE': 317, 'PASS': 442, 'COLLECT_FERTILIZER': 320, 'DROP': 100, 'HARVEST': 341, 'DIG': 36, 'FERTILIZE': 103}",0,719,v022c_control,44345.0,DONE,1,-88529.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.3035,fixed_replay,132874.0,DONE,0.051208,0.079041,0.1545,loss,1,873102636,90336350.json
"{'BUILD_PASTURE': 12, 'NORTH': 609, 'WEST': 532, 'PICKUP': 164, 'PLACE': 11, 'PLANT': 97, 'WATER': 601, 'EAST': 426, 'SOUTH': 458, 'FEED': 221, 'CARE': 191, 'PASS': 279, 'COLLECT_FERTILIZER': 195, 'DROP': 66, 'HARVEST': 205, 'DIG': 24, 'FERTILIZE': 57}",0,719,v022c_control,4291.0,DONE,1,-185078.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.429584,fixed_replay,189369.0,DONE,0.047542,0.086,0.223042,loss,0,334626759,90337258.json
"{'BUILD_PASTURE': 12, 'NORTH': 861, 'WEST': 733, 'PICKUP': 221, 'PLACE': 11, 'PLANT': 110, 'WATER': 791, 'EAST': 564, 'SOUTH': 667, 'FEED': 287, 'CARE': 256, 'PASS': 378, 'COLLECT_FERTILIZER': 268, 'DROP': 90, 'HARVEST': 311, 'DIG': 37, 'FERTILIZE': 87}",0,719,v022c_control,6562.0,DONE,1,-158045.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",775.515458,fixed_replay,164607.0,DONE,0.04925,0.084833,0.227042,loss,1,334626759,90337258.json
"{'BUILD_PASTURE': 14, 'NORTH': 1018, 'WEST': 878, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 134, 'WATER': 920, 'EAST': 665, 'SOUTH': 783, 'FEED': 322, 'CARE': 317, 'PASS': 442, 'COLLECT_FERTILIZER': 320, 'DROP': 100, 'HARVEST': 341, 'DIG': 36, 'FERTILIZE': 103}",0,719,v022c_control,49836.0,DONE,1,-100388.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.3425,fixed_replay,150224.0,DONE,0.051958,0.085167,0.21425,loss,0,1443152505,90339354.json
"{'BUILD_PASTURE': 14, 'NORTH': 1018, 'WEST': 878, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 134, 'WATER': 920, 'EAST': 665, 'SOUTH': 783, 'FEED': 322, 'CARE': 317, 'PASS': 442, 'COLLECT_FERTILIZER': 320, 'DROP': 100, 'HARVEST': 341, 'DIG': 36, 'FERTILIZE': 103}",0,719,v022c_control,49840.0,DONE,1,-99703.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.2385,fixed_replay,149543.0,DONE,0.051916,0.082209,0.209209,loss,1,1443152505,90339354.json
"{'BUILD_PASTURE': 12, 'NORTH': 960, 'WEST': 813, 'PICKUP': 237, 'PLACE': 10, 'PLANT': 131, 'WATER': 888, 'EAST': 628, 'SOUTH': 737, 'FEED': 302, 'CARE': 291, 'PASS': 416, 'COLLECT_FERTILIZER': 300, 'DROP': 93, 'HARVEST': 320, 'DIG': 35, 'FERTILIZE': 96}",0,719,v022c_control,8699.0,DONE,1,-178013.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.369042,fixed_replay,186712.0,DONE,0.051333,0.091,0.214125,loss,0,1307848446,90340065.json
"{'BUILD_PASTURE': 12, 'NORTH': 960, 'WEST': 813, 'PICKUP': 237, 'PLACE': 10, 'PLANT': 131, 'WATER': 888, 'EAST': 628, 'SOUTH': 737, 'FEED': 302, 'CARE': 291, 'PASS': 416, 'COLLECT_FERTILIZER': 300, 'DROP': 93, 'HARVEST': 320, 'DIG': 35, 'FERTILIZE': 96}",0,719,v022c_control,8692.0,DONE,1,-178133.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.377625,fixed_replay,186825.0,DONE,0.051583,0.089292,0.212709,loss,1,1307848446,90340065.json
"{'BUILD_PASTURE': 14, 'NORTH': 1018, 'WEST': 878, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 135, 'WATER': 920, 'EAST': 665, 'SOUTH': 782, 'FEED': 322, 'CARE': 317, 'PASS': 442, 'COLLECT_FERTILIZER': 320, 'DROP': 100, 'HARVEST': 341, 'DIG': 36, 'FERTILIZE': 103}",0,719,v022c_control,116729.0,DONE,1,-22046.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.3435,fixed_replay,138775.0,DONE,0.051709,0.082542,0.216,loss,0,766088176,90340786.json
"{'BUILD_PASTURE': 14, 'NORTH': 1018, 'WEST': 878, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 135, 'WATER': 920, 'EAST': 665, 'SOUTH': 783, 'FEED': 322, 'CARE': 317, 'PASS': 442, 'COLLECT_FERTILIZER': 319, 'DROP': 100, 'HARVEST': 341, 'DIG': 36, 'FERTILIZE': 103}",0,719,v022c_control,116688.0,DONE,1,-22359.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.312958,fixed_replay,139047.0,DONE,0.051167,0.080542,0.200625,loss,1,766088176,90340786.json
