actions,agent_errors,calls,candidate,candidate_money,candidate_status,diag_errors,diag_market_overlay_active,diag_market_overlay_calls,diag_market_reorders,diag_market_sell_units,diag_mirror_latches,diag_mirror_releases,diag_sell_clipped,diag_terminal_liquidations,done,margin,market,max_ms,opponent,opponent_money,opponent_status,p50_ms,p95_ms,p99_ms,result,seat,seed,source
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025b_route14_v022c_open_market,153025.0,DONE,0,694,718,47,1894,1,1,24,1,1,41690.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 337, 'SELL_FERTILIZER': 222, 'SELL_WHEAT': 813, 'SELL_WOOL': 153, 'BUY_LAND': 2, 'SELL_MILK': 226, 'SELL_MELON': 114, 'SELL_STRAWBERRY': 284}",23.063334,root,111335.0,DONE,0.114334,0.143458,0.169583,win,0,17,local
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025b_route14_v022c_open_market,153025.0,DONE,0,694,718,47,1894,1,1,24,1,1,41690.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 337, 'SELL_FERTILIZER': 222, 'SELL_WHEAT': 813, 'SELL_WOOL': 153, 'BUY_LAND': 2, 'SELL_MILK': 226, 'SELL_MELON': 114, 'SELL_STRAWBERRY': 284}",0.420542,root,111335.0,DONE,0.11225,0.1395,0.1505,win,1,17,local
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025b_route14_v022c_open_market,147724.0,DONE,0,694,718,48,1894,3,3,25,1,1,39934.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 337, 'SELL_FERTILIZER': 222, 'SELL_WHEAT': 813, 'SELL_WOOL': 153, 'BUY_LAND': 2, 'SELL_MILK': 220, 'SELL_MELON': 114, 'SELL_STRAWBERRY': 284}",0.275666,root,107790.0,DONE,0.113958,0.139125,0.259417,win,0,42,local
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025b_route14_v022c_open_market,150597.0,DONE,0,694,718,47,1894,1,1,25,1,1,41355.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 337, 'SELL_FERTILIZER': 222, 'SELL_WHEAT': 813, 'SELL_WOOL': 153, 'BUY_LAND': 2, 'SELL_MILK': 220, 'SELL_MELON': 114, 'SELL_STRAWBERRY': 284}",0.229042,root,109242.0,DONE,0.111417,0.132625,0.141916,win,1,42,local
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025b_route14_v022c_open_market,130550.0,DONE,0,694,718,50,1891,1,1,26,1,1,39170.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 335, 'SELL_FERTILIZER': 225, 'SELL_WHEAT': 808, 'SELL_WOOL': 146, 'BUY_LAND': 2, 'SELL_MILK': 213, 'SELL_MELON': 114, 'SELL_STRAWBERRY': 291}",0.412458,root,91380.0,DONE,0.11325,0.136916,0.165542,win,0,2026,local
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025b_route14_v022c_open_market,127330.0,DONE,0,694,718,49,1885,1,1,25,1,1,36548.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 336, 'SELL_FERTILIZER': 225, 'SELL_WHEAT': 808, 'SELL_WOOL': 150, 'BUY_LAND': 2, 'SELL_MILK': 213, 'SELL_MELON': 108, 'SELL_STRAWBERRY': 291}",0.170125,root,90782.0,DONE,0.110833,0.131083,0.14225,win,1,2026,local
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025b_route14_v022c_open_market,143695.0,DONE,0,694,718,44,1894,1,1,25,1,1,45607.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 337, 'SELL_FERTILIZER': 222, 'SELL_WHEAT': 813, 'SELL_WOOL': 153, 'BUY_LAND': 2, 'SELL_MILK': 220, 'SELL_MELON': 114, 'SELL_STRAWBERRY': 284}",0.270292,root,98088.0,DONE,0.110917,0.140708,0.171167,win,0,217,local
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025b_route14_v022c_open_market,143695.0,DONE,0,694,718,44,1894,1,1,25,1,1,45607.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 337, 'SELL_FERTILIZER': 222, 'SELL_WHEAT': 813, 'SELL_WOOL': 153, 'BUY_LAND': 2, 'SELL_MILK': 220, 'SELL_MELON': 114, 'SELL_STRAWBERRY': 284}",0.3045,root,98088.0,DONE,0.110084,0.130042,0.145125,win,1,217,local
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025b_route14_v022c_open_market,155398.0,DONE,0,694,718,46,1895,1,1,25,1,1,43496.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 338, 'SELL_FERTILIZER': 223, 'SELL_WHEAT': 811, 'SELL_WOOL': 155, 'BUY_LAND': 2, 'SELL_MILK': 223, 'SELL_MELON': 114, 'SELL_STRAWBERRY': 284}",0.33625,root,111902.0,DONE,0.112625,0.141542,0.183917,win,0,317,local
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025b_route14_v022c_open_market,155398.0,DONE,0,694,718,46,1895,1,1,25,1,1,43496.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 338, 'SELL_FERTILIZER': 223, 'SELL_WHEAT': 811, 'SELL_WOOL': 155, 'BUY_LAND': 2, 'SELL_MILK': 223, 'SELL_MELON': 114, 'SELL_STRAWBERRY': 284}",0.24025,root,111902.0,DONE,0.111167,0.132792,0.166167,win,1,317,local
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025b_route14_v022c_open_market,151620.0,DONE,0,694,718,47,1891,1,1,26,1,1,48751.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 335, 'SELL_FERTILIZER': 225, 'SELL_WHEAT': 808, 'SELL_WOOL': 146, 'BUY_LAND': 2, 'SELL_MILK': 216, 'SELL_MELON': 114, 'SELL_STRAWBERRY': 291}",0.410625,root,102869.0,DONE,0.113667,0.136625,0.151917,win,0,733,local
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025b_route14_v022c_open_market,147008.0,DONE,0,694,718,47,1891,1,1,26,1,1,45490.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 335, 'SELL_FERTILIZER': 225, 'SELL_WHEAT': 808, 'SELL_WOOL': 146, 'BUY_LAND': 2, 'SELL_MILK': 216, 'SELL_MELON': 114, 'SELL_STRAWBERRY': 291}",0.193792,root,101518.0,DONE,0.11125,0.132209,0.146584,win,1,733,local
