actions,agent_errors,calls,candidate,candidate_money,candidate_status,diag_errors,diag_market_overlay_active,diag_market_overlay_calls,diag_market_reorders,diag_market_sell_units,diag_mirror_latches,diag_mirror_releases,diag_sell_clipped,diag_terminal_liquidations,done,margin,market,max_ms,opponent,opponent_money,opponent_status,p50_ms,p95_ms,p99_ms,result,seat,seed,source
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025a_route14_v022c_market,101669.0,DONE,0,7,718,0,7,2,2,29,1,1,-5965.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 340, 'SELL_FERTILIZER': 222, 'SELL_WHEAT': 813, 'SELL_WOOL': 153, 'BUY_LAND': 2, 'SELL_MILK': 220, 'SELL_MELON': 114, 'SELL_STRAWBERRY': 284}",0.252583,v022c,107634.0,DONE,0.078708,0.101584,0.149333,loss,0,17,local
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025a_route14_v022c_market,101669.0,DONE,0,7,718,0,7,2,2,29,1,1,-5965.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 340, 'SELL_FERTILIZER': 222, 'SELL_WHEAT': 813, 'SELL_WOOL': 153, 'BUY_LAND': 2, 'SELL_MILK': 220, 'SELL_MELON': 114, 'SELL_STRAWBERRY': 284}",0.166417,v022c,107634.0,DONE,0.075458,0.091208,0.108417,loss,1,17,local
"{'PASS': 809, 'PICKUP': 166, 'WEST': 975, 'NORTH': 901, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 920, 'FEED': 314, 'CARE': 322, 'EAST': 737, 'COLLECT_FERTILIZER': 314, 'SOUTH': 636, 'DROP': 104, 'HARVEST': 370, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025a_route14_v022c_market,71417.0,DONE,0,7,718,0,7,2,2,59,1,1,-24033.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 317, 'SELL_FERTILIZER': 208, 'SELL_WHEAT': 804, 'SELL_WOOL': 158, 'BUY_LAND': 2, 'SELL_MILK': 151, 'SELL_MELON': 72, 'SELL_STRAWBERRY': 242}",0.241375,v022c,95450.0,DONE,0.079667,0.103458,0.209417,loss,0,42,local
"{'PASS': 809, 'PICKUP': 166, 'WEST': 975, 'NORTH': 901, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 920, 'FEED': 314, 'CARE': 322, 'EAST': 737, 'COLLECT_FERTILIZER': 314, 'SOUTH': 636, 'DROP': 104, 'HARVEST': 370, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025a_route14_v022c_market,69465.0,DONE,0,7,718,0,7,2,2,59,1,1,-32903.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 317, 'SELL_FERTILIZER': 208, 'SELL_WHEAT': 804, 'SELL_WOOL': 158, 'BUY_LAND': 2, 'SELL_MILK': 151, 'SELL_MELON': 72, 'SELL_STRAWBERRY': 242}",0.274667,v022c,102368.0,DONE,0.076042,0.089875,0.1095,loss,1,42,local
"{'PASS': 807, 'PICKUP': 165, 'WEST': 972, 'NORTH': 897, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 916, 'FEED': 314, 'CARE': 322, 'EAST': 735, 'COLLECT_FERTILIZER': 313, 'SOUTH': 633, 'DROP': 103, 'HARVEST': 368, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025a_route14_v022c_market,97146.0,DONE,0,7,718,0,7,2,2,58,1,1,-25292.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 318, 'SELL_FERTILIZER': 206, 'SELL_WHEAT': 800, 'SELL_WOOL': 156, 'BUY_LAND': 2, 'SELL_MILK': 153, 'SELL_MELON': 82, 'SELL_STRAWBERRY': 242}",0.230916,v022c,122438.0,DONE,0.080167,0.100541,0.114833,loss,0,2026,local
"{'PASS': 807, 'PICKUP': 165, 'WEST': 972, 'NORTH': 897, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 916, 'FEED': 314, 'CARE': 322, 'EAST': 735, 'COLLECT_FERTILIZER': 313, 'SOUTH': 633, 'DROP': 103, 'HARVEST': 368, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025a_route14_v022c_market,92835.0,DONE,0,7,718,0,7,2,2,58,1,1,-25472.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 317, 'SELL_FERTILIZER': 206, 'SELL_WHEAT': 797, 'SELL_WOOL': 153, 'BUY_LAND': 2, 'SELL_MILK': 153, 'SELL_MELON': 76, 'SELL_STRAWBERRY': 242}",0.169792,v022c,118307.0,DONE,0.076458,0.093166,0.10875,loss,1,2026,local
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025a_route14_v022c_market,148257.0,DONE,0,7,718,0,7,2,2,29,1,1,-1177.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 341, 'SELL_FERTILIZER': 223, 'SELL_WHEAT': 811, 'SELL_WOOL': 155, 'BUY_LAND': 2, 'SELL_MILK': 223, 'SELL_MELON': 114, 'SELL_STRAWBERRY': 284}",25.499542,v022c,149434.0,DONE,0.079292,0.103542,0.1855,loss,0,217,local
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025a_route14_v022c_market,146664.0,DONE,0,7,718,0,7,2,2,29,1,1,-1257.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 341, 'SELL_FERTILIZER': 223, 'SELL_WHEAT': 811, 'SELL_WOOL': 155, 'BUY_LAND': 2, 'SELL_MILK': 223, 'SELL_MELON': 114, 'SELL_STRAWBERRY': 284}",0.241708,v022c,147921.0,DONE,0.075792,0.088875,0.096208,loss,1,217,local
"{'PASS': 809, 'PICKUP': 166, 'WEST': 975, 'NORTH': 901, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 920, 'FEED': 314, 'CARE': 322, 'EAST': 737, 'COLLECT_FERTILIZER': 314, 'SOUTH': 636, 'DROP': 104, 'HARVEST': 370, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025a_route14_v022c_market,85465.0,DONE,0,7,718,0,7,2,2,59,1,1,-28753.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 317, 'SELL_FERTILIZER': 208, 'SELL_WHEAT': 804, 'SELL_WOOL': 158, 'BUY_LAND': 2, 'SELL_MILK': 151, 'SELL_MELON': 72, 'SELL_STRAWBERRY': 242}",0.257334,v022c,114218.0,DONE,0.08025,0.102667,0.163167,loss,0,317,local
"{'PASS': 809, 'PICKUP': 166, 'WEST': 975, 'NORTH': 901, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 920, 'FEED': 314, 'CARE': 322, 'EAST': 737, 'COLLECT_FERTILIZER': 314, 'SOUTH': 636, 'DROP': 104, 'HARVEST': 370, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025a_route14_v022c_market,85467.0,DONE,0,7,718,0,7,2,2,59,1,1,-28888.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 317, 'SELL_FERTILIZER': 208, 'SELL_WHEAT': 804, 'SELL_WOOL': 158, 'BUY_LAND': 2, 'SELL_MILK': 151, 'SELL_MELON': 72, 'SELL_STRAWBERRY': 242}",0.331042,v022c,114355.0,DONE,0.076667,0.090875,0.132542,loss,1,317,local
