action_diff_calls,action_diff_farmer,action_diff_hands,action_diff_market,calls,candidate,candidate_money,candidate_status,changed_calls,decision_points,diagnostics,done,errors,evaluations,invalid,margin,market_counts,max_ms,opponent,opponent_money,opponent_status,p50_ms,p95_ms,p99_ms,predicted_delta,result,seat,seed
0,0,0,0,719,v22,126289.0,DONE,0,0,{},1,0,0,0,0.0,"{'SELL_FERTILIZER': 233, 'SELL_WHEAT': 828, 'SELL_WOOL': 164, 'SELL_MILK': 237, 'SELL_MELON': 144, 'SELL_STRAWBERRY': 313}",61.915,v22,126289.0,DONE,0.1073,0.1983,0.3371,0.0,tie,0,17
0,0,0,0,719,v22,126289.0,DONE,0,0,{},1,0,0,0,0.0,"{'SELL_FERTILIZER': 233, 'SELL_WHEAT': 828, 'SELL_WOOL': 164, 'SELL_MILK': 237, 'SELL_MELON': 144, 'SELL_STRAWBERRY': 313}",84.001,v22,126289.0,DONE,0.092,0.1755,0.2054,0.0,tie,1,17
0,0,0,0,719,v22,129589.0,DONE,0,0,{},1,0,0,0,0.0,"{'SELL_FERTILIZER': 233, 'SELL_WHEAT': 828, 'SELL_WOOL': 164, 'SELL_MILK': 237, 'SELL_MELON': 144, 'SELL_STRAWBERRY': 313}",0.6823,v22,129589.0,DONE,0.1111,0.192,0.3672,0.0,tie,0,42
0,0,0,0,719,v22,129589.0,DONE,0,0,{},1,0,0,0,0.0,"{'SELL_FERTILIZER': 233, 'SELL_WHEAT': 828, 'SELL_WOOL': 164, 'SELL_MILK': 237, 'SELL_MELON': 144, 'SELL_STRAWBERRY': 313}",80.4059,v22,129589.0,DONE,0.0916,0.1664,0.2469,0.0,tie,1,42
0,0,0,0,719,v22,103843.0,DONE,0,0,{},1,0,0,0,-36.0,"{'SELL_FERTILIZER': 233, 'SELL_WHEAT': 828, 'SELL_WOOL': 164, 'SELL_MILK': 237, 'SELL_MELON': 144, 'SELL_STRAWBERRY': 313}",90.3798,v22,103879.0,DONE,0.1063,0.1972,0.3867,0.0,loss,0,2026
0,0,0,0,719,v22,103879.0,DONE,0,0,{},1,0,0,0,36.0,"{'SELL_FERTILIZER': 233, 'SELL_WHEAT': 828, 'SELL_WOOL': 164, 'SELL_MILK': 237, 'SELL_MELON': 144, 'SELL_STRAWBERRY': 313}",0.5785,v22,103843.0,DONE,0.0882,0.1705,0.2114,0.0,win,1,2026
0,0,0,0,719,v028a,126289.0,DONE,0,29,"{'calls': 719, 'errors': 0, 'evaluations': 89, 'decision_points': 29, 'changed_calls': 0, 'unchanged_calls': 719, 'action_diff_calls': 0, 'action_diff_farmer': 0, 'action_diff_hands': 0, 'action_diff_market': 0, 'predicted_base_revenue': 42028.0, 'predicted_selected_revenue': 42028.0, 'predicted_delta': 0.0, 'permutation_histogram': {}, 'decision_events': []}",1,0,89,0,0.0,"{'SELL_FERTILIZER': 233, 'SELL_WHEAT': 828, 'SELL_WOOL': 164, 'SELL_MILK': 237, 'SELL_MELON': 144, 'SELL_STRAWBERRY': 313}",5.4146,v22,126289.0,DONE,0.2192,0.4697,0.6937,0.0,tie,0,17
0,0,0,0,719,v028a,126289.0,DONE,0,29,"{'calls': 719, 'errors': 0, 'evaluations': 89, 'decision_points': 29, 'changed_calls': 0, 'unchanged_calls': 719, 'action_diff_calls': 0, 'action_diff_farmer': 0, 'action_diff_hands': 0, 'action_diff_market': 0, 'predicted_base_revenue': 42028.0, 'predicted_selected_revenue': 42028.0, 'predicted_delta': 0.0, 'permutation_histogram': {}, 'decision_events': []}",1,0,89,0,0.0,"{'SELL_FERTILIZER': 233, 'SELL_WHEAT': 828, 'SELL_WOOL': 164, 'SELL_MILK': 237, 'SELL_MELON': 144, 'SELL_STRAWBERRY': 313}",162.4512,v22,126289.0,DONE,0.1974,0.4057,0.6817,0.0,tie,1,17
0,0,0,0,719,v028a,129589.0,DONE,0,29,"{'calls': 719, 'errors': 0, 'evaluations': 89, 'decision_points': 29, 'changed_calls': 0, 'unchanged_calls': 719, 'action_diff_calls': 0, 'action_diff_farmer': 0, 'action_diff_hands': 0, 'action_diff_market': 0, 'predicted_base_revenue': 42391.0, 'predicted_selected_revenue': 42391.0, 'predicted_delta': 0.0, 'permutation_histogram': {}, 'decision_events': []}",1,0,89,0,0.0,"{'SELL_FERTILIZER': 233, 'SELL_WHEAT': 828, 'SELL_WOOL': 164, 'SELL_MILK': 237, 'SELL_MELON': 144, 'SELL_STRAWBERRY': 313}",5.1695,v22,129589.0,DONE,0.2154,0.4105,0.8687,0.0,tie,0,42
0,0,0,0,719,v028a,129589.0,DONE,0,29,"{'calls': 719, 'errors': 0, 'evaluations': 89, 'decision_points': 29, 'changed_calls': 0, 'unchanged_calls': 719, 'action_diff_calls': 0, 'action_diff_farmer': 0, 'action_diff_hands': 0, 'action_diff_market': 0, 'predicted_base_revenue': 42391.0, 'predicted_selected_revenue': 42391.0, 'predicted_delta': 0.0, 'permutation_histogram': {}, 'decision_events': []}",1,0,89,0,0.0,"{'SELL_FERTILIZER': 233, 'SELL_WHEAT': 828, 'SELL_WOOL': 164, 'SELL_MILK': 237, 'SELL_MELON': 144, 'SELL_STRAWBERRY': 313}",6.0863,v22,129589.0,DONE,0.2078,0.4177,0.7228,0.0,tie,1,42
0,0,0,0,719,v028a,103843.0,DONE,0,29,"{'calls': 719, 'errors': 0, 'evaluations': 89, 'decision_points': 29, 'changed_calls': 0, 'unchanged_calls': 719, 'action_diff_calls': 0, 'action_diff_farmer': 0, 'action_diff_hands': 0, 'action_diff_market': 0, 'predicted_base_revenue': 36432.0, 'predicted_selected_revenue': 36432.0, 'predicted_delta': 0.0, 'permutation_histogram': {}, 'decision_events': []}",1,0,89,0,-36.0,"{'SELL_FERTILIZER': 233, 'SELL_WHEAT': 828, 'SELL_WOOL': 164, 'SELL_MILK': 237, 'SELL_MELON': 144, 'SELL_STRAWBERRY': 313}",5.6273,v22,103879.0,DONE,0.2333,0.4693,0.9425,0.0,loss,0,2026
0,0,0,0,719,v028a,103879.0,DONE,0,29,"{'calls': 719, 'errors': 0, 'evaluations': 89, 'decision_points': 29, 'changed_calls': 0, 'unchanged_calls': 719, 'action_diff_calls': 0, 'action_diff_farmer': 0, 'action_diff_hands': 0, 'action_diff_market': 0, 'predicted_base_revenue': 36432.0, 'predicted_selected_revenue': 36432.0, 'predicted_delta': 0.0, 'permutation_histogram': {}, 'decision_events': []}",1,0,89,0,36.0,"{'SELL_FERTILIZER': 233, 'SELL_WHEAT': 828, 'SELL_WOOL': 164, 'SELL_MILK': 237, 'SELL_MELON': 144, 'SELL_STRAWBERRY': 313}",6.6456,v22,103843.0,DONE,0.2152,0.4053,0.7611,0.0,win,1,2026
0,0,0,0,719,v028b,126289.0,DONE,0,29,"{'calls': 719, 'errors': 0, 'evaluations': 89, 'decision_points': 29, 'changed_calls': 0, 'unchanged_calls': 719, 'action_diff_calls': 0, 'action_diff_farmer': 0, 'action_diff_hands': 0, 'action_diff_market': 0, 'predicted_base_revenue': 42028.0, 'predicted_selected_revenue': 42028.0, 'predicted_delta': 0.0, 'permutation_histogram': {}, 'decision_events': []}",1,0,89,0,0.0,"{'SELL_FERTILIZER': 233, 'SELL_WHEAT': 828, 'SELL_WOOL': 164, 'SELL_MILK': 237, 'SELL_MELON': 144, 'SELL_STRAWBERRY': 313}",4.4911,v22,126289.0,DONE,0.2215,0.4215,0.9,0.0,tie,0,17
0,0,0,0,719,v028b,126289.0,DONE,0,29,"{'calls': 719, 'errors': 0, 'evaluations': 89, 'decision_points': 29, 'changed_calls': 0, 'unchanged_calls': 719, 'action_diff_calls': 0, 'action_diff_farmer': 0, 'action_diff_hands': 0, 'action_diff_market': 0, 'predicted_base_revenue': 42028.0, 'predicted_selected_revenue': 42028.0, 'predicted_delta': 0.0, 'permutation_histogram': {}, 'decision_events': []}",1,0,89,0,0.0,"{'SELL_FERTILIZER': 233, 'SELL_WHEAT': 828, 'SELL_WOOL': 164, 'SELL_MILK': 237, 'SELL_MELON': 144, 'SELL_STRAWBERRY': 313}",5.9518,v22,126289.0,DONE,0.2075,0.3939,0.9291,0.0,tie,1,17
0,0,0,0,719,v028b,129589.0,DONE,0,29,"{'calls': 719, 'errors': 0, 'evaluations': 89, 'decision_points': 29, 'changed_calls': 0, 'unchanged_calls': 719, 'action_diff_calls': 0, 'action_diff_farmer': 0, 'action_diff_hands': 0, 'action_diff_market': 0, 'predicted_base_revenue': 42391.0, 'predicted_selected_revenue': 42391.0, 'predicted_delta': 0.0, 'permutation_histogram': {}, 'decision_events': []}",1,0,89,0,0.0,"{'SELL_FERTILIZER': 233, 'SELL_WHEAT': 828, 'SELL_WOOL': 164, 'SELL_MILK': 237, 'SELL_MELON': 144, 'SELL_STRAWBERRY': 313}",4.6069,v22,129589.0,DONE,0.2208,0.439,0.886,0.0,tie,0,42
0,0,0,0,719,v028b,129589.0,DONE,0,29,"{'calls': 719, 'errors': 0, 'evaluations': 89, 'decision_points': 29, 'changed_calls': 0, 'unchanged_calls': 719, 'action_diff_calls': 0, 'action_diff_farmer': 0, 'action_diff_hands': 0, 'action_diff_market': 0, 'predicted_base_revenue': 42391.0, 'predicted_selected_revenue': 42391.0, 'predicted_delta': 0.0, 'permutation_histogram': {}, 'decision_events': []}",1,0,89,0,0.0,"{'SELL_FERTILIZER': 233, 'SELL_WHEAT': 828, 'SELL_WOOL': 164, 'SELL_MILK': 237, 'SELL_MELON': 144, 'SELL_STRAWBERRY': 313}",4.636,v22,129589.0,DONE,0.1985,0.3954,0.7043,0.0,tie,1,42
0,0,0,0,719,v028b,103843.0,DONE,0,29,"{'calls': 719, 'errors': 0, 'evaluations': 89, 'decision_points': 29, 'changed_calls': 0, 'unchanged_calls': 719, 'action_diff_calls': 0, 'action_diff_farmer': 0, 'action_diff_hands': 0, 'action_diff_market': 0, 'predicted_base_revenue': 36432.0, 'predicted_selected_revenue': 36432.0, 'predicted_delta': 0.0, 'permutation_histogram': {}, 'decision_events': []}",1,0,89,0,-36.0,"{'SELL_FERTILIZER': 233, 'SELL_WHEAT': 828, 'SELL_WOOL': 164, 'SELL_MILK': 237, 'SELL_MELON': 144, 'SELL_STRAWBERRY': 313}",4.6105,v22,103879.0,DONE,0.2255,0.4772,0.7132,0.0,loss,0,2026
0,0,0,0,719,v028b,103879.0,DONE,0,29,"{'calls': 719, 'errors': 0, 'evaluations': 89, 'decision_points': 29, 'changed_calls': 0, 'unchanged_calls': 719, 'action_diff_calls': 0, 'action_diff_farmer': 0, 'action_diff_hands': 0, 'action_diff_market': 0, 'predicted_base_revenue': 36432.0, 'predicted_selected_revenue': 36432.0, 'predicted_delta': 0.0, 'permutation_histogram': {}, 'decision_events': []}",1,0,89,0,36.0,"{'SELL_FERTILIZER': 233, 'SELL_WHEAT': 828, 'SELL_WOOL': 164, 'SELL_MILK': 237, 'SELL_MELON': 144, 'SELL_STRAWBERRY': 313}",5.3991,v22,103843.0,DONE,0.2062,0.3974,0.6214,0.0,win,1,2026
0,0,0,0,719,v028c,126289.0,DONE,0,29,"{'calls': 719, 'errors': 0, 'evaluations': 89, 'decision_points': 29, 'changed_calls': 0, 'unchanged_calls': 719, 'action_diff_calls': 0, 'action_diff_farmer': 0, 'action_diff_hands': 0, 'action_diff_market': 0, 'predicted_base_revenue': 42028.0, 'predicted_selected_revenue': 42028.0, 'predicted_delta': 0.0, 'permutation_histogram': {}, 'decision_events': []}",1,0,89,0,0.0,"{'SELL_FERTILIZER': 233, 'SELL_WHEAT': 828, 'SELL_WOOL': 164, 'SELL_MILK': 237, 'SELL_MELON': 144, 'SELL_STRAWBERRY': 313}",11.1239,v22,126289.0,DONE,0.2199,0.4779,1.3353,0.0,tie,0,17
