action_diff_calls,candidate_money,candidate_status,changed_calls,current_quantity,current_step,direction,done,future_quantity,future_step,item,margin,opponent,opponent_money,opponent_status,quantity,result,seat,seed
2,126203.0,DONE,2,6,213,advance,1,6,215,MILK,-209.0,v22,126412.0,DONE,1,loss,0,17
2,126203.0,DONE,2,6,213,advance,1,6,215,MILK,-209.0,v22,126412.0,DONE,1,loss,1,17
2,126283.0,DONE,2,6,213,delay,1,6,215,MILK,-10.0,v22,126293.0,DONE,1,loss,0,17
2,126283.0,DONE,2,6,213,delay,1,6,215,MILK,-10.0,v22,126293.0,DONE,1,loss,1,17
2,126186.0,DONE,2,6,215,advance,1,3,260,MILK,-224.0,v22,126410.0,DONE,1,loss,0,17
2,126186.0,DONE,2,6,215,advance,1,3,260,MILK,-224.0,v22,126410.0,DONE,1,loss,1,17
2,126305.0,DONE,2,6,215,delay,1,3,260,MILK,14.0,v22,126291.0,DONE,1,win,0,17
2,126305.0,DONE,2,6,215,delay,1,3,260,MILK,14.0,v22,126291.0,DONE,1,win,1,17
2,126182.0,DONE,2,3,283,advance,1,6,288,MILK,-224.0,v22,126406.0,DONE,1,loss,0,17
2,126182.0,DONE,2,3,283,advance,1,6,288,MILK,-224.0,v22,126406.0,DONE,1,loss,1,17
2,126286.0,DONE,2,3,283,delay,1,6,288,MILK,-7.0,v22,126293.0,DONE,1,loss,0,17
2,126286.0,DONE,2,3,283,delay,1,6,288,MILK,-7.0,v22,126293.0,DONE,1,loss,1,17
2,126177.0,DONE,2,6,288,advance,1,3,308,MILK,-228.0,v22,126405.0,DONE,1,loss,0,17
2,126177.0,DONE,2,6,288,advance,1,3,308,MILK,-228.0,v22,126405.0,DONE,1,loss,1,17
2,126294.0,DONE,2,6,288,delay,1,3,308,MILK,4.0,v22,126290.0,DONE,1,win,0,17
2,126294.0,DONE,2,6,288,delay,1,3,308,MILK,4.0,v22,126290.0,DONE,1,win,1,17
2,126173.0,DONE,2,3,310,advance,1,9,336,MILK,-225.0,v22,126398.0,DONE,1,loss,0,17
2,126173.0,DONE,2,3,310,advance,1,9,336,MILK,-225.0,v22,126398.0,DONE,1,loss,1,17
2,126291.0,DONE,2,3,310,delay,1,9,336,MILK,-2.0,v22,126293.0,DONE,1,loss,0,17
2,126291.0,DONE,2,3,310,delay,1,9,336,MILK,-2.0,v22,126293.0,DONE,1,loss,1,17
2,126159.0,DONE,2,9,336,advance,1,3,375,MILK,-239.0,v22,126398.0,DONE,1,loss,0,17
2,126159.0,DONE,2,9,336,advance,1,3,375,MILK,-239.0,v22,126398.0,DONE,1,loss,1,17
2,126302.0,DONE,2,9,336,delay,1,3,375,MILK,13.0,v22,126289.0,DONE,1,win,0,17
2,126302.0,DONE,2,9,336,delay,1,3,375,MILK,13.0,v22,126289.0,DONE,1,win,1,17
2,126166.0,DONE,2,3,378,advance,1,12,384,MILK,-226.0,v22,126392.0,DONE,1,loss,0,17
2,126166.0,DONE,2,3,378,advance,1,12,384,MILK,-226.0,v22,126392.0,DONE,1,loss,1,17
2,126281.0,DONE,2,3,378,delay,1,12,384,MILK,-11.0,v22,126292.0,DONE,1,loss,0,17
2,126281.0,DONE,2,3,378,delay,1,12,384,MILK,-11.0,v22,126292.0,DONE,1,loss,1,17
2,126167.0,DONE,2,12,384,advance,1,6,388,MILK,-222.0,v22,126389.0,DONE,1,loss,0,17
2,126167.0,DONE,2,12,384,advance,1,6,388,MILK,-222.0,v22,126389.0,DONE,1,loss,1,17
2,126287.0,DONE,2,12,384,delay,1,6,388,MILK,-5.0,v22,126292.0,DONE,1,loss,0,17
2,126287.0,DONE,2,12,384,delay,1,6,388,MILK,-5.0,v22,126292.0,DONE,1,loss,1,17
