all_done,current_step,direction,errors,future_step,games,item,losses,mean_changed_calls,mean_margin,mean_money,min_money,quantity,ties,wins
1,213,advance,0,215,2,MILK,2,2,-209.0,126203.0,126203.0,1,0,0
1,213,delay,0,215,2,MILK,2,2,-10.0,126283.0,126283.0,1,0,0
1,215,advance,0,260,2,MILK,2,2,-224.0,126186.0,126186.0,1,0,0
1,215,delay,0,260,2,MILK,0,2,14.0,126305.0,126305.0,1,0,2
1,283,advance,0,288,2,MILK,2,2,-224.0,126182.0,126182.0,1,0,0
1,283,delay,0,288,2,MILK,2,2,-7.0,126286.0,126286.0,1,0,0
1,288,advance,0,308,2,MILK,2,2,-228.0,126177.0,126177.0,1,0,0
1,288,delay,0,308,2,MILK,0,2,4.0,126294.0,126294.0,1,0,2
1,310,advance,0,336,2,MILK,2,2,-225.0,126173.0,126173.0,1,0,0
1,310,delay,0,336,2,MILK,2,2,-2.0,126291.0,126291.0,1,0,0
1,336,advance,0,375,2,MILK,2,2,-239.0,126159.0,126159.0,1,0,0
1,336,delay,0,375,2,MILK,0,2,13.0,126302.0,126302.0,1,0,2
1,378,advance,0,384,2,MILK,2,2,-226.0,126166.0,126166.0,1,0,0
1,378,delay,0,384,2,MILK,2,2,-11.0,126281.0,126281.0,1,0,0
1,384,advance,0,388,2,MILK,2,2,-222.0,126167.0,126167.0,1,0,0
1,384,delay,0,388,2,MILK,2,2,-5.0,126287.0,126287.0,1,0,0
